seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.66,8.26,0.000
2,1000,0,0.00,12.59,0.65,8.20,0.000
3,1002,0,0.00,12.58,0.65,8.19,0.000
4,1002,0,0.00,12.58,0.65,8.15,0.000
5,1004,0,0.00,12.58,0.65,8.13,0.000
6,1004,0,0.00,12.59,0.65,8.18,0.000
7,1006,0,0.00,12.59,0.65,8.23,0.000
8,1006,0,0.00,12.58,0.65,8.21,0.000
9,1008,0,0.00,12.59,0.66,8.31,0.000
10,1008,0,0.00,12.59,0.65,8.18,0.000
11,1010,0,0.00,12.59,0.66,8.29,0.000
12,1010,0,0.00,12.59,0.66,8.27,0.000
13,1012,0,0.00,12.59,0.65,8.23,0.000
14,1012,0,0.00,12.58,0.65,8.19,0.000
15,1014,0,0.00,12.58,0.67,8.41,0.000
16,1014,0,0.00,12.58,0.68,8.54,0.000
17,1016,0,0.00,12.59,0.68,8.53,0.000
18,1016,0,0.00,12.57,0.81,10.14,0.000
19,1018,0,0.00,12.57,0.99,12.50,0.000
20,1018,0,0.00,12.57,1.02,12.84,0.000
21,1020,0,0.00,12.57,0.99,12.46,0.000
22,1020,0,0.00,12.57,0.95,11.95,0.000
23,1022,0,0.00,12.58,0.88,11.12,0.000
24,1022,0,0.76,12.57,0.86,10.79,0.070
25,1024,0,0.95,12.57,0.85,10.64,0.090
26,1024,0,1.01,12.58,0.85,10.69,0.094
27,1026,0,1.83,12.58,0.85,10.67,0.172
28,1026,0,1.94,12.58,0.82,10.36,0.187
29,1028,0,2.08,12.58,0.81,10.19,0.205
30,1028,0,1.98,12.58,0.82,10.31,0.191
31,1030,0,2.33,12.58,0.81,10.20,0.228
32,1030,0,2.65,12.58,0.80,10.06,0.263
33,1032,0,2.50,12.58,0.79,9.95,0.251
34,1032,0,2.86,12.58,0.78,9.82,0.291
35,1034,0,2.79,12.58,0.79,9.95,0.280
36,1034,0,2.98,12.58,0.78,9.75,0.306
37,1036,0,3.02,12.58,0.79,9.89,0.306
38,1036,0,3.11,12.58,0.80,10.03,0.310
39,1038,0,3.02,12.58,0.79,9.90,0.305
40,1038,0,3.35,12.58,0.80,10.03,0.334
41,1040,0,3.56,12.58,0.77,9.74,0.366
42,1040,0,3.69,12.58,0.79,9.92,0.372
43,1042,0,3.60,12.58,0.79,9.92,0.362
44,1042,0,3.49,12.58,0.80,10.08,0.346
45,1044,0,3.48,12.58,0.80,10.06,0.345
46,1044,0,3.47,12.58,0.79,9.90,0.350
47,1046,0,3.69,12.58,0.79,9.95,0.370
48,1046,0,3.92,12.58,0.81,10.15,0.386
49,1048,0,4.29,12.58,0.80,10.09,0.425
50,1048,0,3.99,12.58,0.80,10.09,0.395
51,1050,0,3.96,12.58,0.81,10.14,0.390
52,1050,0,4.19,12.58,0.80,10.09,0.415
53,1052,0,4.25,12.58,0.81,10.25,0.415
54,1052,0,4.50,12.57,0.80,10.02,0.449
55,1054,0,4.73,12.57,0.81,10.21,0.463
56,1054,0,4.67,12.58,0.81,10.18,0.459
57,1056,0,4.36,12.58,0.80,10.00,0.436
58,1056,0,4.55,12.58,0.81,10.24,0.445
59,1058,0,4.47,12.58,0.81,10.20,0.438
60,1058,0,4.75,12.58,0.82,10.30,0.462
61,1060,0,5.04,12.58,0.82,10.27,0.490
62,1060,0,5.06,12.58,0.83,10.39,0.487
63,1062,0,5.25,12.57,0.81,10.23,0.514
64,1062,0,5.08,12.57,0.82,10.30,0.493
65,1064,0,5.28,12.58,0.82,10.35,0.510
66,1064,0,5.69,12.58,0.82,10.33,0.551
67,1066,0,5.88,12.58,0.83,10.41,0.565
68,1066,0,6.21,12.58,0.83,10.47,0.594
69,1068,0,6.02,12.58,0.83,10.48,0.574
70,1068,0,5.96,12.58,0.83,10.49,0.568
71,1070,0,6.75,12.57,0.83,10.40,0.649
72,1070,0,6.91,12.57,0.82,10.36,0.667
73,1072,0,6.78,12.58,0.86,10.77,0.629
74,1072,0,6.73,12.58,0.85,10.64,0.633
75,1074,0,7.09,12.58,0.83,10.43,0.680
76,1074,0,7.42,12.57,0.84,10.59,0.700
77,1076,0,7.42,12.58,0.85,10.73,0.692
78,1076,0,7.54,12.57,0.83,10.45,0.721
79,1078,0,7.80,12.57,0.83,10.46,0.746
80,1078,0,7.80,12.58,0.85,10.74,0.727
81,1080,0,8.04,12.57,0.85,10.64,0.756
82,1080,0,8.06,12.57,0.85,10.64,0.758
83,1082,0,8.20,12.58,0.87,10.94,0.749
84,1082,4122,8.49,12.57,0.86,10.77,0.789
85,1084,4148,8.81,12.58,0.86,10.77,0.818
86,1084,4191,9.13,12.57,0.87,10.99,0.831
87,1086,4217,9.18,12.57,0.87,10.88,0.844
88,1086,4251,9.52,12.58,0.87,10.90,0.873
89,1088,4268,9.62,12.58,0.86,10.82,0.889
90,1088,4294,9.82,12.57,0.86,10.87,0.904
91,1090,4320,9.83,12.58,0.86,10.82,0.908
92,1090,4354,9.82,12.57,0.87,10.93,0.898
93,1092,4371,10.38,12.57,0.88,11.12,0.933
94,1092,4405,10.08,12.57,0.88,11.07,0.911
95,1094,4431,10.59,12.57,0.88,11.00,0.962
96,1094,4457,11.14,12.58,0.89,11.15,0.999
97,1096,4482,11.29,12.58,0.86,10.88,1.038
98,1096,4508,11.71,12.57,0.88,11.10,1.054
99,1098,4534,11.54,12.57,0.88,11.06,1.044
100,1098,4560,12.07,12.57,0.89,11.15,1.083
101,1100,4585,12.68,12.57,0.89,11.18,1.134
102,1100,4611,13.00,12.57,0.89,11.19,1.162
103,1102,4628,13.19,12.57,0.89,11.21,1.176
104,1102,4654,13.75,12.57,0.90,11.36,1.211
105,1104,4680,13.79,12.58,0.91,11.41,1.209
106,1104,4705,14.03,12.57,0.92,11.52,1.218
107,1106,4731,15.04,12.58,0.91,11.40,1.320
108,1106,4757,14.98,12.57,0.90,11.37,1.317
109,1108,4774,15.27,12.57,0.90,11.27,1.354
110,1108,4800,15.61,12.57,0.90,11.37,1.373
111,1110,4808,16.02,12.57,0.91,11.49,1.395
112,1110,4817,16.07,12.57,0.92,11.54,1.393
113,1112,4817,16.59,12.57,0.93,11.65,1.424
114,1112,4817,16.87,12.57,0.94,11.77,1.432
