seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.583,0.658
2,1000,0,0.00,12.584,0.650
3,1002,0,0.00,12.581,0.652
4,1002,0,0.00,12.582,0.643
5,1004,0,0.00,12.581,0.649
6,1004,0,0.00,12.586,0.646
7,1006,0,0.00,12.581,0.647
8,1006,0,0.00,12.581,0.645
9,1008,0,0.00,12.585,0.650
10,1008,0,0.00,12.581,0.650
11,1010,0,0.00,12.586,0.664
12,1010,0,0.00,12.575,0.655
13,1012,0,0.00,12.586,0.652
14,1012,0,0.00,12.581,0.651
15,1014,0,0.00,12.579,0.663
16,1014,0,0.00,12.583,0.674
17,1016,0,0.00,12.580,0.673
18,1016,0,0.00,12.569,0.782
19,1018,0,0.00,12.561,0.980
20,1018,0,0.00,12.564,1.020
21,1020,0,0.00,12.565,1.002
22,1020,0,0.00,12.567,0.958
23,1022,0,0.00,12.567,0.888
24,1022,0,0.00,12.578,0.858
25,1024,0,0.00,12.569,0.848
26,1024,0,0.00,12.575,0.849
27,1026,0,1.35,12.576,0.857
28,1026,0,1.25,12.572,0.820
29,1028,0,1.75,12.581,0.808
30,1028,0,1.48,12.571,0.821
31,1030,0,1.79,12.572,0.816
32,1030,0,1.86,12.576,0.804
33,1032,0,2.11,12.572,0.792
34,1032,0,2.47,12.577,0.778
35,1034,0,2.50,12.573,0.799
36,1034,0,2.55,12.573,0.778
37,1036,0,2.32,12.576,0.788
38,1036,0,2.38,12.577,0.800
39,1038,0,2.67,12.573,0.779
40,1038,0,2.93,12.575,0.804
41,1040,0,3.31,12.578,0.775
42,1040,0,3.48,12.580,0.793
43,1042,0,3.08,12.573,0.795
44,1042,0,2.99,12.574,0.800
45,1044,0,2.83,12.575,0.799
46,1044,0,2.98,12.580,0.777
47,1046,0,3.18,12.576,0.783
48,1046,0,3.56,12.579,0.805
49,1048,0,4.08,12.577,0.808
50,1048,0,3.47,12.576,0.803
51,1050,0,3.34,12.570,0.798
52,1050,0,3.69,12.577,0.801
53,1052,0,3.58,12.575,0.820
54,1052,0,3.90,12.569,0.804
55,1054,0,4.39,12.572,0.816
56,1054,0,4.33,12.576,0.818
57,1056,0,4.08,12.577,0.790
58,1056,0,4.05,12.574,0.818
59,1058,0,4.21,12.578,0.802
60,1058,0,4.33,12.576,0.819
61,1060,0,4.50,12.573,0.806
62,1060,0,4.40,12.572,0.828
63,1062,0,4.70,12.574,0.813
64,1062,0,4.40,12.569,0.823
65,1064,0,4.77,12.575,0.838
66,1064,0,5.32,12.575,0.821
67,1066,0,5.37,12.575,0.822
68,1066,0,5.72,12.575,0.833
69,1068,0,5.82,12.575,0.826
70,1068,0,5.45,12.569,0.832
71,1070,0,5.91,12.571,0.820
72,1070,0,6.20,12.573,0.823
73,1072,0,6.03,12.574,0.858
74,1072,0,5.93,12.575,0.852
75,1074,0,6.37,12.578,0.821
76,1074,0,6.69,12.567,0.848
77,1076,0,6.58,12.569,0.847
78,1076,0,6.77,12.564,0.835
79,1078,0,6.69,12.564,0.835
80,1078,0,6.71,12.577,0.855
81,1080,0,7.26,12.565,0.846
82,1080,0,7.39,12.573,0.844
83,1082,0,7.50,12.573,0.877
84,1082,4122,7.95,12.564,0.866
85,1084,4148,8.73,12.576,0.849
86,1084,4191,8.76,12.571,0.879
87,1086,4217,8.62,12.561,0.857
88,1086,4251,8.73,12.574,0.862
89,1088,4268,8.60,12.568,0.850
90,1088,4294,9.01,12.567,0.866
91,1090,4320,9.43,12.580,0.869
92,1090,4354,9.33,12.572,0.870
93,1092,4371,9.86,12.570,0.897
94,1092,4397,9.75,12.568,0.889
95,1094,4431,10.22,12.568,0.881
96,1094,4448,10.56,12.572,0.882
97,1096,4474,11.05,12.572,0.876
98,1096,4500,11.36,12.569,0.891
99,1098,4525,10.74,12.569,0.880
100,1098,4551,11.23,12.563,0.883
101,1100,4577,12.05,12.572,0.890
102,1100,4611,12.60,12.571,0.889
103,1102,4628,12.72,12.565,0.885
104,1102,4654,13.00,12.563,0.904
105,1104,4680,13.67,12.572,0.907
106,1104,4705,13.48,12.572,0.925
107,1106,4731,13.59,12.574,0.906
108,1106,4757,13.68,12.571,0.906
109,1108,4774,13.93,12.562,0.901
110,1108,4800,14.73,12.559,0.916
111,1110,4808,15.41,12.568,0.916
112,1110,4817,14.80,12.570,0.912
113,1112,4817,15.17,12.573,0.931
114,1112,4817,15.84,12.566,0.932
115,1114,4817,16.52,12.565,0.919
116,1114,4817,16.66,12.569,0.930
117,1116,4817,16.38,12.568,0.934
118,1116,4817,16.12,12.570,0.920
119,1118,4817,16.57,12.575,0.936
120,1118,4817,16.51,12.567,0.939
121,1120,4817,16.55,12.573,0.921
122,1120,4817,16.75,12.570,0.922
123,1122,4817,16.89,12.563,0.921
124,1122,4817,16.94,12.569,0.933
125,1124,4817,17.20,12.568,0.921
126,1124,4842,17.24,12.569,0.919
127,1126,4842,17.72,12.571,0.958
128,1126,4842,17.88,12.571,0.964
129,1128,4842,17.89,12.561,0.945
130,1128,4842,17.49,12.568,0.978
131,1130,4842,17.48,12.568,0.963
132,1130,4842,18.76,12.559,0.950
133,1132,4842,19.69,12.572,0.957
134,1132,4842,19.89,12.558,0.967
135,1134,4842,19.40,12.564,0.960
136,1134,4842,19.86,12.561,0.961
137,1136,4842,19.97,12.557,0.982
138,1136,4842,19.93,12.559,0.978
139,1138,4842,20.24,12.559,0.998
140,1138,4842,20.18,12.564,0.999
141,1140,4842,20.15,12.573,0.975
142,1140,4894,20.60,12.569,0.992
143,1142,4911,20.36,12.568,0.999
144,1142,4911,20.60,12.557,0.961
