seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.67,0.66,10.94,0.000
2,1000,0,0.00,16.67,0.67,11.20,0.000
3,1002,0,0.00,16.68,0.66,11.01,0.000
4,1002,0,0.00,16.68,0.66,11.07,0.000
5,1004,0,0.00,16.68,0.65,10.91,0.000
6,1004,0,0.00,16.68,0.67,11.09,0.000
7,1006,0,0.00,16.68,0.66,11.06,0.000
8,1006,0,0.00,16.67,0.66,11.06,0.000
9,1008,0,0.00,16.67,0.67,11.10,0.000
10,1008,0,0.00,16.68,0.66,10.95,0.000
11,1010,0,0.00,16.68,0.67,11.14,0.000
12,1010,0,0.00,16.67,0.65,10.89,0.000
13,1012,0,0.00,16.67,0.66,11.06,0.000
14,1012,0,0.00,16.67,0.66,11.06,0.000
15,1014,0,0.00,16.67,0.69,11.45,0.000
16,1014,0,0.00,16.67,0.68,11.41,0.000
17,1016,0,0.00,16.67,0.70,11.60,0.000
18,1016,0,0.00,16.64,0.84,14.00,0.000
19,1018,0,0.00,16.63,1.15,19.10,0.000
20,1018,0,5.82,16.63,1.26,21.01,0.277
21,1020,0,8.67,16.64,1.21,20.21,0.429
22,1020,0,12.29,16.64,1.12,18.60,0.661
23,1022,0,13.85,16.65,1.03,17.18,0.806
24,1022,0,15.21,16.65,1.00,16.58,0.917
25,1024,0,15.66,16.65,0.97,16.19,0.967
26,1024,0,17.04,16.65,0.95,15.77,1.080
27,1026,0,18.41,16.65,0.91,15.12,1.217
28,1026,0,19.30,16.66,0.89,14.88,1.297
29,1028,0,20.13,16.66,0.86,14.34,1.404
30,1028,0,20.49,16.66,0.87,14.51,1.412
31,1030,0,20.57,16.66,0.86,14.39,1.430
32,1030,0,20.89,16.66,0.85,14.18,1.473
33,1032,0,20.89,16.66,0.84,14.08,1.484
34,1032,0,21.41,16.66,0.83,13.85,1.547
35,1034,0,21.37,16.66,0.83,13.76,1.553
36,1034,0,21.49,16.66,0.84,14.01,1.534
37,1036,0,21.47,16.66,0.84,14.04,1.529
38,1036,0,21.68,16.66,0.84,14.06,1.542
39,1038,0,21.95,16.66,0.84,14.08,1.559
40,1038,0,21.90,16.66,0.83,13.90,1.576
41,1040,0,21.98,16.66,0.83,13.86,1.585
42,1040,0,22.28,16.66,0.85,14.11,1.579
43,1042,0,22.62,16.66,0.86,14.31,1.581
44,1042,0,22.10,16.66,0.86,14.29,1.547
45,1044,0,22.41,16.66,0.86,14.34,1.563
46,1044,0,22.86,16.66,0.85,14.19,1.611
47,1046,0,23.09,16.66,0.85,14.10,1.637
48,1046,0,23.25,16.66,0.85,14.18,1.640
49,1048,0,23.32,16.66,0.86,14.26,1.636
50,1048,0,23.38,16.66,0.86,14.36,1.628
51,1050,0,23.74,16.66,0.86,14.28,1.662
52,1050,0,23.84,16.65,0.87,14.51,1.643
53,1052,0,23.96,16.66,0.88,14.66,1.634
54,1052,0,24.30,16.66,0.88,14.63,1.661
55,1054,0,24.38,16.66,0.87,14.43,1.689
56,1054,0,24.96,16.66,0.87,14.45,1.728
57,1056,0,25.12,16.66,0.87,14.45,1.738
58,1056,0,25.36,16.66,0.87,14.52,1.746
59,1058,0,25.47,16.66,0.88,14.67,1.737
60,1058,0,25.61,16.66,0.88,14.59,1.755
61,1060,0,25.86,16.66,0.91,15.15,1.707
62,1060,0,26.05,16.66,0.90,14.97,1.741
63,1062,0,26.25,16.66,0.89,14.89,1.764
64,1062,0,26.62,16.66,0.90,14.92,1.784
65,1064,0,26.83,16.65,0.91,15.08,1.779
66,1064,0,26.84,16.66,0.90,14.97,1.792
67,1066,0,26.80,16.66,0.89,14.82,1.809
68,1066,0,26.76,16.65,0.91,15.08,1.774
69,1068,0,26.90,16.66,0.90,15.00,1.794
70,1068,0,27.51,16.65,0.90,15.03,1.830
71,1070,0,27.97,16.65,0.91,15.22,1.838
72,1070,0,27.73,16.65,0.91,15.11,1.835
73,1072,0,27.70,16.66,0.90,15.04,1.842
74,1072,0,27.99,16.65,0.92,15.26,1.834
75,1074,0,28.16,16.65,0.92,15.32,1.838
76,1074,0,28.24,16.65,0.93,15.40,1.833
77,1076,0,28.45,16.65,0.91,15.10,1.884
78,1076,0,28.77,16.65,0.91,15.10,1.905
79,1078,0,29.12,16.66,0.90,15.05,1.935
80,1078,0,29.69,16.65,0.95,15.79,1.880
81,1080,0,29.82,16.65,0.94,15.61,1.911
82,1080,0,29.72,16.65,0.95,15.83,1.877
83,1082,0,29.62,16.65,0.94,15.58,1.901
84,1082,0,30.05,16.65,0.96,15.95,1.885
85,1084,0,30.49,16.65,0.96,15.96,1.911
86,1084,0,30.72,16.66,0.95,15.87,1.935
87,1086,0,30.79,16.65,0.96,15.93,1.932
88,1086,0,31.26,16.65,0.95,15.87,1.970
89,1088,0,31.94,16.65,0.95,15.82,2.018
90,1088,0,32.29,16.65,0.96,15.97,2.022
91,1090,0,32.95,16.65,0.98,16.28,2.024
92,1090,0,34.06,16.64,0.98,16.32,2.087
93,1092,0,34.48,16.65,0.96,15.91,2.168
94,1092,0,34.34,16.65,0.96,16.04,2.141
95,1094,0,34.12,16.66,0.97,16.08,2.122
96,1094,0,34.67,16.65,0.98,16.37,2.118
97,1096,0,35.23,16.65,0.99,16.50,2.136
98,1096,0,35.14,16.64,0.98,16.27,2.159
99,1098,0,34.72,16.65,0.98,16.38,2.119
100,1098,0,35.41,16.65,0.99,16.51,2.144
101,1100,0,35.97,16.64,0.98,16.33,2.203
102,1100,0,35.80,16.64,0.99,16.40,2.183
103,1102,0,35.98,16.64,1.01,16.86,2.134
104,1102,0,36.56,16.65,1.01,16.84,2.172
105,1104,0,36.73,16.65,0.99,16.57,2.216
106,1104,0,36.80,16.65,1.00,16.64,2.212
107,1106,0,37.17,16.64,1.02,17.03,2.183
108,1106,0,37.03,16.64,1.02,16.94,2.186
109,1108,0,37.18,16.65,1.03,17.08,2.177
110,1108,0,37.48,16.65,1.03,17.09,2.193
111,1110,0,37.84,16.65,1.03,17.08,2.215
112,1110,0,37.67,16.64,1.02,17.05,2.210
113,1112,0,37.48,16.65,1.03,17.10,2.192
114,1112,0,38.16,16.64,1.06,17.61,2.167
115,1114,0,38.23,16.65,1.02,17.03,2.245
116,1114,0,38.69,16.64,1.05,17.54,2.206
117,1116,0,39.09,16.64,1.03,17.13,2.281
118,1116,0,39.62,16.64,1.03,17.09,2.318
119,1118,0,39.89,16.64,1.06,17.63,2.263
120,1118,0,40.31,16.64,1.04,17.31,2.329
121,1120,0,40.55,16.64,1.04,17.31,2.343
122,1120,0,40.82,16.65,1.03,17.22,2.370
123,1122,0,41.08,16.65,1.05,17.42,2.359
124,1122,0,41.00,16.64,1.05,17.46,2.348
125,1124,0,41.56,16.65,1.03,17.19,2.418
126,1124,0,41.68,16.64,1.03,17.15,2.431
127,1126,0,41.78,16.64,1.03,17.14,2.438
128,1126,0,42.22,16.64,1.06,17.59,2.400
129,1128,0,42.83,16.64,1.07,17.78,2.410
130,1128,0,43.40,16.64,1.06,17.58,2.468
131,1130,0,43.89,16.64,1.08,17.92,2.449
132,1130,0,44.40,16.65,1.08,18.04,2.461
133,1132,0,44.70,16.64,1.08,17.99,2.485
134,1132,0,44.67,16.64,1.07,17.84,2.504
135,1134,0,44.65,16.64,1.08,17.94,2.488
136,1134,0,45.11,16.64,1.10,18.31,2.464
137,1136,0,45.40,16.64,1.09,18.17,2.499
138,1136,0,46.17,16.64,1.10,18.22,2.534
139,1138,0,46.88,16.64,1.10,18.34,2.556
140,1138,0,46.90,16.64,1.10,18.32,2.560
141,1140,0,47.31,16.64,1.09,18.14,2.608
142,1140,0,47.74,16.64,1.09,18.19,2.625
143,1142,0,48.73,16.64,1.12,18.60,2.621
144,1142,0,49.18,16.64,1.13,18.84,2.610
145,1144,0,49.49,16.64,1.13,18.74,2.641
146,1144,0,49.96,16.63,1.14,19.04,2.624
147,1146,0,50.55,16.63,1.14,18.94,2.669
148,1146,0,51.11,16.63,1.14,19.01,2.688
149,1148,0,51.73,16.64,1.14,19.01,2.720
150,1148,0,52.48,16.64,1.14,19.00,2.762
151,1150,0,53.06,16.64,1.14,19.02,2.790
152,1150,0,53.62,16.64,1.15,19.18,2.796
153,1152,0,54.53,16.63,1.15,19.19,2.841
154,1152,0,55.05,16.64,1.15,19.11,2.881
155,1154,0,55.34,16.64,1.14,18.95,2.920
156,1154,0,55.64,16.63,1.16,19.22,2.895
157,1156,0,56.46,16.64,1.16,19.31,2.923
158,1156,0,57.49,16.63,1.16,19.22,2.991
159,1158,0,58.15,16.63,1.17,19.49,2.984
160,1158,0,59.30,16.63,1.19,19.74,3.004
161,1160,0,60.14,16.62,1.19,19.84,3.031
162,1160,0,60.91,16.62,1.20,19.95,3.053
163,1162,0,61.41,16.63,1.21,20.08,3.058
164,1162,0,61.35,16.63,1.22,20.31,3.020
165,1164,0,62.34,16.63,1.20,19.94,3.127
166,1164,0,63.15,16.63,1.21,20.16,3.132
167,1166,0,64.33,16.63,1.22,20.31,3.167
168,1166,0,64.79,16.63,1.24,20.57,3.150
169,1168,0,65.44,16.63,1.22,20.32,3.221
170,1168,0,66.23,16.63,1.23,20.52,3.228
171,1170,0,66.91,16.63,1.25,20.73,3.228
172,1170,0,67.85,16.63,1.25,20.77,3.266
173,1172,0,68.17,16.63,1.24,20.69,3.294
174,1172,0,68.31,16.63,1.25,20.82,3.282
175,1174,0,69.58,16.63,1.26,20.93,3.325
176,1174,0,70.19,16.63,1.26,21.03,3.338
177,1176,0,70.61,16.62,1.26,20.93,3.374
178,1176,0,71.30,16.61,1.27,21.15,3.371
179,1178,0,73.20,16.62,1.26,20.99,3.488
180,1178,0,74.32,16.62,1.30,21.65,3.433
181,1180,0,75.00,16.62,1.27,21.17,3.543
182,1180,0,76.22,16.62,1.29,21.44,3.556
183,1182,0,77.14,16.62,1.30,21.63,3.567
184,1182,0,78.00,16.62,1.31,21.74,3.588
185,1184,0,78.30,16.63,1.31,21.80,3.592
186,1184,0,78.88,16.62,1.29,21.50,3.668
187,1186,0,79.26,16.62,1.29,21.48,3.690
188,1186,0,79.41,16.62,1.31,21.85,3.634
189,1188,0,79.69,16.62,1.30,21.65,3.681
190,1188,0,80.06,16.62,1.33,22.04,3.633
191,1190,0,80.47,16.62,1.34,22.24,3.618
192,1190,0,80.81,16.62,1.38,22.86,3.535
193,1192,0,81.42,16.61,1.39,23.03,3.535
194,1192,0,82.75,16.62,1.39,23.15,3.575
195,1194,0,83.44,16.62,1.39,23.06,3.618
196,1194,0,84.17,16.61,1.39,23.13,3.639
197,1196,0,84.53,16.62,1.42,23.57,3.586
