seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.571,0.660
2,1000,0,0.00,12.580,0.648
3,1002,0,0.00,12.573,0.655
4,1002,0,0.00,12.576,0.644
5,1004,0,0.00,12.572,0.636
6,1004,0,0.00,12.579,0.661
7,1006,0,0.00,12.577,0.658
8,1006,0,0.00,12.579,0.653
9,1008,0,0.00,12.569,0.660
10,1008,0,0.00,12.571,0.640
11,1010,0,0.00,12.585,0.666
12,1010,0,0.00,12.575,0.655
13,1012,0,0.00,12.574,0.647
14,1012,0,0.00,12.572,0.666
15,1014,0,0.00,12.576,0.676
16,1014,0,0.00,12.581,0.679
17,1016,0,0.00,12.576,0.671
18,1016,0,0.00,12.555,0.748
19,1018,0,0.00,12.555,0.966
20,1018,0,1.29,12.549,1.105
21,1020,0,2.18,12.554,1.033
22,1020,0,2.53,12.573,0.958
23,1022,0,3.47,12.559,0.878
24,1022,0,3.51,12.559,0.856
25,1024,0,3.70,12.559,0.843
26,1024,0,3.66,12.567,0.839
27,1026,0,4.00,12.565,0.814
28,1026,0,3.70,12.562,0.789
29,1028,0,4.21,12.569,0.781
30,1028,0,4.19,12.570,0.801
31,1030,0,3.94,12.562,0.774
32,1030,0,4.23,12.569,0.769
33,1032,0,4.18,12.570,0.776
34,1032,0,4.42,12.576,0.784
35,1034,0,4.54,12.559,0.769
36,1034,0,4.88,12.573,0.753
37,1036,0,5.36,12.579,0.775
38,1036,0,4.80,12.569,0.772
39,1038,0,4.81,12.560,0.761
40,1038,0,4.97,12.563,0.775
41,1040,0,5.27,12.567,0.787
42,1040,0,4.68,12.558,0.771
43,1042,0,4.84,12.568,0.774
44,1042,0,4.70,12.574,0.778
45,1044,0,5.18,12.573,0.773
46,1044,0,5.47,12.569,0.774
47,1046,0,5.45,12.567,0.771
48,1046,0,5.09,12.575,0.790
49,1048,0,5.18,12.565,0.802
50,1048,0,5.71,12.567,0.770
51,1050,0,5.72,12.566,0.789
52,1050,0,6.07,12.578,0.797
53,1052,0,6.12,12.566,0.800
54,1052,0,5.66,12.568,0.775
55,1054,0,5.57,12.565,0.777
56,1054,0,5.34,12.573,0.797
57,1056,0,5.30,12.562,0.790
58,1056,0,5.67,12.570,0.787
