seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.580,0.661
2,1000,0,0.00,12.583,0.652
3,1002,0,0.00,12.585,0.651
4,1002,0,0.00,12.579,0.658
5,1004,0,0.00,12.580,0.638
6,1004,0,0.00,12.576,0.656
7,1006,0,0.00,12.578,0.657
8,1006,0,0.00,12.582,0.644
9,1008,0,0.00,12.582,0.646
10,1008,0,0.00,12.582,0.659
11,1010,0,0.00,12.578,0.661
12,1010,0,0.00,12.582,0.659
13,1012,0,0.00,12.585,0.664
14,1012,0,0.00,12.581,0.642
15,1014,0,0.00,12.578,0.660
16,1014,0,0.00,12.579,0.680
17,1016,0,0.00,12.579,0.685
18,1016,0,0.00,12.548,0.796
19,1018,0,0.00,12.551,1.028
20,1018,0,0.00,12.565,1.066
21,1020,0,0.00,12.558,1.007
22,1020,0,0.00,12.567,0.924
23,1022,0,0.00,12.569,0.863
24,1022,0,0.00,12.573,0.843
25,1024,0,0.00,12.571,0.819
26,1024,0,0.00,12.576,0.826
27,1026,0,0.00,12.571,0.810
28,1026,0,0.00,12.571,0.790
29,1028,0,0.00,12.578,0.774
30,1028,0,0.00,12.574,0.782
31,1030,0,0.00,12.578,0.756
32,1030,0,0.00,12.570,0.778
33,1032,0,0.00,12.577,0.760
34,1032,0,0.00,12.570,0.764
35,1034,0,0.00,12.566,0.758
36,1034,0,0.00,12.572,0.775
37,1036,0,0.00,12.570,0.768
38,1036,0,0.00,12.582,0.775
39,1038,0,0.00,12.568,0.779
40,1038,0,0.00,12.574,0.756
41,1040,0,0.00,12.575,0.765
42,1040,0,0.00,12.573,0.782
43,1042,0,0.00,12.576,0.777
44,1042,0,0.00,12.574,0.768
45,1044,0,0.00,12.575,0.790
46,1044,0,0.00,12.579,0.785
47,1046,0,0.00,12.573,0.767
48,1046,0,0.00,12.570,0.794
49,1048,0,1.33,12.567,0.783
50,1048,0,1.26,12.567,0.799
51,1050,0,1.45,12.570,0.797
52,1050,0,1.91,12.574,0.781
53,1052,0,1.76,12.574,0.772
54,1052,0,1.89,12.572,0.799
55,1054,0,1.84,12.575,0.788
56,1054,0,1.58,12.576,0.792
57,1056,0,1.37,12.574,0.788
58,1056,0,1.21,12.575,0.777
59,1058,0,1.53,12.576,0.810
60,1058,0,1.71,12.566,0.800
61,1060,0,1.79,12.567,0.810
62,1060,0,1.77,12.565,0.785
63,1062,0,1.66,12.578,0.803
64,1062,0,2.02,12.571,0.811
65,1064,0,2.28,12.575,0.810
66,1064,0,2.19,12.577,0.804
67,1066,0,2.11,12.569,0.804
68,1066,0,2.31,12.574,0.805
69,1068,0,2.23,12.578,0.798
70,1068,0,2.35,12.570,0.792
71,1070,0,2.33,12.573,0.814
72,1070,0,2.52,12.571,0.805
73,1072,0,2.72,12.570,0.797
74,1072,0,3.38,12.574,0.816
75,1074,0,3.01,12.571,0.805
76,1074,0,2.89,12.564,0.836
77,1076,0,2.48,12.568,0.823
78,1076,0,3.30,12.573,0.821
79,1078,0,3.28,12.574,0.826
80,1078,4140,3.45,12.576,0.829
81,1080,4174,3.14,12.563,0.830
82,1080,4217,3.24,12.563,0.843
83,1082,4242,3.36,12.573,0.815
84,1082,4277,3.35,12.567,0.822
85,1084,4302,2.88,12.575,0.836
86,1084,4328,3.22,12.565,0.834
87,1086,4354,3.15,12.566,0.836
88,1086,4371,3.08,12.576,0.839
89,1088,4371,3.11,12.567,0.846
90,1088,4388,3.26,12.571,0.828
91,1090,4397,3.06,12.568,0.852
92,1090,4397,3.41,12.569,0.845
93,1092,4414,4.01,12.572,0.845
94,1092,4440,4.34,12.577,0.867
95,1094,4440,4.38,12.570,0.840
96,1094,4448,4.31,12.568,0.837
97,1096,4448,4.52,12.570,0.857
98,1096,4448,4.71,12.569,0.869
99,1098,4448,4.61,12.574,0.862
100,1098,4448,4.53,12.573,0.864
101,1100,4448,4.98,12.571,0.859
102,1100,4448,5.27,12.569,0.855
103,1102,4448,5.46,12.571,0.852
104,1102,4448,5.52,12.571,0.863
105,1104,4448,5.46,12.572,0.874
106,1104,4448,5.15,12.567,0.864
107,1106,4448,6.06,12.570,0.845
108,1106,4500,5.75,12.566,0.863
109,1108,4500,5.46,12.566,0.872
110,1108,4500,5.85,12.564,0.872
111,1110,4500,5.86,12.571,0.848
112,1110,4500,5.92,12.569,0.874
113,1112,4500,6.06,12.571,0.875
114,1112,4500,5.93,12.573,0.886
115,1114,4500,5.86,12.572,0.863
116,1114,4542,5.93,12.574,0.867
117,1116,4628,6.17,12.566,0.866
118,1116,4662,6.26,12.574,0.842
119,1118,4662,6.01,12.572,0.876
120,1118,4662,6.09,12.571,0.895
121,1120,4662,6.38,12.562,0.901
122,1120,4662,6.43,12.567,0.878
123,1122,4662,6.20,12.562,0.898
124,1122,4662,6.37,12.562,0.900
125,1124,4662,6.24,12.563,0.890
126,1124,4662,6.22,12.565,0.894
127,1126,4662,6.59,12.568,0.880
128,1126,4662,6.80,12.569,0.895
129,1128,4662,6.67,12.564,0.889
130,1128,4662,6.70,12.567,0.906
131,1130,4722,7.00,12.564,0.893
132,1130,4748,7.20,12.570,0.898
133,1132,4748,8.00,12.564,0.910
134,1132,4748,8.65,12.570,0.902
135,1134,4748,8.48,12.560,0.899
136,1134,4748,8.78,12.563,0.917
137,1136,4748,8.87,12.560,0.925
138,1136,4748,8.87,12.565,0.905
139,1138,4748,9.30,12.567,0.916
140,1138,4748,9.46,12.571,0.925
141,1140,4748,9.20,12.568,0.929
142,1140,4748,9.04,12.573,0.939
143,1142,4748,8.82,12.573,0.928
144,1142,4748,9.22,12.559,0.929
145,1144,4748,9.89,12.567,0.901
146,1144,4748,9.87,12.569,0.914
147,1146,4748,9.90,12.563,0.943
148,1146,4748,9.83,12.568,0.957
149,1148,4748,9.93,12.567,0.936
150,1148,4748,9.73,12.558,0.946
151,1150,4748,9.85,12.553,0.928
152,1150,4748,9.95,12.564,0.949
153,1152,4748,9.87,12.566,0.947
154,1152,4748,9.92,12.556,0.954
155,1154,4748,10.31,12.556,0.936
156,1154,4748,10.06,12.553,0.949
157,1156,4748,10.80,12.565,0.964
158,1156,4748,10.74,12.559,0.950
159,1158,4748,11.13,12.560,0.965
160,1158,4748,11.26,12.561,0.961
161,1160,4748,11.35,12.558,0.957
162,1160,4748,11.38,12.557,0.961
163,1162,4748,11.61,12.568,0.971
164,1162,4748,11.16,12.563,0.961
165,1164,4748,10.97,12.567,0.955
166,1164,4748,10.92,12.569,0.952
167,1166,4748,11.36,12.560,0.970
168,1166,4748,11.60,12.565,0.983
169,1168,4748,11.85,12.564,0.964
170,1168,4748,11.98,12.569,0.996
171,1170,4748,11.63,12.563,0.968
172,1170,4748,12.05,12.571,0.962
173,1172,4748,11.89,12.565,0.960
174,1172,4748,11.78,12.560,0.979
175,1174,4748,12.19,12.565,0.982
176,1174,4748,12.73,12.559,0.983
177,1176,4748,12.50,12.559,0.942
178,1176,4748,13.22,12.569,0.958
179,1178,4748,13.54,12.560,1.001
180,1178,4748,13.01,12.564,0.986
181,1180,4748,12.52,12.569,0.980
182,1180,4748,13.13,12.559,0.982
183,1182,4748,12.89,12.567,0.991
184,1182,4748,12.73,12.571,1.011
185,1184,4748,13.20,12.563,1.009
186,1184,4842,13.17,12.559,1.014
187,1186,4911,13.25,12.561,0.972
188,1186,4937,12.99,12.565,0.992
189,1188,4988,13.56,12.563,0.984
190,1188,4988,13.75,12.559,1.001
191,1190,4988,13.54,12.565,1.003
192,1190,4988,13.70,12.560,1.010
193,1192,4988,14.10,12.567,0.987
194,1192,4988,13.98,12.569,1.029
195,1194,4988,14.08,12.560,1.033
196,1194,4988,14.72,12.561,1.050
197,1196,4988,15.17,12.553,1.014
198,1196,4988,15.08,12.555,1.021
199,1198,4988,15.09,12.557,1.031
200,1198,4988,16.07,12.569,1.037
201,1200,4988,16.36,12.556,1.028
202,1200,4988,16.97,12.564,1.021
203,1202,4988,17.22,12.570,1.030
204,1202,4988,17.72,12.562,1.045
205,1204,4988,18.21,12.545,1.038
206,1204,4988,18.17,12.551,1.049
207,1206,4988,18.73,12.548,1.044
208,1206,4988,19.25,12.557,1.058
209,1208,4988,19.02,12.559,1.048
210,1208,4988,19.04,12.565,1.060
211,1210,4988,19.36,12.556,1.048
212,1210,4988,20.10,12.556,1.042
213,1212,4988,19.97,12.567,1.029
214,1212,4988,20.00,12.559,1.060
215,1214,5048,20.31,12.565,1.052
216,1214,5048,20.86,12.559,1.055
217,1216,5048,20.98,12.566,1.083
218,1216,5048,21.09,12.560,1.079
219,1218,5048,21.73,12.559,1.070
220,1218,5048,21.67,12.558,1.065
221,1220,5048,21.41,12.553,1.078
222,1220,5117,21.37,12.553,1.081
223,1222,5117,21.60,12.552,1.083
224,1222,5117,21.62,12.552,1.082
225,1224,5117,22.43,12.556,1.073
226,1224,5254,22.85,12.539,1.089
227,1226,5348,22.37,12.548,1.093
228,1226,5348,22.40,12.553,1.126
229,1228,5537,22.28,12.545,1.105
230,1228,5768,22.53,12.552,1.096
231,1230,6205,22.75,12.550,1.080
232,1230,6522,22.96,12.555,1.106
233,1232,6771,23.00,12.554,1.108
234,1232,7105,23.07,12.548,1.087
235,1234,7560,24.59,12.557,1.108
236,1234,7697,24.36,12.557,1.118
237,1236,7945,24.67,12.555,1.120
238,1236,8048,25.01,12.541,1.146
239,1238,8091,25.43,12.557,1.126
240,1238,8125,25.97,12.543,1.139
241,1240,8160,26.70,12.551,1.115
242,1240,8185,28.82,12.555,1.113
243,1242,8220,29.40,12.555,1.134
244,1242,8237,29.21,12.555,1.144
245,1244,8288,29.20,12.550,1.177
246,1244,8297,29.27,12.555,1.165
247,1246,8297,29.43,12.558,1.146
248,1246,8331,29.08,12.551,1.146
249,1248,8382,29.66,12.553,1.145
250,1248,8434,29.66,12.546,1.164
251,1250,8485,29.44,12.561,1.150
252,1250,8537,29.51,12.553,1.143
253,1252,8571,29.33,12.553,1.149
254,1252,8605,29.00,12.551,1.143
255,1254,8640,28.76,12.552,1.153
256,1254,8657,29.22,12.561,1.152
257,1256,8682,29.16,12.555,1.155
258,1256,8708,29.05,12.550,1.164
259,1258,8725,29.02,12.545,1.182
260,1258,8734,28.80,12.547,1.176
261,1260,8751,29.23,12.551,1.195
262,1260,8785,29.39,12.557,1.160
263,1262,8802,30.55,12.554,1.162
264,1262,8837,31.06,12.555,1.190
265,1264,8871,30.54,12.557,1.164
266,1264,8914,30.45,12.566,1.155
267,1266,8957,30.15,12.556,1.224
268,1266,9008,30.14,12.564,1.225
269,1268,9051,30.51,12.546,1.253
270,1268,9094,32.56,12.552,1.233
271,1270,9137,32.24,12.546,1.275
272,1270,9197,32.22,12.544,1.261
273,1272,9257,32.55,12.548,1.253
274,1272,9308,32.75,12.540,1.267
275,1274,9351,32.53,12.543,1.258
276,1274,9394,32.98,12.545,1.259
277,1276,9428,34.20,12.547,1.248
278,1276,9462,34.64,12.544,1.271
279,1278,9488,34.86,12.553,1.250
280,1278,9522,35.44,12.551,1.231
281,1280,9548,35.54,12.543,1.242
282,1280,9574,35.54,12.547,1.278
283,1282,9600,35.55,12.542,1.278
284,1282,9634,35.66,12.541,1.282
285,1284,9668,36.59,12.540,1.292
286,1284,9702,36.99,12.541,1.285
287,1286,9737,36.90,12.544,1.283
288,1286,9762,36.96,12.541,1.297
289,1288,9797,37.34,12.542,1.280
290,1288,9831,37.57,12.549,1.303
291,1290,9865,38.58,12.549,1.286
292,1290,9891,38.87,12.544,1.289
293,1292,9917,39.05,12.544,1.292
294,1292,9942,38.49,12.549,1.288
295,1294,9968,38.62,12.549,1.288
296,1294,9977,39.04,12.546,1.285
297,1296,10002,39.37,12.547,1.287
298,1296,10028,40.13,12.548,1.301
299,1298,10054,40.14,12.544,1.330
300,1298,10080,39.82,12.536,1.344
301,1300,10114,39.77,12.531,1.303
302,1300,10148,39.76,12.546,1.355
303,1302,10174,40.28,12.545,1.294
304,1302,10191,40.40,12.548,1.300
305,1304,10182,40.89,12.548,1.300
306,1304,10191,40.91,12.542,1.279
307,1306,10182,40.89,12.540,1.295
308,1306,10182,40.70,12.537,1.325
309,1308,10182,40.47,12.538,1.329
310,1308,10182,40.96,12.528,1.340
311,1310,10200,40.69,12.539,1.378
312,1310,10242,42.24,12.550,1.378
313,1312,10285,42.60,12.549,1.376
314,1312,10337,41.75,12.545,1.396
315,1314,10405,41.84,12.538,1.401
316,1314,10474,42.45,12.533,1.398
317,1316,10508,42.72,12.528,1.419
318,1316,10551,42.83,12.549,1.362
319,1318,10577,43.21,12.538,1.405
320,1318,10620,43.82,12.538,1.426
321,1320,10645,43.71,12.539,1.406
322,1320,10680,44.19,12.546,1.402
323,1322,10705,44.52,12.535,1.424
324,1322,10748,44.49,12.527,1.446
325,1324,10774,44.62,12.540,1.420
326,1324,10791,45.66,12.533,1.449
327,1326,10842,45.95,12.525,1.457
328,1326,10902,46.20,12.539,1.450
329,1328,10928,46.12,12.544,1.406
330,1328,10971,46.16,12.531,1.471
331,1330,10980,46.78,12.534,1.469
332,1330,11005,46.73,12.538,1.461
333,1332,11031,47.40,12.545,1.450
334,1332,11065,47.48,12.529,1.454
335,1334,11091,47.77,12.531,1.476
336,1334,11117,48.56,12.544,1.452
337,1336,11151,49.42,12.537,1.485
338,1336,11185,50.05,12.522,1.493
339,1338,11220,50.13,12.531,1.487
340,1338,11220,50.20,12.534,1.489
341,1340,11237,50.34,12.539,1.454
342,1340,11254,50.56,12.536,1.469
343,1342,11271,50.47,12.527,1.480
344,1342,11314,50.55,12.530,1.501
345,1344,11340,50.92,12.536,1.498
346,1344,11365,51.07,12.532,1.502
347,1346,11400,51.86,12.533,1.493
348,1346,11417,51.61,12.534,1.481
349,1348,11434,52.44,12.550,1.481
350,1348,11468,52.37,12.529,1.526
351,1350,11477,52.67,12.529,1.493
352,1350,11502,53.42,12.525,1.549
353,1352,11528,53.06,12.538,1.551
354,1352,11545,53.33,12.527,1.550
355,1354,11588,53.84,12.527,1.530
356,1354,11622,53.88,12.538,1.509
357,1356,11631,54.06,12.532,1.517
358,1356,11665,54.65,12.536,1.525
359,1358,11674,54.74,12.532,1.520
360,1358,11674,54.75,12.540,1.556
361,1360,11742,55.06,12.544,1.505
362,1360,11742,55.25,12.538,1.533
363,1362,11760,55.25,12.530,1.532
364,1362,11777,55.19,12.517,1.556
365,1364,11811,55.49,12.524,1.550
366,1364,11828,55.66,12.521,1.580
367,1366,11837,55.59,12.532,1.558
368,1366,11862,56.23,12.530,1.568
369,1368,11871,56.44,12.525,1.536
370,1368,11897,56.37,12.537,1.559
371,1370,11914,56.42,12.519,1.570
372,1370,11940,56.67,12.525,1.614
373,1372,11974,57.59,12.523,1.618
374,1372,12008,57.40,12.532,1.569
375,1374,12042,57.77,12.543,1.586
376,1374,12060,58.11,12.533,1.548
377,1376,12042,58.16,12.527,1.615
378,1376,12068,58.10,12.524,1.581
379,1378,12085,57.77,12.537,1.595
380,1378,12111,57.82,12.522,1.577
381,1380,12137,58.25,12.529,1.564
382,1380,12145,59.11,12.525,1.541
383,1382,12145,58.97,12.523,1.586
384,1382,12154,59.10,12.528,1.585
385,1384,12188,59.27,12.514,1.642
386,1384,12222,59.84,12.523,1.611
387,1386,12214,59.84,12.534,1.593
388,1386,12231,59.41,12.533,1.592
389,1388,12231,60.23,12.533,1.604
390,1388,12265,59.96,12.528,1.636
391,1390,12308,60.08,12.518,1.636
392,1390,12317,60.79,12.525,1.640
393,1392,12334,61.10,12.523,1.625
394,1392,12342,60.85,12.527,1.607
395,1394,12360,60.98,12.534,1.618
396,1394,12394,61.00,12.528,1.658
397,1396,12394,61.00,12.521,1.625
398,1396,12402,61.12,12.525,1.642
399,1398,12402,61.14,12.518,1.646
400,1398,12420,61.31,12.518,1.638
401,1400,12454,61.51,12.530,1.602
402,1400,12471,61.69,12.521,1.638
403,1402,12480,62.00,12.522,1.645
404,1402,12480,62.47,12.522,1.632
405,1404,12497,62.21,12.526,1.632
406,1404,12522,62.03,12.522,1.647
407,1406,12540,62.63,12.535,1.660
408,1406,12548,63.19,12.532,1.688
409,1408,12557,62.44,12.523,1.633
410,1408,12582,62.64,12.524,1.656
411,1410,12582,62.52,12.528,1.675
412,1410,12608,63.07,12.537,1.726
413,1412,12642,63.62,12.529,1.769
414,1412,12668,64.06,12.524,1.629
415,1414,12702,64.90,12.558,1.803
416,1414,12728,64.37,12.520,1.610
417,1416,12711,64.57,12.541,1.619
418,1416,12711,64.21,12.542,1.764
419,1418,12720,64.00,12.501,1.616
420,1418,12720,64.66,12.517,1.599
421,1420,12720,64.69,12.538,1.807
422,1420,12720,64.78,12.512,1.646
423,1422,12711,64.82,12.524,1.668
424,1422,12711,64.16,12.532,1.808
425,1424,12720,64.37,12.508,1.636
426,1424,12711,64.90,12.517,1.626
427,1426,12720,64.79,12.530,1.771
428,1426,12720,64.31,12.512,1.647
429,1428,12728,64.61,12.519,1.756
430,1428,12780,64.65,12.517,1.816
431,1430,12848,65.61,12.527,1.795
432,1430,12934,65.86,12.526,1.772
433,1432,12951,66.66,12.517,1.762
434,1432,12985,67.35,12.510,1.775
435,1434,13020,67.93,12.517,1.800
436,1434,13062,67.87,12.515,1.749
437,1436,13080,68.00,12.522,1.726
438,1436,13080,67.86,12.523,1.756
439,1438,13080,68.44,12.511,1.757
440,1438,13105,68.59,12.531,1.771
441,1440,13114,68.28,12.521,1.770
442,1440,13148,67.98,12.508,1.813
443,1442,13165,68.17,12.515,1.786
444,1442,13174,68.79,12.518,1.786
445,1444,13191,68.84,12.506,1.809
446,1444,13217,69.69,12.510,1.824
447,1446,13260,69.63,12.510,1.822
448,1446,13242,70.03,12.518,1.806
449,1448,13242,70.52,12.524,1.791
450,1448,13260,70.67,12.520,1.790
451,1450,13260,70.72,12.518,1.803
452,1450,13294,70.84,12.521,1.776
453,1452,13311,70.45,12.514,1.801
454,1452,13345,70.77,12.516,1.811
455,1454,13354,71.01,12.511,1.818
456,1454,13362,70.98,12.500,1.805
457,1456,13388,71.60,12.516,1.831
458,1456,13414,72.47,12.528,1.848
459,1458,13414,72.91,12.531,1.807
460,1458,13448,72.85,12.521,1.827
461,1460,13465,73.23,12.527,1.846
462,1460,13482,72.86,12.524,1.858
463,1462,13508,73.45,12.523,1.844
464,1462,13517,73.70,12.518,1.854
465,1464,13534,73.70,12.520,1.868
466,1464,13534,74.51,12.523,1.866
467,1466,13551,74.42,12.514,1.850
468,1466,13560,75.18,12.513,1.900
469,1468,13585,75.13,12.506,1.893
470,1468,13620,75.61,12.507,1.925
471,1470,13662,75.60,12.503,1.910
472,1470,13697,75.87,12.507,1.923
473,1472,13697,76.19,12.509,1.923
474,1472,13740,77.28,12.505,1.934
475,1474,13740,76.82,12.510,1.911
476,1474,13774,77.35,12.518,1.925
477,1476,13774,77.38,12.502,1.897
478,1476,13817,77.52,12.503,1.929
479,1478,13817,77.50,12.511,1.956
480,1478,13860,78.37,12.508,1.918
481,1480,13911,78.83,12.507,1.914
482,1480,13894,78.10,12.511,1.908
483,1482,13894,78.83,12.509,1.915
484,1482,13902,79.00,12.510,1.957
485,1484,13937,79.03,12.505,1.945
486,1484,13962,79.60,12.521,1.972
487,1486,13945,79.50,12.512,1.964
488,1486,13962,79.84,12.501,1.973
489,1488,13954,80.03,12.501,1.973
490,1488,13980,80.74,12.506,1.971
491,1490,14014,80.46,12.506,2.002
492,1490,14057,80.94,12.502,2.021
493,1492,14065,81.72,12.485,1.994
494,1492,14074,82.58,12.510,1.994
495,1494,14082,82.53,12.503,1.993
496,1494,14117,82.12,12.504,2.016
497,1496,14168,82.65,12.500,2.035
498,1496,14228,82.95,12.504,2.030
499,1498,14297,82.70,12.499,2.025
500,1498,14305,82.89,12.504,2.026
501,1500,14314,83.60,12.496,2.038
502,1500,14331,83.13,12.499,2.062
503,1502,14357,84.49,12.501,2.056
504,1502,14391,84.30,12.495,2.063
505,1504,14400,84.34,12.499,2.037
506,1504,14425,84.62,12.501,2.022
507,1506,14451,85.61,12.513,2.030
508,1506,14468,85.81,12.504,2.059
509,1508,14477,85.63,12.499,2.020
510,1508,14494,85.96,12.510,2.079
511,1510,14537,86.36,12.500,2.072
512,1510,14597,85.90,12.494,2.101
513,1512,14614,86.11,12.491,2.118
514,1512,14631,87.02,12.499,2.067
515,1514,14640,87.11,12.507,2.081
516,1514,14657,87.28,12.502,2.076
517,1516,14674,87.83,12.491,2.109
518,1516,14691,87.77,12.494,2.119
519,1518,14708,87.95,12.494,2.110
520,1518,14742,88.12,12.507,2.120
521,1520,14751,88.08,12.512,2.113
522,1520,14777,88.55,12.488,2.084
523,1522,14802,88.56,12.496,2.164
524,1522,14828,89.63,12.506,2.145
525,1524,14845,90.59,12.494,2.113
526,1524,14862,90.79,12.498,2.190
527,1526,14871,90.86,12.510,2.148
528,1526,14897,90.87,12.496,2.171
529,1528,14940,90.80,12.494,2.161
530,1528,14948,90.98,12.505,2.129
531,1530,14974,91.60,12.500,2.169
532,1530,14982,91.75,12.509,2.185
533,1532,14974,91.73,12.490,2.148
534,1532,14982,91.96,12.493,2.171
535,1534,14991,92.66,12.495,2.200
536,1534,15017,92.57,12.496,2.160
537,1536,15034,93.51,12.506,2.200
538,1536,15051,93.05,12.498,2.176
539,1538,15085,93.49,12.484,2.183
540,1538,15085,94.35,12.493,2.212
541,1540,15120,94.88,12.494,2.226
542,1540,15154,94.19,12.507,2.220
543,1542,15171,93.52,12.500,2.239
544,1542,15197,94.31,12.498,2.245
545,1544,15197,95.26,12.501,2.228
546,1544,15197,94.98,12.486,2.245
547,1546,15197,95.50,12.479,2.215
548,1546,15197,96.19,12.498,2.234
549,1548,15197,96.34,12.491,2.216
550,1548,15205,95.83,12.495,2.241
551,1550,15265,96.33,12.499,2.221
552,1550,15291,96.32,12.503,2.256
553,1552,15342,96.40,12.502,2.257
554,1552,15368,97.03,12.490,2.269
555,1554,15385,97.72,12.490,2.295
556,1554,15411,97.31,12.506,2.276
557,1556,15420,97.62,12.484,2.272
558,1556,15445,97.84,12.487,2.292
559,1558,15462,97.86,12.488,2.237
560,1558,15480,98.76,12.512,2.267
561,1560,15488,98.36,12.508,2.244
562,1560,15497,98.41,12.489,2.265
563,1562,15514,98.85,12.480,2.309
564,1562,15531,99.48,12.487,2.316
565,1564,15565,99.42,12.479,2.271
566,1564,15582,99.24,12.496,2.288
567,1566,15591,100.41,12.481,2.294
568,1566,15617,100.56,12.475,2.337
569,1568,15642,100.32,12.493,2.307
570,1568,15660,100.48,12.498,2.303
571,1570,15668,101.04,12.494,2.298
572,1570,15677,101.46,12.490,2.309
573,1572,15694,101.96,12.491,2.319
574,1572,15702,101.84,12.487,2.314
575,1574,15720,102.19,12.489,2.355
576,1574,15745,102.13,12.481,2.382
577,1576,15771,101.63,12.498,2.343
578,1576,15762,101.95,12.492,2.335
579,1578,15771,102.62,12.483,2.363
580,1578,15788,102.62,12.477,2.381
581,1580,15831,103.63,12.481,2.376
582,1580,15857,104.01,12.479,2.341
583,1582,15874,104.04,12.491,2.381
584,1582,15882,103.64,12.479,2.381
585,1584,15900,104.26,12.494,2.383
586,1584,15917,104.75,12.485,2.395
587,1586,15942,104.66,12.486,2.400
588,1586,15968,105.66,12.479,2.423
589,1588,15985,105.37,12.476,2.406
590,1588,16020,105.04,12.487,2.404
591,1590,16011,106.01,12.475,2.422
592,1590,15977,106.60,12.484,2.404
593,1592,15960,106.69,12.491,2.383
594,1592,15968,106.76,12.477,2.408
595,1594,16020,107.05,12.475,2.425
596,1594,16080,107.46,12.476,2.442
597,1596,16140,107.15,12.481,2.459
598,1596,16165,107.42,12.469,2.410
599,1598,16174,107.70,12.481,2.437
600,1598,16200,107.68,12.467,2.457
601,1600,16217,108.38,12.477,2.487
602,1600,16234,107.85,12.483,2.460
603,1602,16251,108.94,12.492,2.484
604,1602,16277,109.26,12.473,2.479
605,1604,16302,109.33,12.473,2.484
606,1604,16320,109.19,12.470,2.495
607,1606,16328,109.49,12.478,2.485
608,1606,16337,109.82,12.472,2.490
609,1608,16362,110.13,12.479,2.481
610,1608,16371,110.61,12.485,2.506
611,1610,16388,110.68,12.477,2.512
612,1610,16414,111.07,12.469,2.512
613,1612,16448,111.08,12.480,2.521
614,1612,16465,111.35,12.481,2.518
