seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.552,0.657
2,1000,0,0.00,12.558,0.656
3,1002,0,0.00,12.547,0.659
4,1002,0,0.00,12.551,0.640
5,1004,0,0.00,12.547,0.659
6,1004,0,0.00,12.551,0.659
7,1006,0,0.00,12.548,0.655
8,1006,0,0.00,12.560,0.657
9,1008,0,0.00,12.556,0.659
10,1008,0,0.00,12.554,0.647
11,1010,0,0.00,12.549,0.643
12,1010,0,0.00,12.554,0.659
13,1012,0,0.00,12.551,0.641
14,1012,0,0.00,12.548,0.662
15,1014,0,0.00,12.551,0.670
16,1014,0,0.00,12.551,0.662
17,1016,0,0.00,12.547,0.684
18,1016,0,0.00,12.531,0.779
19,1018,0,0.00,12.534,0.947
20,1018,0,3.71,12.521,1.118
21,1020,0,9.18,12.529,1.103
22,1020,0,8.96,12.524,1.077
23,1022,0,8.81,12.531,1.016
24,1022,0,9.61,12.534,0.966
25,1024,0,10.52,12.535,0.933
26,1024,0,10.50,12.525,0.901
27,1026,0,10.59,12.534,0.893
28,1026,0,11.60,12.536,0.870
29,1028,0,11.37,12.542,0.855
30,1028,0,12.50,12.545,0.858
31,1030,0,12.47,12.546,0.848
32,1030,0,12.86,12.542,0.842
33,1032,0,12.26,12.544,0.823
34,1032,0,12.90,12.546,0.826
35,1034,0,12.42,12.542,0.815
36,1034,0,13.26,12.542,0.809
37,1036,0,13.98,12.534,0.806
38,1036,0,13.70,12.541,0.810
39,1038,0,14.25,12.540,0.804
40,1038,0,13.92,12.548,0.815
41,1040,0,14.46,12.544,0.804
42,1040,0,14.03,12.547,0.800
43,1042,0,14.53,12.544,0.810
44,1042,0,14.37,12.540,0.817
45,1044,0,14.70,12.545,0.808
46,1044,0,14.76,12.544,0.809
47,1046,0,14.63,12.539,0.800
48,1046,0,14.72,12.542,0.806
49,1048,0,15.20,12.540,0.816
50,1048,0,15.31,12.540,0.816
51,1050,0,15.50,12.538,0.816
52,1050,0,16.15,12.547,0.823
53,1052,0,16.31,12.543,0.814
54,1052,0,16.58,12.538,0.817
55,1054,0,16.47,12.544,0.833
56,1054,0,16.56,12.547,0.831
57,1056,0,16.41,12.540,0.836
58,1056,0,16.68,12.540,0.835
59,1058,0,16.70,12.540,0.840
60,1058,0,16.81,12.534,0.834
61,1060,0,16.88,12.547,0.845
62,1060,0,17.26,12.540,0.859
63,1062,0,17.78,12.540,0.837
64,1062,0,17.62,12.541,0.857
65,1064,0,17.62,12.535,0.847
66,1064,0,17.86,12.541,0.859
67,1066,0,18.49,12.545,0.857
68,1066,0,18.74,12.538,0.855
69,1068,0,19.05,12.542,0.858
70,1068,0,19.29,12.539,0.863
71,1070,0,19.73,12.538,0.856
72,1070,0,20.53,12.533,0.857
73,1072,0,20.67,12.544,0.845
74,1072,0,20.40,12.543,0.862
