seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.68,0.67,11.15,0.000
2,1000,0,0.00,16.68,0.66,11.07,0.000
3,1002,0,0.00,16.68,0.66,11.04,0.000
4,1002,0,0.00,16.68,0.66,11.03,0.000
5,1004,0,0.00,16.69,0.66,10.96,0.000
6,1004,0,0.00,16.68,0.66,10.98,0.000
7,1006,0,0.00,16.68,0.67,11.21,0.000
8,1006,0,0.00,16.68,0.66,10.93,0.000
9,1008,0,0.00,16.68,0.66,11.07,0.000
10,1008,0,0.00,16.68,0.67,11.10,0.000
11,1010,0,0.00,16.68,0.67,11.12,0.000
12,1010,0,0.00,16.68,0.66,10.97,0.000
13,1012,0,0.00,16.68,0.65,10.91,0.000
14,1012,0,0.00,16.68,0.67,11.22,0.000
15,1014,0,0.00,16.68,0.69,11.43,0.000
16,1014,0,0.00,16.68,0.69,11.49,0.000
17,1016,0,0.00,16.68,0.70,11.67,0.000
18,1016,0,0.00,16.65,0.87,14.54,0.000
19,1018,0,0.68,16.64,1.16,19.34,0.035
20,1018,0,5.04,16.65,1.22,20.39,0.247
21,1020,0,7.06,16.64,1.21,20.09,0.351
22,1020,0,7.16,16.65,1.13,18.83,0.380
23,1022,0,8.25,16.65,1.06,17.73,0.466
24,1022,0,9.26,16.66,1.02,16.99,0.545
25,1024,0,9.93,16.66,1.02,16.96,0.586
26,1024,0,10.22,16.66,0.97,16.23,0.630
27,1026,0,11.48,16.66,0.96,15.97,0.719
28,1026,0,12.00,16.66,0.93,15.47,0.776
29,1028,0,12.55,16.66,0.92,15.41,0.815
30,1028,0,13.00,16.66,0.91,15.14,0.858
31,1030,0,13.44,16.67,0.87,14.57,0.922
32,1030,0,13.86,16.66,0.88,14.58,0.950
33,1032,0,14.55,16.67,0.86,14.32,1.016
34,1032,0,15.36,16.66,0.86,14.37,1.069
35,1034,0,15.82,16.66,0.87,14.56,1.087
36,1034,0,16.16,16.66,0.86,14.30,1.130
37,1036,0,16.82,16.67,0.87,14.42,1.166
38,1036,0,17.77,16.67,0.86,14.36,1.237
39,1038,0,18.38,16.67,0.86,14.29,1.286
40,1038,0,18.55,16.66,0.86,14.26,1.301
41,1040,0,19.84,16.66,0.86,14.27,1.391
42,1040,0,19.98,16.66,0.87,14.52,1.376
43,1042,0,19.80,16.67,0.86,14.29,1.386
44,1042,0,20.37,16.67,0.87,14.47,1.408
45,1044,0,20.93,16.66,0.86,14.41,1.452
46,1044,0,21.20,16.67,0.86,14.35,1.477
47,1046,0,21.46,16.66,0.88,14.58,1.472
48,1046,0,21.63,16.66,0.88,14.73,1.469
49,1048,0,21.77,16.66,0.88,14.59,1.492
50,1048,0,21.84,16.66,0.88,14.64,1.493
51,1050,0,22.11,16.66,0.88,14.66,1.508
52,1050,0,22.30,16.66,0.90,14.96,1.491
53,1052,0,22.54,16.67,0.88,14.59,1.544
54,1052,0,23.29,16.66,0.91,15.10,1.542
55,1054,0,23.59,16.66,0.90,15.01,1.572
56,1054,0,24.27,16.66,0.91,15.11,1.606
57,1056,0,24.75,16.66,0.90,14.93,1.658
58,1056,0,25.30,16.67,0.91,15.17,1.668
59,1058,0,25.76,16.66,0.90,15.05,1.711
60,1058,0,26.30,16.66,0.91,15.15,1.736
61,1060,0,26.84,16.66,0.91,15.23,1.762
62,1060,0,27.48,16.67,0.91,15.19,1.809
63,1062,0,28.03,16.65,0.91,15.17,1.848
64,1062,0,28.44,16.66,0.90,15.04,1.891
65,1064,0,28.87,16.66,0.93,15.45,1.869
66,1064,0,29.52,16.66,0.92,15.35,1.923
67,1066,0,29.81,16.67,0.94,15.62,1.909
68,1066,0,30.00,16.66,0.91,15.24,1.969
69,1068,0,30.07,16.66,0.92,15.34,1.960
70,1068,0,30.46,16.66,0.94,15.61,1.951
71,1070,0,31.02,16.66,0.93,15.48,2.004
72,1070,0,31.48,16.66,0.95,15.75,1.999
73,1072,0,31.46,16.66,0.95,15.77,1.995
74,1072,0,32.00,16.66,0.93,15.51,2.063
75,1074,0,32.49,16.66,0.94,15.73,2.066
76,1074,0,32.23,16.66,0.96,15.95,2.021
77,1076,0,32.86,16.66,0.94,15.74,2.088
78,1076,0,33.35,16.66,0.94,15.65,2.130
79,1078,0,33.22,16.66,0.95,15.85,2.096
80,1078,0,33.54,16.66,0.95,15.87,2.113
81,1080,0,34.07,16.66,0.97,16.08,2.119
82,1080,0,34.26,16.66,0.98,16.38,2.091
83,1082,0,34.77,16.65,0.98,16.29,2.134
84,1082,0,34.85,16.66,0.97,16.14,2.159
85,1084,0,35.38,16.66,0.98,16.32,2.168
86,1084,0,35.75,16.65,0.98,16.39,2.181
87,1086,0,36.09,16.65,0.98,16.30,2.213
88,1086,0,36.29,16.66,0.99,16.46,2.205
89,1088,0,36.61,16.65,0.99,16.41,2.230
90,1088,0,36.61,16.65,1.01,16.80,2.179
91,1090,0,36.97,16.66,1.01,16.79,2.202
92,1090,0,36.83,16.66,1.00,16.64,2.213
93,1092,0,37.49,16.66,0.99,16.52,2.270
94,1092,0,38.03,16.66,1.02,16.96,2.243
95,1094,0,38.46,16.66,1.01,16.81,2.288
96,1094,0,39.28,16.65,1.02,16.91,2.323
97,1096,0,40.61,16.66,1.03,17.08,2.377
98,1096,0,42.06,16.66,1.03,17.11,2.459
99,1098,0,42.97,16.66,1.01,16.89,2.543
100,1098,0,43.62,16.65,1.01,16.86,2.587
101,1100,0,44.33,16.66,1.01,16.86,2.629
102,1100,0,44.92,16.66,1.02,17.02,2.639
103,1102,0,45.19,16.65,1.03,17.12,2.639
104,1102,0,45.30,16.65,1.04,17.37,2.607
105,1104,0,45.59,16.65,1.05,17.50,2.605
106,1104,0,45.61,16.64,1.05,17.47,2.611
107,1106,0,46.01,16.65,1.05,17.43,2.640
108,1106,0,46.63,16.65,1.06,17.63,2.645
109,1108,0,47.02,16.66,1.06,17.61,2.669
110,1108,0,47.02,16.66,1.06,17.60,2.671
111,1110,0,46.85,16.65,1.05,17.46,2.683
112,1110,0,46.69,16.65,1.07,17.86,2.614
113,1112,0,46.58,16.65,1.06,17.56,2.652
114,1112,0,47.33,16.65,1.07,17.80,2.659
115,1114,0,47.48,16.65,1.07,17.83,2.663
116,1114,0,48.11,16.64,1.08,18.01,2.671
117,1116,0,48.42,16.65,1.10,18.35,2.638
118,1116,0,48.33,16.65,1.08,17.94,2.695
119,1118,0,48.74,16.66,1.09,18.14,2.687
120,1118,0,48.55,16.65,1.10,18.30,2.652
121,1120,0,49.14,16.64,1.10,18.29,2.687
122,1120,0,49.35,16.65,1.10,18.32,2.694
123,1122,0,49.72,16.65,1.10,18.35,2.710
124,1122,0,49.95,16.65,1.12,18.56,2.691
125,1124,0,50.39,16.64,1.10,18.30,2.753
126,1124,0,50.58,16.65,1.12,18.64,2.714
127,1126,0,50.95,16.65,1.12,18.68,2.727
128,1126,0,51.44,16.65,1.12,18.69,2.752
129,1128,0,51.95,16.64,1.12,18.62,2.790
130,1128,0,52.36,16.65,1.14,18.97,2.760
131,1130,0,52.36,16.64,1.12,18.59,2.817
132,1130,0,52.59,16.65,1.12,18.72,2.810
133,1132,0,53.08,16.65,1.12,18.70,2.839
134,1132,0,53.26,16.64,1.15,19.06,2.795
135,1134,0,53.30,16.64,1.15,19.10,2.791
136,1134,0,54.26,16.64,1.15,19.17,2.830
137,1136,0,54.39,16.64,1.16,19.29,2.820
138,1136,0,54.88,16.65,1.16,19.23,2.855
139,1138,0,55.41,16.64,1.16,19.30,2.870
140,1138,0,55.38,16.64,1.16,19.23,2.879
141,1140,0,55.89,16.64,1.16,19.36,2.887
142,1140,0,56.30,16.64,1.16,19.29,2.919
143,1142,0,57.00,16.65,1.17,19.43,2.934
144,1142,0,57.25,16.63,1.17,19.44,2.946
145,1144,0,57.36,16.64,1.17,19.44,2.951
146,1144,0,57.52,16.65,1.17,19.41,2.963
147,1146,0,57.94,16.64,1.19,19.77,2.931
148,1146,0,58.67,16.64,1.17,19.52,3.005
149,1148,0,59.23,16.64,1.18,19.58,3.025
150,1148,0,60.20,16.64,1.20,19.95,3.018
151,1150,0,60.55,16.64,1.22,20.29,2.984
152,1150,0,60.95,16.64,1.22,20.34,2.997
153,1152,0,61.77,16.63,1.23,20.46,3.019
154,1152,0,62.77,16.63,1.22,20.37,3.082
155,1154,0,63.12,16.64,1.23,20.50,3.078
