seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.702,0.670
2,1000,0,0.00,16.703,0.658
3,1002,0,0.00,16.702,0.660
4,1002,0,0.00,16.700,0.657
5,1004,0,0.00,16.703,0.663
6,1004,0,0.00,16.698,0.655
7,1006,0,0.00,16.698,0.677
8,1006,0,0.00,16.699,0.659
9,1008,0,0.00,16.702,0.669
10,1008,0,0.00,16.702,0.672
11,1010,0,0.00,16.703,0.666
12,1010,0,0.00,16.695,0.653
13,1012,0,0.00,16.696,0.649
14,1012,0,0.00,16.700,0.666
15,1014,0,0.00,16.694,0.676
16,1014,0,0.00,16.697,0.690
17,1016,0,0.00,16.698,0.693
18,1016,0,0.00,16.660,0.852
19,1018,0,0.00,16.662,1.144
20,1018,0,4.81,16.670,1.207
21,1020,0,6.91,16.663,1.206
22,1020,0,7.44,16.673,1.125
23,1022,0,9.11,16.673,1.045
24,1022,0,9.70,16.673,1.014
25,1024,0,10.04,16.678,1.002
26,1024,0,10.63,16.678,0.973
27,1026,0,11.81,16.679,0.944
28,1026,0,11.87,16.685,0.929
29,1028,0,12.99,16.685,0.921
30,1028,0,13.42,16.682,0.891
31,1030,0,14.23,16.681,0.875
32,1030,0,14.49,16.685,0.861
33,1032,0,14.85,16.683,0.859
34,1032,0,15.93,16.687,0.857
35,1034,0,16.18,16.677,0.869
36,1034,0,16.83,16.681,0.857
37,1036,0,17.66,16.689,0.860
38,1036,0,18.78,16.689,0.856
39,1038,0,19.54,16.685,0.853
40,1038,0,19.43,16.686,0.853
41,1040,0,20.20,16.683,0.863
42,1040,0,20.39,16.678,0.862
43,1042,0,20.35,16.685,0.848
44,1042,0,20.82,16.684,0.864
45,1044,0,21.35,16.678,0.860
46,1044,0,21.61,16.691,0.866
47,1046,0,21.77,16.688,0.899
48,1046,0,21.65,16.685,0.903
49,1048,0,21.84,16.683,0.862
50,1048,0,22.00,16.673,0.878
51,1050,0,22.39,16.680,0.889
52,1050,0,22.41,16.677,0.909
53,1052,0,22.66,16.685,0.869
54,1052,0,23.18,16.679,0.907
55,1054,0,23.27,16.678,0.904
56,1054,0,24.28,16.684,0.907
57,1056,0,24.69,16.675,0.901
58,1056,0,25.24,16.684,0.910
59,1058,0,25.64,16.675,0.901
60,1058,0,26.60,16.678,0.900
61,1060,0,26.65,16.683,0.919
62,1060,0,27.36,16.684,0.931
63,1062,0,28.22,16.666,0.930
64,1062,0,29.17,16.677,0.896
65,1064,0,29.21,16.680,0.930
66,1064,0,29.35,16.683,0.923
67,1066,0,29.49,16.686,0.932
68,1066,0,30.06,16.680,0.896
69,1068,0,30.51,16.677,0.918
70,1068,0,30.65,16.683,0.956
71,1070,0,31.28,16.679,0.936
72,1070,0,31.78,16.673,0.942
73,1072,0,31.68,16.676,0.943
74,1072,0,32.01,16.684,0.947
75,1074,0,32.34,16.679,0.945
76,1074,0,32.04,16.675,0.960
77,1076,0,32.79,16.683,0.946
78,1076,0,33.30,16.684,0.935
79,1078,0,33.10,16.682,0.953
80,1078,0,33.75,16.673,0.956
81,1080,0,34.41,16.668,0.967
82,1080,0,34.37,16.675,0.988
83,1082,0,34.18,16.674,0.986
84,1082,0,34.31,16.673,0.958
85,1084,0,35.17,16.679,0.978
86,1084,0,35.69,16.672,0.962
87,1086,0,35.86,16.680,0.959
88,1086,0,36.18,16.689,0.983
89,1088,0,36.82,16.676,0.985
90,1088,0,36.59,16.672,1.014
91,1090,0,36.81,16.676,1.012
92,1090,0,36.74,16.681,1.004
93,1092,0,37.43,16.681,1.002
94,1092,0,38.10,16.679,1.021
95,1094,0,38.95,16.675,1.004
96,1094,0,39.98,16.674,1.009
97,1096,0,41.03,16.673,1.031
98,1096,0,41.86,16.676,1.045
99,1098,0,43.14,16.678,1.016
100,1098,0,44.22,16.673,1.008
101,1100,0,44.88,16.671,1.021
102,1100,0,45.47,16.674,1.013
103,1102,0,45.43,16.672,1.020
104,1102,0,45.06,16.670,1.053
105,1104,0,45.47,16.673,1.050
106,1104,0,45.66,16.662,1.052
107,1106,0,46.36,16.681,1.050
108,1106,0,47.05,16.674,1.049
109,1108,0,47.28,16.673,1.031
110,1108,0,47.32,16.674,1.037
111,1110,0,46.87,16.677,1.048
112,1110,0,46.89,16.670,1.058
113,1112,0,46.24,16.666,1.042
114,1112,0,47.09,16.672,1.055
115,1114,0,47.31,16.670,1.078
116,1114,0,47.91,16.656,1.076
117,1116,0,48.24,16.666,1.081
118,1116,0,48.09,16.670,1.082
119,1118,0,48.59,16.679,1.099
120,1118,0,48.66,16.671,1.102
121,1120,0,49.03,16.653,1.096
122,1120,0,49.46,16.659,1.120
123,1122,0,50.23,16.664,1.132
124,1122,0,50.20,16.664,1.116
125,1124,0,50.52,16.666,1.084
126,1124,0,51.14,16.679,1.103
127,1126,0,51.16,16.666,1.134
128,1126,0,51.04,16.668,1.133
129,1128,0,51.80,16.657,1.111
130,1128,0,51.96,16.668,1.138
131,1130,0,51.92,16.661,1.103
132,1130,0,52.51,16.661,1.123
133,1132,0,53.00,16.672,1.128
134,1132,0,53.04,16.657,1.143
135,1134,0,53.07,16.660,1.171
136,1134,0,54.15,16.660,1.151
137,1136,0,54.24,16.657,1.163
138,1136,0,55.26,16.663,1.133
139,1138,0,55.87,16.660,1.162
140,1138,0,55.82,16.655,1.149
141,1140,0,56.60,16.661,1.149
142,1140,0,56.28,16.670,1.166
143,1142,0,56.74,16.677,1.177
144,1142,0,56.94,16.656,1.164
145,1144,0,57.53,16.667,1.171
146,1144,0,57.68,16.660,1.153
147,1146,0,57.93,16.660,1.191
148,1146,0,58.65,16.657,1.167
149,1148,0,59.53,16.659,1.182
150,1148,0,60.72,16.657,1.201
151,1150,0,61.14,16.655,1.227
152,1150,0,61.74,16.646,1.216
153,1152,0,62.41,16.658,1.214
154,1152,0,63.55,16.654,1.234
155,1154,0,63.56,16.668,1.232
156,1154,0,64.07,16.658,1.223
157,1156,0,65.10,16.658,1.241
158,1156,0,66.23,16.653,1.245
159,1158,0,66.60,16.662,1.252
160,1158,0,67.00,16.658,1.240
161,1160,0,67.73,16.659,1.239
162,1160,0,68.13,16.652,1.270
163,1162,0,69.13,16.659,1.265
164,1162,0,69.73,16.655,1.249
165,1164,0,70.06,16.662,1.283
166,1164,0,70.80,16.656,1.275
167,1166,0,71.70,16.666,1.257
168,1166,0,72.28,16.658,1.308
169,1168,0,73.08,16.660,1.304
170,1168,0,73.59,16.658,1.296
171,1170,0,73.99,16.664,1.299
172,1170,0,75.31,16.659,1.308
173,1172,0,75.97,16.642,1.323
174,1172,0,76.27,16.640,1.335
175,1174,0,77.41,16.644,1.340
176,1174,0,78.40,16.659,1.326
177,1176,0,79.02,16.652,1.303
178,1176,0,78.99,16.651,1.351
179,1178,0,80.37,16.649,1.337
180,1178,0,80.81,16.645,1.363
181,1180,0,81.28,16.643,1.377
182,1180,0,81.82,16.645,1.398
183,1182,0,82.92,16.641,1.388
184,1182,0,83.64,16.648,1.389
185,1184,0,84.73,16.634,1.398
186,1184,0,84.80,16.646,1.416
187,1186,0,85.82,16.643,1.383
188,1186,0,87.03,16.644,1.394
189,1188,0,87.87,16.640,1.375
190,1188,0,89.08,16.638,1.408
191,1190,0,89.48,16.642,1.422
192,1190,0,90.47,16.653,1.400
193,1192,0,90.47,16.654,1.368
194,1192,0,89.94,16.644,1.387
195,1194,0,90.19,16.650,1.439
196,1194,0,90.29,16.631,1.476
197,1196,0,90.36,16.627,1.491
198,1196,0,91.05,16.634,1.501
199,1198,0,91.99,16.628,1.506
200,1198,0,92.84,16.632,1.529
201,1200,0,92.77,16.634,1.539
202,1200,0,93.13,16.639,1.541
203,1202,0,93.84,16.636,1.494
204,1202,0,94.20,16.639,1.537
205,1204,0,94.48,16.630,1.569
206,1204,0,94.87,16.630,1.591
207,1206,0,95.86,16.625,1.581
208,1206,0,97.03,16.628,1.603
209,1208,0,99.24,16.626,1.598
210,1208,0,99.45,16.634,1.591
211,1210,0,99.22,16.636,1.596
212,1210,0,100.32,16.624,1.643
213,1212,0,100.70,16.626,1.623
214,1212,9060,101.90,16.619,1.613
215,1214,9205,102.51,16.626,1.635
216,1214,9265,103.77,16.614,1.640
217,1216,9342,104.78,16.616,1.643
218,1216,9377,105.39,16.616,1.650
219,1218,9385,105.74,16.616,1.675
220,1218,9402,107.01,16.614,1.673
221,1220,9445,107.98,16.622,1.678
222,1220,9497,108.49,16.626,1.679
223,1222,9565,108.90,16.631,1.686
224,1222,9617,109.66,16.627,1.672
225,1224,9668,111.05,16.635,1.657
226,1224,9702,111.48,16.626,1.695
227,1226,9737,111.86,16.626,1.705
228,1226,9762,111.86,16.626,1.719
229,1228,9797,112.74,16.624,1.696
230,1228,9822,114.53,16.630,1.713
231,1230,9857,115.01,16.613,1.700
232,1230,9891,115.52,16.625,1.700
233,1232,9917,116.26,16.619,1.728
234,1232,9942,117.11,16.615,1.736
235,1234,9977,117.29,16.621,1.743
236,1234,10002,117.46,16.618,1.749
237,1236,10037,118.82,16.618,1.747
238,1236,10062,119.14,16.612,1.783
239,1238,10088,119.80,16.613,1.760
240,1238,10114,120.44,16.616,1.806
241,1240,10140,120.85,16.604,1.807
242,1240,10174,121.01,16.601,1.816
243,1242,10191,121.59,16.609,1.845
244,1242,10225,123.01,16.613,1.863
245,1244,10251,123.71,16.608,1.850
246,1244,10277,123.94,16.614,1.825
247,1246,10302,124.13,16.616,1.836
248,1246,10320,124.81,16.609,1.830
