seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.70,8.82,0.000
2,1000,0,0.00,12.57,0.71,8.90,0.000
3,1002,0,0.00,12.57,0.71,8.91,0.000
4,1002,0,0.00,12.57,0.70,8.76,0.000
5,1004,0,0.00,12.57,0.70,8.79,0.000
6,1004,0,0.00,12.57,0.70,8.81,0.000
7,1006,0,0.00,12.57,0.70,8.84,0.000
8,1006,0,0.00,12.57,0.70,8.84,0.000
9,1008,0,0.00,12.57,0.70,8.81,0.000
10,1008,0,0.00,12.57,0.70,8.85,0.000
11,1010,0,0.00,12.57,0.71,8.87,0.000
12,1010,0,0.00,12.57,0.70,8.83,0.000
13,1012,0,0.00,12.57,0.70,8.81,0.000
14,1012,0,0.00,12.56,0.70,8.76,0.000
15,1014,0,0.00,12.56,0.71,8.86,0.000
16,1014,0,0.00,12.56,0.72,9.00,0.000
17,1016,0,0.00,12.56,0.72,9.06,0.000
18,1016,0,0.00,12.56,0.84,10.51,0.000
19,1018,0,0.00,12.56,1.08,13.55,0.000
20,1018,0,0.00,12.56,1.14,14.30,0.000
21,1020,0,1.61,12.56,1.12,14.12,0.114
22,1020,0,2.36,12.55,1.08,13.51,0.175
23,1022,0,2.96,12.56,1.01,12.69,0.234
24,1022,0,3.13,12.56,0.97,12.14,0.258
25,1024,0,3.67,12.56,0.94,11.84,0.310
26,1024,0,3.79,12.56,0.94,11.77,0.322
27,1026,0,4.01,12.56,0.93,11.66,0.344
28,1026,0,4.38,12.56,0.92,11.55,0.380
29,1028,0,4.69,12.56,0.90,11.32,0.414
30,1028,0,4.97,12.56,0.89,11.22,0.443
31,1030,0,5.39,12.56,0.89,11.21,0.481
32,1030,0,5.73,12.56,0.88,11.03,0.520
33,1032,0,5.93,12.56,0.87,10.95,0.541
34,1032,0,6.27,12.56,0.86,10.84,0.579
35,1034,0,6.46,12.56,0.86,10.81,0.598
36,1034,0,6.74,12.56,0.86,10.83,0.623
37,1036,0,7.14,12.56,0.86,10.76,0.664
38,1036,0,7.24,12.56,0.85,10.72,0.676
39,1038,0,7.86,12.56,0.85,10.62,0.739
40,1038,0,7.80,12.56,0.85,10.71,0.728
41,1040,0,7.91,12.56,0.85,10.65,0.742
42,1040,0,8.06,12.56,0.86,10.78,0.748
43,1042,0,8.38,12.56,0.86,10.78,0.778
44,1042,0,8.64,12.56,0.86,10.86,0.795
