seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.64,0.66,10.94,0.000
2,1000,0,0.00,16.65,0.66,10.97,0.000
3,1002,0,0.00,16.64,0.67,11.08,0.000
4,1002,0,0.00,16.65,0.66,10.99,0.000
5,1004,0,0.00,16.65,0.66,10.96,0.000
6,1004,0,0.00,16.64,0.67,11.19,0.000
7,1006,0,0.00,16.64,0.66,10.99,0.000
8,1006,0,0.00,16.65,0.66,10.94,0.000
9,1008,0,0.00,16.64,0.67,11.10,0.000
10,1008,0,0.00,16.65,0.66,11.02,0.000
11,1010,0,0.00,16.64,0.66,10.91,0.000
12,1010,0,0.00,16.64,0.67,11.08,0.000
13,1012,0,0.00,16.64,0.66,11.05,0.000
14,1012,0,0.00,16.64,0.67,11.13,0.000
15,1014,0,0.00,16.64,0.67,11.20,0.000
16,1014,0,0.00,16.64,0.69,11.52,0.000
17,1016,0,0.00,16.64,0.69,11.45,0.000
18,1016,0,0.00,16.60,0.88,14.59,0.000
19,1018,0,1.14,16.60,1.20,19.95,0.057
20,1018,0,4.37,16.60,1.32,21.97,0.199
21,1020,0,6.95,16.60,1.26,20.92,0.332
22,1020,0,8.54,16.61,1.17,19.37,0.441
23,1022,0,10.38,16.62,1.07,17.85,0.582
24,1022,0,11.88,16.61,1.01,16.74,0.710
25,1024,0,12.82,16.62,0.98,16.32,0.786
26,1024,0,13.25,16.62,0.96,15.93,0.832
27,1026,0,14.00,16.62,0.92,15.34,0.912
28,1026,0,14.95,16.62,0.89,14.87,1.005
29,1028,0,15.48,16.63,0.89,14.79,1.047
30,1028,0,16.14,16.63,0.86,14.30,1.129
31,1030,0,16.53,16.64,0.85,14.22,1.163
32,1030,0,16.90,16.63,0.87,14.49,1.166
33,1032,0,17.09,16.63,0.86,14.28,1.197
34,1032,0,17.32,16.63,0.86,14.24,1.216
35,1034,0,17.46,16.63,0.84,13.99,1.248
36,1034,0,17.70,16.63,0.85,14.15,1.251
37,1036,0,17.80,16.62,0.84,13.91,1.279
38,1036,0,17.84,16.63,0.85,14.15,1.261
39,1038,0,18.12,16.63,0.85,14.13,1.283
40,1038,0,18.41,16.62,0.84,14.03,1.312
41,1040,0,18.64,16.62,0.84,14.03,1.329
42,1040,0,18.41,16.63,0.86,14.31,1.286
43,1042,0,18.16,16.63,0.85,14.14,1.284
44,1042,0,18.62,16.62,0.85,14.19,1.312
45,1044,0,18.80,16.63,0.86,14.29,1.315
46,1044,0,19.23,16.63,0.87,14.48,1.328
47,1046,0,18.96,16.63,0.86,14.26,1.330
48,1046,0,19.47,16.63,0.85,14.22,1.369
49,1048,0,19.48,16.63,0.87,14.45,1.348
50,1048,0,19.69,16.62,0.87,14.43,1.365
51,1050,0,20.14,16.63,0.88,14.58,1.381
52,1050,0,20.42,16.62,0.88,14.65,1.394
53,1052,0,20.48,16.62,0.88,14.69,1.394
54,1052,0,20.87,16.63,0.90,14.99,1.392
55,1054,0,21.12,16.63,0.88,14.58,1.449
56,1054,0,21.66,16.63,0.88,14.71,1.473
57,1056,0,21.86,16.62,0.89,14.78,1.479
