seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.65,8.19,0.000
2,1000,0,0.00,12.57,0.66,8.31,0.000
3,1002,0,0.00,12.56,0.66,8.26,0.000
4,1002,0,0.00,12.57,0.66,8.32,0.000
5,1004,0,0.00,12.56,0.66,8.32,0.000
6,1004,0,0.00,12.57,0.66,8.27,0.000
7,1006,0,0.00,12.57,0.66,8.27,0.000
8,1006,0,0.00,12.57,0.66,8.23,0.000
9,1008,0,0.00,12.57,0.65,8.17,0.000
10,1008,0,0.00,12.57,0.66,8.31,0.000
11,1010,0,0.00,12.57,0.66,8.28,0.000
12,1010,0,0.00,12.57,0.66,8.35,0.000
13,1012,0,0.00,12.57,0.67,8.38,0.000
14,1012,0,0.00,12.57,0.65,8.20,0.000
15,1014,0,0.00,12.57,0.68,8.49,0.000
16,1014,0,0.00,12.57,0.67,8.48,0.000
17,1016,0,0.00,12.56,0.69,8.62,0.000
18,1016,0,0.00,12.54,0.81,10.12,0.000
19,1018,0,0.00,12.55,1.02,12.77,0.000
20,1018,0,0.00,12.54,1.11,13.92,0.000
21,1020,0,0.00,12.54,1.11,13.88,0.000
22,1020,0,0.00,12.55,1.04,13.12,0.000
23,1022,0,0.00,12.55,0.99,12.47,0.000
24,1022,0,0.83,12.55,0.94,11.76,0.071
25,1024,0,1.33,12.55,0.90,11.31,0.118
26,1024,0,1.80,12.56,0.90,11.31,0.159
27,1026,0,2.10,12.55,0.88,11.07,0.190
28,1026,0,2.11,12.56,0.86,10.82,0.196
29,1028,0,2.09,12.56,0.86,10.84,0.193
30,1028,0,2.76,12.56,0.84,10.61,0.260
31,1030,0,2.92,12.56,0.83,10.47,0.279
32,1030,0,3.02,12.56,0.82,10.32,0.293
33,1032,0,3.25,12.56,0.82,10.28,0.316
34,1032,0,3.22,12.55,0.82,10.30,0.313
35,1034,0,3.33,12.56,0.81,10.12,0.329
36,1034,0,3.96,12.56,0.80,10.05,0.393
37,1036,0,4.28,12.56,0.81,10.12,0.423
38,1036,0,4.44,12.56,0.80,10.08,0.440
39,1038,0,4.46,12.56,0.82,10.34,0.431
40,1038,0,4.75,12.56,0.81,10.11,0.470
41,1040,0,4.47,12.56,0.80,10.03,0.446
42,1040,0,4.80,12.56,0.80,10.04,0.478
43,1042,0,4.67,12.56,0.82,10.31,0.453
44,1042,0,5.04,12.56,0.83,10.41,0.483
45,1044,0,5.24,12.56,0.83,10.36,0.506
46,1044,0,5.46,12.56,0.81,10.22,0.534
47,1046,0,5.36,12.55,0.81,10.20,0.525
48,1046,0,5.87,12.56,0.82,10.29,0.571
49,1048,0,6.29,12.56,0.82,10.28,0.612
50,1048,0,6.23,12.56,0.81,10.18,0.613
51,1050,0,6.48,12.56,0.82,10.27,0.631
52,1050,0,6.60,12.56,0.83,10.37,0.637
53,1052,0,6.67,12.56,0.82,10.29,0.649
54,1052,0,6.52,12.56,0.83,10.38,0.628
55,1054,0,6.59,12.56,0.83,10.46,0.630
56,1054,0,6.92,12.56,0.83,10.42,0.664
57,1056,0,6.93,12.55,0.83,10.37,0.668
58,1056,0,6.97,12.56,0.83,10.46,0.666
59,1058,0,7.09,12.56,0.84,10.61,0.668
60,1058,0,6.79,12.56,0.84,10.61,0.641
61,1060,0,7.24,12.55,0.83,10.44,0.693
62,1060,0,6.96,12.55,0.83,10.44,0.666
63,1062,0,6.82,12.55,0.84,10.49,0.650
64,1062,0,7.11,12.56,0.86,10.76,0.661
65,1064,0,7.36,12.55,0.86,10.78,0.682
66,1064,0,7.43,12.55,0.85,10.67,0.696
67,1066,0,7.41,12.56,0.84,10.61,0.698
68,1066,0,7.45,12.56,0.85,10.66,0.699
69,1068,0,7.51,12.56,0.85,10.65,0.705
70,1068,0,7.71,12.55,0.86,10.74,0.718
71,1070,0,7.54,12.56,0.86,10.81,0.697
72,1070,0,7.49,12.56,0.85,10.69,0.701
73,1072,0,7.72,12.55,0.85,10.63,0.726
74,1072,0,7.61,12.55,0.86,10.84,0.702
75,1074,0,7.72,12.56,0.86,10.82,0.714
76,1074,0,8.06,12.55,0.88,11.09,0.727
77,1076,0,8.41,12.56,0.87,10.94,0.769
78,1076,0,8.49,12.55,0.86,10.78,0.788
79,1078,0,8.60,12.55,0.87,10.95,0.785
80,1078,0,8.89,12.56,0.87,10.98,0.810
81,1080,0,8.85,12.55,0.89,11.13,0.795
82,1080,0,8.92,12.56,0.89,11.14,0.801
83,1082,0,9.36,12.55,0.89,11.11,0.842
84,1082,0,9.63,12.55,0.89,11.23,0.858
85,1084,0,9.75,12.55,0.88,11.04,0.883
86,1084,0,9.75,12.55,0.89,11.11,0.877
87,1086,0,9.71,12.55,0.89,11.11,0.874
88,1086,0,9.75,12.56,0.89,11.16,0.874
89,1088,0,10.02,12.56,0.89,11.12,0.900
90,1088,4131,10.29,12.55,0.89,11.16,0.922
91,1090,4174,10.54,12.55,0.89,11.11,0.948
92,1090,4251,10.87,12.55,0.92,11.53,0.943
93,1092,4285,11.02,12.55,0.91,11.40,0.966
94,1092,4311,11.25,12.55,0.92,11.60,0.970
95,1094,4337,11.32,12.55,0.91,11.45,0.989
96,1094,4362,11.39,12.55,0.93,11.62,0.981
97,1096,4388,11.81,12.55,0.93,11.63,1.016
98,1096,4431,12.24,12.55,0.93,11.64,1.052
99,1098,4457,12.16,12.55,0.93,11.69,1.040
100,1098,4491,12.46,12.56,0.92,11.60,1.074
101,1100,4517,12.88,12.56,0.91,11.48,1.123
102,1100,4542,12.70,12.55,0.93,11.66,1.089
103,1102,4560,13.00,12.56,0.94,11.79,1.102
104,1102,4585,13.64,12.55,0.94,11.78,1.158
105,1104,4611,13.91,12.55,0.93,11.70,1.189
106,1104,4637,14.11,12.55,0.95,11.94,1.182
107,1106,4654,14.30,12.55,0.94,11.80,1.212
108,1106,4671,14.41,12.56,0.95,11.92,1.209
109,1108,4688,14.59,12.55,0.96,12.11,1.205
110,1108,4705,14.85,12.55,0.94,11.85,1.253
111,1110,4722,15.14,12.55,0.94,11.77,1.287
112,1110,4740,15.09,12.55,0.96,11.99,1.258
113,1112,4757,15.38,12.55,0.95,11.97,1.285
114,1112,4782,15.98,12.55,0.97,12.19,1.311
115,1114,4808,16.43,12.55,0.97,12.22,1.345
116,1114,4825,16.40,12.55,0.96,12.07,1.359
117,1116,4834,16.19,12.55,0.97,12.19,1.328
118,1116,4842,16.84,12.55,0.98,12.27,1.372
