seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.565,0.648
2,1000,0,0.00,12.564,0.661
3,1002,0,0.00,12.563,0.660
4,1002,0,0.00,12.569,0.657
5,1004,0,0.00,12.560,0.647
6,1004,0,0.00,12.565,0.648
7,1006,0,0.00,12.562,0.660
8,1006,0,0.00,12.566,0.663
9,1008,0,0.00,12.566,0.649
10,1008,0,0.00,12.566,0.660
11,1010,0,0.00,12.564,0.649
12,1010,0,0.00,12.561,0.665
13,1012,0,0.00,12.565,0.672
14,1012,0,0.00,12.564,0.657
15,1014,0,0.00,12.560,0.676
16,1014,0,0.00,12.562,0.671
17,1016,0,0.00,12.554,0.686
18,1016,0,0.00,12.542,0.836
19,1018,0,0.00,12.550,1.000
20,1018,0,0.00,12.544,1.046
21,1020,0,0.00,12.543,1.032
22,1020,0,0.00,12.552,0.976
23,1022,0,0.00,12.545,0.938
24,1022,0,1.66,12.549,0.888
25,1024,0,1.21,12.543,0.877
26,1024,0,1.90,12.553,0.887
27,1026,0,1.96,12.549,0.863
28,1026,0,1.64,12.550,0.849
29,1028,0,1.64,12.553,0.851
30,1028,0,2.46,12.555,0.838
31,1030,0,2.81,12.553,0.824
32,1030,0,2.79,12.553,0.817
33,1032,0,2.74,12.553,0.800
34,1032,0,2.94,12.553,0.822
35,1034,0,2.98,12.562,0.808
36,1034,0,3.64,12.550,0.787
37,1036,0,3.98,12.557,0.805
38,1036,0,4.62,12.562,0.798
39,1038,0,4.23,12.552,0.821
40,1038,0,4.45,12.555,0.808
41,1040,0,4.23,12.557,0.790
42,1040,0,4.75,12.559,0.800
43,1042,0,4.52,12.553,0.824
44,1042,0,4.89,12.549,0.836
45,1044,0,4.69,12.552,0.823
46,1044,0,5.03,12.556,0.813
47,1046,0,5.09,12.549,0.814
48,1046,0,5.46,12.556,0.818
49,1048,0,5.89,12.553,0.805
50,1048,0,6.01,12.550,0.819
51,1050,0,6.31,12.552,0.813
52,1050,0,6.33,12.558,0.822
53,1052,0,6.29,12.550,0.823
54,1052,0,6.30,12.552,0.831
55,1054,0,6.02,12.556,0.821
56,1054,0,6.13,12.550,0.836
57,1056,0,6.20,12.550,0.832
58,1056,0,6.28,12.555,0.832
59,1058,0,6.44,12.551,0.854
60,1058,0,6.43,12.553,0.838
61,1060,0,6.73,12.543,0.845
62,1060,0,6.30,12.548,0.817
63,1062,0,6.38,12.546,0.837
64,1062,0,6.85,12.558,0.861
65,1064,0,7.04,12.549,0.858
66,1064,0,6.70,12.554,0.863
67,1066,0,6.54,12.550,0.854
68,1066,0,6.63,12.552,0.844
69,1068,0,6.75,12.555,0.840
70,1068,0,6.79,12.544,0.858
71,1070,0,6.83,12.550,0.860
