seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.70,0.67,11.16,0.000
2,1000,0,0.00,16.71,0.67,11.16,0.000
3,1002,0,0.00,16.70,0.68,11.31,0.000
4,1002,0,0.00,16.71,0.68,11.41,0.000
5,1004,0,0.00,16.70,0.67,11.18,0.000
6,1004,0,0.00,16.71,0.67,11.22,0.000
7,1006,0,0.00,16.70,0.67,11.16,0.000
8,1006,0,0.00,16.71,0.66,11.06,0.000
9,1008,0,0.00,16.70,0.67,11.19,0.000
10,1008,0,0.00,16.71,0.66,10.96,0.000
11,1010,0,0.00,16.71,0.66,11.08,0.000
12,1010,0,0.00,16.71,0.66,11.00,0.000
13,1012,0,0.00,16.70,0.67,11.20,0.000
14,1012,0,0.00,16.70,0.66,10.99,0.000
15,1014,0,0.00,16.70,0.69,11.53,0.000
16,1014,0,0.00,16.70,0.69,11.47,0.000
17,1016,0,0.00,16.70,0.69,11.60,0.000
18,1016,0,0.00,16.68,0.85,14.16,0.000
19,1018,0,0.72,16.65,1.27,21.13,0.034
20,1018,0,3.70,16.66,1.42,23.66,0.156
21,1020,0,4.44,16.66,1.41,23.42,0.190
22,1020,0,5.49,16.66,1.32,21.98,0.250
23,1022,0,7.12,16.67,1.22,20.31,0.351
24,1022,0,8.38,16.67,1.12,18.65,0.449
25,1024,0,8.57,16.67,1.05,17.51,0.489
26,1024,0,8.98,16.68,1.02,17.04,0.527
27,1026,0,9.54,16.69,0.98,16.35,0.584
28,1026,0,10.20,16.69,0.95,15.88,0.642
29,1028,0,10.87,16.68,0.92,15.34,0.708
30,1028,0,11.96,16.69,0.91,15.15,0.789
31,1030,0,13.38,16.68,0.89,14.86,0.900
32,1030,0,14.13,16.69,0.88,14.68,0.963
33,1032,0,14.15,16.69,0.87,14.50,0.976
34,1032,0,14.29,16.70,0.87,14.57,0.981
35,1034,0,14.46,16.68,0.87,14.48,0.998
36,1034,0,14.71,16.69,0.87,14.50,1.015
37,1036,0,15.35,16.69,0.86,14.32,1.071
38,1036,0,15.80,16.69,0.85,14.27,1.107
39,1038,0,16.14,16.69,0.87,14.48,1.115
40,1038,0,16.43,16.69,0.87,14.55,1.129
41,1040,0,16.48,16.69,0.85,14.23,1.159
