seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.677,0.667
2,1000,0,0.00,16.686,0.667
3,1002,0,0.00,16.684,0.679
4,1002,0,0.00,16.688,0.684
5,1004,0,0.00,16.681,0.676
6,1004,0,0.00,16.683,0.670
7,1006,0,0.00,16.680,0.661
8,1006,0,0.00,16.689,0.662
9,1008,0,0.00,16.679,0.667
10,1008,0,0.00,16.684,0.657
11,1010,0,0.00,16.681,0.663
12,1010,0,0.00,16.687,0.650
13,1012,0,0.00,16.682,0.670
14,1012,0,0.00,16.679,0.655
15,1014,0,0.00,16.680,0.688
16,1014,0,0.00,16.678,0.688
17,1016,0,0.00,16.679,0.695
18,1016,0,0.00,16.651,0.856
19,1018,0,0.00,16.626,1.259
20,1018,0,3.50,16.633,1.424
21,1020,0,4.55,16.648,1.375
22,1020,0,5.11,16.639,1.306
23,1022,0,5.98,16.649,1.183
24,1022,0,7.27,16.649,1.100
25,1024,0,7.55,16.644,1.039
26,1024,0,7.88,16.646,1.000
27,1026,0,8.29,16.664,0.970
28,1026,0,9.38,16.665,0.942
29,1028,0,9.85,16.660,0.920
30,1028,0,11.33,16.663,0.913
31,1030,0,12.66,16.662,0.888
32,1030,0,13.72,16.666,0.880
33,1032,0,13.96,16.667,0.863
34,1032,0,13.81,16.671,0.862
35,1034,0,13.69,16.659,0.868
36,1034,0,13.91,16.673,0.869
37,1036,0,14.66,16.668,0.862
38,1036,0,14.69,16.664,0.863
39,1038,0,15.11,16.675,0.873
40,1038,0,15.43,16.670,0.848
41,1040,0,15.33,16.665,0.837
42,1040,0,15.86,16.667,0.885
43,1042,0,15.57,16.666,0.887
44,1042,0,16.70,16.668,0.880
45,1044,0,17.35,16.665,0.870
46,1044,0,17.51,16.663,0.864
47,1046,0,18.10,16.668,0.882
48,1046,0,17.92,16.666,0.887
49,1048,0,17.96,16.663,0.878
50,1048,0,18.58,16.659,0.874
51,1050,0,18.13,16.665,0.887
52,1050,0,18.81,16.661,0.897
53,1052,0,18.79,16.666,0.896
54,1052,0,19.25,16.665,0.897
55,1054,0,19.41,16.664,0.910
56,1054,0,19.60,16.663,0.898
57,1056,0,20.11,16.658,0.914
58,1056,0,20.30,16.663,0.892
59,1058,0,21.06,16.663,0.923
60,1058,0,21.66,16.666,0.905
61,1060,0,21.97,16.661,0.932
62,1060,0,22.22,16.663,0.923
63,1062,0,22.21,16.663,0.933
64,1062,0,22.14,16.666,0.934
65,1064,0,22.60,16.667,0.921
66,1064,0,23.01,16.662,0.935
67,1066,0,23.11,16.665,0.937
68,1066,0,23.45,16.664,0.928
69,1068,0,23.65,16.665,0.943
70,1068,0,23.57,16.655,0.931
71,1070,0,23.55,16.665,0.904
72,1070,0,24.00,16.664,0.948
73,1072,0,24.35,16.664,0.958
74,1072,0,24.27,16.665,0.958
75,1074,0,24.50,16.652,0.947
76,1074,0,24.98,16.663,0.950
77,1076,0,25.17,16.669,0.947
78,1076,0,25.65,16.667,0.965
79,1078,0,25.50,16.661,0.955
80,1078,0,25.56,16.651,0.948
81,1080,0,26.39,16.655,0.948
82,1080,0,26.35,16.659,0.981
83,1082,0,26.28,16.660,0.958
84,1082,0,27.05,16.663,0.971
85,1084,0,27.24,16.659,0.962
86,1084,0,27.53,16.658,0.979
87,1086,0,27.46,16.656,0.996
88,1086,0,27.53,16.666,0.994
89,1088,0,27.76,16.664,0.997
90,1088,0,28.42,16.650,1.011
91,1090,0,28.98,16.664,0.997
92,1090,0,29.58,16.653,1.006
93,1092,0,30.36,16.659,0.987
94,1092,0,30.73,16.674,1.001
95,1094,0,32.77,16.658,1.018
96,1094,0,33.50,16.659,1.026
97,1096,0,33.88,16.663,1.023
98,1096,0,34.28,16.667,1.019
99,1098,0,34.61,16.660,1.025
100,1098,0,34.78,16.664,1.035
101,1100,0,34.71,16.664,1.029
102,1100,0,34.59,16.656,1.048
103,1102,0,34.88,16.649,1.057
104,1102,0,35.25,16.656,1.050
105,1104,0,35.57,16.648,1.037
106,1104,0,35.37,16.652,1.054
107,1106,0,35.82,16.647,1.056
108,1106,0,36.12,16.645,1.085
109,1108,0,36.24,16.645,1.067
110,1108,0,36.41,16.649,1.074
111,1110,0,36.79,16.650,1.068
112,1110,0,36.59,16.651,1.091
113,1112,0,36.40,16.652,1.100
114,1112,0,36.84,16.649,1.086
115,1114,0,37.32,16.661,1.076
116,1114,0,37.44,16.647,1.065
117,1116,0,37.21,16.657,1.095
118,1116,0,37.84,16.642,1.098
119,1118,0,38.50,16.642,1.119
120,1118,0,38.81,16.646,1.128
121,1120,0,39.12,16.652,1.089
122,1120,0,39.30,16.653,1.119
123,1122,0,40.04,16.641,1.096
124,1122,0,40.52,16.648,1.118
125,1124,0,40.56,16.654,1.090
126,1124,0,40.49,16.645,1.085
127,1126,0,40.38,16.648,1.137
128,1126,0,40.43,16.639,1.134
129,1128,0,40.60,16.640,1.105
