seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.53,0.66,8.25,0.000
2,1000,0,0.00,12.53,0.66,8.21,0.000
3,1002,0,0.00,12.52,0.66,8.23,0.000
4,1002,0,0.00,12.53,0.65,8.18,0.000
5,1004,0,0.00,12.53,0.66,8.28,0.000
6,1004,0,0.00,12.53,0.66,8.31,0.000
7,1006,0,0.00,12.53,0.66,8.22,0.000
8,1006,0,0.00,6.26,0.60,3.77,0.000
9,1008,0,0.00,12.53,0.65,8.20,0.000
10,1008,0,0.00,12.53,0.64,7.96,0.000
11,1010,0,0.00,12.53,0.66,8.29,0.000
12,1010,0,0.00,12.53,0.65,8.09,0.000
13,1012,0,0.00,12.53,0.65,8.16,0.000
14,1012,0,0.00,12.53,0.65,8.16,0.000
15,1014,0,0.00,12.53,0.66,8.32,0.000
16,1014,0,0.00,12.53,0.68,8.48,0.000
17,1016,0,0.00,12.53,0.68,8.53,0.000
18,1016,0,0.00,12.51,0.74,9.20,0.000
19,1018,0,0.00,12.49,0.98,12.30,0.000
20,1018,0,2.30,12.50,1.08,13.54,0.170
21,1020,0,2.75,12.51,1.08,13.48,0.204
22,1020,0,2.79,12.51,1.04,13.04,0.214
23,1022,0,3.29,12.51,0.98,12.22,0.269
24,1022,0,3.84,12.52,0.93,11.60,0.331
25,1024,0,4.23,12.52,0.88,11.01,0.385
26,1024,0,4.18,12.51,0.87,10.84,0.385
27,1026,0,4.38,12.51,0.86,10.73,0.408
28,1026,0,4.37,12.52,0.84,10.56,0.414
29,1028,0,4.86,12.52,0.83,10.45,0.464
30,1028,0,5.09,12.52,0.83,10.38,0.490
31,1030,0,5.35,12.52,0.80,10.07,0.531
32,1030,0,5.67,12.52,0.79,9.95,0.570
33,1032,0,5.69,12.52,0.79,9.92,0.574
34,1032,0,5.70,12.52,0.80,10.01,0.569
35,1034,0,5.94,12.52,0.80,9.97,0.596
36,1034,0,6.24,12.52,0.79,9.85,0.634
37,1036,0,6.16,12.52,0.80,10.02,0.615
38,1036,0,6.08,12.52,0.80,10.00,0.609
39,1038,0,5.95,12.52,0.77,9.67,0.615
40,1038,0,6.12,12.53,0.79,9.83,0.622
41,1040,0,6.56,12.52,0.80,10.00,0.656
42,1040,0,6.49,12.52,0.79,9.92,0.654
43,1042,0,6.45,12.53,0.79,9.91,0.651
44,1042,0,6.54,12.52,0.80,10.02,0.653
45,1044,0,6.53,12.52,0.80,9.98,0.654
46,1044,0,6.59,12.51,0.80,9.96,0.661
47,1046,0,7.11,12.52,0.80,10.01,0.710
48,1046,0,7.28,12.51,0.81,10.09,0.722
49,1048,0,7.15,12.52,0.79,9.95,0.719
50,1048,0,6.81,12.52,0.78,9.79,0.696
51,1050,0,6.96,12.52,0.79,9.94,0.700
52,1050,0,7.17,12.52,0.81,10.13,0.707
53,1052,0,6.96,12.52,0.81,10.14,0.687
54,1052,0,6.99,12.52,0.81,10.12,0.691
55,1054,0,7.28,12.52,0.80,10.03,0.726
56,1054,0,7.79,12.52,0.80,10.04,0.776
57,1056,0,7.79,12.52,0.80,10.01,0.778
58,1056,0,7.67,12.52,0.81,10.17,0.754
59,1058,0,7.80,12.52,0.82,10.26,0.760
60,1058,0,7.93,12.52,0.81,10.19,0.778
61,1060,0,7.92,12.52,0.82,10.29,0.769
62,1060,0,8.05,12.52,0.82,10.22,0.788
63,1062,0,8.50,12.52,0.83,10.35,0.821
64,1062,0,8.83,12.52,0.81,10.20,0.866
65,1064,0,8.61,12.52,0.82,10.22,0.842
66,1064,0,9.05,12.52,0.82,10.28,0.881
67,1066,0,9.23,12.52,0.82,10.27,0.900
68,1066,0,9.39,12.51,0.82,10.24,0.917
69,1068,0,9.75,12.51,0.84,10.49,0.930
70,1068,0,9.52,12.52,0.83,10.37,0.918
71,1070,0,9.66,12.52,0.82,10.31,0.937
