seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.769,0.670
2,1000,0,0.00,16.770,0.669
3,1002,0,0.00,16.769,0.663
4,1002,0,0.00,16.764,0.668
5,1004,0,0.00,16.773,0.668
6,1004,0,0.00,16.774,0.667
7,1006,0,0.00,16.767,0.663
8,1006,0,0.00,16.765,0.665
9,1008,0,0.00,16.765,0.666
10,1008,0,0.00,16.770,0.663
11,1010,0,0.00,16.766,0.658
12,1010,0,0.00,16.769,0.663
13,1012,0,0.00,16.767,0.650
14,1012,0,0.00,16.766,0.668
15,1014,0,0.00,16.761,0.672
16,1014,0,0.00,16.766,0.689
17,1016,0,0.00,16.771,0.685
18,1016,0,0.00,16.746,0.805
19,1018,0,0.00,16.722,1.148
20,1018,0,2.67,16.740,1.246
21,1020,0,3.47,16.729,1.166
22,1020,0,4.58,16.744,1.085
23,1022,0,5.83,16.745,1.008
24,1022,0,5.80,16.744,0.963
25,1024,0,6.12,16.739,0.959
26,1024,0,7.57,16.740,0.954
27,1026,0,8.10,16.753,0.918
28,1026,0,8.90,16.744,0.875
29,1028,0,9.95,16.748,0.886
30,1028,0,10.91,16.751,0.863
31,1030,0,11.00,16.752,0.851
32,1030,0,10.72,16.755,0.844
33,1032,0,11.96,16.757,0.834
34,1032,0,12.53,16.751,0.837
35,1034,0,13.20,16.749,0.830
36,1034,0,13.22,16.753,0.836
37,1036,0,13.53,16.753,0.830
38,1036,0,13.54,16.756,0.824
39,1038,0,13.84,16.758,0.836
40,1038,0,14.79,16.752,0.821
41,1040,0,15.12,16.749,0.841
42,1040,0,15.60,16.751,0.847
43,1042,0,15.33,16.752,0.842
44,1042,0,15.21,16.754,0.855
45,1044,0,15.40,16.749,0.858
46,1044,0,15.78,16.754,0.847
47,1046,0,16.15,16.760,0.853
48,1046,0,16.01,16.753,0.861
49,1048,0,16.22,16.752,0.846
50,1048,0,17.06,16.752,0.842
51,1050,0,17.27,16.756,0.855
52,1050,0,17.10,16.749,0.867
53,1052,0,17.19,16.756,0.862
54,1052,0,17.91,16.753,0.874
55,1054,0,18.63,16.748,0.879
56,1054,0,19.53,16.749,0.879
57,1056,0,19.77,16.749,0.874
58,1056,0,19.72,16.740,0.857
59,1058,0,19.92,16.751,0.868
60,1058,0,20.38,16.744,0.877
61,1060,0,20.87,16.746,0.889
62,1060,0,21.69,16.748,0.887
