seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.531,0.664
2,1000,0,0.00,12.529,0.660
3,1002,0,0.00,12.531,0.658
4,1002,0,0.00,12.533,0.651
5,1004,0,0.00,12.530,0.658
6,1004,0,0.00,12.531,0.661
7,1006,0,0.00,12.527,0.663
8,1006,0,0.0,0,0.537,0.651
9,1008,0,0.00,12.532,0.648
10,1008,0,0.00,12.533,0.638
11,1010,0,0.00,12.533,0.670
12,1010,0,0.00,12.527,0.633
13,1012,0,0.00,12.526,0.655
14,1012,0,0.00,12.530,0.650
15,1014,0,0.00,12.527,0.671
16,1014,0,0.00,12.530,0.677
17,1016,0,0.00,12.530,0.687
18,1016,0,0.00,12.517,0.744
19,1018,0,0.00,12.499,0.972
20,1018,0,2.17,12.502,1.094
21,1020,0,3.24,12.510,1.034
22,1020,0,3.02,12.511,1.007
23,1022,0,3.50,12.517,0.962
24,1022,0,4.09,12.521,0.907
25,1024,0,4.27,12.514,0.864
26,1024,0,4.07,12.517,0.862
27,1026,0,4.40,12.516,0.854
28,1026,0,4.33,12.524,0.832
29,1028,0,4.72,12.518,0.839
30,1028,0,5.03,12.518,0.825
31,1030,0,5.16,12.519,0.795
32,1030,0,5.36,12.524,0.790
33,1032,0,5.77,12.521,0.784
34,1032,0,5.96,12.526,0.797
35,1034,0,6.17,12.518,0.803
36,1034,0,6.35,12.521,0.790
37,1036,0,6.40,12.526,0.798
38,1036,0,6.17,12.523,0.798
39,1038,0,6.27,12.521,0.766
40,1038,0,6.43,12.526,0.788
41,1040,0,7.17,12.517,0.797
42,1040,0,6.98,12.518,0.797
43,1042,0,7.01,12.527,0.800
44,1042,0,6.90,12.515,0.794
45,1044,0,6.57,12.520,0.793
46,1044,0,6.87,12.516,0.795
47,1046,0,7.62,12.526,0.811
48,1046,0,7.83,12.517,0.799
49,1048,0,7.60,12.526,0.796
50,1048,0,7.16,12.524,0.790
51,1050,0,7.22,12.523,0.792
52,1050,0,7.61,12.522,0.807
53,1052,0,7.37,12.521,0.810
54,1052,0,7.72,12.526,0.799
55,1054,0,7.86,12.525,0.810
56,1054,0,8.59,12.531,0.801
57,1056,0,8.71,12.523,0.799
58,1056,0,8.63,12.520,0.805
59,1058,0,8.67,12.525,0.816
60,1058,0,8.65,12.517,0.811
61,1060,0,8.62,12.524,0.821
62,1060,0,8.68,12.521,0.819
63,1062,0,9.11,12.518,0.805
64,1062,0,9.68,12.524,0.819
65,1064,0,9.44,12.524,0.814
66,1064,0,9.72,12.521,0.814
67,1066,0,10.41,12.523,0.826
68,1066,0,10.55,12.518,0.815
69,1068,0,11.14,12.517,0.841
70,1068,0,10.82,12.527,0.834
71,1070,0,11.06,12.522,0.830
72,1070,0,11.45,12.519,0.824
73,1072,0,11.36,12.517,0.806
74,1072,0,11.55,12.519,0.837
75,1074,0,11.88,12.520,0.843
76,1074,0,11.91,12.527,0.835
77,1076,0,11.36,12.514,0.841
78,1076,0,11.75,12.526,0.852
79,1078,0,11.80,12.517,0.862
