seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.65,8.19,0.000
2,1000,0,0.00,12.56,0.65,8.21,0.000
3,1002,0,0.00,12.55,0.66,8.28,0.000
4,1002,0,0.00,12.55,0.64,8.08,0.000
5,1004,0,0.00,12.55,0.66,8.23,0.000
6,1004,0,0.00,12.55,0.65,8.10,0.000
7,1006,0,0.00,12.55,0.64,8.09,0.000
8,1006,0,0.00,12.55,0.66,8.25,0.000
9,1008,0,0.00,12.55,0.66,8.27,0.000
10,1008,0,0.00,12.55,0.66,8.33,0.000
11,1010,0,0.00,12.55,0.66,8.25,0.000
12,1010,0,0.00,12.55,0.66,8.27,0.000
13,1012,0,0.00,12.55,0.66,8.30,0.000
14,1012,0,0.00,12.55,0.65,8.20,0.000
15,1014,0,0.00,12.55,0.68,8.48,0.000
16,1014,0,0.00,12.55,0.68,8.54,0.000
17,1016,0,0.00,12.56,0.68,8.50,0.000
18,1016,0,0.00,12.53,0.81,10.17,0.000
19,1018,0,0.00,12.53,1.02,12.75,0.000
20,1018,0,0.93,12.53,1.07,13.47,0.069
21,1020,0,3.06,12.53,1.05,13.12,0.234
22,1020,0,4.88,12.54,0.99,12.40,0.393
23,1022,0,5.76,12.54,0.94,11.75,0.490
24,1022,0,6.21,12.55,0.89,11.19,0.555
25,1024,0,6.01,12.54,0.87,10.85,0.554
26,1024,0,6.08,12.54,0.86,10.84,0.561
27,1026,0,6.19,12.54,0.85,10.64,0.581
28,1026,0,6.71,12.54,0.83,10.46,0.641
29,1028,0,6.88,12.54,0.82,10.27,0.670
30,1028,0,7.20,12.54,0.82,10.32,0.698
31,1030,0,7.39,12.55,0.81,10.10,0.732
32,1030,0,7.44,12.54,0.80,10.08,0.738
33,1032,0,7.61,12.54,0.81,10.15,0.750
34,1032,0,7.67,12.55,0.80,10.01,0.766
35,1034,0,7.75,12.55,0.79,9.91,0.782
36,1034,0,7.90,12.54,0.78,9.79,0.807
37,1036,0,7.99,12.54,0.79,9.90,0.807
38,1036,0,7.86,12.54,0.80,9.98,0.788
39,1038,0,7.97,12.54,0.79,9.94,0.802
40,1038,0,7.82,12.55,0.78,9.84,0.795
41,1040,0,8.27,12.54,0.79,9.94,0.831
42,1040,0,8.44,12.54,0.79,9.85,0.857
43,1042,0,8.43,12.55,0.79,9.89,0.852
44,1042,0,8.55,12.54,0.80,10.08,0.848
45,1044,0,8.85,12.54,0.80,10.02,0.883
46,1044,0,8.75,12.54,0.81,10.16,0.861
47,1046,0,8.41,12.54,0.79,9.87,0.852
48,1046,0,8.35,12.54,0.79,9.88,0.845
49,1048,0,8.57,12.55,0.79,9.92,0.865
50,1048,0,8.57,12.55,0.81,10.14,0.845
51,1050,0,8.61,12.54,0.79,9.88,0.871
52,1050,0,8.85,12.54,0.81,10.10,0.875
53,1052,0,9.04,12.55,0.80,10.08,0.897
54,1052,0,9.16,12.54,0.81,10.17,0.901
55,1054,0,8.90,12.54,0.81,10.20,0.872
56,1054,0,8.85,12.54,0.81,10.17,0.870
57,1056,0,8.98,12.55,0.81,10.17,0.883
58,1056,0,8.98,12.54,0.81,10.12,0.888
59,1058,0,9.38,12.54,0.82,10.30,0.911
60,1058,0,9.47,12.54,0.83,10.36,0.915
61,1060,0,9.43,12.55,0.81,10.20,0.924
62,1060,0,9.71,12.54,0.81,10.15,0.957
63,1062,0,9.91,12.54,0.80,10.10,0.981
64,1062,0,9.79,12.55,0.81,10.16,0.963
65,1064,0,9.65,12.54,0.81,10.18,0.948
66,1064,0,9.99,12.54,0.82,10.27,0.973
67,1066,0,10.04,12.54,0.82,10.31,0.974
68,1066,0,10.29,12.54,0.82,10.25,1.004
69,1068,0,10.50,12.54,0.83,10.43,1.007
70,1068,0,10.41,12.54,0.83,10.39,1.002
71,1070,0,10.90,12.54,0.83,10.38,1.051
72,1070,0,10.94,12.54,0.83,10.40,1.052
73,1072,0,11.14,12.54,0.84,10.56,1.055
74,1072,0,11.24,12.54,0.83,10.42,1.078
75,1074,0,11.17,12.55,0.83,10.43,1.071
76,1074,0,11.15,12.54,0.83,10.44,1.068
77,1076,0,11.42,12.54,0.85,10.70,1.067
78,1076,0,11.78,12.54,0.85,10.63,1.108
79,1078,0,11.90,12.54,0.84,10.50,1.133
80,1078,0,12.12,12.54,0.84,10.55,1.150
81,1080,4002,11.86,12.54,0.83,10.37,1.144
82,1080,4054,12.09,12.54,0.84,10.53,1.148
83,1082,4088,12.14,12.54,0.84,10.53,1.152
84,1082,4131,12.24,12.54,0.85,10.65,1.150
85,1084,4165,12.26,12.54,0.86,10.76,1.139
86,1084,4200,12.53,12.54,0.85,10.68,1.173
87,1086,4251,12.47,12.54,0.85,10.69,1.167
88,1086,4277,12.60,12.54,0.85,10.71,1.177
89,1088,4311,12.93,12.54,0.85,10.63,1.217
90,1088,4345,13.02,12.54,0.86,10.73,1.213
91,1090,4371,12.94,12.54,0.85,10.70,1.209
92,1090,4397,12.75,12.54,0.86,10.80,1.180
93,1092,4422,13.32,12.54,0.87,10.94,1.218
94,1092,4448,13.45,12.54,0.87,10.87,1.237
95,1094,4465,13.46,12.54,0.86,10.78,1.249
96,1094,4465,13.63,12.54,0.87,10.90,1.251
97,1096,4491,13.90,12.54,0.88,10.98,1.266
98,1096,4508,14.41,12.54,0.88,11.02,1.308
99,1098,4508,14.07,12.54,0.88,11.05,1.274
100,1098,4517,13.74,12.55,0.89,11.11,1.237
101,1100,4542,14.46,12.54,0.89,11.10,1.302
102,1100,4577,14.85,12.54,0.90,11.24,1.321
103,1102,4611,14.77,12.54,0.88,11.04,1.338
104,1102,4611,14.85,12.54,0.89,11.12,1.336
105,1104,4628,15.33,12.55,0.90,11.30,1.357
106,1104,4645,15.76,12.54,0.90,11.34,1.390
107,1106,4645,16.29,12.53,0.91,11.44,1.424
108,1106,4654,16.04,12.54,0.90,11.30,1.419
109,1108,4654,15.99,12.54,0.90,11.25,1.421
110,1108,4654,16.56,12.54,0.89,11.16,1.485
111,1110,4654,16.66,12.53,0.90,11.30,1.474
112,1110,4654,16.83,12.54,0.89,11.21,1.502
113,1112,4654,16.94,12.54,0.91,11.46,1.478
114,1112,4654,17.23,12.54,0.91,11.40,1.511
115,1114,4654,17.76,12.54,0.91,11.40,1.558
116,1114,4654,18.16,12.54,0.92,11.49,1.580
117,1116,4654,18.31,12.54,0.91,11.41,1.606
118,1116,4654,18.22,12.54,0.93,11.64,1.565
119,1118,4654,18.21,12.54,0.93,11.63,1.566
120,1118,4654,18.41,12.54,0.90,11.29,1.630
121,1120,4654,18.56,12.53,0.92,11.51,1.613
122,1120,4662,18.81,12.54,0.92,11.51,1.634
123,1122,4680,18.88,12.54,0.93,11.72,1.612
124,1122,4680,18.89,12.54,0.92,11.58,1.632
125,1124,4680,19.09,12.53,0.93,11.65,1.640
126,1124,4680,19.16,12.53,0.94,11.74,1.632
127,1126,4680,19.58,12.53,0.94,11.72,1.671
128,1126,4680,20.16,12.54,0.93,11.71,1.722
129,1128,4680,20.31,12.53,0.93,11.70,1.736
130,1128,4680,20.20,12.54,0.95,11.87,1.702
131,1130,4680,20.52,12.53,0.94,11.81,1.737
132,1130,4680,20.50,12.54,0.96,12.00,1.709
133,1132,4680,20.84,12.53,0.93,11.70,1.782
134,1132,4680,21.21,12.54,0.94,11.80,1.798
135,1134,4680,21.02,12.53,0.94,11.82,1.778
136,1134,4680,21.16,12.54,0.95,11.91,1.776
137,1136,4680,21.30,12.53,0.95,11.84,1.799
138,1136,4680,22.16,12.53,0.96,12.07,1.836
139,1138,4680,22.04,12.53,0.95,11.91,1.850
140,1138,4680,22.14,12.54,0.96,12.05,1.837
141,1140,4680,22.23,12.54,0.96,12.02,1.850
142,1140,4680,22.24,12.54,0.97,12.22,1.820
