seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.735,0.659
2,1000,0,0.00,16.733,0.664
3,1002,0,0.00,16.739,0.658
4,1002,0,0.00,16.735,0.667
5,1004,0,0.00,16.735,0.662
6,1004,0,0.00,16.738,0.679
7,1006,0,0.00,16.740,0.672
8,1006,0,0.00,16.742,0.670
9,1008,0,0.00,16.738,0.666
10,1008,0,0.00,16.740,0.664
11,1010,0,0.00,16.741,0.676
12,1010,0,0.00,16.737,0.652
13,1012,0,0.00,16.740,0.658
14,1012,0,0.00,16.741,0.656
15,1014,0,0.00,16.736,0.679
16,1014,0,0.00,16.738,0.696
17,1016,0,0.00,16.731,0.696
18,1016,0,0.00,16.714,0.860
19,1018,0,0.00,16.692,1.174
20,1018,0,0.00,16.701,1.244
21,1020,0,1.32,16.709,1.159
22,1020,0,2.27,16.713,1.102
23,1022,0,2.61,16.717,1.014
24,1022,0,3.19,16.716,0.983
25,1024,0,3.84,16.721,0.951
26,1024,0,4.18,16.723,0.949
27,1026,0,4.41,16.723,0.906
28,1026,0,4.74,16.726,0.888
29,1028,0,5.43,16.721,0.874
30,1028,0,6.19,16.723,0.848
31,1030,0,6.50,16.727,0.840
32,1030,0,6.43,16.730,0.842
33,1032,0,6.33,16.726,0.829
34,1032,0,6.63,16.726,0.841
35,1034,0,6.91,16.730,0.814
36,1034,0,7.06,16.726,0.837
37,1036,0,6.99,16.726,0.843
38,1036,0,7.54,16.723,0.828
39,1038,0,7.82,16.720,0.817
40,1038,0,7.37,16.730,0.828
41,1040,0,7.60,16.724,0.837
42,1040,0,8.02,16.721,0.829
43,1042,0,8.17,16.726,0.837
44,1042,0,8.18,16.724,0.841
45,1044,0,8.35,16.723,0.850
46,1044,0,8.43,16.726,0.836
47,1046,0,8.71,16.723,0.847
48,1046,0,9.01,16.724,0.867
49,1048,0,9.67,16.722,0.852
50,1048,0,9.36,16.721,0.845
51,1050,0,9.58,16.724,0.858
52,1050,0,9.96,16.722,0.855
53,1052,0,10.12,16.721,0.858
54,1052,0,10.14,16.717,0.866
55,1054,0,10.03,16.724,0.850
56,1054,0,10.38,16.724,0.870
57,1056,0,10.72,16.726,0.852
58,1056,0,11.11,16.728,0.870
59,1058,0,11.18,16.720,0.872
60,1058,0,10.92,16.723,0.860
61,1060,0,10.83,16.720,0.854
62,1060,0,11.43,16.730,0.864
63,1062,0,12.11,16.728,0.874
64,1062,0,12.09,16.717,0.905
65,1064,0,12.06,16.726,0.886
66,1064,0,12.42,16.721,0.897
67,1066,0,12.62,16.718,0.885
68,1066,0,12.49,16.721,0.885
69,1068,0,12.83,16.715,0.889
70,1068,0,13.14,16.721,0.895
71,1070,0,13.66,16.716,0.897
72,1070,0,13.32,16.722,0.899
73,1072,0,13.43,16.721,0.897
74,1072,0,13.73,16.724,0.925
75,1074,0,13.79,16.727,0.915
76,1074,0,14.04,16.719,0.889
77,1076,0,14.34,16.719,0.914
78,1076,0,15.29,16.715,0.913
79,1078,0,15.73,16.718,0.911
80,1078,0,16.04,16.719,0.905
81,1080,0,16.19,16.719,0.918
82,1080,0,16.60,16.721,0.916
83,1082,0,17.44,16.727,0.923
84,1082,0,17.88,16.719,0.930
85,1084,0,17.85,16.723,0.942
86,1084,0,18.68,16.711,0.930
87,1086,0,19.02,16.724,0.958
88,1086,0,19.17,16.723,0.943
89,1088,0,19.72,16.720,0.938
90,1088,0,20.25,16.716,0.957
91,1090,0,20.15,16.720,0.930
92,1090,0,20.22,16.714,0.940
93,1092,0,20.56,16.712,0.959
94,1092,0,20.52,16.724,0.945
95,1094,0,20.90,16.716,0.940
96,1094,0,21.18,16.720,0.957
97,1096,0,21.40,16.721,0.956
98,1096,0,21.74,16.717,0.961
99,1098,0,21.61,16.715,0.989
100,1098,0,21.98,16.705,0.967
101,1100,0,21.87,16.704,0.977
102,1100,0,22.57,16.712,0.992
103,1102,0,22.42,16.721,0.986
104,1102,0,22.63,16.705,0.973
105,1104,0,22.83,16.711,0.992
106,1104,0,23.10,16.721,1.006
107,1106,0,23.17,16.719,0.975
108,1106,0,23.44,16.715,1.008
109,1108,0,23.64,16.712,0.996
110,1108,0,23.89,16.702,0.988
111,1110,0,24.23,16.717,1.026
112,1110,0,24.36,16.707,1.001
