seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.573,0.662
2,1000,0,0.00,12.575,0.656
3,1002,0,0.00,12.574,0.655
4,1002,0,0.00,12.580,0.661
5,1004,0,0.00,12.580,0.644
6,1004,0,0.00,12.580,0.653
7,1006,0,0.00,12.576,0.654
8,1006,0,0.00,12.580,0.649
9,1008,0,0.00,12.578,0.658
10,1008,0,0.00,12.581,0.655
11,1010,0,0.00,12.578,0.654
12,1010,0,0.00,12.582,0.650
13,1012,0,0.00,12.576,0.647
14,1012,0,0.00,12.577,0.645
15,1014,0,0.00,12.572,0.671
16,1014,0,0.00,12.577,0.664
17,1016,0,0.00,12.578,0.671
18,1016,0,0.00,12.557,0.815
19,1018,0,0.00,12.546,1.069
20,1018,0,3.55,12.560,1.096
21,1020,0,5.65,12.553,1.074
22,1020,0,6.64,12.559,1.004
23,1022,0,7.42,12.567,0.934
24,1022,0,6.88,12.566,0.903
25,1024,0,6.79,12.562,0.866
26,1024,0,7.27,12.563,0.859
27,1026,0,7.24,12.572,0.851
28,1026,0,7.91,12.566,0.823
29,1028,0,8.45,12.573,0.811
30,1028,0,9.25,12.569,0.824
31,1030,0,9.15,12.565,0.807
32,1030,0,9.23,12.570,0.801
33,1032,0,9.19,12.568,0.796
34,1032,0,9.41,12.568,0.801
35,1034,0,9.61,12.566,0.802
36,1034,0,9.31,12.573,0.795
37,1036,0,9.37,12.569,0.793
38,1036,0,9.78,12.560,0.819
39,1038,0,9.92,12.562,0.794
40,1038,0,10.31,12.574,0.785
41,1040,0,9.98,12.565,0.792
42,1040,0,10.12,12.569,0.799
43,1042,0,9.81,12.571,0.787
44,1042,0,10.05,12.568,0.795
45,1044,0,10.35,12.569,0.795
46,1044,0,10.26,12.572,0.808
47,1046,0,10.17,12.561,0.815
48,1046,0,10.35,12.563,0.801
49,1048,0,10.55,12.567,0.824
50,1048,0,10.35,12.570,0.808
51,1050,0,10.70,12.566,0.833
52,1050,0,11.14,12.570,0.817
53,1052,0,11.09,12.567,0.824
54,1052,0,10.94,12.568,0.823
55,1054,0,11.29,12.561,0.827
56,1054,0,11.71,12.559,0.813
57,1056,0,12.20,12.574,0.825
58,1056,0,12.69,12.573,0.830
59,1058,0,13.06,12.565,0.820
60,1058,0,13.40,12.569,0.847
61,1060,0,13.34,12.568,0.837
62,1060,0,13.32,12.566,0.848
63,1062,0,13.35,12.565,0.854
64,1062,0,13.46,12.564,0.837
65,1064,0,13.89,12.561,0.832
66,1064,0,13.93,12.575,0.853
67,1066,0,14.38,12.557,0.847
68,1066,0,14.60,12.570,0.848
69,1068,0,14.59,12.563,0.861
70,1068,0,15.02,12.569,0.857
71,1070,0,15.34,12.569,0.855
72,1070,0,15.35,12.564,0.850
73,1072,0,15.43,12.566,0.849
74,1072,0,15.85,12.562,0.863
75,1074,0,16.14,12.568,0.863
76,1074,0,16.28,12.564,0.875
77,1076,0,16.28,12.566,0.857
78,1076,0,16.56,12.561,0.858
79,1078,0,17.40,12.561,0.868
80,1078,0,17.58,12.570,0.867
81,1080,0,17.47,12.564,0.867
82,1080,0,17.80,12.569,0.879
83,1082,0,17.82,12.563,0.863
84,1082,0,17.54,12.563,0.879
85,1084,0,18.56,12.570,0.875
86,1084,0,19.83,12.568,0.871
87,1086,0,20.23,12.563,0.878
88,1086,0,19.60,12.566,0.893
89,1088,0,19.53,12.564,0.887
90,1088,0,19.85,12.571,0.898
91,1090,0,20.40,12.561,0.898
92,1090,4260,21.32,12.570,0.898
93,1092,4294,21.35,12.563,0.899
94,1092,4320,21.57,12.562,0.885
95,1094,4345,21.51,12.565,0.902
96,1094,4371,22.00,12.563,0.897
97,1096,4405,22.41,12.562,0.912
98,1096,4440,22.68,12.563,0.925
99,1098,4465,22.78,12.561,0.909
100,1098,4482,22.91,12.565,0.910
101,1100,4508,23.70,12.559,0.918
102,1100,4525,23.95,12.561,0.925
103,1102,4551,24.08,12.558,0.939
104,1102,4568,24.27,12.557,0.931
105,1104,4577,24.49,12.566,0.932
106,1104,4594,24.86,12.566,0.927
107,1106,4620,25.90,12.560,0.946
108,1106,4645,26.09,12.563,0.927
109,1108,4680,26.16,12.565,0.950
110,1108,4697,26.79,12.562,0.955
111,1110,4722,27.63,12.560,0.939
112,1110,4740,28.04,12.553,0.961
113,1112,4765,28.32,12.558,0.969
114,1112,4791,28.55,12.553,0.954
115,1114,4808,29.80,12.560,0.967
116,1114,4817,30.06,12.565,0.974
117,1116,4825,30.17,12.564,0.967
118,1116,4825,30.00,12.557,0.978
119,1118,4834,30.57,12.564,0.978
120,1118,4834,30.77,12.562,0.981
121,1120,4834,30.51,12.554,0.964
122,1120,4842,31.20,12.554,0.979
123,1122,4902,31.77,12.550,0.993
124,1122,4928,32.14,12.558,0.979
125,1124,4928,32.14,12.560,0.985
126,1124,4928,32.44,12.563,0.979
127,1126,4928,32.94,12.563,0.992
128,1126,4937,33.51,12.563,0.977
129,1128,4937,33.18,12.561,1.010
130,1128,4937,33.84,12.551,1.011
131,1130,4937,34.32,12.554,1.000
132,1130,4937,33.87,12.548,1.002
133,1132,4937,33.53,12.554,1.007
134,1132,4937,33.93,12.566,1.016
135,1134,4937,34.28,12.565,1.012
136,1134,4937,35.55,12.560,1.015
137,1136,4937,35.45,12.557,1.016
138,1136,4937,36.00,12.558,1.017
139,1138,4937,36.46,12.556,1.005
140,1138,4937,36.71,12.561,1.019
141,1140,4937,37.21,12.560,1.025
142,1140,4937,37.24,12.556,1.048
143,1142,4937,36.80,12.559,1.040
144,1142,4937,37.25,12.552,1.048
145,1144,4937,37.02,12.554,1.059
146,1144,4937,37.04,12.557,1.049
147,1146,4937,37.27,12.552,1.052
148,1146,4937,37.31,12.551,1.060
