seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.71,8.86,0.000
2,1000,0,0.00,12.56,0.72,9.04,0.000
3,1002,0,0.00,12.56,0.71,8.94,0.000
4,1002,0,0.00,12.56,0.71,8.91,0.000
5,1004,0,0.00,12.56,0.70,8.85,0.000
6,1004,0,0.00,12.56,0.71,8.88,0.000
7,1006,0,0.00,12.56,0.71,8.93,0.000
8,1006,0,0.00,12.56,0.71,8.92,0.000
9,1008,0,0.00,12.56,0.70,8.84,0.000
10,1008,0,0.00,12.56,0.71,8.87,0.000
11,1010,0,0.00,12.56,0.71,8.96,0.000
12,1010,0,0.00,12.56,0.72,8.99,0.000
13,1012,0,0.00,12.56,0.71,8.93,0.000
14,1012,0,0.00,12.55,0.70,8.81,0.000
15,1014,0,0.00,12.55,0.72,9.04,0.000
16,1014,0,0.00,12.56,0.72,9.10,0.000
17,1016,0,0.00,12.56,0.73,9.17,0.000
18,1016,0,0.00,12.55,0.88,11.00,0.000
19,1018,0,0.00,12.55,1.15,14.46,0.000
20,1018,0,0.00,12.55,1.24,15.60,0.000
21,1020,0,0.92,12.55,1.21,15.16,0.061
22,1020,0,1.47,12.55,1.12,14.08,0.104
23,1022,0,2.73,12.55,1.03,12.97,0.211
24,1022,0,3.71,12.55,0.98,12.29,0.302
25,1024,0,3.67,12.55,0.94,11.75,0.312
26,1024,0,3.67,12.55,0.92,11.60,0.317
27,1026,0,4.11,12.55,0.92,11.52,0.356
28,1026,0,4.61,12.55,0.91,11.39,0.404
29,1028,0,4.92,12.55,0.89,11.11,0.443
30,1028,0,5.21,12.56,0.88,11.06,0.471
31,1030,0,5.25,12.56,0.87,10.96,0.478
32,1030,0,5.33,12.55,0.87,10.95,0.487
33,1032,0,5.73,12.56,0.86,10.86,0.528
34,1032,0,5.71,12.55,0.85,10.73,0.532
35,1034,0,5.84,12.56,0.85,10.67,0.548
36,1034,0,6.23,12.56,0.85,10.68,0.583
37,1036,0,6.54,12.56,0.85,10.69,0.613
38,1036,0,6.13,12.56,0.85,10.71,0.572
39,1038,0,6.88,12.55,0.85,10.71,0.642
40,1038,0,7.13,12.55,0.86,10.76,0.663
41,1040,0,7.29,12.56,0.86,10.80,0.675
42,1040,0,7.16,12.55,0.86,10.74,0.666
43,1042,0,7.05,12.55,0.86,10.76,0.655
44,1042,0,7.16,12.55,0.86,10.86,0.660
45,1044,0,7.23,12.55,0.87,10.97,0.659
46,1044,0,7.20,12.55,0.87,10.92,0.659
47,1046,0,7.25,12.55,0.87,10.90,0.665
48,1046,0,7.41,12.56,0.87,10.90,0.680
49,1048,0,7.71,12.55,0.87,10.96,0.703
50,1048,0,7.90,12.56,0.87,10.95,0.722
51,1050,0,8.12,12.55,0.87,10.95,0.742
52,1050,0,8.27,12.56,0.88,10.99,0.752
53,1052,0,8.71,12.55,0.88,10.98,0.793
54,1052,0,8.94,12.55,0.88,11.08,0.807
55,1054,0,9.19,12.55,0.88,10.99,0.836
56,1054,0,9.50,12.55,0.88,11.03,0.862
57,1056,0,9.63,12.55,0.88,11.07,0.870
58,1056,0,9.97,12.55,0.89,11.15,0.895
59,1058,0,10.51,12.55,0.89,11.12,0.945
60,1058,0,11.19,12.55,0.89,11.20,0.999
61,1060,0,11.20,12.55,0.89,11.19,1.001
62,1060,0,11.08,12.55,0.90,11.27,0.983
63,1062,0,11.39,12.55,0.90,11.27,1.010
64,1062,0,11.50,12.55,0.91,11.37,1.011
65,1064,0,11.36,12.55,0.90,11.30,1.005
66,1064,0,11.58,12.55,0.90,11.36,1.020
67,1066,0,11.55,12.55,0.91,11.44,1.009
68,1066,0,11.59,12.55,0.91,11.36,1.021
69,1068,0,11.66,12.55,0.90,11.32,1.030
70,1068,0,11.93,12.55,0.91,11.40,1.046
71,1070,0,11.91,12.55,0.91,11.41,1.044
72,1070,0,11.99,12.55,0.91,11.48,1.045
73,1072,0,12.14,12.55,0.92,11.50,1.055
74,1072,0,12.16,12.55,0.92,11.55,1.053
75,1074,0,12.17,12.55,0.92,11.57,1.052
76,1074,0,12.61,12.55,0.93,11.61,1.086
77,1076,0,12.79,12.55,0.93,11.64,1.099
78,1076,0,13.03,12.55,0.93,11.64,1.120
79,1078,0,13.12,12.55,0.92,11.60,1.131
80,1078,0,13.02,12.55,0.93,11.65,1.117
81,1080,0,13.08,12.55,0.93,11.68,1.119
82,1080,0,13.25,12.55,0.93,11.68,1.134
83,1082,0,13.36,12.55,0.94,11.80,1.132
84,1082,4028,13.55,12.55,0.94,11.81,1.148
85,1084,4062,13.72,12.55,0.94,11.84,1.160
86,1084,4097,13.91,12.55,0.96,12.08,1.152
87,1086,4122,13.98,12.55,0.95,11.94,1.171
88,1086,4157,14.22,12.55,0.95,11.96,1.189
89,1088,4191,14.12,12.55,0.95,11.97,1.179
90,1088,4234,14.52,12.55,0.95,11.92,1.218
91,1090,4260,14.77,12.55,0.96,12.01,1.231
92,1090,4294,15.00,12.55,0.97,12.14,1.236
93,1092,4328,15.15,12.55,0.96,12.11,1.251
94,1092,4362,15.12,12.55,0.96,12.09,1.250
95,1094,4388,15.32,12.55,0.97,12.16,1.260
96,1094,4405,15.88,12.55,0.97,12.21,1.300
97,1096,4431,16.01,12.55,0.97,12.23,1.309
98,1096,4448,16.15,12.55,0.98,12.29,1.314
99,1098,4465,16.25,12.55,0.98,12.32,1.319
100,1098,4491,16.48,12.55,0.98,12.30,1.340
101,1100,4508,17.08,12.56,0.97,12.24,1.395
102,1100,4534,17.45,12.55,0.98,12.33,1.415
103,1102,4551,17.61,12.55,0.99,12.43,1.417
104,1102,4577,17.87,12.55,0.99,12.43,1.438
105,1104,4594,18.36,12.55,0.99,12.43,1.477
106,1104,4620,18.48,12.55,0.99,12.46,1.483
107,1106,4645,18.41,12.55,1.01,12.62,1.459
108,1106,4671,18.30,12.55,1.01,12.70,1.441
109,1108,4697,18.81,12.55,1.01,12.68,1.484
110,1108,4722,19.12,12.55,1.00,12.61,1.516
111,1110,4740,19.48,12.55,1.01,12.62,1.543
112,1110,4765,19.51,12.55,1.01,12.67,1.540
113,1112,4765,19.76,12.55,1.02,12.80,1.544
114,1112,4800,20.12,12.55,1.03,12.91,1.558
115,1114,4808,20.48,12.55,1.02,12.85,1.594
116,1114,4808,20.57,12.55,1.02,12.79,1.609
117,1116,4808,20.69,12.55,1.02,12.85,1.610
118,1116,4808,20.96,12.55,1.04,13.01,1.611
119,1118,4817,21.10,12.55,1.05,13.14,1.606
120,1118,4825,21.00,12.55,1.04,13.08,1.606
121,1120,4825,21.05,12.55,1.03,12.95,1.625
122,1120,4825,21.35,12.55,1.04,13.12,1.628
123,1122,4825,21.52,12.55,1.04,13.08,1.645
124,1122,4825,21.63,12.55,1.04,13.03,1.660
125,1124,4825,21.80,12.55,1.05,13.13,1.661
126,1124,4825,21.92,12.56,1.05,13.15,1.667
127,1126,4825,21.92,12.55,1.06,13.27,1.652
128,1126,4825,22.11,12.55,1.06,13.28,1.664
129,1128,4825,22.11,12.55,1.06,13.29,1.664
130,1128,4825,22.06,12.55,1.07,13.46,1.639
131,1130,4825,22.48,12.55,1.07,13.41,1.676
132,1130,4825,22.64,12.55,1.07,13.39,1.691
133,1132,4825,22.55,12.55,1.07,13.42,1.681
134,1132,4825,22.73,12.55,1.07,13.46,1.689
135,1134,4825,23.10,12.55,1.07,13.48,1.714
136,1134,4825,23.28,12.55,1.08,13.59,1.713
137,1136,4825,23.23,12.55,1.09,13.66,1.701
138,1136,4825,23.29,12.55,1.09,13.63,1.708
139,1138,4825,23.44,12.55,1.09,13.68,1.714
140,1138,4825,23.81,12.55,1.09,13.69,1.739
141,1140,4825,24.12,12.55,1.09,13.71,1.759
142,1140,4825,23.96,12.55,1.10,13.86,1.729
143,1142,4825,24.12,12.55,1.10,13.85,1.742
144,1142,4825,24.25,12.55,1.10,13.80,1.757
145,1144,4825,24.55,12.55,1.12,14.01,1.753
146,1144,4825,24.79,12.55,1.11,13.94,1.778
147,1146,4825,24.67,12.55,1.12,14.09,1.751
148,1146,4825,24.70,12.55,1.12,14.07,1.756
149,1148,4834,25.34,12.55,1.13,14.15,1.791
150,1148,4834,25.69,12.55,1.13,14.16,1.814
151,1150,4834,26.15,12.55,1.13,14.17,1.845
152,1150,4834,26.66,12.55,1.14,14.34,1.859
153,1152,4834,27.78,12.55,1.14,14.32,1.940
154,1152,4834,28.26,12.55,1.14,14.31,1.974
155,1154,4834,28.87,12.55,1.14,14.28,2.022
156,1154,4834,29.06,12.55,1.14,14.35,2.025
157,1156,4834,29.62,12.55,1.14,14.28,2.075
158,1156,4834,30.13,12.55,1.15,14.49,2.079
159,1158,4834,30.34,12.55,1.16,14.58,2.081
160,1158,4834,30.67,12.55,1.17,14.69,2.088
161,1160,4834,31.16,12.55,1.17,14.65,2.128
162,1160,4834,31.34,12.55,1.18,14.77,2.123
163,1162,4834,31.22,12.55,1.18,14.75,2.116
164,1162,4834,31.55,12.55,1.17,14.71,2.145
165,1164,4834,31.91,12.55,1.18,14.79,2.157
166,1164,4834,31.57,12.55,1.18,14.86,2.125
167,1166,4834,31.59,12.55,1.18,14.86,2.126
168,1166,4834,31.88,12.55,1.19,14.90,2.139
169,1168,4834,32.10,12.55,1.20,15.04,2.134
170,1168,4834,32.01,12.55,1.19,14.94,2.143
171,1170,4834,32.17,12.55,1.20,15.08,2.133
172,1170,4834,32.20,12.55,1.21,15.17,2.122
173,1172,4834,32.47,12.55,1.20,15.11,2.148
174,1172,4834,32.59,12.55,1.22,15.33,2.126
175,1174,4834,32.73,12.55,1.22,15.26,2.145
176,1174,4834,32.87,12.55,1.21,15.24,2.156
177,1176,4834,33.34,12.55,1.22,15.26,2.185
178,1176,4834,33.48,12.55,1.21,15.23,2.198
179,1178,4834,33.60,12.55,1.21,15.24,2.204
180,1178,4834,33.75,12.55,1.23,15.38,2.193
181,1180,4834,33.69,12.55,1.23,15.47,2.177
182,1180,4834,33.75,12.55,1.23,15.47,2.182
183,1182,4834,34.12,12.55,1.24,15.56,2.193
184,1182,4834,34.38,12.55,1.24,15.58,2.207
185,1184,4834,34.66,12.55,1.24,15.60,2.222
186,1184,4902,34.85,12.55,1.25,15.66,2.226
187,1186,4902,34.81,12.55,1.25,15.63,2.228
188,1186,4902,35.37,12.55,1.24,15.60,2.267
189,1188,4902,35.68,12.55,1.25,15.65,2.280
190,1188,4902,35.62,12.55,1.25,15.69,2.270
