seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.683,0.711
2,1000,0,0.00,16.690,0.727
3,1002,0,0.00,16.691,0.718
4,1002,0,0.00,16.687,0.728
5,1004,0,0.00,16.692,0.729
6,1004,0,0.00,16.691,0.721
7,1006,0,0.00,16.694,0.717
8,1006,0,0.00,16.692,0.727
9,1008,0,0.00,16.690,0.721
10,1008,0,0.00,16.692,0.720
11,1010,0,0.00,16.693,0.718
12,1010,0,0.00,16.694,0.719
13,1012,0,0.00,16.690,0.722
14,1012,0,0.00,16.684,0.712
15,1014,0,0.00,16.684,0.735
16,1014,0,0.00,16.685,0.736
17,1016,0,0.00,16.684,0.746
18,1016,0,0.00,16.683,0.885
19,1018,0,1.21,16.676,1.209
20,1018,0,3.42,16.676,1.293
21,1020,0,4.92,16.674,1.250
22,1020,0,6.02,16.677,1.173
23,1022,0,6.71,16.675,1.081
24,1022,0,7.49,16.675,1.040
25,1024,0,8.54,16.678,1.028
26,1024,0,9.44,16.678,1.004
27,1026,0,10.22,16.679,0.966
28,1026,0,10.70,16.678,0.944
29,1028,0,10.91,16.679,0.927
30,1028,0,11.52,16.681,0.920
31,1030,0,12.18,16.684,0.918
32,1030,0,13.04,16.683,0.917
33,1032,0,13.42,16.685,0.914
34,1032,0,13.11,16.680,0.900
35,1034,0,13.15,16.681,0.900
36,1034,0,13.90,16.676,0.905
37,1036,0,14.51,16.681,0.907
38,1036,0,14.55,16.686,0.920
39,1038,0,14.84,16.684,0.916
40,1038,0,15.20,16.682,0.912
41,1040,0,15.32,16.678,0.916
42,1040,0,16.26,16.676,0.914
43,1042,0,16.76,16.682,0.914
44,1042,0,16.67,16.677,0.926
45,1044,0,16.65,16.681,0.920
46,1044,0,16.88,16.680,0.929
47,1046,0,17.34,16.677,0.933
48,1046,0,18.03,16.678,0.934
49,1048,0,18.25,16.681,0.928
50,1048,0,17.91,16.680,0.939
51,1050,0,17.78,16.677,0.940
52,1050,0,18.31,16.679,0.936
53,1052,0,18.76,16.678,0.951
54,1052,0,19.06,16.685,0.961
55,1054,0,19.85,16.683,0.954
56,1054,0,20.53,16.683,0.955
57,1056,0,20.72,16.677,0.963
58,1056,0,21.09,16.677,0.958
59,1058,0,21.66,16.682,0.967
60,1058,0,21.97,16.676,0.968
61,1060,0,23.19,16.679,0.973
62,1060,0,23.39,16.678,0.957
63,1062,0,23.32,16.682,0.971
64,1062,0,23.31,16.678,0.982
65,1064,0,23.35,16.676,0.979
66,1064,0,23.80,16.683,0.984
67,1066,0,23.80,16.680,0.981
68,1066,0,24.08,16.682,0.997
69,1068,0,24.30,16.678,0.995
70,1068,0,24.77,16.682,0.992
71,1070,0,24.76,16.680,0.988
72,1070,0,24.64,16.679,0.998
73,1072,0,24.82,16.679,0.998
74,1072,0,25.04,16.677,0.998
75,1074,0,25.40,16.678,0.999
76,1074,0,25.49,16.680,1.018
77,1076,0,25.66,16.681,1.022
78,1076,0,25.97,16.678,1.023
79,1078,0,26.82,16.680,1.020
80,1078,0,26.81,16.679,1.025
81,1080,0,26.94,16.679,1.032
82,1080,0,26.96,16.678,1.033
83,1082,0,27.46,16.681,1.035
84,1082,0,27.84,16.681,1.045
85,1084,0,27.79,16.676,1.041
86,1084,0,28.44,16.675,1.050
87,1086,0,28.62,16.673,1.042
88,1086,0,28.95,16.675,1.060
89,1088,0,29.14,16.675,1.067
90,1088,0,29.31,16.679,1.058
91,1090,0,29.70,16.681,1.071
92,1090,0,30.25,16.676,1.071
93,1092,0,30.98,16.681,1.067
94,1092,0,31.42,16.682,1.084
95,1094,0,31.69,16.677,1.071
96,1094,0,32.16,16.677,1.082
97,1096,0,33.47,16.675,1.087
98,1096,0,33.86,16.679,1.102
99,1098,0,34.44,16.678,1.096
100,1098,0,34.91,16.675,1.102
101,1100,0,35.07,16.675,1.094
102,1100,0,35.31,16.675,1.096
103,1102,0,35.40,16.676,1.110
104,1102,0,35.28,16.680,1.112
105,1104,0,35.25,16.681,1.108
106,1104,0,35.58,16.679,1.121
107,1106,0,35.79,16.681,1.132
108,1106,0,36.12,16.674,1.143
109,1108,0,36.58,16.678,1.138
110,1108,0,36.52,16.678,1.133
111,1110,0,36.33,16.677,1.127
112,1110,0,36.81,16.678,1.146
113,1112,0,37.17,16.681,1.155
114,1112,0,37.82,16.675,1.140
115,1114,0,37.66,16.679,1.151
116,1114,0,37.79,16.680,1.159
117,1116,0,38.15,16.672,1.176
118,1116,0,38.13,16.674,1.175
119,1118,0,38.64,16.679,1.167
120,1118,0,38.99,16.673,1.162
121,1120,0,39.52,16.670,1.173
122,1120,0,39.67,16.677,1.183
123,1122,0,39.45,16.673,1.183
124,1122,0,39.75,16.679,1.186
125,1124,0,40.04,16.679,1.202
126,1124,0,40.44,16.678,1.190
127,1126,0,40.78,16.673,1.191
128,1126,0,41.11,16.675,1.184
129,1128,0,41.84,16.669,1.193
130,1128,0,42.00,16.675,1.204
131,1130,0,42.04,16.674,1.198
132,1130,0,42.25,16.676,1.216
133,1132,0,43.06,16.671,1.206
134,1132,0,43.09,16.675,1.197
135,1134,0,43.24,16.677,1.217
136,1134,0,43.60,16.673,1.225
137,1136,0,43.72,16.671,1.227
138,1136,0,44.00,16.674,1.231
139,1138,0,44.11,16.678,1.246
140,1138,0,44.41,16.673,1.250
141,1140,0,44.83,16.672,1.248
142,1140,0,45.13,16.673,1.245
143,1142,0,46.03,16.669,1.256
144,1142,0,46.36,16.676,1.261
145,1144,0,46.30,16.675,1.260
146,1144,0,46.66,16.676,1.274
147,1146,0,46.95,16.672,1.277
148,1146,0,48.32,16.671,1.282
149,1148,0,48.70,16.674,1.291
150,1148,0,49.06,16.669,1.302
151,1150,0,49.48,16.673,1.311
152,1150,0,49.65,16.671,1.307
153,1152,0,49.80,16.676,1.300
154,1152,0,50.43,16.670,1.297
155,1154,0,51.93,16.668,1.308
156,1154,0,52.26,16.673,1.326
157,1156,0,52.88,16.673,1.329
158,1156,0,53.53,16.673,1.322
159,1158,0,53.91,16.674,1.326
160,1158,0,54.06,16.668,1.334
161,1160,0,54.49,16.675,1.341
162,1160,0,54.77,16.672,1.351
163,1162,0,56.13,16.669,1.348
164,1162,0,56.82,16.674,1.353
165,1164,0,56.89,16.671,1.360
166,1164,0,56.97,16.673,1.375
167,1166,0,57.85,16.669,1.372
168,1166,0,58.50,16.673,1.385
169,1168,0,58.88,16.672,1.400
170,1168,0,60.48,16.671,1.392
171,1170,0,60.77,16.672,1.403
172,1170,0,61.64,16.678,1.414
173,1172,0,62.53,16.672,1.422
174,1172,0,63.05,16.671,1.434
175,1174,0,63.46,16.674,1.407
176,1174,0,64.43,16.670,1.435
177,1176,0,65.41,16.667,1.427
178,1176,0,65.91,16.672,1.457
179,1178,0,66.33,16.668,1.456
180,1178,0,66.34,16.669,1.465
181,1180,0,66.76,16.672,1.459
182,1180,0,67.32,16.669,1.475
183,1182,0,67.79,16.671,1.476
184,1182,0,68.13,16.671,1.489
185,1184,0,68.38,16.667,1.495
186,1184,0,68.71,16.668,1.493
187,1186,0,69.53,16.671,1.496
188,1186,0,70.08,16.665,1.511
189,1188,0,71.42,16.673,1.559
190,1188,0,72.56,16.669,1.549
191,1190,0,73.92,16.666,1.536
192,1190,0,75.45,16.671,1.529
193,1192,0,75.57,16.668,1.542
194,1192,0,76.46,16.665,1.569
195,1194,0,76.63,16.672,1.565
196,1194,0,76.73,16.670,1.576
197,1196,0,76.92,16.671,1.572
198,1196,0,77.74,16.674,1.580
199,1198,0,77.89,16.665,1.589
200,1198,0,78.54,16.667,1.619
201,1200,0,78.64,16.666,1.635
202,1200,0,79.20,16.666,1.636
203,1202,0,79.75,16.667,1.640
204,1202,0,80.66,16.668,1.645
205,1204,0,81.39,16.665,1.662
206,1204,0,81.80,16.666,1.670
207,1206,0,82.48,16.665,1.680
208,1206,0,82.66,16.671,1.697
209,1208,0,83.59,16.664,1.703
210,1208,0,84.28,16.664,1.714
211,1210,0,84.73,16.664,1.732
212,1210,0,85.17,16.664,1.747
213,1212,0,85.90,16.663,1.751
214,1212,0,87.21,16.663,1.746
215,1214,0,87.79,16.665,1.762
216,1214,0,88.25,16.666,1.774
217,1216,9402,88.87,16.662,1.774
218,1216,9505,89.81,16.666,1.782
219,1218,9531,90.37,16.665,1.785
220,1218,9574,91.00,16.666,1.809
221,1220,9617,92.30,16.658,1.797
222,1220,9642,92.28,16.664,1.823
223,1222,9677,92.51,16.661,1.825
224,1222,9711,93.20,16.666,1.821
225,1224,9745,93.76,16.663,1.831
226,1224,9771,94.20,16.666,1.851
227,1226,9805,94.35,16.664,1.844
228,1226,9840,95.72,16.663,1.859
229,1228,9865,95.49,16.663,1.855
230,1228,9900,96.37,16.658,1.870
231,1230,9934,97.17,16.657,1.871
232,1230,9968,97.41,16.664,1.885
233,1232,10002,97.57,16.657,1.893
234,1232,10011,98.13,16.665,1.899
235,1234,10037,98.77,16.661,1.902
236,1234,10054,99.22,16.661,1.914
237,1236,10080,99.66,16.662,1.920
238,1236,10105,100.25,16.659,1.946
239,1238,10140,100.52,16.662,1.947
240,1238,10174,100.87,16.656,1.943
241,1240,10200,101.01,16.660,1.936
242,1240,10225,101.82,16.661,1.962
243,1242,10242,102.22,16.660,1.951
244,1242,10260,102.72,16.660,1.975
245,1244,10294,103.00,16.659,1.985
246,1244,10311,103.31,16.659,1.996
247,1246,10337,103.41,16.658,2.006
248,1246,10362,104.06,16.658,2.010
249,1248,10397,105.18,16.655,2.026
250,1248,10422,105.61,16.658,2.017
251,1250,10440,105.80,16.663,2.028
252,1250,10448,106.47,16.658,2.041
253,1252,10457,106.95,16.656,2.046
254,1252,10500,107.27,16.659,2.048
255,1254,10525,107.29,16.657,2.064
256,1254,10560,108.19,16.657,2.075
