seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.556,0.701
2,1000,0,0.00,12.561,0.724
3,1002,0,0.00,12.563,0.710
4,1002,0,0.00,12.565,0.706
5,1004,0,0.00,12.567,0.702
6,1004,0,0.00,12.562,0.702
7,1006,0,0.00,12.564,0.710
8,1006,0,0.00,12.565,0.710
9,1008,0,0.00,12.562,0.708
10,1008,0,0.00,12.564,0.709
11,1010,0,0.00,12.565,0.714
12,1010,0,0.00,12.562,0.718
13,1012,0,0.00,12.561,0.704
14,1012,0,0.00,12.559,0.701
15,1014,0,0.00,12.558,0.719
16,1014,0,0.00,12.560,0.725
17,1016,0,0.00,12.557,0.727
18,1016,0,0.00,12.553,0.842
19,1018,0,0.00,12.553,1.128
20,1018,0,0.00,12.551,1.223
21,1020,0,0.00,12.552,1.182
22,1020,0,0.00,12.555,1.110
23,1022,0,1.71,12.554,1.027
24,1022,0,2.24,12.558,0.976
25,1024,0,2.14,12.551,0.933
26,1024,0,2.13,12.554,0.919
27,1026,0,2.37,12.557,0.919
28,1026,0,2.84,12.558,0.907
29,1028,0,3.26,12.555,0.884
30,1028,0,3.57,12.559,0.881
31,1030,0,3.32,12.559,0.873
32,1030,0,3.46,12.557,0.869
33,1032,0,3.67,12.555,0.862
34,1032,0,3.98,12.554,0.860
35,1034,0,3.90,12.560,0.849
36,1034,0,4.43,12.555,0.846
37,1036,0,5.01,12.557,0.855
38,1036,0,4.45,12.560,0.858
39,1038,0,4.66,12.558,0.847
40,1038,0,5.10,12.555,0.862
41,1040,0,5.34,12.557,0.848
42,1040,0,5.34,12.557,0.863
43,1042,0,5.00,12.557,0.853
44,1042,0,5.47,12.556,0.869
45,1044,0,5.33,12.554,0.874
46,1044,0,5.03,12.552,0.868
47,1046,0,4.98,12.556,0.873
48,1046,0,5.33,12.557,0.870
49,1048,0,5.60,12.556,0.868
50,1048,0,5.46,12.559,0.875
51,1050,0,5.73,12.552,0.875
52,1050,0,6.08,12.560,0.875
53,1052,0,6.42,12.552,0.875
54,1052,0,6.58,12.553,0.880
55,1054,0,6.70,12.553,0.874
56,1054,0,7.01,12.556,0.879
57,1056,0,7.11,12.553,0.879
58,1056,0,7.38,12.553,0.889
59,1058,0,8.61,12.555,0.889
60,1058,0,9.07,12.557,0.892
61,1060,0,9.11,12.556,0.889
62,1060,0,8.94,12.557,0.891
63,1062,0,9.13,12.556,0.897
64,1062,0,9.27,12.559,0.901
65,1064,0,9.12,12.553,0.895
66,1064,0,9.71,12.551,0.901
67,1066,0,9.33,12.556,0.908
68,1066,0,9.25,12.553,0.905
69,1068,0,9.31,12.555,0.904
70,1068,0,9.54,12.551,0.907
71,1070,0,9.51,12.555,0.903
72,1070,0,9.71,12.557,0.912
73,1072,0,9.53,12.552,0.915
74,1072,0,9.36,12.555,0.918
75,1074,0,9.40,12.553,0.916
76,1074,0,9.83,12.559,0.922
77,1076,0,9.99,12.554,0.924
