seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.583,0.701
2,1000,0,0.00,12.586,0.700
3,1002,0,0.00,12.579,0.703
4,1002,0,0.00,12.586,0.717
5,1004,0,0.00,12.586,0.712
6,1004,0,0.00,12.587,0.706
7,1006,0,0.00,12.586,0.708
8,1006,0,0.00,12.582,0.691
9,1008,0,0.00,12.587,0.712
10,1008,0,0.00,12.588,0.712
11,1010,0,0.00,12.586,0.717
12,1010,0,0.00,12.590,0.708
13,1012,0,0.00,12.585,0.704
14,1012,0,0.00,12.581,0.688
15,1014,0,0.00,12.579,0.711
16,1014,0,0.00,12.577,0.711
17,1016,0,0.00,12.580,0.721
18,1016,0,0.00,12.577,0.821
19,1018,0,0.00,12.570,1.123
20,1018,0,3.07,12.566,1.240
21,1020,0,5.08,12.572,1.224
22,1020,0,5.26,12.572,1.183
23,1022,0,6.45,12.571,1.087
24,1022,0,7.13,12.575,1.034
25,1024,0,8.12,12.571,0.986
26,1024,0,8.47,12.570,0.952
27,1026,0,8.85,12.575,0.950
28,1026,0,9.34,12.573,0.935
29,1028,0,9.81,12.576,0.922
30,1028,0,9.94,12.572,0.901
31,1030,0,10.88,12.574,0.889
32,1030,0,11.05,12.577,0.901
33,1032,0,11.79,12.573,0.893
34,1032,0,12.04,12.576,0.884
35,1034,0,12.86,12.575,0.873
36,1034,0,12.27,12.579,0.870
37,1036,0,12.44,12.576,0.872
38,1036,0,13.10,12.580,0.878
39,1038,0,13.09,12.574,0.864
40,1038,0,13.59,12.577,0.868
41,1040,0,13.61,12.576,0.869
42,1040,0,13.34,12.576,0.865
43,1042,0,14.16,12.575,0.871
44,1042,0,14.56,12.575,0.877
45,1044,0,15.54,12.568,0.885
46,1044,0,15.73,12.575,0.889
47,1046,0,15.89,12.575,0.882
48,1046,0,16.27,12.570,0.882
49,1048,0,16.40,12.577,0.883
50,1048,0,16.48,12.579,0.881
51,1050,0,16.89,12.573,0.887
52,1050,0,17.50,12.578,0.891
53,1052,0,17.59,12.575,0.898
54,1052,0,17.79,12.576,0.897
55,1054,0,17.96,12.574,0.898
56,1054,0,18.33,12.575,0.897
57,1056,0,19.06,12.575,0.901
58,1056,0,19.45,12.570,0.901
59,1058,0,18.94,12.573,0.906
60,1058,0,19.39,12.574,0.912
61,1060,0,19.62,12.575,0.910
62,1060,0,19.82,12.573,0.911
63,1062,0,20.11,12.575,0.910
64,1062,0,20.42,12.576,0.917
65,1064,0,20.79,12.571,0.921
66,1064,0,21.16,12.575,0.925
67,1066,0,21.86,12.576,0.923
68,1066,0,21.56,12.574,0.930
69,1068,0,21.79,12.576,0.932
70,1068,0,22.29,12.576,0.936
71,1070,0,22.27,12.569,0.927
72,1070,0,22.42,12.571,0.929
73,1072,0,22.76,12.573,0.937
74,1072,0,23.21,12.575,0.934
75,1074,0,23.66,12.573,0.946
76,1074,0,23.88,12.574,0.963
