seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.75,0.72,12.12,0.000
2,1000,0,0.00,16.75,0.72,12.09,0.000
3,1002,0,0.00,16.75,0.72,12.14,0.000
4,1002,0,0.00,16.75,0.72,12.08,0.000
5,1004,0,0.00,16.75,0.72,12.12,0.000
6,1004,0,0.00,16.75,0.73,12.16,0.000
7,1006,0,0.00,16.75,0.72,12.00,0.000
8,1006,0,0.00,16.75,0.72,12.07,0.000
9,1008,0,0.00,16.75,0.72,12.14,0.000
10,1008,0,0.00,16.75,0.72,12.02,0.000
11,1010,0,0.00,16.75,0.72,12.09,0.000
12,1010,0,0.00,16.75,0.72,12.14,0.000
13,1012,0,0.00,16.75,0.72,12.13,0.000
14,1012,0,0.00,16.74,0.70,11.79,0.000
15,1014,0,0.00,16.74,0.72,12.04,0.000
16,1014,0,0.00,16.74,0.72,12.01,0.000
17,1016,0,0.00,16.74,0.73,12.25,0.000
18,1016,0,0.00,16.73,0.91,15.14,0.000
19,1018,0,0.61,16.72,1.29,21.59,0.028
20,1018,0,3.13,16.72,1.42,23.77,0.132
21,1020,0,6.48,16.72,1.39,23.18,0.279
22,1020,0,7.17,16.72,1.31,21.96,0.326
23,1022,0,8.10,16.72,1.22,20.34,0.398
24,1022,0,8.97,16.72,1.15,19.18,0.468
25,1024,0,9.88,16.73,1.10,18.32,0.539
26,1024,0,11.31,16.73,1.06,17.74,0.638
27,1026,0,12.73,16.73,1.04,17.42,0.731
28,1026,0,15.13,16.73,1.01,16.95,0.893
29,1028,0,16.00,16.73,0.99,16.60,0.964
30,1028,0,17.09,16.73,0.97,16.29,1.049
31,1030,0,17.77,16.73,0.96,16.08,1.105
32,1030,0,18.63,16.73,0.95,15.85,1.176
33,1032,0,19.10,16.73,0.94,15.76,1.212
34,1032,0,20.23,16.73,0.93,15.63,1.294
35,1034,0,21.41,16.73,0.93,15.60,1.373
36,1034,0,21.46,16.73,0.94,15.64,1.372
37,1036,0,21.74,16.73,0.93,15.51,1.402
38,1036,0,22.33,16.73,0.94,15.66,1.426
39,1038,0,23.00,16.73,0.94,15.79,1.456
40,1038,0,23.46,16.73,0.93,15.63,1.501
41,1040,0,24.27,16.73,0.93,15.59,1.557
42,1040,0,25.09,16.73,0.94,15.68,1.599
43,1042,0,26.05,16.73,0.94,15.73,1.656
44,1042,0,26.46,16.73,0.94,15.79,1.676
45,1044,0,26.51,16.73,0.95,15.85,1.672
46,1044,0,26.73,16.73,0.94,15.73,1.699
47,1046,0,27.26,16.73,0.94,15.81,1.724
48,1046,0,27.89,16.74,0.95,15.87,1.757
49,1048,0,27.90,16.73,0.96,16.12,1.731
50,1048,0,28.25,16.72,0.96,16.00,1.766
51,1050,0,28.64,16.73,0.97,16.22,1.766
52,1050,0,29.54,16.73,0.98,16.35,1.806
53,1052,0,30.12,16.73,0.98,16.39,1.838
54,1052,0,30.41,16.73,0.99,16.64,1.827
55,1054,0,30.60,16.73,0.99,16.49,1.855
56,1054,0,30.59,16.73,0.98,16.45,1.860
57,1056,0,31.50,16.73,0.98,16.46,1.914
58,1056,0,31.73,16.73,0.98,16.46,1.928
59,1058,0,32.09,16.73,0.99,16.61,1.931
60,1058,0,32.36,16.73,1.00,16.68,1.940
61,1060,0,32.54,16.73,1.00,16.76,1.941
62,1060,0,33.22,16.73,1.01,16.87,1.969
63,1062,0,34.45,16.73,1.01,16.94,2.034
64,1062,0,34.97,16.73,1.02,17.12,2.042
65,1064,0,35.54,16.73,1.01,16.91,2.102
66,1064,0,36.06,16.73,1.01,16.98,2.124
67,1066,0,36.36,16.73,1.02,17.06,2.131
68,1066,0,36.80,16.73,1.03,17.21,2.138
69,1068,0,37.16,16.73,1.03,17.21,2.159
70,1068,0,38.06,16.73,1.03,17.30,2.200
71,1070,0,38.45,16.73,1.04,17.43,2.205
72,1070,0,38.75,16.73,1.05,17.52,2.211
73,1072,0,39.39,16.73,1.05,17.49,2.252
74,1072,0,39.81,16.73,1.06,17.67,2.253
75,1074,0,39.72,16.73,1.06,17.76,2.236
76,1074,0,39.88,16.73,1.06,17.78,2.243
77,1076,0,40.29,16.73,1.07,17.82,2.261
78,1076,0,40.64,16.73,1.07,17.83,2.280
79,1078,0,40.70,16.73,1.07,17.90,2.274
80,1078,0,41.34,16.73,1.07,17.86,2.314
81,1080,0,41.83,16.73,1.08,18.00,2.324
82,1080,0,41.78,16.73,1.08,18.10,2.309
83,1082,0,42.23,16.73,1.08,18.12,2.331
84,1082,0,42.69,16.73,1.09,18.29,2.334
85,1084,0,42.90,16.73,1.09,18.29,2.345
86,1084,0,43.61,16.73,1.10,18.32,2.381
87,1086,0,43.89,16.73,1.10,18.39,2.387
88,1086,0,43.81,16.73,1.10,18.48,2.370
89,1088,0,44.17,16.73,1.11,18.55,2.382
90,1088,0,44.61,16.72,1.12,18.79,2.374
91,1090,0,45.07,16.73,1.12,18.81,2.396
92,1090,0,45.78,16.73,1.13,18.83,2.431
93,1092,0,46.17,16.72,1.13,18.85,2.450
94,1092,0,46.55,16.72,1.13,18.95,2.457
95,1094,0,46.80,16.72,1.14,19.02,2.461
96,1094,0,47.23,16.72,1.14,19.11,2.472
97,1096,0,47.31,16.73,1.15,19.24,2.459
98,1096,0,47.67,16.73,1.16,19.33,2.466
99,1098,0,48.03,16.72,1.16,19.32,2.486
100,1098,0,48.37,16.72,1.16,19.44,2.488
101,1100,0,49.56,16.72,1.15,19.29,2.569
102,1100,0,50.33,16.72,1.17,19.54,2.576
103,1102,0,50.78,16.72,1.17,19.48,2.606
