seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.70,8.86,0.000
2,1000,0,0.00,12.59,0.70,8.83,0.000
3,1002,0,0.00,12.59,0.70,8.87,0.000
4,1002,0,0.00,12.59,0.71,8.91,0.000
5,1004,0,0.00,12.59,0.71,8.95,0.000
6,1004,0,0.00,12.59,0.70,8.83,0.000
7,1006,0,0.00,12.59,0.70,8.83,0.000
8,1006,0,0.00,12.59,0.70,8.78,0.000
9,1008,0,0.00,12.59,0.71,8.92,0.000
10,1008,0,0.00,12.59,0.71,8.92,0.000
11,1010,0,0.00,12.59,0.71,8.91,0.000
12,1010,0,0.00,12.59,0.71,8.90,0.000
13,1012,0,0.00,12.59,0.71,8.88,0.000
14,1012,0,0.00,12.59,0.70,8.76,0.000
15,1014,0,0.00,12.59,0.71,8.93,0.000
16,1014,0,0.00,12.58,0.71,8.98,0.000
17,1016,0,0.00,12.58,0.72,9.04,0.000
18,1016,0,0.00,12.58,0.84,10.52,0.000
19,1018,0,0.00,12.58,1.09,13.67,0.000
20,1018,0,2.50,12.57,1.17,14.71,0.170
21,1020,0,4.31,12.58,1.15,14.49,0.297
22,1020,0,4.78,12.58,1.11,13.97,0.342
23,1022,0,5.83,12.58,1.04,13.07,0.446
24,1022,0,6.16,12.58,1.00,12.54,0.491
25,1024,0,6.90,12.58,0.96,12.03,0.573
26,1024,0,7.33,12.58,0.94,11.82,0.620
27,1026,0,7.82,12.58,0.93,11.74,0.666
28,1026,0,8.46,12.58,0.92,11.62,0.728
29,1028,0,8.71,12.58,0.91,11.47,0.759
30,1028,0,9.48,12.58,0.90,11.29,0.840
31,1030,0,10.09,12.58,0.89,11.14,0.906
32,1030,0,10.68,12.59,0.89,11.22,0.952
33,1032,0,11.17,12.58,0.88,11.09,1.007
34,1032,0,11.55,12.58,0.87,11.00,1.050
35,1034,0,11.93,12.58,0.87,10.98,1.087
36,1034,0,12.00,12.58,0.87,10.93,1.098
37,1036,0,12.02,12.58,0.87,10.96,1.097
38,1036,0,12.87,12.58,0.87,11.00,1.169
39,1038,0,12.80,12.58,0.87,10.92,1.173
40,1038,0,13.26,12.58,0.87,10.95,1.211
41,1040,0,13.34,12.58,0.86,10.86,1.228
42,1040,0,13.38,12.58,0.87,10.89,1.229
43,1042,0,13.88,12.58,0.88,11.04,1.257
44,1042,0,14.39,12.58,0.88,11.01,1.307
45,1044,0,15.43,12.58,0.88,11.11,1.390
46,1044,0,15.44,12.58,0.89,11.17,1.382
47,1046,0,15.64,12.58,0.88,11.12,1.408
48,1046,0,15.90,12.58,0.88,11.11,1.432
49,1048,0,16.02,12.58,0.88,11.10,1.444
50,1048,0,16.27,12.58,0.88,11.12,1.463
51,1050,0,16.61,12.58,0.89,11.20,1.484
52,1050,0,16.99,12.58,0.89,11.23,1.513
53,1052,0,17.11,12.58,0.90,11.26,1.520
54,1052,0,17.20,12.58,0.89,11.25,1.528
55,1054,0,17.33,12.58,0.90,11.26,1.539
56,1054,0,17.64,12.58,0.89,11.25,1.568
57,1056,0,18.29,12.58,0.90,11.30,1.619
58,1056,0,18.56,12.58,0.90,11.33,1.638
59,1058,0,18.63,12.58,0.90,11.38,1.638
60,1058,0,18.75,12.58,0.91,11.49,1.631
61,1060,0,18.80,12.58,0.91,11.47,1.639
62,1060,0,19.12,12.58,0.91,11.48,1.666
63,1062,0,19.53,12.58,0.91,11.44,1.707
64,1062,0,19.78,12.58,0.92,11.53,1.716
65,1064,0,20.20,12.58,0.93,11.64,1.736
66,1064,0,20.16,12.58,0.93,11.64,1.731
67,1066,0,20.87,12.58,0.93,11.66,1.790
68,1066,0,20.84,12.58,0.93,11.72,1.779
69,1068,0,20.96,12.58,0.93,11.71,1.790
70,1068,0,21.27,12.59,0.93,11.75,1.811
71,1070,0,21.36,12.58,0.93,11.70,1.825
72,1070,0,21.50,12.58,0.94,11.77,1.827
73,1072,0,21.80,12.58,0.94,11.85,1.840
74,1072,0,22.57,12.58,0.93,11.74,1.922
75,1074,0,22.99,12.58,0.94,11.87,1.936
76,1074,0,23.17,12.58,0.96,12.03,1.926
77,1076,0,23.52,12.58,0.94,11.87,1.980
78,1076,0,23.88,12.58,0.95,11.94,2.000
79,1078,0,24.02,12.58,0.95,11.98,2.005
80,1078,0,24.30,12.58,0.95,12.01,2.024
81,1080,0,24.65,12.58,0.96,12.12,2.034
82,1080,0,24.93,12.58,0.97,12.18,2.046
83,1082,0,25.12,12.58,0.97,12.19,2.061
84,1082,0,25.59,12.58,0.97,12.19,2.100
85,1084,0,26.01,12.58,0.98,12.37,2.102
86,1084,0,26.20,12.58,0.97,12.25,2.138
87,1086,0,26.55,12.58,0.97,12.23,2.170
88,1086,0,26.92,12.58,0.98,12.33,2.183
