seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.724,0.723
2,1000,0,0.00,16.726,0.716
3,1002,0,0.00,16.724,0.729
4,1002,0,0.00,16.725,0.723
5,1004,0,0.00,16.729,0.728
6,1004,0,0.00,16.729,0.726
7,1006,0,0.00,16.726,0.720
8,1006,0,0.00,16.729,0.723
9,1008,0,0.00,16.729,0.725
10,1008,0,0.00,16.726,0.718
11,1010,0,0.00,16.724,0.717
12,1010,0,0.00,16.724,0.718
13,1012,0,0.00,16.728,0.724
14,1012,0,0.00,16.721,0.711
15,1014,0,0.00,16.713,0.726
16,1014,0,0.00,16.715,0.714
17,1016,0,0.00,16.714,0.738
18,1016,0,0.00,16.710,0.900
19,1018,0,1.22,16.690,1.332
20,1018,0,3.71,16.690,1.506
21,1020,0,4.48,16.691,1.495
22,1020,0,5.00,16.695,1.423
23,1022,0,6.03,16.698,1.315
24,1022,0,7.12,16.700,1.210
25,1024,0,7.96,16.702,1.122
26,1024,0,10.00,16.702,1.093
27,1026,0,10.54,16.706,1.076
28,1026,0,12.36,16.704,1.036
29,1028,0,13.62,16.710,1.012
30,1028,0,14.73,16.709,0.989
31,1030,0,15.46,16.706,0.982
32,1030,0,16.07,16.707,0.962
33,1032,0,16.33,16.705,0.959
34,1032,0,18.29,16.701,0.944
35,1034,0,19.63,16.709,0.937
36,1034,0,19.69,16.708,0.940
37,1036,0,20.03,16.711,0.929
38,1036,0,20.41,16.712,0.945
39,1038,0,20.98,16.707,0.950
40,1038,0,21.83,16.711,0.940
41,1040,0,22.23,16.707,0.932
42,1040,0,22.88,16.707,0.941
43,1042,0,23.73,16.702,0.939
44,1042,0,24.36,16.709,0.944
45,1044,0,24.66,16.713,0.952
46,1044,0,24.64,16.711,0.938
47,1046,0,24.91,16.709,0.949
48,1046,0,25.90,16.712,0.949
49,1048,0,25.71,16.709,0.962
50,1048,0,25.93,16.704,0.955
51,1050,0,26.73,16.702,0.974
52,1050,0,27.52,16.709,0.982
53,1052,0,28.11,16.709,0.983
54,1052,0,28.19,16.706,1.000
55,1054,0,28.35,16.708,0.982
56,1054,0,28.41,16.708,0.984
57,1056,0,29.11,16.705,0.991
58,1056,0,29.45,16.711,0.988
59,1058,0,29.56,16.710,0.997
60,1058,0,29.81,16.706,1.000
61,1060,0,30.35,16.706,1.011
62,1060,0,30.95,16.705,1.007
63,1062,0,32.53,16.704,1.022
64,1062,0,32.45,16.706,1.013
