seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.73,0.73,12.15,0.000
2,1000,0,0.00,16.73,0.72,12.03,0.000
3,1002,0,0.00,16.73,0.72,12.04,0.000
4,1002,0,0.00,16.73,0.72,11.99,0.000
5,1004,0,0.00,16.74,0.71,11.96,0.000
6,1004,0,0.00,16.73,0.72,12.10,0.000
7,1006,0,0.00,16.73,0.72,12.11,0.000
8,1006,0,0.00,16.74,0.73,12.18,0.000
9,1008,0,0.00,16.73,0.73,12.15,0.000
10,1008,0,0.00,16.73,0.72,12.07,0.000
11,1010,0,0.00,16.73,0.73,12.16,0.000
12,1010,0,0.00,16.73,0.72,12.06,0.000
13,1012,0,0.00,16.73,0.72,12.06,0.000
14,1012,0,0.00,16.73,0.71,11.89,0.000
15,1014,0,0.00,16.73,0.73,12.20,0.000
16,1014,0,0.00,16.72,0.74,12.40,0.000
17,1016,0,0.00,16.73,0.75,12.48,0.000
18,1016,0,0.00,16.72,0.94,15.78,0.000
19,1018,0,0.70,16.71,1.30,21.74,0.032
20,1018,0,2.86,16.72,1.42,23.70,0.121
21,1020,0,5.57,16.71,1.35,22.62,0.246
22,1020,0,6.88,16.71,1.27,21.16,0.325
23,1022,0,7.75,16.72,1.16,19.47,0.398
24,1022,0,9.04,16.72,1.09,18.29,0.495
25,1024,0,9.48,16.72,1.05,17.58,0.539
26,1024,0,10.16,16.72,1.03,17.24,0.589
27,1026,0,10.70,16.72,1.00,16.79,0.637
28,1026,0,11.61,16.72,0.98,16.32,0.711
29,1028,0,12.12,16.72,0.96,15.98,0.758
30,1028,0,12.46,16.72,0.94,15.68,0.794
31,1030,0,13.20,16.72,0.93,15.53,0.850
32,1030,0,13.62,16.72,0.93,15.46,0.881
33,1032,0,14.18,16.72,0.92,15.39,0.921
34,1032,0,14.46,16.72,0.91,15.27,0.947
35,1034,0,14.73,16.72,0.91,15.16,0.972
36,1034,0,15.71,16.72,0.91,15.17,1.036
37,1036,0,15.86,16.72,0.92,15.31,1.036
38,1036,0,16.08,16.72,0.92,15.42,1.043
39,1038,0,16.53,16.72,0.92,15.30,1.080
40,1038,0,16.75,16.72,0.91,15.27,1.097
41,1040,0,16.58,16.72,0.92,15.37,1.079
42,1040,0,16.83,16.72,0.92,15.31,1.099
43,1042,0,17.48,16.72,0.92,15.36,1.138
44,1042,0,17.84,16.72,0.93,15.56,1.147
45,1044,0,17.82,16.72,0.94,15.69,1.136
46,1044,0,18.17,16.72,0.94,15.68,1.159
47,1046,0,18.37,16.72,0.93,15.57,1.180
48,1046,0,18.56,16.72,0.93,15.57,1.193
49,1048,0,18.97,16.72,0.94,15.75,1.204
50,1048,0,19.14,16.72,0.94,15.74,1.216
51,1050,0,19.46,16.72,0.94,15.68,1.242
52,1050,0,19.77,16.72,0.95,15.83,1.249
53,1052,0,20.23,16.72,0.95,15.92,1.271
54,1052,0,20.60,16.72,0.96,16.02,1.287
55,1054,0,21.06,16.72,0.96,16.07,1.310
56,1054,0,21.55,16.72,0.96,16.03,1.344
57,1056,0,21.75,16.72,0.96,16.10,1.351
58,1056,0,22.40,16.72,0.97,16.24,1.379
59,1058,0,22.95,16.72,0.97,16.19,1.417
60,1058,0,23.42,16.72,0.97,16.30,1.437
61,1060,0,23.52,16.72,0.97,16.26,1.447
62,1060,0,23.55,16.72,0.97,16.28,1.447
63,1062,0,24.23,16.72,0.98,16.39,1.478
64,1062,0,24.79,16.72,0.98,16.44,1.507
65,1064,0,24.87,16.72,0.99,16.51,1.506
66,1064,0,25.27,16.72,0.99,16.52,1.530
67,1066,0,25.81,16.72,0.98,16.45,1.569
68,1066,0,26.23,16.72,1.00,16.72,1.569
69,1068,0,26.56,16.72,1.00,16.71,1.589
70,1068,0,26.92,16.72,1.00,16.75,1.608
71,1070,0,27.12,16.72,0.99,16.63,1.631
72,1070,0,27.38,16.72,1.00,16.72,1.637
73,1072,0,27.56,16.72,1.00,16.75,1.645
74,1072,0,27.84,16.72,1.02,17.06,1.632
75,1074,0,28.20,16.72,1.02,17.05,1.654
76,1074,0,28.13,16.72,1.02,16.97,1.658
77,1076,0,28.58,16.72,1.02,17.05,1.676
78,1076,0,29.12,16.72,1.03,17.18,1.695
79,1078,0,29.16,16.72,1.02,17.13,1.702
80,1078,0,29.27,16.72,1.03,17.26,1.696
81,1080,0,29.38,16.72,1.04,17.33,1.696
82,1080,0,30.01,16.72,1.04,17.44,1.721
83,1082,0,30.36,16.72,1.04,17.46,1.738
84,1082,0,30.55,16.72,1.04,17.47,1.748
85,1084,0,30.84,16.72,1.05,17.58,1.754
86,1084,0,31.23,16.72,1.06,17.67,1.768
87,1086,0,31.40,16.72,1.06,17.70,1.774
88,1086,0,31.49,16.72,1.05,17.58,1.791
89,1088,0,31.71,16.72,1.07,17.83,1.779
90,1088,0,32.08,16.72,1.07,17.96,1.786
91,1090,0,32.45,16.71,1.08,18.05,1.798
92,1090,0,32.63,16.72,1.07,17.93,1.820
93,1092,0,33.05,16.72,1.08,18.14,1.822
94,1092,0,34.02,16.72,1.09,18.16,1.874
95,1094,0,34.39,16.72,1.09,18.20,1.890
96,1094,0,34.93,16.72,1.09,18.27,1.912
97,1096,0,35.53,16.72,1.10,18.39,1.932
98,1096,0,35.89,16.72,1.10,18.47,1.943
99,1098,0,36.30,16.72,1.11,18.59,1.953
100,1098,0,36.89,16.72,1.11,18.59,1.984
101,1100,0,37.83,16.72,1.11,18.57,2.037
102,1100,0,38.08,16.72,1.12,18.65,2.042
103,1102,0,38.09,16.72,1.12,18.73,2.034
104,1102,0,38.41,16.72,1.12,18.67,2.057
105,1104,0,38.61,16.72,1.12,18.79,2.054
106,1104,0,38.97,16.72,1.13,18.91,2.061
107,1106,0,39.19,16.72,1.14,19.09,2.053
108,1106,0,39.03,16.72,1.15,19.22,2.031
109,1108,0,39.31,16.72,1.15,19.16,2.052
110,1108,0,39.77,16.72,1.15,19.17,2.075
111,1110,0,40.39,16.72,1.15,19.28,2.094
112,1110,0,40.61,16.71,1.16,19.36,2.097
113,1112,0,40.98,16.72,1.16,19.34,2.119
114,1112,0,41.20,16.72,1.16,19.46,2.117
115,1114,0,41.48,16.72,1.17,19.63,2.113
116,1114,0,41.81,16.72,1.17,19.48,2.146
117,1116,0,41.99,16.72,1.17,19.57,2.146
118,1116,0,42.60,16.72,1.19,19.91,2.140
119,1118,0,42.87,16.72,1.18,19.70,2.176
120,1118,0,43.20,16.72,1.18,19.80,2.181
121,1120,0,43.37,16.72,1.18,19.68,2.204
122,1120,0,43.54,16.72,1.18,19.66,2.215
123,1122,0,43.94,16.71,1.19,19.88,2.210
124,1122,0,44.19,16.72,1.20,19.98,2.211
125,1124,0,44.77,16.72,1.21,20.17,2.219
126,1124,0,45.09,16.72,1.20,20.03,2.252
127,1126,0,45.36,16.72,1.21,20.30,2.235
128,1126,0,45.73,16.72,1.22,20.35,2.247
129,1128,0,46.04,16.72,1.20,20.10,2.291
130,1128,0,46.54,16.72,1.21,20.26,2.297
131,1130,0,46.64,16.72,1.21,20.24,2.304
132,1130,0,47.20,16.71,1.21,20.22,2.334
133,1132,0,47.86,16.71,1.22,20.31,2.356
134,1132,0,48.30,16.72,1.23,20.57,2.349
135,1134,0,48.71,16.72,1.24,20.66,2.357
136,1134,0,49.25,16.71,1.24,20.69,2.380
137,1136,0,49.69,16.72,1.25,20.94,2.373
138,1136,0,50.19,16.72,1.24,20.78,2.415
139,1138,0,50.44,16.71,1.25,20.85,2.419
140,1138,0,51.03,16.72,1.25,20.95,2.435
141,1140,0,51.06,16.72,1.26,21.07,2.424
142,1140,0,51.39,16.72,1.26,21.03,2.444
143,1142,0,51.87,16.71,1.25,20.96,2.475
144,1142,0,52.05,16.71,1.26,21.06,2.471
145,1144,0,52.12,16.71,1.28,21.36,2.440
146,1144,0,52.67,16.71,1.28,21.42,2.459
147,1146,0,53.49,16.71,1.28,21.46,2.492
148,1146,0,53.88,16.71,1.28,21.45,2.512
149,1148,0,54.31,16.72,1.29,21.59,2.516
150,1148,0,54.77,16.72,1.31,21.85,2.507
151,1150,0,55.30,16.71,1.30,21.76,2.541
152,1150,0,56.17,16.71,1.34,22.33,2.516
153,1152,0,56.89,16.71,1.32,22.02,2.584
154,1152,0,57.55,16.71,1.31,21.95,2.622
155,1154,0,57.96,16.72,1.33,22.19,2.612
156,1154,0,58.58,16.71,1.34,22.36,2.619
157,1156,0,59.39,16.71,1.35,22.51,2.638
158,1156,0,59.98,16.71,1.36,22.67,2.646
159,1158,0,60.85,16.72,1.35,22.61,2.691
160,1158,0,61.35,16.72,1.35,22.64,2.710
161,1160,0,61.75,16.71,1.36,22.69,2.722
162,1160,0,62.71,16.71,1.37,22.96,2.731
163,1162,0,63.14,16.71,1.38,22.98,2.748
164,1162,0,63.63,16.71,1.38,22.99,2.768
165,1164,0,64.30,16.71,1.38,23.08,2.786
166,1164,0,64.84,16.72,1.39,23.19,2.796
167,1166,0,65.55,16.71,1.40,23.47,2.793
168,1166,0,66.16,16.71,1.41,23.62,2.802
169,1168,0,67.12,16.71,1.41,23.64,2.840
170,1168,0,67.98,16.71,1.42,23.71,2.867
171,1170,0,68.84,16.71,1.42,23.73,2.901
