seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.72,12.08,0.000
2,1000,0,0.00,16.78,0.72,12.13,0.000
3,1002,0,0.00,16.78,0.72,12.05,0.000
4,1002,0,0.00,16.78,0.72,12.17,0.000
5,1004,0,0.00,16.79,0.73,12.19,0.000
6,1004,0,0.00,16.78,0.72,12.13,0.000
7,1006,0,0.00,16.78,0.72,12.10,0.000
8,1006,0,0.00,16.78,0.72,12.12,0.000
9,1008,0,0.00,16.78,0.71,11.96,0.000
10,1008,0,0.00,16.78,0.72,12.12,0.000
11,1010,0,0.00,16.78,0.72,12.02,0.000
12,1010,0,0.00,16.78,0.72,12.13,0.000
13,1012,0,0.00,16.79,0.73,12.19,0.000
14,1012,0,0.00,16.77,0.71,11.88,0.000
15,1014,0,0.00,16.77,0.73,12.28,0.000
16,1014,0,0.00,16.77,0.75,12.58,0.000
17,1016,0,0.00,16.77,0.75,12.58,0.000
18,1016,0,0.00,16.77,1.00,16.71,0.000
19,1018,0,0.00,16.76,1.39,23.21,0.000
20,1018,0,0.00,16.76,1.52,25.44,0.000
21,1020,0,0.00,16.76,1.50,25.09,0.000
22,1020,0,0.00,16.76,1.44,24.12,0.000
23,1022,0,0.00,16.76,1.35,22.66,0.000
24,1022,0,0.00,16.76,1.25,21.00,0.000
25,1024,0,0.00,16.76,1.18,19.83,0.000
26,1024,0,0.00,16.77,1.18,19.70,0.000
27,1026,0,1.76,16.77,1.15,19.33,0.091
28,1026,0,2.13,16.77,1.12,18.81,0.113
29,1028,0,3.71,16.77,1.08,18.06,0.205
30,1028,0,4.51,16.77,1.05,17.69,0.255
31,1030,0,4.87,16.77,1.03,17.32,0.281
32,1030,0,5.33,16.77,1.01,16.99,0.314
33,1032,0,5.87,16.77,0.99,16.67,0.352
34,1032,0,6.74,16.77,0.98,16.47,0.409
35,1034,0,7.21,16.77,0.97,16.33,0.441
36,1034,0,7.87,16.77,0.96,16.15,0.487
37,1036,0,9.27,16.77,0.97,16.30,0.569
38,1036,0,9.89,16.77,0.97,16.32,0.606
39,1038,0,10.44,16.77,0.97,16.25,0.642
40,1038,0,10.73,16.77,0.97,16.22,0.662
41,1040,0,11.39,16.77,0.96,16.03,0.710
42,1040,0,11.79,16.77,0.97,16.22,0.727
43,1042,0,12.23,16.77,0.96,16.18,0.756
44,1042,0,12.69,16.77,0.97,16.22,0.783
45,1044,0,13.12,16.77,0.96,16.18,0.811
46,1044,0,13.58,16.77,0.97,16.28,0.834
47,1046,0,14.13,16.77,0.98,16.37,0.863
48,1046,0,14.43,16.77,0.96,16.13,0.895
49,1048,0,14.22,16.77,0.98,16.37,0.869
50,1048,0,14.16,16.77,0.99,16.55,0.856
51,1050,0,15.54,16.77,0.98,16.50,0.942
52,1050,0,15.97,16.77,0.98,16.50,0.968
53,1052,0,15.53,16.77,0.99,16.62,0.934
54,1052,0,15.94,16.77,1.01,16.88,0.944
55,1054,0,16.45,16.77,1.01,16.88,0.974
56,1054,0,16.39,16.77,1.00,16.82,0.975
57,1056,0,16.32,16.76,1.01,16.86,0.968
58,1056,0,16.95,16.77,1.01,16.97,0.999
59,1058,0,17.68,16.77,1.02,17.05,1.037
60,1058,0,18.27,16.76,1.02,17.18,1.063
61,1060,0,18.40,16.76,1.03,17.30,1.064
62,1060,0,19.15,16.77,1.03,17.20,1.113
63,1062,0,19.52,16.77,1.02,17.19,1.136
64,1062,0,19.70,16.77,1.04,17.40,1.132
65,1064,0,20.18,16.77,1.04,17.49,1.154
66,1064,0,20.78,16.77,1.05,17.61,1.180
67,1066,0,21.51,16.77,1.05,17.59,1.223
68,1066,0,22.25,16.77,1.04,17.44,1.276
69,1068,0,22.70,16.77,1.04,17.45,1.301
70,1068,0,22.83,16.77,1.06,17.86,1.278
71,1070,0,23.42,16.77,1.06,17.77,1.318
72,1070,0,24.31,16.77,1.06,17.86,1.361
73,1072,0,24.22,16.77,1.06,17.76,1.364
74,1072,0,24.55,16.76,1.07,17.92,1.370
75,1074,0,25.00,16.77,1.07,17.91,1.396
76,1074,0,25.40,16.76,1.08,18.11,1.403
77,1076,0,25.71,16.77,1.06,17.81,1.444
78,1076,0,26.20,16.77,1.08,18.08,1.449
79,1078,0,26.00,16.77,1.09,18.29,1.421
80,1078,0,27.00,16.77,1.10,18.48,1.461
81,1080,0,27.21,16.77,1.09,18.21,1.494
82,1080,0,27.20,16.77,1.10,18.41,1.477
83,1082,0,27.48,16.76,1.10,18.49,1.486
84,1082,0,27.88,16.77,1.11,18.56,1.502
85,1084,0,28.44,16.77,1.11,18.54,1.534
86,1084,0,28.90,16.77,1.14,19.08,1.515
87,1086,0,28.96,16.77,1.12,18.80,1.541
88,1086,0,29.66,16.77,1.12,18.75,1.582
89,1088,0,29.90,16.77,1.13,18.90,1.582
