seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.73,9.16,0.000
2,1000,0,0.00,12.60,0.73,9.18,0.000
3,1002,0,0.00,12.60,0.73,9.15,0.000
4,1002,0,0.00,12.60,0.73,9.18,0.000
5,1004,0,0.00,12.60,0.73,9.19,0.000
6,1004,0,0.00,12.60,0.73,9.20,0.000
7,1006,0,0.00,12.60,0.73,9.20,0.000
8,1006,0,0.00,12.59,0.73,9.17,0.000
9,1008,0,0.00,12.60,0.72,9.13,0.000
10,1008,0,0.00,12.60,0.73,9.14,0.000
11,1010,0,0.00,12.60,0.73,9.17,0.000
12,1010,0,0.00,12.60,0.73,9.23,0.000
13,1012,0,0.00,12.60,0.72,9.13,0.000
14,1012,0,0.00,12.59,0.73,9.19,0.000
15,1014,0,0.00,12.59,0.74,9.29,0.000
16,1014,0,0.00,12.59,0.75,9.40,0.000
17,1016,0,0.00,12.59,0.75,9.42,0.000
18,1016,0,0.00,12.59,0.88,11.06,0.000
19,1018,0,0.97,12.58,1.30,16.34,0.059
20,1018,0,5.85,12.59,1.52,19.15,0.305
21,1020,0,9.59,12.58,1.63,20.52,0.467
22,1020,0,10.98,12.58,1.66,20.87,0.526
23,1022,0,12.22,12.58,1.47,18.54,0.659
24,1022,0,14.48,12.59,1.22,15.37,0.942
25,1024,0,17.40,12.59,1.06,13.38,1.300
26,1024,0,19.04,12.59,0.96,12.08,1.575
27,1026,0,19.16,12.59,0.90,11.39,1.682
28,1026,0,19.23,12.59,0.91,11.42,1.684
29,1028,0,19.16,12.59,0.90,11.39,1.682
30,1028,0,19.86,12.59,0.89,11.23,1.769
31,1030,0,20.20,12.59,0.88,11.06,1.827
32,1030,0,20.40,12.59,0.87,10.97,1.860
33,1032,0,20.34,12.59,0.86,10.86,1.873
34,1032,0,20.87,12.59,0.86,10.85,1.923
35,1034,0,20.95,12.59,0.85,10.66,1.964
36,1034,0,21.10,12.59,0.85,10.73,1.967
37,1036,0,21.09,12.59,0.86,10.82,1.950
38,1036,0,20.90,12.59,0.86,10.84,1.929
39,1038,0,21.05,12.59,0.86,10.80,1.949
40,1038,0,20.93,12.59,0.86,10.79,1.940
41,1040,0,20.68,12.59,0.86,10.80,1.915
42,1040,0,20.41,12.59,0.86,10.86,1.878
43,1042,0,20.97,12.59,0.86,10.89,1.926
44,1042,0,20.99,12.59,0.87,10.90,1.926
45,1044,0,21.09,12.59,0.87,10.94,1.928
46,1044,0,21.35,12.59,0.87,10.97,1.945
47,1046,0,21.20,12.59,0.87,10.96,1.935
48,1046,0,21.20,12.59,0.88,11.06,1.918
49,1048,0,21.34,12.59,0.87,10.95,1.949
50,1048,0,21.37,12.59,0.87,10.99,1.944
51,1050,0,21.41,12.59,0.87,10.95,1.955
52,1050,0,21.45,12.60,0.88,11.03,1.944
53,1052,0,21.73,12.59,0.89,11.18,1.944
54,1052,0,21.50,12.59,0.88,11.07,1.943
55,1054,0,21.71,12.59,0.89,11.15,1.946
56,1054,0,21.77,12.59,0.88,11.13,1.955
57,1056,0,21.52,12.59,0.88,11.09,1.941
58,1056,0,21.73,12.59,0.88,11.12,1.954
59,1058,0,21.77,12.59,0.90,11.27,1.932
60,1058,0,21.62,12.59,0.89,11.20,1.929
61,1060,0,22.00,12.59,0.90,11.35,1.938
62,1060,0,22.00,12.59,0.89,11.26,1.955
63,1062,0,21.91,12.59,0.89,11.24,1.949
64,1062,0,21.93,12.59,0.90,11.38,1.928
65,1064,0,22.28,12.59,0.91,11.43,1.950
66,1064,0,21.93,12.59,0.91,11.46,1.914
67,1066,0,21.89,12.59,0.90,11.38,1.925
68,1066,0,22.23,12.59,0.91,11.42,1.947
69,1068,0,22.39,12.59,0.91,11.45,1.956
70,1068,0,22.21,12.59,0.91,11.48,1.934
71,1070,0,22.45,12.59,0.91,11.46,1.959
72,1070,0,22.50,12.59,0.90,11.30,1.991
73,1072,0,22.41,12.59,0.91,11.48,1.953
74,1072,0,22.18,12.59,0.92,11.60,1.912
75,1074,0,22.19,12.59,0.92,11.53,1.925
76,1074,0,22.22,12.59,0.93,11.66,1.905
77,1076,0,22.70,12.59,0.92,11.58,1.960
78,1076,0,22.62,12.59,0.92,11.63,1.945
79,1078,0,22.69,12.59,0.92,11.61,1.955
80,1078,0,22.65,12.59,0.92,11.58,1.955
81,1080,0,22.87,12.59,0.92,11.56,1.979
82,1080,0,22.92,12.59,0.93,11.73,1.954
83,1082,0,22.88,12.59,0.93,11.70,1.956
84,1082,0,22.86,12.59,0.93,11.67,1.958
85,1084,0,22.91,12.59,0.94,11.79,1.942
86,1084,0,23.09,12.59,0.93,11.75,1.966
87,1086,0,23.39,12.59,0.94,11.77,1.987
88,1086,0,23.57,12.59,0.93,11.76,2.005
89,1088,0,23.79,12.59,0.93,11.68,2.036
90,1088,0,23.91,12.59,0.94,11.78,2.029
91,1090,0,23.96,12.59,0.94,11.82,2.028
92,1090,3711,24.06,12.59,0.94,11.90,2.022
93,1092,3737,24.54,12.59,0.94,11.84,2.072
94,1092,3754,24.64,12.59,0.94,11.86,2.078
95,1094,3771,24.35,12.59,0.95,11.90,2.046
96,1094,3797,24.41,12.59,0.95,12.02,2.032
97,1096,3814,24.48,12.59,0.96,12.10,2.024
98,1096,3831,24.56,12.59,0.96,12.03,2.042
99,1098,3857,24.95,12.59,0.95,11.95,2.088
100,1098,3874,24.77,12.59,0.95,11.96,2.071
101,1100,3891,24.98,12.59,0.94,11.88,2.103
102,1100,3917,24.84,12.59,0.95,12.01,2.069
103,1102,3942,25.00,12.59,0.96,12.07,2.071
104,1102,3960,25.09,12.59,0.96,12.12,2.070
105,1104,3977,24.88,12.59,0.97,12.19,2.041
106,1104,3994,24.86,12.59,0.97,12.25,2.029
107,1106,4011,25.08,12.59,0.97,12.22,2.052
108,1106,4028,25.16,12.59,0.97,12.16,2.069
109,1108,4045,25.21,12.59,0.97,12.20,2.067
110,1108,4062,24.96,12.59,0.97,12.25,2.038
111,1110,4080,25.12,12.59,0.97,12.25,2.051
112,1110,4097,25.38,12.59,0.98,12.29,2.065
113,1112,4122,25.73,12.59,0.98,12.36,2.081
114,1112,4148,26.03,12.59,0.98,12.36,2.106
115,1114,4165,26.07,12.59,0.98,12.32,2.116
116,1114,4182,26.16,12.59,0.98,12.38,2.113
117,1116,4208,26.07,12.59,0.99,12.52,2.082
118,1116,4234,26.04,12.59,0.99,12.50,2.082
119,1118,4260,25.95,12.59,1.00,12.59,2.061
120,1118,4294,26.38,12.59,1.00,12.57,2.099
121,1120,4311,26.66,12.59,0.99,12.50,2.134
122,1120,4337,26.77,12.59,0.99,12.49,2.143
123,1122,4362,27.07,12.59,1.00,12.60,2.149
124,1122,4380,27.23,12.59,1.00,12.57,2.167
125,1124,4405,27.26,12.59,1.00,12.58,2.168
126,1124,4414,27.05,12.59,1.00,12.65,2.137
127,1126,4431,27.52,12.59,0.99,12.46,2.209
128,1126,4448,27.64,12.59,1.01,12.67,2.182
129,1128,4465,27.68,12.60,1.02,12.80,2.162
130,1128,4491,28.06,12.59,1.03,12.94,2.169
131,1130,4500,28.16,12.59,1.02,12.84,2.192
132,1130,4517,28.12,12.59,1.02,12.90,2.180
133,1132,4551,28.45,12.59,1.03,12.94,2.198
134,1132,4568,28.70,12.60,1.03,13.01,2.206
135,1134,4585,29.05,12.59,1.03,12.94,2.245
136,1134,4611,29.38,12.59,1.04,13.10,2.243
137,1136,4637,29.90,12.59,1.02,12.87,2.323
138,1136,4671,30.32,12.59,1.04,13.14,2.308
139,1138,4697,30.43,12.59,1.04,13.06,2.330
140,1138,4714,30.65,12.59,1.03,12.96,2.365
141,1140,4731,30.66,12.59,1.04,13.13,2.334
142,1140,4748,30.75,12.59,1.05,13.22,2.327
143,1142,4765,30.92,12.59,1.04,13.11,2.359
144,1142,4791,31.06,12.59,1.05,13.23,2.347
145,1144,4808,30.89,12.59,1.04,13.14,2.350
146,1144,4825,30.79,12.59,1.05,13.25,2.324
147,1146,4842,31.18,12.59,1.05,13.19,2.364
148,1146,4868,31.29,12.59,1.06,13.40,2.335
149,1148,4885,31.56,12.59,1.06,13.36,2.363
150,1148,4911,31.61,12.59,1.06,13.38,2.362
151,1150,4928,31.77,12.59,1.06,13.30,2.388
152,1150,4945,32.03,12.59,1.07,13.46,2.379
