seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.605,0.780
2,1000,0,0.00,12.612,0.783
3,1002,0,0.00,12.614,0.782
4,1002,0,0.00,12.610,0.775
5,1004,0,0.00,12.610,0.782
6,1004,0,0.00,12.613,0.777
7,1006,0,0.00,12.616,0.785
8,1006,0,0.00,12.607,0.783
9,1008,0,0.00,12.608,0.783
10,1008,0,0.00,12.616,0.776
11,1010,0,0.00,12.609,0.787
12,1010,0,0.00,12.609,0.779
13,1012,0,0.00,12.612,0.788
14,1012,0,0.00,12.607,0.790
15,1014,0,0.00,12.608,0.785
16,1014,0,0.00,12.609,0.803
17,1016,0,0.00,12.609,0.796
18,1016,0,0.00,12.604,1.055
19,1018,0,0.00,12.598,1.408
20,1018,0,5.91,12.601,1.461
21,1020,0,8.06,12.606,1.346
22,1020,0,9.87,12.604,1.202
23,1022,0,11.19,12.603,1.106
24,1022,0,12.24,12.606,1.041
25,1024,0,13.58,12.602,1.003
26,1024,0,13.10,12.601,1.007
27,1026,0,14.75,12.602,1.010
28,1026,0,14.49,12.606,1.011
29,1028,0,14.82,12.607,0.991
30,1028,0,16.30,12.604,0.970
31,1030,0,15.10,12.607,0.958
32,1030,0,17.92,12.604,0.958
33,1032,0,16.42,12.600,0.948
34,1032,0,17.12,12.606,0.939
35,1034,0,16.49,12.600,0.943
36,1034,0,18.44,12.605,0.937
37,1036,0,16.13,12.609,0.939
38,1036,0,19.21,12.605,0.953
39,1038,0,16.44,12.607,0.943
40,1038,0,19.40,12.602,0.944
41,1040,0,16.86,12.608,0.951
42,1040,0,17.15,12.601,0.949
43,1042,0,18.83,12.600,0.957
44,1042,0,18.14,12.605,0.958
45,1044,0,18.77,12.603,0.953
46,1044,0,18.64,12.604,0.959
47,1046,0,18.78,12.604,0.949
48,1046,0,18.45,12.602,0.958
49,1048,0,18.11,12.599,0.956
50,1048,0,19.16,12.608,0.975
51,1050,0,18.73,12.604,0.971
52,1050,0,19.78,12.605,0.970
53,1052,0,18.73,12.604,0.975
54,1052,0,20.68,12.603,0.972
55,1054,0,18.78,12.603,0.982
56,1054,0,19.20,12.603,0.971
57,1056,0,21.49,12.607,0.984
58,1056,0,19.64,12.604,0.988
59,1058,0,21.87,12.599,0.983
60,1058,0,20.00,12.604,0.981
61,1060,0,21.47,12.606,0.992
62,1060,0,20.70,12.603,0.998
63,1062,0,21.41,12.604,0.997
64,1062,0,21.51,12.602,1.001
65,1064,0,22.73,12.600,1.010
66,1064,0,21.77,12.605,1.021
67,1066,0,23.01,12.603,1.016
68,1066,0,22.09,12.605,1.013
69,1068,0,22.76,12.606,1.009
70,1068,0,22.72,12.611,1.009
71,1070,0,23.57,12.602,1.004
72,1070,0,22.89,12.604,1.011
73,1072,0,23.62,12.605,1.030
74,1072,0,23.73,12.601,1.024
75,1074,0,23.72,12.605,1.036
76,1074,0,24.33,12.605,1.032
77,1076,0,23.76,12.606,1.036
78,1076,0,24.46,12.601,1.039
79,1078,0,24.17,12.603,1.037
80,1078,0,24.64,12.601,1.030
81,1080,0,24.65,12.609,1.033
82,1080,0,24.37,12.604,1.040
83,1082,0,25.01,12.603,1.042
84,1082,0,25.51,12.607,1.056
85,1084,0,26.04,12.605,1.054
86,1084,0,25.92,12.602,1.054
87,1086,0,26.55,12.601,1.047
88,1086,0,26.39,12.607,1.058
89,1088,0,26.40,12.606,1.059
90,1088,0,27.30,12.601,1.061
91,1090,0,27.62,12.604,1.058
92,1090,0,27.58,12.606,1.075
93,1092,0,27.59,12.607,1.080
94,1092,0,28.25,12.600,1.073
95,1094,0,28.73,12.599,1.077
96,1094,0,28.82,12.605,1.077
97,1096,0,28.75,12.600,1.080
98,1096,0,28.93,12.602,1.078
99,1098,0,29.55,12.604,1.090
100,1098,0,29.83,12.603,1.097
101,1100,3702,30.69,12.603,1.096
102,1100,3728,30.26,12.600,1.096
103,1102,3745,30.30,12.597,1.104
104,1102,3762,31.02,12.606,1.104
105,1104,3780,31.85,12.603,1.106
106,1104,3805,32.12,12.602,1.112
107,1106,3831,32.67,12.603,1.115
108,1106,3857,32.49,12.603,1.118
109,1108,3874,32.67,12.602,1.115
110,1108,3891,33.17,12.599,1.115
111,1110,3908,33.27,12.603,1.108
112,1110,3917,33.57,12.602,1.123
113,1112,3951,33.99,12.604,1.115
114,1112,3968,34.30,12.600,1.126
115,1114,3985,34.71,12.603,1.142
116,1114,4002,35.30,12.599,1.151
117,1116,4028,35.65,12.602,1.164
118,1116,4045,36.07,12.602,1.152
119,1118,4071,36.29,12.602,1.144
120,1118,4088,36.60,12.605,1.169
121,1120,4105,38.02,12.603,1.165
122,1120,4122,38.46,12.603,1.155
123,1122,4148,38.73,12.605,1.155
124,1122,4182,38.81,12.598,1.166
125,1124,4200,39.08,12.604,1.157
126,1124,4208,39.58,12.598,1.173
127,1126,4225,39.93,12.600,1.187
128,1126,4251,40.16,12.604,1.196
129,1128,4277,40.88,12.599,1.196
130,1128,4302,41.33,12.603,1.193
131,1130,4320,42.04,12.596,1.197
132,1130,4345,42.94,12.602,1.194
133,1132,4371,43.82,12.608,1.199
134,1132,4397,43.68,12.603,1.191
135,1134,4405,44.06,12.598,1.194
136,1134,4431,45.45,12.601,1.225
137,1136,4448,45.78,12.601,1.222
138,1136,4465,45.37,12.602,1.214
139,1138,4491,45.70,12.600,1.208
140,1138,4508,46.11,12.604,1.216
141,1140,4525,46.48,12.601,1.219
142,1140,4534,46.86,12.601,1.239
143,1142,4560,47.89,12.603,1.241
144,1142,4577,48.82,12.600,1.260
145,1144,4594,49.47,12.597,1.242
146,1144,4611,49.47,12.601,1.243
147,1146,4637,49.62,12.605,1.256
148,1146,4654,50.14,12.601,1.249
149,1148,4671,50.64,12.600,1.245
150,1148,4688,51.32,12.596,1.249
151,1150,4705,51.72,12.597,1.272
152,1150,4722,51.96,12.603,1.286
153,1152,4748,52.59,12.601,1.294
154,1152,4765,53.55,12.602,1.270
155,1154,4782,53.63,12.600,1.262
156,1154,4808,54.01,12.601,1.279
157,1156,4817,54.52,12.600,1.280
158,1156,4834,54.70,12.599,1.298
159,1158,4851,55.30,12.606,1.292
160,1158,4868,55.73,12.603,1.301
161,1160,4877,56.30,12.599,1.301
162,1160,4894,56.73,12.597,1.308
163,1162,4911,56.72,12.598,1.295
164,1162,4920,57.21,12.604,1.306
165,1164,4937,57.65,12.602,1.309
166,1164,4945,57.91,12.599,1.318
167,1166,4962,57.74,12.602,1.315
168,1166,4980,58.15,12.608,1.335
169,1168,4988,58.68,12.600,1.325
170,1168,4997,58.63,12.598,1.333
171,1170,5014,59.42,12.604,1.335
172,1170,5031,59.57,12.600,1.316
173,1172,5048,59.72,12.598,1.329
174,1172,5057,59.55,12.598,1.348
