seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.794,0.735
2,1000,0,0.00,16.796,0.734
3,1002,0,0.00,16.791,0.733
4,1002,0,0.00,16.798,0.731
5,1004,0,0.00,16.795,0.742
6,1004,0,0.00,16.795,0.739
7,1006,0,0.00,16.794,0.734
8,1006,0,0.00,16.800,0.737
9,1008,0,0.00,16.794,0.732
10,1008,0,0.00,16.794,0.738
11,1010,0,0.00,16.794,0.742
12,1010,0,0.00,16.790,0.731
13,1012,0,0.00,16.794,0.736
14,1012,0,0.00,16.790,0.729
15,1014,0,0.00,16.790,0.746
16,1014,0,0.00,16.789,0.761
17,1016,0,0.00,16.789,0.767
18,1016,0,0.00,16.785,0.998
19,1018,0,0.00,16.783,1.192
20,1018,0,3.27,16.782,1.094
21,1020,0,6.52,16.780,1.007
22,1020,0,7.36,16.780,0.931
23,1022,0,7.97,16.782,0.933
24,1022,0,8.32,16.786,0.914
25,1024,0,8.60,16.794,0.895
26,1024,0,9.28,16.783,0.871
27,1026,0,8.73,16.786,0.884
28,1026,0,8.71,16.786,0.878
29,1028,0,8.75,16.780,0.880
30,1028,0,8.79,16.788,0.874
31,1030,0,8.98,16.789,0.870
32,1030,0,9.17,16.788,0.889
33,1032,0,9.50,16.786,0.878
34,1032,0,9.18,16.788,0.870
35,1034,0,8.92,16.784,0.863
36,1034,0,9.05,16.785,0.885
37,1036,0,9.22,16.783,0.877
38,1036,0,9.43,16.789,0.888
39,1038,0,9.33,16.786,0.886
40,1038,0,9.38,16.781,0.878
41,1040,0,9.46,16.785,0.873
42,1040,0,9.81,16.784,0.890
43,1042,0,9.81,16.784,0.891
44,1042,0,9.90,16.785,0.890
45,1044,0,10.05,16.786,0.896
46,1044,0,9.97,16.787,0.881
47,1046,0,9.97,16.785,0.892
48,1046,0,10.22,16.786,0.896
49,1048,0,10.29,16.785,0.893
50,1048,0,10.72,16.786,0.898
51,1050,0,10.58,16.785,0.903
52,1050,0,10.49,16.786,0.910
53,1052,0,10.47,16.778,0.896
54,1052,0,10.38,16.783,0.910
55,1054,0,10.66,16.785,0.907
56,1054,0,11.07,16.785,0.899
57,1056,0,10.95,16.784,0.899
58,1056,0,10.93,16.785,0.920
59,1058,4037,10.75,16.788,0.911
60,1058,4080,10.88,16.781,0.929
61,1060,4122,11.22,16.786,0.917
62,1060,4157,11.44,16.785,0.916
63,1062,4182,11.55,16.786,0.915
64,1062,4217,11.39,16.785,0.915
65,1064,4251,11.01,16.786,0.910
66,1064,4277,11.32,16.786,0.933
67,1066,4294,11.66,16.785,0.931
68,1066,4328,12.31,16.786,0.929
69,1068,4354,12.33,16.784,0.916
70,1068,4380,12.42,16.785,0.934
71,1070,4380,12.56,16.787,0.937
72,1070,4388,12.32,16.785,0.940
73,1072,4388,13.47,16.783,0.945
74,1072,4388,13.89,16.780,0.954
75,1074,4388,13.97,16.785,0.956
76,1074,4388,13.79,16.786,0.963
77,1076,4414,13.70,16.783,0.959
