seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.77,0.74,12.42,0.000
2,1000,0,0.00,16.77,0.74,12.45,0.000
3,1002,0,0.00,16.77,0.75,12.54,0.000
4,1002,0,0.00,16.77,0.74,12.45,0.000
5,1004,0,0.00,16.78,0.75,12.54,0.000
6,1004,0,0.00,16.78,0.74,12.45,0.000
7,1006,0,0.00,16.78,0.74,12.39,0.000
8,1006,0,0.00,16.77,0.74,12.41,0.000
9,1008,0,0.00,16.78,0.74,12.36,0.000
10,1008,0,0.00,16.77,0.74,12.45,0.000
11,1010,0,0.00,16.77,0.75,12.51,0.000
12,1010,0,0.00,16.77,0.74,12.48,0.000
13,1012,0,0.00,16.77,0.74,12.49,0.000
14,1012,0,0.00,16.77,0.74,12.48,0.000
15,1014,0,0.00,16.77,0.76,12.82,0.000
16,1014,0,0.00,16.77,0.76,12.80,0.000
17,1016,0,0.00,16.77,0.77,12.92,0.000
18,1016,0,0.00,16.76,1.03,17.32,0.000
19,1018,0,0.67,16.76,1.33,22.21,0.030
20,1018,0,7.42,16.76,1.27,21.20,0.350
21,1020,0,12.86,16.76,1.13,18.91,0.680
22,1020,0,15.48,16.76,1.03,17.33,0.893
23,1022,0,16.07,16.76,1.01,16.91,0.951
24,1022,0,16.52,16.76,1.00,16.77,0.985
25,1024,0,17.27,16.76,0.99,16.54,1.045
26,1024,0,17.86,16.76,0.97,16.21,1.101
27,1026,0,18.27,16.77,0.95,15.89,1.150
28,1026,0,18.64,16.77,0.93,15.56,1.198
29,1028,0,19.04,16.77,0.92,15.45,1.232
30,1028,0,19.16,16.77,0.91,15.32,1.251
31,1030,0,19.56,16.76,0.91,15.31,1.277
32,1030,0,19.73,16.76,0.92,15.43,1.278
33,1032,0,19.75,16.76,0.92,15.36,1.285
34,1032,0,19.73,16.76,0.92,15.35,1.285
35,1034,0,19.75,16.77,0.91,15.27,1.293
36,1034,0,19.83,16.77,0.92,15.45,1.284
37,1036,0,19.87,16.76,0.91,15.33,1.296
38,1036,0,20.20,16.77,0.92,15.50,1.303
39,1038,0,20.30,16.76,0.92,15.44,1.314
40,1038,0,20.35,16.77,0.93,15.57,1.307
41,1040,0,20.29,16.76,0.93,15.53,1.306
42,1040,0,20.16,16.77,0.93,15.53,1.298
