seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.74,0.74,12.37,0.000
2,1000,0,0.00,16.75,0.74,12.38,0.000
3,1002,0,0.00,16.74,0.75,12.48,0.000
4,1002,0,0.00,16.74,0.74,12.38,0.000
5,1004,0,0.00,16.75,0.74,12.35,0.000
6,1004,0,0.00,16.75,0.74,12.45,0.000
7,1006,0,0.00,16.74,0.74,12.40,0.000
8,1006,0,0.00,16.74,0.73,12.31,0.000
9,1008,0,0.00,16.75,0.74,12.40,0.000
10,1008,0,0.00,16.74,0.74,12.37,0.000
11,1010,0,0.00,16.74,0.74,12.37,0.000
12,1010,0,0.00,16.74,0.74,12.43,0.000
13,1012,0,0.00,16.74,0.74,12.41,0.000
14,1012,0,0.00,16.74,0.74,12.47,0.000
15,1014,0,0.00,16.74,0.75,12.62,0.000
16,1014,0,0.00,16.74,0.77,12.81,0.000
17,1016,0,0.00,16.74,0.77,12.86,0.000
18,1016,0,0.00,16.73,1.10,18.35,0.000
19,1018,0,2.20,16.73,1.32,22.10,0.100
20,1018,0,13.60,16.73,1.22,20.34,0.669
21,1020,0,22.10,16.74,1.08,18.11,1.221
22,1020,0,25.29,16.73,0.99,16.58,1.526
23,1022,0,25.93,16.73,0.98,16.45,1.576
24,1022,0,26.05,16.73,0.97,16.30,1.599
25,1024,0,26.80,16.74,0.95,15.95,1.680
26,1024,0,27.63,16.74,0.93,15.52,1.780
27,1026,0,28.01,16.73,0.92,15.42,1.816
28,1026,0,27.78,16.73,0.91,15.22,1.825
29,1028,0,27.71,16.74,0.90,15.12,1.832
30,1028,0,28.44,16.73,0.91,15.18,1.873
31,1030,0,28.36,16.74,0.91,15.21,1.865
32,1030,0,28.26,16.73,0.90,15.09,1.872
33,1032,0,28.26,16.74,0.90,15.11,1.870
34,1032,0,28.61,16.74,0.90,15.12,1.892
35,1034,0,28.39,16.74,0.90,15.11,1.879
36,1034,0,28.43,16.74,0.91,15.27,1.861
37,1036,0,28.58,16.74,0.91,15.16,1.885
38,1036,0,28.72,16.74,0.92,15.38,1.867
39,1038,0,28.59,16.74,0.91,15.28,1.871
40,1038,0,28.86,16.74,0.91,15.18,1.901
41,1040,0,28.91,16.74,0.91,15.29,1.891
42,1040,0,28.70,16.74,0.92,15.36,1.868
43,1042,0,28.70,16.74,0.92,15.40,1.864
44,1042,0,29.12,16.74,0.92,15.44,1.886
45,1044,0,29.38,16.74,0.92,15.34,1.916
46,1044,0,29.19,16.74,0.92,15.45,1.889
47,1046,0,29.55,16.74,0.92,15.41,1.917
48,1046,0,29.98,16.74,0.94,15.67,1.913
49,1048,0,29.68,16.73,0.93,15.60,1.903
50,1048,0,29.48,16.73,0.94,15.73,1.874
51,1050,0,29.41,16.74,0.94,15.67,1.877
52,1050,0,29.61,16.73,0.93,15.54,1.906
53,1052,0,29.52,16.73,0.95,15.85,1.862
