seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.77,9.64,0.000
2,1000,0,0.00,12.59,0.76,9.58,0.000
3,1002,0,0.00,12.59,0.77,9.64,0.000
4,1002,0,0.00,12.59,0.76,9.62,0.000
5,1004,0,0.00,12.59,0.77,9.63,0.000
6,1004,0,0.00,12.59,0.76,9.59,0.000
7,1006,0,0.00,12.59,0.76,9.58,0.000
8,1006,0,0.00,12.60,0.77,9.66,0.000
9,1008,0,0.00,12.60,0.77,9.66,0.000
10,1008,0,0.00,12.59,0.76,9.56,0.000
11,1010,0,0.00,12.59,0.77,9.68,0.000
12,1010,0,0.00,12.59,0.76,9.60,0.000
13,1012,0,0.00,12.59,0.77,9.69,0.000
14,1012,0,0.00,12.59,0.76,9.61,0.000
15,1014,0,0.00,12.59,0.78,9.80,0.000
16,1014,0,0.00,12.59,0.79,9.88,0.000
17,1016,0,0.00,12.59,0.78,9.86,0.000
18,1016,0,0.00,12.58,0.99,12.46,0.000
19,1018,0,0.66,12.58,1.32,16.64,0.039
20,1018,0,4.55,12.58,1.36,17.15,0.265
21,1020,0,6.49,12.58,1.25,15.72,0.413
22,1020,0,8.43,12.59,1.14,14.36,0.587
23,1022,0,10.06,12.58,1.05,13.27,0.759
24,1022,0,10.65,12.58,1.01,12.65,0.842
25,1024,0,11.16,12.59,0.97,12.18,0.916
26,1024,0,11.57,12.59,0.98,12.36,0.936
27,1026,0,11.46,12.58,0.97,12.23,0.937
28,1026,0,11.74,12.59,0.96,12.08,0.971
29,1028,0,11.97,12.59,0.94,11.87,1.008
30,1028,0,12.28,12.59,0.94,11.84,1.037
31,1030,0,12.72,12.59,0.93,11.73,1.084
32,1030,0,12.94,12.58,0.93,11.71,1.105
33,1032,0,13.12,12.59,0.93,11.68,1.123
34,1032,0,13.36,12.59,0.92,11.53,1.158
35,1034,0,13.30,12.59,0.91,11.44,1.163
36,1034,0,13.24,12.59,0.92,11.59,1.143
37,1036,0,13.30,12.59,0.92,11.56,1.151
38,1036,0,13.38,12.59,0.92,11.55,1.158
39,1038,0,13.85,12.59,0.92,11.63,1.191
40,1038,0,14.13,12.58,0.92,11.53,1.226
41,1040,0,14.54,12.59,0.92,11.60,1.253
42,1040,0,15.16,12.59,0.93,11.66,1.301
43,1042,0,15.16,12.59,0.93,11.64,1.302
44,1042,0,15.41,12.59,0.93,11.69,1.318
45,1044,0,15.36,12.59,0.93,11.74,1.308
46,1044,0,15.70,12.59,0.93,11.65,1.348
47,1046,0,15.65,12.58,0.92,11.59,1.350
48,1046,0,15.53,12.59,0.93,11.66,1.331
49,1048,0,15.55,12.59,0.93,11.70,1.329
50,1048,0,15.65,12.58,0.93,11.74,1.333
51,1050,0,15.59,12.59,0.93,11.75,1.327
52,1050,0,15.28,12.59,0.94,11.85,1.290
53,1052,0,15.61,12.59,0.94,11.86,1.316
54,1052,0,16.22,12.59,0.95,11.96,1.356
55,1054,0,16.11,12.58,0.95,11.94,1.349
56,1054,0,16.20,12.59,0.94,11.88,1.364
57,1056,0,16.16,12.58,0.95,11.96,1.351
58,1056,0,16.23,12.59,0.96,12.06,1.345
59,1058,0,16.40,12.59,0.95,11.99,1.368
60,1058,0,16.72,12.58,0.96,12.11,1.381
61,1060,0,16.91,12.59,0.96,12.04,1.405
62,1060,0,16.81,12.58,0.96,12.03,1.398
63,1062,0,17.01,12.59,0.96,12.11,1.405
64,1062,0,17.20,12.59,0.97,12.20,1.409
65,1064,0,17.36,12.59,0.97,12.25,1.417
66,1064,0,17.27,12.59,0.98,12.29,1.405
67,1066,0,17.00,12.59,0.97,12.24,1.389
68,1066,0,17.32,12.58,0.97,12.26,1.412
69,1068,0,17.20,12.58,0.97,12.16,1.415
70,1068,0,17.20,12.58,0.98,12.33,1.394
71,1070,0,17.42,12.59,0.99,12.43,1.402
72,1070,0,17.43,12.58,0.98,12.37,1.409
73,1072,0,17.59,12.59,0.98,12.40,1.419
74,1072,0,17.63,12.59,0.99,12.46,1.415
75,1074,0,17.89,12.59,0.99,12.47,1.435
76,1074,0,18.26,12.59,0.99,12.49,1.462
77,1076,0,18.29,12.58,0.99,12.50,1.464
78,1076,0,18.46,12.58,0.99,12.41,1.487
79,1078,0,18.55,12.58,1.00,12.57,1.476
80,1078,0,18.79,12.58,1.00,12.55,1.496
81,1080,0,18.77,12.59,1.00,12.55,1.496
82,1080,0,19.03,12.59,1.01,12.67,1.502
83,1082,0,18.89,12.58,1.01,12.69,1.489
84,1082,0,19.38,12.58,1.01,12.66,1.530
85,1084,0,19.50,12.58,1.03,12.92,1.508
86,1084,0,19.75,12.59,1.03,12.99,1.520
87,1086,0,19.91,12.58,1.02,12.78,1.558
88,1086,0,20.26,12.59,1.02,12.83,1.579
89,1088,0,20.73,12.59,1.02,12.81,1.618
90,1088,0,20.50,12.58,1.02,12.84,1.597
91,1090,0,20.51,12.58,1.02,12.80,1.603
92,1090,0,20.93,12.58,1.03,12.96,1.615
93,1092,0,21.20,12.59,1.03,12.98,1.634
94,1092,0,21.12,12.59,1.03,13.02,1.623
95,1094,0,21.61,12.59,1.03,12.93,1.671
96,1094,0,21.91,12.59,1.03,12.96,1.690
97,1096,0,22.16,12.59,1.03,13.00,1.705
98,1096,3720,22.37,12.59,1.02,12.89,1.735
99,1098,3737,22.51,12.59,1.04,13.03,1.728
100,1098,3754,22.34,12.59,1.04,13.10,1.705
101,1100,3771,22.84,12.59,1.04,13.15,1.737
102,1100,3788,23.73,12.58,1.04,13.14,1.807
103,1102,3805,24.04,12.58,1.05,13.17,1.825
104,1102,3822,23.78,12.59,1.06,13.32,1.786
105,1104,3848,23.91,12.58,1.06,13.30,1.797
106,1104,3874,24.27,12.59,1.06,13.32,1.822
107,1106,3882,24.68,12.58,1.07,13.43,1.838
108,1106,3900,25.14,12.59,1.07,13.49,1.864
109,1108,3925,25.44,12.58,1.08,13.55,1.877
110,1108,3942,25.88,12.59,1.07,13.52,1.915
111,1110,3960,26.62,12.59,1.06,13.30,2.002
112,1110,3977,26.71,12.58,1.08,13.54,1.973
113,1112,4002,27.63,12.58,1.08,13.56,2.037
114,1112,4020,28.08,12.58,1.10,13.83,2.029
115,1114,4054,28.54,12.58,1.09,13.78,2.072
116,1114,4080,28.60,12.59,1.08,13.66,2.095
117,1116,4097,28.70,12.59,1.09,13.72,2.092
118,1116,4122,28.88,12.59,1.09,13.76,2.099
119,1118,4148,28.90,12.59,1.10,13.79,2.096
120,1118,4174,29.42,12.59,1.09,13.73,2.143
121,1120,4182,30.04,12.58,1.09,13.74,2.186
122,1120,4208,30.13,12.59,1.10,13.86,2.174
123,1122,4234,30.60,12.58,1.11,13.94,2.196
124,1122,4260,31.05,12.59,1.11,14.01,2.215
125,1124,4285,31.59,12.58,1.12,14.13,2.235
