seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.593,0.763
2,1000,0,0.00,12.592,0.761
3,1002,0,0.00,12.595,0.765
4,1002,0,0.00,12.596,0.768
5,1004,0,0.00,12.599,0.767
6,1004,0,0.00,12.594,0.766
7,1006,0,0.00,12.597,0.757
8,1006,0,0.00,12.598,0.768
9,1008,0,0.00,12.598,0.766
10,1008,0,0.00,12.595,0.760
11,1010,0,0.00,12.600,0.769
12,1010,0,0.00,12.595,0.763
13,1012,0,0.00,12.599,0.769
14,1012,0,0.00,12.592,0.765
15,1014,0,0.00,12.596,0.779
16,1014,0,0.00,12.590,0.781
17,1016,0,0.00,12.589,0.780
18,1016,0,0.00,12.585,0.962
19,1018,0,1.31,12.580,1.328
20,1018,0,4.77,12.584,1.389
21,1020,0,6.19,12.587,1.283
22,1020,0,7.92,12.587,1.166
23,1022,0,9.87,12.585,1.074
24,1022,0,10.28,12.588,1.014
25,1024,0,10.79,12.588,0.967
26,1024,0,11.15,12.592,0.981
27,1026,0,11.11,12.588,0.976
28,1026,0,11.63,12.590,0.962
29,1028,0,11.64,12.588,0.943
30,1028,0,11.95,12.586,0.944
31,1030,0,12.63,12.587,0.932
32,1030,0,12.77,12.585,0.938
33,1032,0,12.89,12.591,0.929
34,1032,0,13.24,12.589,0.923
35,1034,0,13.02,12.589,0.915
36,1034,0,13.29,12.589,0.920
37,1036,0,13.08,12.589,0.923
38,1036,0,13.34,12.590,0.917
39,1038,0,13.68,12.590,0.919
40,1038,0,13.91,12.584,0.912
41,1040,0,14.58,12.590,0.917
42,1040,0,15.09,12.587,0.921
43,1042,0,15.13,12.584,0.922
44,1042,0,15.52,12.593,0.935
45,1044,0,15.48,12.591,0.936
46,1044,0,15.96,12.587,0.927
47,1046,0,15.58,12.588,0.924
48,1046,0,15.49,12.589,0.922
49,1048,0,15.53,12.586,0.930
50,1048,0,15.86,12.587,0.933
51,1050,0,15.45,12.589,0.928
52,1050,0,15.31,12.589,0.942
53,1052,0,15.52,12.591,0.939
54,1052,0,16.13,12.590,0.951
55,1054,0,16.01,12.583,0.951
56,1054,0,15.99,12.589,0.942
57,1056,0,16.25,12.588,0.959
58,1056,0,15.91,12.589,0.956
59,1058,0,16.46,12.589,0.947
60,1058,0,16.64,12.585,0.959
61,1060,0,16.92,12.587,0.951
62,1060,0,16.74,12.584,0.956
63,1062,0,16.89,12.590,0.956
64,1062,0,17.02,12.588,0.970
65,1064,0,17.11,12.588,0.970
66,1064,0,17.09,12.592,0.982
67,1066,0,16.99,12.585,0.977
68,1066,0,17.17,12.585,0.977
69,1068,0,16.97,12.585,0.970
70,1068,0,17.15,12.585,0.981
71,1070,0,17.26,12.586,0.990
72,1070,0,17.39,12.583,0.976
73,1072,0,17.36,12.590,0.986
74,1072,0,17.57,12.589,0.985
75,1074,0,18.16,12.588,0.994
76,1074,0,18.17,12.592,0.999
77,1076,0,18.01,12.584,0.995
78,1076,0,18.50,12.588,0.987
79,1078,0,18.48,12.587,1.001
80,1078,0,18.82,12.585,1.000
81,1080,0,19.06,12.590,1.000
82,1080,0,18.94,12.591,1.005
83,1082,0,18.93,12.587,1.007
84,1082,0,19.32,12.588,1.009
85,1084,0,19.46,12.587,1.020
86,1084,0,19.48,12.590,1.031
87,1086,0,19.53,12.589,1.013
88,1086,0,20.22,12.589,1.021
89,1088,0,20.67,12.592,1.020
90,1088,0,20.43,12.589,1.020
91,1090,0,20.61,12.583,1.022
92,1090,0,21.17,12.585,1.025
93,1092,0,21.29,12.589,1.039
94,1092,0,21.30,12.590,1.041
95,1094,0,21.86,12.592,1.028
96,1094,0,22.26,12.589,1.032
97,1096,0,22.53,12.589,1.019
98,1096,3720,22.49,12.587,1.026
99,1098,3737,22.16,12.588,1.042
100,1098,3754,22.03,12.588,1.038
101,1100,3771,22.58,12.586,1.049
102,1100,3788,23.66,12.586,1.050
103,1102,3805,23.93,12.587,1.041
104,1102,3822,23.82,12.592,1.054
105,1104,3848,24.08,12.583,1.057
106,1104,3874,24.18,12.591,1.055
107,1106,3882,24.36,12.586,1.066
108,1106,3900,24.91,12.591,1.074
109,1108,3925,25.18,12.589,1.077
110,1108,3942,25.63,12.588,1.079
111,1110,3960,26.30,12.586,1.057
112,1110,3977,26.66,12.588,1.077
113,1112,4002,28.41,12.582,1.079
114,1112,4020,28.71,12.583,1.104
115,1114,4054,28.79,12.582,1.091
116,1114,4080,28.88,12.587,1.083
117,1116,4097,28.95,12.587,1.095
118,1116,4122,29.13,12.587,1.094
119,1118,4148,29.01,12.590,1.099
120,1118,4174,29.65,12.588,1.098
121,1120,4182,30.59,12.584,1.089
122,1120,4200,30.31,12.587,1.091
123,1122,4234,30.74,12.587,1.103
124,1122,4260,30.91,12.588,1.119
