seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.77,0.74,12.39,0.000
2,1000,0,0.00,16.78,0.74,12.44,0.000
3,1002,0,0.74,16.77,0.73,12.31,0.060
4,1002,0,0.00,16.78,0.74,12.36,0.000
5,1004,0,0.00,16.78,0.74,12.44,0.000
6,1004,0,0.00,16.78,0.74,12.36,0.000
7,1006,0,0.00,16.78,0.74,12.45,0.000
8,1006,0,0.00,16.78,0.73,12.32,0.000
9,1008,0,0.00,16.78,0.73,12.31,0.000
10,1008,0,0.00,16.78,0.74,12.37,0.000
11,1010,0,0.00,16.77,0.74,12.41,0.000
12,1010,0,0.00,16.78,0.74,12.49,0.000
13,1012,0,0.00,16.78,0.73,12.29,0.000
14,1012,0,0.00,16.78,0.73,12.25,0.000
15,1014,0,0.00,16.77,0.75,12.62,0.000
16,1014,0,0.00,16.77,0.76,12.70,0.000
17,1016,0,0.00,16.77,0.77,12.86,0.000
18,1016,0,0.00,16.77,1.04,17.37,0.000
19,1018,0,1.78,16.77,1.33,22.36,0.080
20,1018,0,6.76,16.77,1.27,21.22,0.319
21,1020,0,9.78,16.77,1.12,18.75,0.522
22,1020,0,11.06,16.77,1.03,17.33,0.638
23,1022,0,11.27,16.77,0.99,16.63,0.678
24,1022,0,11.48,16.77,1.00,16.74,0.686
25,1024,0,12.53,16.76,0.98,16.42,0.763
26,1024,0,13.29,16.77,0.96,16.10,0.825
27,1026,0,13.43,16.77,0.93,15.66,0.857
28,1026,0,13.79,16.77,0.92,15.50,0.890
29,1028,0,14.61,16.77,0.92,15.36,0.951
30,1028,0,14.90,16.77,0.91,15.18,0.982
31,1030,0,15.29,16.77,0.91,15.32,0.998
32,1030,0,15.91,16.77,0.91,15.33,1.037
33,1032,0,16.14,16.77,0.91,15.23,1.060
34,1032,0,16.00,16.77,0.90,15.09,1.061
35,1034,0,16.07,16.77,0.90,15.09,1.065
36,1034,0,16.15,16.77,0.91,15.19,1.063
37,1036,0,16.20,16.77,0.91,15.22,1.064
38,1036,0,16.35,16.77,0.91,15.31,1.068
39,1038,0,16.50,16.77,0.92,15.36,1.075
40,1038,0,16.68,16.77,0.91,15.32,1.089
41,1040,0,16.64,16.77,0.92,15.43,1.079
42,1040,0,16.52,16.77,0.92,15.36,1.076
43,1042,0,16.37,16.77,0.92,15.45,1.060
44,1042,0,16.52,16.77,0.93,15.59,1.059
