seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.780,0.738
2,1000,0,0.00,16.788,0.740
3,1002,0,0.00,16.783,0.736
4,1002,0,0.00,16.785,0.735
5,1004,0,0.00,16.792,0.744
6,1004,0,0.00,16.786,0.733
7,1006,0,0.00,16.787,0.744
8,1006,0,0.00,16.789,0.733
9,1008,0,0.00,16.788,0.732
10,1008,0,0.00,16.788,0.736
11,1010,0,0.00,16.785,0.733
12,1010,0,0.00,16.790,0.747
13,1012,0,0.00,16.786,0.734
14,1012,0,0.00,16.787,0.732
15,1014,0,0.00,16.779,0.753
16,1014,0,0.00,16.777,0.760
17,1016,0,0.00,16.783,0.763
18,1016,0,0.00,16.773,1.101
19,1018,0,1.50,16.771,1.379
20,1018,0,6.74,16.774,1.291
21,1020,0,9.43,16.778,1.130
22,1020,0,10.60,16.775,1.031
23,1022,0,10.48,16.773,0.998
24,1022,0,10.85,16.778,0.994
25,1024,0,11.94,16.772,0.979
26,1024,0,12.37,16.771,0.963
27,1026,0,12.59,16.777,0.928
28,1026,0,12.91,16.779,0.926
29,1028,0,13.73,16.782,0.910
30,1028,0,13.95,16.773,0.905
31,1030,0,14.22,16.779,0.911
32,1030,0,15.19,16.776,0.914
33,1032,0,15.49,16.777,0.913
34,1032,0,15.44,16.778,0.900
35,1034,0,15.26,16.776,0.902
36,1034,0,15.28,16.778,0.908
37,1036,0,15.33,16.781,0.908
38,1036,0,15.47,16.776,0.915
39,1038,0,16.04,16.778,0.921
40,1038,0,16.08,16.774,0.908
41,1040,0,15.91,16.778,0.917
42,1040,0,15.69,16.777,0.916
43,1042,0,15.42,16.777,0.925
44,1042,0,15.83,16.774,0.938
45,1044,0,16.02,16.770,0.922
46,1044,0,16.26,16.777,0.922
47,1046,0,16.29,16.778,0.924
48,1046,0,16.52,16.774,0.937
49,1048,0,16.72,16.774,0.931
50,1048,0,16.65,16.780,0.941
51,1050,0,16.59,16.774,0.941
52,1050,0,16.66,16.779,0.936
53,1052,0,16.72,16.775,0.940
54,1052,0,16.86,16.778,0.955
55,1054,0,16.98,16.775,0.954
56,1054,0,16.89,16.775,0.949
57,1056,0,16.87,16.773,0.950
58,1056,0,16.93,16.780,0.953
59,1058,0,16.95,16.777,0.953
60,1058,0,16.99,16.779,0.963
61,1060,0,17.11,16.776,0.970
62,1060,0,17.15,16.781,0.971
63,1062,0,17.36,16.776,0.969
64,1062,4020,17.90,16.779,0.968
65,1064,4071,17.45,16.777,0.970
66,1064,4105,17.59,16.775,0.982
67,1066,4140,18.44,16.777,0.974
68,1066,4174,18.29,16.778,0.987
69,1068,4217,18.56,16.775,0.986
70,1068,4234,18.90,16.775,0.985
71,1070,4251,19.29,16.775,0.992
72,1070,4268,19.23,16.774,0.990
73,1072,4277,19.55,16.776,0.999
74,1072,4294,20.05,16.779,0.989
75,1074,4302,20.07,16.773,1.007
76,1074,4320,20.35,16.777,1.007
77,1076,4337,20.76,16.780,1.014
78,1076,4337,20.58,16.777,1.007
79,1078,4337,20.40,16.770,0.995
80,1078,4337,20.70,16.773,1.003
81,1080,4345,21.05,16.780,1.002
82,1080,4371,21.14,16.774,1.040
83,1082,4380,21.88,16.775,1.030
84,1082,4440,22.71,16.775,1.034
85,1084,4457,23.17,16.772,1.047
86,1084,4457,23.44,16.775,1.073
87,1086,4474,23.80,16.772,1.052
88,1086,4474,23.93,16.777,1.033
89,1088,4474,24.12,16.773,1.047
90,1088,4474,24.88,16.773,1.042
91,1090,4491,25.17,16.770,1.045
92,1090,4491,25.62,16.774,1.058
93,1092,4500,26.14,16.775,1.056
94,1092,4525,26.48,16.773,1.054
95,1094,4525,26.69,16.772,1.058
96,1094,4525,26.53,16.774,1.072
97,1096,4525,27.17,16.773,1.071
98,1096,4525,27.24,16.772,1.077
99,1098,4525,27.40,16.773,1.074
100,1098,4525,28.42,16.772,1.076
