seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.584,0.723
2,1000,0,0.00,12.585,0.729
3,1002,0,0.00,12.593,0.727
4,1002,0,0.00,12.588,0.725
5,1004,0,0.00,12.586,0.720
6,1004,0,0.00,12.590,0.721
7,1006,0,0.00,12.588,0.723
8,1006,0,0.00,12.589,0.728
9,1008,0,0.00,12.588,0.724
10,1008,0,0.00,12.588,0.722
11,1010,0,0.00,12.588,0.719
12,1010,0,0.00,12.588,0.724
13,1012,0,0.00,12.589,0.722
14,1012,0,0.00,12.584,0.723
15,1014,0,0.00,12.583,0.736
16,1014,0,0.00,12.585,0.744
17,1016,0,0.00,12.584,0.741
18,1016,0,0.00,12.582,0.960
19,1018,0,0.00,12.579,1.304
20,1018,0,6.53,12.576,1.272
21,1020,0,8.48,12.579,1.133
22,1020,0,9.33,12.582,1.021
23,1022,0,9.88,12.582,0.946
24,1022,0,9.94,12.580,0.896
25,1024,0,10.16,12.583,0.899
26,1024,0,10.21,12.579,0.901
27,1026,0,10.78,12.581,0.888
28,1026,0,10.92,12.580,0.881
29,1028,0,10.72,12.581,0.876
30,1028,0,10.67,12.579,0.858
31,1030,0,10.69,12.580,0.854
32,1030,0,11.03,12.580,0.865
33,1032,0,10.90,12.583,0.853
34,1032,0,11.20,12.584,0.849
35,1034,0,11.04,12.581,0.859
36,1034,0,11.17,12.577,0.855
37,1036,0,11.39,12.579,0.856
38,1036,0,11.24,12.585,0.863
39,1038,0,11.11,12.580,0.865
40,1038,0,11.35,12.581,0.865
41,1040,0,11.22,12.579,0.866
42,1040,0,11.37,12.584,0.862
43,1042,0,11.45,12.583,0.870
44,1042,0,11.53,12.583,0.881
45,1044,0,11.20,12.583,0.874
46,1044,0,11.30,12.583,0.872
47,1046,0,11.58,12.581,0.872
48,1046,0,11.55,12.577,0.872
49,1048,0,11.90,12.580,0.883
50,1048,0,11.78,12.579,0.876
51,1050,0,11.95,12.581,0.874
52,1050,0,12.23,12.581,0.883
53,1052,0,12.03,12.586,0.878
54,1052,0,12.01,12.582,0.885
55,1054,0,12.33,12.583,0.883
56,1054,0,12.31,12.584,0.888
57,1056,0,12.28,12.580,0.898
58,1056,0,12.27,12.578,0.901
59,1058,0,11.74,12.576,0.902
60,1058,0,11.89,12.582,0.911
61,1060,0,12.24,12.583,0.907
62,1060,0,12.54,12.583,0.900
63,1062,0,12.96,12.581,0.899
64,1062,0,13.00,12.581,0.909
65,1064,0,12.84,12.579,0.921
66,1064,0,13.00,12.581,0.920
67,1066,0,13.57,12.580,0.914
68,1066,0,14.05,12.585,0.917
69,1068,0,13.88,12.582,0.922
70,1068,0,13.82,12.591,0.907
71,1070,0,14.05,12.581,0.915
72,1070,0,14.00,12.581,0.924
73,1072,0,14.03,12.581,0.919
74,1072,0,13.93,12.583,0.931
75,1074,0,14.40,12.581,0.920
76,1074,0,14.29,12.583,0.930
77,1076,0,14.20,12.581,0.929
78,1076,0,14.92,12.576,0.928
79,1078,0,14.95,12.580,0.938
80,1078,0,14.63,12.579,0.930
81,1080,0,14.43,12.582,0.928
82,1080,0,14.76,12.578,0.931
83,1082,0,14.79,12.582,0.936
84,1082,0,15.08,12.580,0.952
85,1084,0,15.17,12.580,0.924
86,1084,0,15.42,12.582,0.944
87,1086,0,15.12,12.583,0.947
88,1086,0,14.98,12.576,0.935
89,1088,0,15.13,12.583,0.959
90,1088,0,15.52,12.581,0.941
