seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.577,0.729
2,1000,0,0.00,12.582,0.735
3,1002,0,0.00,12.578,0.724
4,1002,0,0.00,12.580,0.730
5,1004,0,0.00,12.583,0.726
6,1004,0,0.00,12.578,0.720
7,1006,0,0.00,12.580,0.725
8,1006,0,0.00,12.585,0.727
9,1008,0,0.00,12.583,0.731
10,1008,0,0.00,12.581,0.726
11,1010,0,0.00,12.579,0.723
12,1010,0,0.00,12.584,0.717
13,1012,0,0.00,12.582,0.726
14,1012,0,0.00,12.575,0.723
15,1014,0,0.00,12.576,0.736
16,1014,0,0.00,12.579,0.751
17,1016,0,0.00,12.577,0.741
18,1016,0,0.00,12.575,0.906
19,1018,0,0.00,12.572,1.256
20,1018,0,10.94,12.572,1.254
21,1020,0,14.39,12.574,1.104
22,1020,0,16.69,12.572,0.990
23,1022,0,17.57,12.571,0.923
24,1022,0,17.07,12.576,0.878
25,1024,0,16.93,12.580,0.894
26,1024,0,17.16,12.575,0.898
27,1026,0,17.04,12.573,0.876
28,1026,0,17.26,12.573,0.873
29,1028,0,17.72,12.577,0.855
30,1028,0,17.51,12.574,0.853
31,1030,0,17.68,12.574,0.854
32,1030,0,17.43,12.575,0.856
33,1032,0,16.98,12.571,0.848
34,1032,0,17.76,12.578,0.844
35,1034,0,17.67,12.572,0.838
36,1034,0,17.30,12.571,0.852
37,1036,0,17.68,12.573,0.850
38,1036,0,16.76,12.574,0.856
39,1038,0,17.45,12.576,0.857
40,1038,0,17.52,12.575,0.851
41,1040,0,17.77,12.576,0.856
42,1040,0,17.76,12.579,0.867
43,1042,0,17.32,12.574,0.860
44,1042,0,17.63,12.571,0.864
45,1044,0,17.55,12.575,0.870
46,1044,0,18.01,12.576,0.860
47,1046,0,17.32,12.578,0.861
48,1046,0,17.67,12.579,0.871
49,1048,0,17.65,12.575,0.869
50,1048,0,17.84,12.576,0.864
51,1050,0,18.36,12.577,0.874
52,1050,0,17.75,12.576,0.874
53,1052,0,18.06,12.576,0.882
54,1052,0,17.77,12.575,0.893
55,1054,0,17.96,12.574,0.870
56,1054,0,18.20,12.577,0.872
57,1056,0,18.38,12.570,0.875
58,1056,0,18.51,12.573,0.879
59,1058,0,19.25,12.578,0.880
60,1058,0,18.95,12.574,0.884
61,1060,0,18.93,12.578,0.889
62,1060,0,18.92,12.572,0.888
63,1062,0,19.03,12.578,0.883
64,1062,0,18.86,12.575,0.886
65,1064,0,18.93,12.573,0.891
66,1064,0,19.13,12.574,0.897
67,1066,0,19.10,12.573,0.904
68,1066,0,19.16,12.576,0.900
69,1068,0,18.82,12.574,0.901
70,1068,0,19.09,12.578,0.905
71,1070,0,18.78,12.579,0.903
72,1070,0,18.93,12.573,0.903
73,1072,0,18.76,12.570,0.900
74,1072,0,18.97,12.572,0.908
75,1074,0,19.12,12.579,0.918
76,1074,0,18.89,12.573,0.915
77,1076,0,19.12,12.573,0.907
78,1076,0,19.30,12.575,0.905
79,1078,0,18.90,12.570,0.911
80,1078,0,19.17,12.573,0.914
81,1080,0,19.30,12.574,0.918
82,1080,0,19.24,12.574,0.922
83,1082,0,19.36,12.575,0.916
84,1082,0,19.20,12.572,0.918
85,1084,0,19.17,12.577,0.925
86,1084,0,19.22,12.575,0.936
87,1086,0,19.34,12.572,0.912
88,1086,0,19.28,12.572,0.922
89,1088,0,19.01,12.575,0.916
90,1088,0,19.00,12.574,0.928
91,1090,0,19.12,12.577,0.923
92,1090,0,19.01,12.578,0.934
93,1092,3720,19.52,12.575,0.934
94,1092,3745,19.61,12.576,0.927
95,1094,3762,19.46,12.573,0.937
96,1094,3788,19.89,12.573,0.935
97,1096,3814,20.11,12.577,0.939
98,1096,3840,19.87,12.571,0.941
99,1098,3848,19.88,12.575,0.937
100,1098,3874,19.60,12.573,0.939
101,1100,3891,19.95,12.573,0.940
102,1100,3908,20.01,12.574,0.948
103,1102,3925,19.79,12.574,0.950
104,1102,3951,19.89,12.575,0.957
105,1104,3968,20.03,12.577,0.951
106,1104,3985,20.10,12.575,0.953
107,1106,4002,20.00,12.574,0.940
108,1106,4020,19.62,12.569,0.961
109,1108,4045,19.87,12.572,0.961
110,1108,4062,20.07,12.572,0.954
111,1110,4088,19.86,12.575,0.954
112,1110,4105,20.19,12.576,0.952
113,1112,4122,20.47,12.576,0.963
114,1112,4157,20.15,12.573,0.974
115,1114,4174,20.13,12.570,0.968
116,1114,4191,20.00,12.573,0.971
117,1116,4208,20.49,12.575,0.990
118,1116,4234,20.50,12.571,0.978
119,1118,4268,20.73,12.577,0.978
120,1118,4294,20.77,12.574,0.983
121,1120,4320,20.94,12.575,0.980
122,1120,4345,21.79,12.577,0.982
123,1122,4362,21.60,12.573,0.985
124,1122,4388,21.72,12.575,0.988
125,1124,4405,21.81,12.572,0.996
126,1124,4422,21.78,12.576,0.980
127,1126,4440,21.97,12.578,0.989
128,1126,4457,21.99,12.573,0.984
129,1128,4465,22.19,12.574,0.986
130,1128,4482,22.19,12.575,0.997
131,1130,4508,22.70,12.574,1.004
132,1130,4525,23.52,12.573,1.018
133,1132,4551,23.81,12.574,1.015
134,1132,4568,23.98,12.569,1.011
135,1134,4602,23.85,12.573,1.016
136,1134,4628,23.76,12.571,1.022
137,1136,4645,23.67,12.575,1.012
138,1136,4671,24.09,12.577,1.015
139,1138,4697,24.27,12.572,1.018
140,1138,4722,24.25,12.575,1.019
141,1140,4740,24.47,12.570,1.007
142,1140,4765,24.79,12.573,1.035
143,1142,4782,25.42,12.570,1.028
144,1142,4808,25.82,12.572,1.022
145,1144,4817,25.71,12.575,1.039
146,1144,4842,25.84,12.573,1.030
147,1146,4868,26.05,12.577,1.030
148,1146,4885,25.72,12.578,1.017
149,1148,4902,25.85,12.575,1.035
150,1148,4920,26.66,12.574,1.043
151,1150,4945,26.45,12.572,1.036
152,1150,4962,26.58,12.575,1.051
153,1152,4980,27.10,12.574,1.064
154,1152,5005,27.34,12.572,1.052
155,1154,5022,27.39,12.572,1.050
156,1154,5048,27.50,12.572,1.048
157,1156,5065,27.67,12.577,1.042
158,1156,5082,27.46,12.573,1.044
159,1158,5108,27.79,12.575,1.056
160,1158,5125,27.49,12.577,1.058
