seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.616,0.738
2,1000,0,0.00,12.619,0.728
3,1002,0,0.00,12.620,0.733
4,1002,0,0.00,12.615,0.735
5,1004,0,0.00,12.621,0.729
6,1004,0,0.00,12.612,0.732
7,1006,0,0.00,12.617,0.727
8,1006,0,0.00,12.618,0.736
9,1008,0,0.00,12.618,0.729
10,1008,0,0.00,12.616,0.733
11,1010,0,0.00,12.616,0.730
12,1010,0,0.00,12.615,0.728
13,1012,0,0.00,12.617,0.735
14,1012,0,0.00,12.619,0.736
15,1014,0,0.00,12.613,0.745
16,1014,0,0.00,12.618,0.751
17,1016,0,0.00,12.614,0.753
18,1016,0,0.00,12.612,0.995
19,1018,0,0.00,12.610,1.194
20,1018,0,6.56,12.612,1.113
21,1020,0,8.74,12.609,0.999
22,1020,0,9.78,12.608,0.932
23,1022,0,9.87,12.608,0.896
24,1022,0,9.98,12.613,0.898
25,1024,0,10.33,12.610,0.903
26,1024,0,10.27,12.614,0.894
27,1026,0,10.36,12.611,0.873
28,1026,0,10.46,12.617,0.869
29,1028,0,11.25,12.613,0.863
30,1028,0,10.70,12.614,0.854
31,1030,0,11.46,12.612,0.857
32,1030,0,11.16,12.609,0.859
33,1032,0,11.22,12.609,0.851
34,1032,0,11.40,12.612,0.854
35,1034,0,11.26,12.614,0.857
36,1034,0,11.07,12.615,0.863
37,1036,0,11.43,12.621,0.865
38,1036,0,10.85,12.610,0.868
39,1038,0,11.28,12.610,0.869
40,1038,0,11.11,12.610,0.874
41,1040,0,10.74,12.611,0.863
42,1040,0,11.48,12.612,0.870
43,1042,0,11.09,12.611,0.874
44,1042,0,11.79,12.611,0.877
45,1044,0,11.27,12.612,0.871
46,1044,0,11.58,12.609,0.879
47,1046,0,11.17,12.613,0.887
48,1046,0,11.62,12.612,0.884
49,1048,0,11.67,12.614,0.884
50,1048,0,11.51,12.610,0.884
51,1050,0,11.86,12.615,0.882
52,1050,0,11.85,12.613,0.882
53,1052,0,11.46,12.614,0.890
54,1052,0,11.80,12.612,0.893
55,1054,0,11.75,12.610,0.899
56,1054,0,12.16,12.610,0.900
57,1056,0,12.64,12.613,0.892
58,1056,0,12.19,12.611,0.891
59,1058,0,12.56,12.612,0.898
60,1058,0,12.29,12.608,0.900
61,1060,0,12.97,12.612,0.910
62,1060,0,12.87,12.612,0.903
63,1062,0,12.84,12.614,0.909
64,1062,0,12.92,12.612,0.917
65,1064,0,13.16,12.611,0.926
66,1064,0,13.06,12.612,0.921
67,1066,0,13.15,12.612,0.912
68,1066,0,13.50,12.611,0.914
