seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.739,0.741
2,1000,0,0.00,16.740,0.746
3,1002,0,0.00,16.741,0.741
4,1002,0,0.00,16.740,0.743
5,1004,0,0.00,16.741,0.746
6,1004,0,0.00,16.743,0.740
7,1006,0,0.00,16.743,0.741
8,1006,0,0.00,16.742,0.745
9,1008,0,0.00,16.743,0.745
10,1008,0,0.00,16.741,0.748
11,1010,0,0.00,16.743,0.740
12,1010,0,0.00,16.739,0.741
13,1012,0,0.00,16.747,0.747
14,1012,0,0.00,16.741,0.750
15,1014,0,0.00,16.740,0.763
16,1014,0,0.00,16.740,0.767
17,1016,0,0.00,16.736,0.767
18,1016,0,0.00,16.732,1.012
19,1018,0,0.00,16.731,1.206
20,1018,0,5.13,16.734,1.138
21,1020,0,11.29,16.735,1.038
22,1020,0,12.23,16.729,0.978
23,1022,0,12.13,16.733,0.977
24,1022,0,12.66,16.735,0.971
25,1024,0,12.74,16.733,0.945
26,1024,0,13.41,16.734,0.942
27,1026,0,13.50,16.731,0.905
28,1026,0,14.44,16.735,0.904
29,1028,0,14.72,16.733,0.903
30,1028,0,14.40,16.734,0.914
31,1030,0,14.65,16.733,0.900
32,1030,0,14.47,16.732,0.912
33,1032,0,14.68,16.737,0.911
34,1032,0,14.93,16.733,0.903
35,1034,0,15.14,16.737,0.907
36,1034,0,15.64,16.730,0.911
37,1036,0,15.70,16.734,0.919
38,1036,0,16.18,16.734,0.920
39,1038,0,16.39,16.734,0.916
40,1038,0,16.48,16.732,0.916
41,1040,0,16.39,16.734,0.920
42,1040,0,16.60,16.732,0.933
43,1042,0,16.64,16.730,0.933
44,1042,0,16.93,16.734,0.933
45,1044,0,16.79,16.736,0.920
46,1044,0,17.12,16.732,0.923
47,1046,0,16.94,16.735,0.921
48,1046,0,16.83,16.730,0.925
49,1048,0,16.84,16.732,0.936
50,1048,0,17.03,16.732,0.925
51,1050,0,17.48,16.732,0.951
52,1050,0,17.25,16.734,0.945
53,1052,0,17.13,16.729,0.953
54,1052,0,17.37,16.734,0.954
55,1054,0,17.45,16.735,0.959
56,1054,0,17.60,16.732,0.945
57,1056,0,17.63,16.726,0.955
58,1056,0,18.07,16.737,0.956
59,1058,0,18.11,16.730,0.955
60,1058,0,18.43,16.737,0.970
61,1060,0,19.00,16.735,0.959
62,1060,0,19.12,16.733,0.970
63,1062,0,19.53,16.734,0.963
64,1062,4071,20.02,16.734,0.967
65,1064,4105,21.02,16.731,0.967
66,1064,4140,21.23,16.734,0.972
67,1066,4174,21.04,16.732,0.970
68,1066,4208,21.33,16.732,0.981
69,1068,4242,21.78,16.728,0.997
70,1068,4268,21.67,16.730,0.996
71,1070,4294,21.70,16.734,0.989
72,1070,4320,22.06,16.729,0.991
73,1072,4328,21.78,16.728,0.991
74,1072,4337,21.95,16.730,0.991
75,1074,4345,22.06,16.729,0.998
76,1074,4345,22.46,16.733,1.010
77,1076,4345,23.15,16.734,1.022
78,1076,4345,24.05,16.732,1.012
79,1078,4345,24.57,16.732,1.002
80,1078,4345,24.58,16.729,1.015
81,1080,4345,24.71,16.731,1.009
82,1080,4345,24.55,16.731,1.029
83,1082,4345,24.77,16.735,1.023
84,1082,4354,24.60,16.732,1.024
85,1084,4371,25.02,16.731,1.047
86,1084,4380,26.60,16.732,1.024
87,1086,4380,26.96,16.731,1.042
88,1086,4380,27.12,16.733,1.043
89,1088,4380,27.55,16.733,1.028
90,1088,4380,27.58,16.728,1.037
91,1090,4380,27.25,16.729,1.033
92,1090,4380,27.20,16.728,1.041
93,1092,4380,27.71,16.732,1.056
94,1092,4414,29.24,16.730,1.039
95,1094,4414,29.63,16.730,1.058
96,1094,4414,30.14,16.729,1.059
97,1096,4414,30.17,16.733,1.048
98,1096,4414,29.48,16.738,1.061
99,1098,4414,29.65,16.730,1.061
100,1098,4414,30.03,16.734,1.066
101,1100,4414,30.35,16.734,1.073
102,1100,4431,31.00,16.729,1.080
103,1102,4431,31.71,16.732,1.075
104,1102,4431,31.76,16.728,1.078
105,1104,4431,31.53,16.733,1.085
106,1104,4431,31.37,16.732,1.095
