seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.61,0.73,9.27,0.000
2,1000,0,0.00,12.61,0.74,9.37,0.000
3,1002,0,0.00,12.61,0.74,9.30,0.000
4,1002,0,0.00,12.62,0.74,9.37,0.000
5,1004,0,0.00,12.61,0.74,9.31,0.000
6,1004,0,0.00,12.61,0.73,9.26,0.000
7,1006,0,0.00,12.62,0.73,9.22,0.000
8,1006,0,0.00,12.62,0.73,9.26,0.000
9,1008,0,0.00,12.62,0.73,9.22,0.000
10,1008,0,0.00,12.61,0.74,9.32,0.000
11,1010,0,0.00,12.61,0.73,9.27,0.000
12,1010,0,0.00,12.61,0.74,9.32,0.000
13,1012,0,0.00,12.61,0.74,9.30,0.000
14,1012,0,0.00,12.61,0.73,9.24,0.000
15,1014,0,0.00,12.61,0.75,9.51,0.000
16,1014,0,0.00,12.61,0.76,9.53,0.000
17,1016,0,0.00,12.61,0.76,9.55,0.000
18,1016,0,0.00,12.61,0.92,11.55,0.000
19,1018,0,0.00,12.60,1.24,15.63,0.000
20,1018,0,5.09,12.61,1.34,16.90,0.301
21,1020,0,8.72,12.60,1.35,16.95,0.514
22,1020,0,9.16,12.60,1.33,16.83,0.544
23,1022,0,10.25,12.61,1.23,15.50,0.662
24,1022,0,11.38,12.61,1.10,13.83,0.823
25,1024,0,12.45,12.61,1.01,12.76,0.976
26,1024,0,13.17,12.61,0.96,12.15,1.084
27,1026,0,13.07,12.61,0.92,11.61,1.125
28,1026,0,13.94,12.61,0.91,11.53,1.209
29,1028,0,14.17,12.61,0.91,11.45,1.238
30,1028,0,14.54,12.61,0.90,11.38,1.278
31,1030,0,14.41,12.61,0.90,11.29,1.277
32,1030,0,15.21,12.61,0.89,11.24,1.352
33,1032,0,14.97,12.61,0.89,11.20,1.336
34,1032,0,15.39,12.61,0.88,11.08,1.389
35,1034,0,15.50,12.61,0.87,10.97,1.412
36,1034,0,15.52,12.61,0.88,11.15,1.392
37,1036,0,15.74,12.61,0.89,11.17,1.410
38,1036,0,15.91,12.61,0.89,11.16,1.425
39,1038,0,15.76,12.61,0.89,11.25,1.401
40,1038,0,16.30,12.61,0.88,11.15,1.462
41,1040,0,15.89,12.61,0.88,11.15,1.426
42,1040,0,16.44,12.61,0.89,11.20,1.468
43,1042,0,15.86,12.61,0.89,11.21,1.415
44,1042,0,16.59,12.61,0.89,11.25,1.476
45,1044,0,17.02,12.61,0.90,11.29,1.507
46,1044,0,16.43,12.61,0.89,11.27,1.458
47,1046,0,16.82,12.61,0.90,11.28,1.491
48,1046,0,16.37,12.61,0.90,11.35,1.442
49,1048,0,16.94,12.61,0.90,11.41,1.485
50,1048,0,16.49,12.61,0.91,11.43,1.443
51,1050,0,17.09,12.61,0.91,11.47,1.490
52,1050,0,17.09,12.61,0.91,11.47,1.490
53,1052,0,16.58,12.61,0.90,11.39,1.455
54,1052,0,17.07,12.61,0.92,11.56,1.477
55,1054,0,16.85,12.61,0.92,11.57,1.456
56,1054,0,17.29,12.61,0.92,11.59,1.492
57,1056,0,17.48,12.61,0.92,11.56,1.512
58,1056,0,17.44,12.61,0.92,11.54,1.511
59,1058,0,17.38,12.61,0.92,11.65,1.491
60,1058,0,18.40,12.61,0.93,11.71,1.571
61,1060,0,18.33,12.61,0.93,11.70,1.566
62,1060,0,18.77,12.61,0.93,11.69,1.606
63,1062,0,18.31,12.61,0.93,11.71,1.564
64,1062,0,19.10,12.61,0.94,11.79,1.620
65,1064,0,19.29,12.61,0.93,11.77,1.639
66,1064,0,19.45,12.61,0.94,11.87,1.639
67,1066,0,19.61,12.61,0.94,11.90,1.649
68,1066,0,19.98,12.61,0.95,11.95,1.672
69,1068,0,19.96,12.61,0.94,11.88,1.681
70,1068,0,20.01,12.61,0.95,11.99,1.669
71,1070,0,19.93,12.61,0.95,11.93,1.671
72,1070,0,20.00,12.61,0.95,12.04,1.661
73,1072,0,19.88,12.61,0.96,12.07,1.648
74,1072,0,20.16,12.61,0.96,12.16,1.658
75,1074,0,20.46,12.61,0.96,12.09,1.692
76,1074,0,20.55,12.61,0.97,12.17,1.687
77,1076,0,20.75,12.61,0.96,12.16,1.707
78,1076,0,21.05,12.61,0.97,12.27,1.715
79,1078,0,20.82,12.61,0.96,12.10,1.721
80,1078,0,21.13,12.61,0.97,12.25,1.725
81,1080,0,21.46,12.61,0.98,12.31,1.743
82,1080,0,21.96,12.61,0.98,12.30,1.786
83,1082,0,22.09,12.61,0.98,12.31,1.795
84,1082,0,22.14,12.61,0.98,12.32,1.797
85,1084,0,22.52,12.61,0.98,12.32,1.829
86,1084,0,22.79,12.61,0.98,12.33,1.848
87,1086,0,22.83,12.61,0.98,12.40,1.841
88,1086,0,23.11,12.61,0.99,12.46,1.854
89,1088,0,23.09,12.61,0.99,12.48,1.851
90,1088,0,23.07,12.61,0.99,12.48,1.850
91,1090,0,23.31,12.61,0.99,12.46,1.871
92,1090,0,23.46,12.61,1.00,12.61,1.860
93,1092,0,23.91,12.61,0.99,12.50,1.913
94,1092,0,24.28,12.61,0.99,12.49,1.944
95,1094,0,24.42,12.61,0.99,12.54,1.947
96,1094,0,25.33,12.61,1.01,12.68,1.997
97,1096,0,25.31,12.61,1.01,12.78,1.981
98,1096,3720,25.24,12.61,1.01,12.78,1.976
