seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.587,0.734
2,1000,0,0.00,12.592,0.744
3,1002,0,0.00,12.590,0.737
4,1002,0,0.00,12.588,0.740
5,1004,0,0.00,12.589,0.735
6,1004,0,0.00,12.589,0.743
7,1006,0,0.00,12.587,0.739
8,1006,0,0.00,12.592,0.745
9,1008,0,0.00,12.588,0.740
10,1008,0,0.00,12.588,0.743
11,1010,0,0.00,12.592,0.741
12,1010,0,0.00,12.591,0.742
13,1012,0,0.00,12.591,0.736
14,1012,0,0.00,12.584,0.743
15,1014,0,0.00,12.587,0.750
16,1014,0,0.00,12.588,0.754
17,1016,0,0.00,12.583,0.755
18,1016,0,0.00,12.581,1.024
19,1018,0,2.90,12.577,1.335
20,1018,0,8.03,12.584,1.341
21,1020,0,10.70,12.579,1.212
22,1020,0,12.62,12.580,1.098
23,1022,0,13.26,12.584,1.015
24,1022,0,14.02,12.582,0.973
25,1024,0,14.26,12.584,0.947
26,1024,0,14.82,12.582,0.955
27,1026,0,14.82,12.583,0.960
28,1026,0,15.45,12.578,0.928
29,1028,0,15.81,12.582,0.928
30,1028,0,15.90,12.584,0.912
31,1030,0,16.23,12.579,0.908
32,1030,0,16.13,12.582,0.913
33,1032,0,16.34,12.583,0.912
34,1032,0,16.60,12.585,0.900
35,1034,0,16.78,12.580,0.894
36,1034,0,16.87,12.578,0.896
37,1036,0,17.30,12.578,0.898
38,1036,0,17.14,12.587,0.907
39,1038,0,17.39,12.587,0.903
40,1038,0,17.03,12.585,0.903
41,1040,0,17.00,12.585,0.906
42,1040,0,17.06,12.579,0.905
43,1042,0,17.30,12.580,0.908
44,1042,0,17.88,12.584,0.910
45,1044,0,17.61,12.580,0.909
46,1044,0,17.60,12.580,0.918
47,1046,0,18.04,12.581,0.915
48,1046,0,18.54,12.585,0.923
49,1048,0,19.07,12.583,0.925
50,1048,0,18.91,12.583,0.922
51,1050,0,19.07,12.583,0.917
52,1050,0,18.88,12.583,0.926
53,1052,0,19.12,12.577,0.946
54,1052,0,19.45,12.585,0.941
55,1054,0,19.59,12.584,0.947
56,1054,0,19.71,12.584,0.942
57,1056,0,19.59,12.582,0.942
58,1056,0,20.59,12.582,0.930
59,1058,0,20.37,12.584,0.947
60,1058,0,20.48,12.584,0.955
61,1060,0,20.21,12.582,0.944
62,1060,0,20.43,12.584,0.948
63,1062,0,20.81,12.581,0.947
64,1062,0,21.29,12.585,0.956
65,1064,0,21.48,12.584,0.964
66,1064,0,21.31,12.584,0.965
