seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.81,0.76,12.71,0.000
2,1000,0,0.00,16.81,0.76,12.75,0.000
3,1002,0,0.00,16.81,0.77,12.91,0.000
4,1002,0,0.00,16.81,0.76,12.72,0.000
5,1004,0,0.00,16.81,0.75,12.68,0.000
6,1004,0,0.00,16.81,0.76,12.80,0.000
7,1006,0,0.00,16.81,0.76,12.80,0.000
8,1006,0,0.00,16.81,0.77,12.86,0.000
9,1008,0,0.00,16.81,0.76,12.69,0.000
10,1008,0,0.00,16.81,0.76,12.77,0.000
11,1010,0,0.00,16.81,0.76,12.77,0.000
12,1010,0,0.00,16.81,0.76,12.76,0.000
13,1012,0,0.00,16.81,0.76,12.77,0.000
14,1012,0,0.00,16.81,0.76,12.76,0.000
15,1014,0,0.00,16.80,0.77,13.01,0.000
16,1014,0,0.00,16.80,0.78,13.07,0.000
17,1016,0,0.00,16.80,0.79,13.27,0.000
18,1016,0,0.00,16.80,1.03,17.26,0.000
19,1018,0,0.00,16.78,1.58,26.49,0.000
20,1018,0,4.55,16.79,1.78,29.90,0.152
21,1020,0,8.23,16.79,1.78,29.84,0.276
22,1020,0,9.96,16.79,1.72,28.81,0.346
23,1022,0,11.34,16.79,1.60,26.79,0.423
24,1022,0,12.12,16.79,1.42,23.78,0.510
25,1024,0,13.31,16.80,1.28,21.49,0.619
26,1024,0,14.63,16.80,1.18,19.77,0.740
27,1026,0,16.47,16.80,1.10,18.45,0.893
28,1026,0,17.80,16.80,1.08,18.17,0.979
29,1028,0,18.66,16.80,1.06,17.86,1.045
30,1028,0,19.57,16.80,1.04,17.54,1.116
31,1030,0,20.11,16.80,1.01,17.05,1.179
32,1030,0,20.46,16.80,1.00,16.88,1.212
33,1032,0,21.09,16.80,0.99,16.66,1.265
34,1032,0,21.61,16.80,0.99,16.57,1.304
35,1034,0,21.80,16.80,0.98,16.47,1.324
36,1034,0,22.37,16.80,0.98,16.51,1.354
37,1036,0,22.46,16.80,0.99,16.66,1.348
38,1036,0,22.76,16.80,0.99,16.71,1.362
39,1038,0,23.27,16.80,0.99,16.63,1.399
40,1038,0,23.88,16.80,0.98,16.47,1.449
41,1040,0,24.12,16.80,0.99,16.62,1.451
42,1040,0,24.88,16.80,0.99,16.59,1.499
43,1042,0,25.17,16.80,0.99,16.69,1.508
44,1042,0,25.44,16.80,1.00,16.82,1.513
45,1044,0,26.05,16.80,0.99,16.67,1.562
46,1044,0,26.26,16.80,1.00,16.76,1.567
47,1046,0,26.46,16.80,0.99,16.63,1.591
48,1046,0,26.49,16.80,1.00,16.81,1.576
49,1048,0,26.52,16.80,1.00,16.79,1.579
50,1048,0,26.69,16.80,1.00,16.82,1.587
51,1050,0,26.73,16.80,1.01,16.92,1.580
52,1050,0,26.87,16.80,1.01,17.04,1.577
53,1052,0,27.08,16.80,1.02,17.16,1.578
54,1052,0,27.11,16.80,1.02,17.20,1.576
55,1054,0,27.23,16.80,1.02,17.13,1.590
56,1054,0,27.41,16.80,1.01,16.98,1.614
57,1056,0,27.71,16.80,1.02,17.11,1.620
58,1056,0,27.89,16.80,1.03,17.26,1.616
59,1058,0,27.73,16.80,1.04,17.45,1.588
60,1058,0,27.98,16.80,1.04,17.52,1.597
61,1060,0,28.27,16.80,1.04,17.54,1.612
62,1060,0,28.55,16.80,1.05,17.56,1.625
63,1062,0,28.44,16.80,1.05,17.71,1.606
64,1062,0,28.85,16.80,1.05,17.69,1.631
65,1064,0,29.31,16.80,1.05,17.71,1.656
66,1064,0,29.59,16.80,1.06,17.85,1.658
67,1066,0,29.52,16.80,1.06,17.86,1.652
68,1066,0,30.04,16.80,1.06,17.88,1.680
69,1068,0,30.51,16.80,1.06,17.83,1.711
70,1068,0,30.54,16.80,1.07,18.05,1.692
71,1070,4114,30.94,16.80,1.08,18.20,1.700
72,1070,4148,31.58,16.80,1.08,18.08,1.746
73,1072,4182,31.93,16.80,1.08,18.21,1.754
74,1072,4234,32.26,16.80,1.08,18.17,1.776
75,1074,4277,32.71,16.80,1.09,18.29,1.788
76,1074,4302,33.25,16.80,1.10,18.43,1.804
77,1076,4328,33.57,16.80,1.09,18.33,1.831
78,1076,4345,34.11,16.80,1.10,18.47,1.847
79,1078,4371,34.56,16.80,1.10,18.52,1.867
80,1078,4388,34.80,16.80,1.11,18.69,1.861
81,1080,4422,35.12,16.80,1.12,18.79,1.869
82,1080,4448,35.55,16.80,1.12,18.88,1.883
83,1082,4465,36.19,16.80,1.12,18.74,1.930
84,1082,4465,36.73,16.79,1.12,18.83,1.950
85,1084,4508,37.16,16.80,1.13,18.92,1.965
86,1084,4542,37.92,16.79,1.15,19.32,1.963
87,1086,4560,38.45,16.80,1.14,19.12,2.010
88,1086,4577,38.78,16.80,1.13,19.04,2.037
89,1088,4602,39.23,16.80,1.14,19.15,2.049
90,1088,4645,39.41,16.80,1.14,19.11,2.063
91,1090,4680,39.83,16.80,1.14,19.21,2.073
92,1090,4697,40.61,16.80,1.15,19.35,2.098
93,1092,4722,41.00,16.80,1.16,19.44,2.109
94,1092,4731,42.47,16.80,1.17,19.65,2.161
95,1094,4748,42.70,16.80,1.17,19.62,2.176
96,1094,4782,42.55,16.80,1.16,19.56,2.176
97,1096,4808,42.98,16.80,1.17,19.68,2.183
98,1096,4825,43.30,16.80,1.19,19.92,2.174
99,1098,4842,43.90,16.80,1.18,19.88,2.209
100,1098,4860,44.91,16.80,1.19,20.05,2.240
101,1100,4877,45.83,16.79,1.19,20.01,2.290
102,1100,4885,46.25,16.80,1.20,20.11,2.300
103,1102,4928,46.39,16.80,1.20,20.08,2.310
104,1102,4945,46.44,16.80,1.20,20.09,2.312
105,1104,4945,46.64,16.80,1.21,20.36,2.290
106,1104,4962,47.09,16.80,1.22,20.44,2.304
107,1106,4962,47.64,16.80,1.20,20.23,2.355
108,1106,4980,48.48,16.80,1.21,20.37,2.380
109,1108,4980,49.48,16.80,1.22,20.46,2.419
110,1108,4997,49.76,16.80,1.22,20.42,2.437
111,1110,5005,49.73,16.79,1.22,20.47,2.429
112,1110,5014,49.75,16.80,1.23,20.74,2.399
113,1112,5022,50.42,16.79,1.24,20.80,2.424
114,1112,5031,50.83,16.79,1.25,20.94,2.427
115,1114,5057,51.69,16.80,1.25,21.03,2.458
116,1114,5065,52.29,16.79,1.25,20.98,2.493
117,1116,5065,53.02,16.80,1.25,20.97,2.528
118,1116,5065,53.31,16.79,1.26,21.21,2.514
119,1118,5142,53.47,16.79,1.26,21.10,2.534
120,1118,5194,53.71,16.79,1.27,21.38,2.512
121,1120,5194,54.11,16.79,1.27,21.41,2.527
122,1120,5194,54.95,16.80,1.27,21.32,2.577
123,1122,5194,55.62,16.79,1.28,21.43,2.596
124,1122,5194,55.97,16.79,1.28,21.52,2.601
125,1124,5194,56.53,16.79,1.29,21.65,2.612
126,1124,5194,56.39,16.79,1.29,21.60,2.610
127,1126,5194,56.47,16.79,1.29,21.68,2.605
128,1126,5237,56.52,16.79,1.31,22.03,2.566
129,1128,5271,57.10,16.79,1.30,21.86,2.612
130,1128,5271,57.25,16.80,1.31,22.03,2.599
131,1130,5271,57.69,16.79,1.32,22.15,2.604
132,1130,5271,58.05,16.79,1.32,22.13,2.623
133,1132,5271,58.42,16.80,1.33,22.25,2.625
