seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.60,0.74,9.29,0.000
2,1000,0,0.00,12.60,0.74,9.30,0.000
3,1002,0,0.00,12.60,0.74,9.33,0.000
4,1002,0,0.00,12.60,0.74,9.37,0.000
5,1004,0,0.00,12.60,0.74,9.34,0.000
6,1004,0,0.59,12.60,0.75,9.42,0.063
7,1006,0,0.00,12.60,0.75,9.40,0.000
8,1006,0,0.00,12.60,0.75,9.41,0.000
9,1008,0,0.00,12.60,0.74,9.34,0.000
10,1008,0,0.00,12.60,0.74,9.29,0.000
11,1010,0,0.00,12.60,0.74,9.37,0.000
12,1010,0,0.00,12.60,0.74,9.35,0.000
13,1012,0,0.00,12.60,0.74,9.39,0.000
14,1012,0,0.61,12.60,0.74,9.30,0.066
15,1014,0,0.00,12.60,0.76,9.51,0.000
16,1014,0,0.59,12.59,0.76,9.58,0.062
17,1016,0,0.00,12.59,0.76,9.62,0.000
18,1016,0,0.00,12.59,0.98,12.37,0.000
19,1018,0,2.66,12.59,1.24,15.61,0.170
20,1018,0,6.81,12.59,1.23,15.42,0.442
21,1020,0,9.30,12.59,1.13,14.25,0.653
22,1020,0,11.32,12.59,1.06,13.33,0.850
23,1022,0,12.18,12.59,0.98,12.36,0.986
24,1022,0,12.51,12.59,0.95,12.02,1.041
25,1024,0,12.63,12.59,0.94,11.87,1.064
26,1024,0,13.43,12.59,0.95,12.01,1.118
27,1026,0,13.73,12.59,0.95,11.94,1.150
28,1026,0,14.03,12.59,0.93,11.75,1.194
29,1028,0,14.73,12.59,0.92,11.60,1.270
30,1028,0,14.82,12.59,0.91,11.46,1.293
31,1030,0,15.16,12.59,0.91,11.46,1.324
32,1030,0,15.43,12.59,0.90,11.34,1.361
33,1032,0,15.79,12.59,0.90,11.35,1.391
34,1032,0,15.90,12.59,0.90,11.28,1.410
35,1034,0,16.02,12.59,0.90,11.30,1.418
36,1034,0,16.40,12.59,0.90,11.37,1.443
37,1036,0,16.41,12.59,0.90,11.29,1.454
38,1036,0,16.12,12.59,0.91,11.40,1.415
39,1038,0,16.23,12.59,0.91,11.43,1.420
40,1038,0,16.30,12.59,0.90,11.35,1.436
41,1040,0,16.49,12.59,0.90,11.36,1.452
42,1040,0,16.58,12.59,0.91,11.42,1.452
43,1042,0,16.61,12.59,0.91,11.48,1.447
44,1042,0,16.89,12.59,0.92,11.56,1.460
45,1044,0,16.89,12.59,0.91,11.49,1.470
46,1044,0,17.27,12.59,0.92,11.52,1.499
47,1046,0,17.16,12.59,0.92,11.53,1.489
48,1046,0,17.22,12.59,0.92,11.62,1.482
49,1048,0,17.05,12.59,0.93,11.68,1.460
50,1048,0,17.07,12.59,0.93,11.69,1.460
51,1050,0,17.58,12.59,0.93,11.68,1.506
52,1050,0,17.33,12.59,0.93,11.75,1.474
53,1052,0,17.71,12.59,0.93,11.70,1.514
54,1052,0,17.58,12.59,0.95,11.91,1.477
55,1054,0,17.54,12.59,0.93,11.74,1.494
56,1054,0,17.71,12.59,0.93,11.76,1.506
57,1056,0,18.17,12.59,0.94,11.81,1.539
58,1056,0,18.38,12.59,0.94,11.86,1.550
59,1058,0,18.32,12.59,0.95,11.91,1.539
60,1058,0,18.49,12.59,0.95,11.98,1.543
61,1060,0,18.78,12.59,0.94,11.90,1.579
62,1060,0,18.87,12.59,0.95,11.95,1.579
63,1062,0,19.46,12.59,0.96,12.03,1.618
64,1062,0,19.52,12.59,0.96,12.03,1.622
65,1064,0,19.55,12.59,0.95,12.01,1.627
66,1064,0,19.63,12.59,0.96,12.09,1.624
67,1066,0,19.73,12.59,0.97,12.20,1.618
68,1066,0,19.98,12.59,0.97,12.24,1.632
69,1068,0,20.12,12.59,0.97,12.16,1.654
70,1068,0,20.35,12.59,0.97,12.23,1.664
71,1070,0,20.70,12.59,0.97,12.16,1.703
72,1070,0,20.48,12.59,0.98,12.29,1.667
73,1072,0,20.68,12.59,0.98,12.36,1.674
74,1072,0,20.76,12.59,0.99,12.42,1.671
75,1074,0,20.78,12.59,0.98,12.37,1.680
76,1074,0,21.16,12.59,0.99,12.44,1.701
77,1076,0,21.71,12.59,0.99,12.43,1.746
78,1076,0,21.71,12.59,0.99,12.46,1.743
79,1078,0,22.14,12.59,0.99,12.47,1.775
80,1078,0,22.57,12.59,0.99,12.52,1.802
81,1080,0,22.41,12.59,0.99,12.51,1.792
82,1080,0,22.20,12.59,1.00,12.65,1.755
83,1082,0,22.56,12.59,1.02,12.78,1.765
84,1082,0,22.80,12.59,1.01,12.78,1.784
85,1084,0,22.82,12.59,1.02,12.81,1.782
86,1084,0,23.00,12.59,1.01,12.70,1.811
87,1086,0,23.41,12.59,1.02,12.79,1.830
88,1086,0,23.51,12.59,1.01,12.77,1.841
89,1088,0,23.68,12.59,1.01,12.73,1.861
90,1088,0,23.81,12.59,1.02,12.86,1.852
91,1090,0,23.81,12.59,1.02,12.87,1.850
92,1090,0,24.12,12.59,1.03,12.95,1.863
93,1092,0,24.41,12.59,1.03,13.01,1.876
94,1092,0,24.49,12.59,1.03,12.99,1.885
95,1094,0,24.72,12.59,1.03,13.00,1.901
96,1094,0,24.82,12.59,1.05,13.17,1.885
97,1096,0,25.00,12.59,1.04,13.13,1.905
98,1096,0,25.24,12.59,1.04,13.12,1.924
99,1098,0,25.74,12.59,1.05,13.16,1.955
100,1098,0,25.82,12.59,1.04,13.14,1.966
101,1100,3711,26.01,12.59,1.05,13.21,1.970
102,1100,3728,26.41,12.59,1.04,13.15,2.007
103,1102,3745,26.77,12.59,1.05,13.24,2.022
104,1102,3762,26.91,12.59,1.06,13.35,2.016
105,1104,3788,27.02,12.59,1.05,13.25,2.038
106,1104,3814,27.02,12.59,1.07,13.43,2.012
107,1106,3831,27.41,12.59,1.07,13.43,2.041
108,1106,3848,27.91,12.59,1.07,13.51,2.065
109,1108,3865,28.20,12.59,1.07,13.50,2.089
110,1108,3882,28.15,12.59,1.07,13.42,2.097
111,1110,3908,28.29,12.59,1.07,13.48,2.098
112,1110,3925,28.35,12.59,1.08,13.58,2.088
113,1112,3942,28.60,12.59,1.08,13.59,2.105
114,1112,3968,28.78,12.59,1.09,13.74,2.095
115,1114,3985,29.12,12.59,1.09,13.77,2.115
116,1114,4011,29.66,12.59,1.10,13.84,2.144
117,1116,4028,29.77,12.59,1.12,14.11,2.110
118,1116,4054,29.92,12.59,1.12,14.09,2.124
119,1118,4080,30.13,12.59,1.11,13.95,2.160
120,1118,4114,30.56,12.59,1.11,13.96,2.190
121,1120,4131,30.48,12.59,1.10,13.82,2.206
122,1120,4165,30.80,12.59,1.11,14.01,2.199
123,1122,4200,31.20,12.59,1.12,14.15,2.205
124,1122,4217,31.69,12.59,1.12,14.14,2.241
125,1124,4234,32.22,12.59,1.11,14.02,2.298
126,1124,4251,32.37,12.59,1.12,14.08,2.299
127,1126,4268,32.64,12.59,1.12,14.13,2.310
128,1126,4285,33.47,12.59,1.13,14.20,2.357
129,1128,4311,33.96,12.59,1.14,14.37,2.364
130,1128,4328,34.35,12.59,1.15,14.42,2.382
131,1130,4354,34.41,12.59,1.15,14.41,2.388
132,1130,4371,34.76,12.59,1.15,14.51,2.396
133,1132,4388,34.82,12.59,1.15,14.43,2.413
134,1132,4405,35.27,12.59,1.16,14.56,2.422
135,1134,4422,35.45,12.59,1.17,14.72,2.408
136,1134,4440,35.80,12.59,1.17,14.68,2.438
137,1136,4465,35.97,12.59,1.16,14.63,2.459
138,1136,4482,36.27,12.58,1.17,14.67,2.472
139,1138,4508,36.47,12.59,1.16,14.56,2.505
140,1138,4525,36.94,12.59,1.18,14.85,2.487
141,1140,4542,37.13,12.59,1.17,14.75,2.518
142,1140,4568,37.44,12.59,1.18,14.80,2.530
143,1142,4577,37.59,12.59,1.18,14.91,2.520
144,1142,4594,37.66,12.59,1.17,14.78,2.548
145,1144,4620,38.04,12.59,1.18,14.85,2.561
146,1144,4637,38.38,12.59,1.19,15.00,2.559
147,1146,4654,38.45,12.59,1.20,15.07,2.551
148,1146,4671,38.66,12.59,1.20,15.08,2.565
149,1148,4688,39.32,12.59,1.20,15.11,2.602
150,1148,4705,39.70,12.59,1.22,15.38,2.582
151,1150,4731,40.38,12.59,1.23,15.43,2.617
152,1150,4757,40.33,12.59,1.23,15.50,2.602
153,1152,4774,40.52,12.59,1.23,15.45,2.624
154,1152,4791,41.02,12.59,1.22,15.36,2.671
155,1154,4800,41.67,12.59,1.22,15.40,2.706
156,1154,4808,42.09,12.59,1.22,15.41,2.730
