seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.607,0.736
2,1000,0,0.00,12.611,0.738
3,1002,0,0.00,12.610,0.734
4,1002,0,0.00,12.608,0.737
5,1004,0,0.00,12.604,0.733
6,1004,0,0.00,12.601,0.742
7,1006,0,0.00,12.608,0.735
8,1006,0,0.00,12.609,0.727
9,1008,0,0.00,12.605,0.734
10,1008,0,0.00,12.606,0.737
11,1010,0,0.00,12.608,0.729
12,1010,0,0.00,12.606,0.737
13,1012,0,0.00,12.608,0.741
14,1012,0,0.00,12.605,0.738
15,1014,0,0.00,12.606,0.747
16,1014,0,0.00,12.603,0.756
17,1016,0,0.00,12.602,0.758
18,1016,0,0.00,12.595,0.959
19,1018,0,4.58,12.589,1.363
20,1018,0,10.12,12.593,1.569
21,1020,0,12.40,12.592,1.650
22,1020,0,12.09,12.589,1.709
23,1022,0,12.50,12.595,1.632
24,1022,0,13.35,12.597,1.449
25,1024,0,14.22,12.597,1.250
26,1024,0,15.77,12.597,1.125
27,1026,0,15.95,12.601,1.032
28,1026,0,16.22,12.601,0.979
29,1028,0,16.95,12.600,0.981
30,1028,0,16.98,12.597,0.981
31,1030,0,16.81,12.601,0.966
32,1030,0,17.65,12.603,0.934
33,1032,0,17.50,12.600,0.919
34,1032,0,17.56,12.601,0.917
35,1034,0,17.60,12.598,0.904
36,1034,0,17.93,12.599,0.904
37,1036,0,17.31,12.600,0.891
38,1036,0,17.77,12.600,0.893
39,1038,0,17.43,12.601,0.892
40,1038,0,18.14,12.606,0.889
41,1040,0,18.36,12.604,0.895
42,1040,0,18.07,12.596,0.899
43,1042,0,18.67,12.599,0.896
44,1042,0,18.61,12.598,0.906
45,1044,0,18.97,12.599,0.906
46,1044,0,18.55,12.599,0.906
47,1046,0,19.15,12.600,0.894
48,1046,0,19.37,12.598,0.901
49,1048,0,19.18,12.602,0.905
50,1048,0,19.66,12.599,0.910
51,1050,0,19.40,12.596,0.912
52,1050,0,20.01,12.600,0.912
53,1052,0,20.01,12.599,0.906
54,1052,0,20.31,12.600,0.932
55,1054,0,19.67,12.600,0.912
56,1054,0,19.61,12.601,0.927
57,1056,0,19.73,12.602,0.921
58,1056,0,19.03,12.599,0.925
59,1058,0,19.91,12.599,0.923
60,1058,0,20.07,12.604,0.929
61,1060,0,20.08,12.605,0.925
62,1060,0,20.20,12.599,0.929
63,1062,0,20.63,12.600,0.936
64,1062,0,20.53,12.596,0.935
65,1064,0,21.00,12.603,0.939
66,1064,0,21.00,12.604,0.946
67,1066,0,21.11,12.601,0.945
68,1066,0,21.04,12.601,0.946
69,1068,0,21.11,12.609,0.944
70,1068,0,21.15,12.598,0.945
71,1070,0,21.26,12.603,0.950
72,1070,0,21.23,12.601,0.948
73,1072,0,20.90,12.597,0.951
74,1072,0,21.05,12.603,0.958
75,1074,0,21.14,12.600,0.965
76,1074,0,21.00,12.601,0.971
77,1076,0,20.93,12.601,0.963
78,1076,0,20.78,12.600,0.971
79,1078,0,20.71,12.595,0.961
80,1078,0,20.87,12.602,0.961
81,1080,0,20.86,12.599,0.972
82,1080,0,20.80,12.602,0.977
83,1082,0,20.69,12.598,0.975
84,1082,0,20.96,12.599,0.973
85,1084,0,21.40,12.599,0.982
86,1084,0,21.45,12.598,0.993
87,1086,0,22.11,12.603,0.985
88,1086,0,22.14,12.597,0.977
89,1088,0,21.94,12.596,0.997
90,1088,0,21.91,12.597,0.989
91,1090,0,22.15,12.602,0.995
92,1090,0,22.28,12.596,0.995
93,1092,0,22.24,12.604,0.995
94,1092,0,22.57,12.602,0.999
95,1094,0,22.52,12.600,0.991
96,1094,0,22.68,12.602,1.002
97,1096,0,22.74,12.604,0.998
98,1096,3720,22.89,12.600,0.999
99,1098,3728,22.98,12.601,1.002
100,1098,3745,22.90,12.598,1.013
101,1100,3762,22.78,12.598,1.010
102,1100,3788,23.09,12.599,1.022
103,1102,3814,23.10,12.599,1.033
104,1102,3831,23.28,12.601,1.020
105,1104,3848,23.36,12.600,1.016
106,1104,3865,23.11,12.601,1.012
107,1106,3882,23.48,12.597,1.033
108,1106,3900,23.33,12.598,1.049
109,1108,3917,23.34,12.598,1.033
110,1108,3942,23.73,12.597,1.032
111,1110,3960,23.82,12.597,1.032
112,1110,3985,23.50,12.597,1.046
113,1112,4002,24.54,12.595,1.057
114,1112,4037,24.53,12.599,1.043
115,1114,4062,24.88,12.598,1.060
116,1114,4088,25.09,12.599,1.059
117,1116,4114,24.82,12.598,1.049
118,1116,4131,25.07,12.602,1.059
119,1118,4148,25.11,12.598,1.071
120,1118,4165,25.50,12.596,1.061
121,1120,4182,25.29,12.599,1.073
122,1120,4208,25.56,12.593,1.067
123,1122,4225,25.18,12.597,1.059
124,1122,4251,25.22,12.600,1.069
125,1124,4285,25.37,12.600,1.070
126,1124,4302,25.97,12.602,1.066
127,1126,4311,26.41,12.598,1.058
128,1126,4328,27.16,12.599,1.095
129,1128,4354,27.19,12.595,1.093
130,1128,4380,26.87,12.594,1.102
131,1130,4405,26.95,12.601,1.110
132,1130,4422,27.08,12.598,1.082
133,1132,4440,27.17,12.601,1.089
134,1132,4465,27.51,12.599,1.095
135,1134,4491,27.91,12.597,1.098
136,1134,4500,28.02,12.601,1.124
137,1136,4517,28.70,12.595,1.125
138,1136,4534,29.02,12.597,1.112
139,1138,4560,29.83,12.599,1.118
140,1138,4585,30.82,12.599,1.127
141,1140,4602,30.76,12.598,1.122
142,1140,4620,30.17,12.598,1.138
143,1142,4645,30.29,12.600,1.129
144,1142,4662,30.29,12.593,1.124
145,1144,4680,30.14,12.596,1.130
146,1144,4697,30.44,12.600,1.128
147,1146,4714,30.94,12.602,1.133
148,1146,4740,31.53,12.595,1.137
149,1148,4757,31.31,12.596,1.153
150,1148,4782,31.26,12.597,1.153
151,1150,4791,31.60,12.604,1.153
152,1150,4825,32.24,12.600,1.169
153,1152,4834,32.01,12.601,1.148
154,1152,4851,32.14,12.598,1.158
155,1154,4868,32.39,12.600,1.162
156,1154,4877,33.28,12.599,1.162
157,1156,4894,33.22,12.600,1.169
158,1156,4911,32.88,12.598,1.183
159,1158,4928,32.60,12.593,1.174
160,1158,4937,33.13,12.601,1.186
161,1160,4954,33.80,12.599,1.187
162,1160,4980,33.63,12.601,1.189
163,1162,4997,33.82,12.598,1.182
164,1162,5031,34.01,12.600,1.186
165,1164,5048,34.22,12.599,1.185
166,1164,5065,34.16,12.597,1.195
167,1166,5082,34.07,12.595,1.182
168,1166,5091,33.98,12.599,1.203
169,1168,5108,34.12,12.596,1.210
170,1168,5117,34.63,12.597,1.208
171,1170,5134,35.52,12.600,1.218
172,1170,5151,36.96,12.599,1.219
173,1172,5168,37.06,12.600,1.220
174,1172,5177,37.03,12.599,1.225
175,1174,5202,37.01,12.598,1.198
176,1174,5220,36.81,12.596,1.225
177,1176,5237,37.43,12.600,1.233
178,1176,5254,37.82,12.597,1.248
179,1178,5271,37.86,12.599,1.228
180,1178,5288,37.39,12.596,1.253
181,1180,5305,37.32,12.602,1.266
182,1180,5322,37.71,12.596,1.254
183,1182,5340,37.97,12.596,1.254
184,1182,5348,38.80,12.596,1.272
185,1184,5365,38.71,12.596,1.276
186,1184,5382,38.92,12.593,1.252
187,1186,5408,38.71,12.599,1.259
188,1186,5425,38.42,12.599,1.271
189,1188,5451,38.67,12.599,1.278
190,1188,5477,38.96,12.595,1.280
191,1190,5494,38.98,12.595,1.283
192,1190,5502,39.47,12.597,1.294
193,1192,5520,39.94,12.598,1.293
194,1192,5537,39.81,12.598,1.286
195,1194,5562,39.79,12.593,1.309
196,1194,5580,39.78,12.596,1.314
197,1196,5605,39.94,12.593,1.312
198,1196,5622,40.32,12.601,1.309
199,1198,5648,40.60,12.594,1.321
200,1198,5665,40.62,12.594,1.317
201,1200,5691,40.28,12.598,1.312
202,1200,5708,40.06,12.598,1.320
203,1202,5734,40.46,12.599,1.336
204,1202,5742,41.44,12.601,1.337
205,1204,5768,41.43,12.599,1.335
206,1204,5777,41.70,12.597,1.336
207,1206,5794,41.86,12.598,1.352
208,1206,5811,42.40,12.600,1.342
209,1208,5828,42.34,12.598,1.347
210,1208,5845,42.84,12.596,1.357
211,1210,5862,43.02,12.598,1.356
212,1210,5888,43.35,12.602,1.370
213,1212,5905,43.26,12.594,1.372
214,1212,5922,43.32,12.595,1.371
215,1214,5940,43.75,12.601,1.376
216,1214,5957,44.21,12.599,1.375
217,1216,5965,44.55,12.598,1.391
218,1216,5982,44.70,12.597,1.388
219,1218,5991,44.49,12.598,1.396
220,1218,6000,43.33,12.597,1.381
221,1220,6000,43.29,12.593,1.390
222,1220,6008,43.92,12.597,1.395
223,1222,6025,44.81,12.597,1.401
224,1222,6025,45.82,12.599,1.398
225,1224,6042,46.65,12.594,1.399
226,1224,6060,46.46,12.596,1.407
227,1226,6085,46.20,12.593,1.414
228,1226,6111,46.38,12.597,1.417
229,1228,6120,47.31,12.599,1.424
230,1228,6120,47.83,12.598,1.422
231,1230,6128,48.17,12.594,1.439
232,1230,6154,49.14,12.594,1.429
233,1232,6188,50.02,12.596,1.434
234,1232,6205,48.34,12.597,1.448
235,1234,6214,48.27,12.600,1.435
236,1234,6240,49.52,12.591,1.454
237,1236,6248,50.82,12.595,1.480
238,1236,6265,51.43,12.596,1.459
239,1238,6291,51.72,12.598,1.459
240,1238,6317,51.30,12.598,1.457
241,1240,6334,49.48,12.596,1.450
242,1240,6360,49.88,12.595,1.454
243,1242,6385,51.33,12.591,1.462
244,1242,6402,52.18,12.596,1.472
245,1244,6428,52.91,12.595,1.470
246,1244,6437,52.94,12.596,1.478
247,1246,6454,51.51,12.594,1.473
248,1246,6471,52.85,12.595,1.481
249,1248,6488,52.50,12.595,1.489
250,1248,6505,52.93,12.597,1.498
251,1250,6514,54.29,12.595,1.513
252,1250,6531,55.00,12.594,1.509
253,1252,6548,54.94,12.595,1.505
254,1252,6557,54.46,12.594,1.538
255,1254,6565,53.45,12.598,1.544
256,1254,6582,54.09,12.595,1.521
257,1256,6608,55.08,12.598,1.519
258,1256,6625,55.61,12.594,1.539
259,1258,6642,55.53,12.594,1.542
260,1258,6668,54.97,12.594,1.550
261,1260,6685,54.97,12.597,1.545
262,1260,6711,56.51,12.602,1.560
263,1262,6728,57.62,12.592,1.561
264,1262,6745,58.17,12.589,1.563
265,1264,6771,58.18,12.597,1.562
266,1264,6788,58.35,12.594,1.584
267,1266,6814,58.37,12.595,1.599
268,1266,6831,58.27,12.596,1.592
269,1268,6848,59.38,12.593,1.590
270,1268,6874,60.09,12.594,1.584
271,1270,6891,61.01,12.595,1.589
272,1270,6917,61.31,12.593,1.616
273,1272,6934,61.39,12.594,1.622
274,1272,6951,61.52,12.593,1.623
275,1274,6968,61.12,12.592,1.637
276,1274,6994,62.75,12.596,1.636
277,1276,7011,64.02,12.591,1.641
278,1276,7037,64.75,12.591,1.645
279,1278,7062,64.56,12.596,1.636
280,1278,7080,64.41,12.596,1.643
281,1280,7097,64.60,12.593,1.645
282,1280,7122,65.10,12.597,1.669
283,1282,7140,65.83,12.590,1.685
284,1282,7157,67.72,12.593,1.683
285,1284,7174,68.32,12.597,1.692
286,1284,7200,67.16,12.593,1.708
287,1286,7217,66.72,12.591,1.715
288,1286,7251,66.76,12.592,1.724
289,1288,7277,67.63,12.596,1.708
290,1288,7294,69.67,12.591,1.697
291,1290,7320,69.08,12.592,1.711
292,1290,7345,69.03,12.595,1.711
293,1292,7362,69.20,12.593,1.713
294,1292,7388,69.97,12.594,1.717
295,1294,7397,70.74,12.595,1.738
296,1294,7422,71.25,12.597,1.735
297,1296,7440,72.11,12.595,1.743
298,1296,7457,72.54,12.595,1.754
299,1298,7474,73.31,12.597,1.753
300,1298,7491,73.44,12.594,1.766
301,1300,7508,73.28,12.596,1.773
302,1300,7534,72.99,12.591,1.783
303,1302,7551,73.56,12.596,1.791
304,1302,7577,74.72,12.589,1.810
305,1304,7594,75.30,12.595,1.809
306,1304,7620,75.35,12.593,1.793
307,1306,7645,75.24,12.592,1.792
308,1306,7662,75.50,12.592,1.808
309,1308,7688,75.81,12.592,1.803
310,1308,7705,76.09,12.593,1.844
311,1310,7722,76.19,12.589,1.836
312,1310,7740,76.52,12.588,1.831
313,1312,7765,77.27,12.593,1.839
314,1312,7782,77.96,12.592,1.841
315,1314,7800,77.63,12.593,1.827
316,1314,7817,77.64,12.592,1.857
317,1316,7842,77.34,12.591,1.879
318,1316,7868,78.24,12.589,1.881
319,1318,7885,78.68,12.595,1.879
320,1318,7902,78.83,12.594,1.882
321,1320,7928,79.23,12.590,1.897
322,1320,7945,79.76,12.592,1.893
323,1322,7962,79.87,12.591,1.896
324,1322,7997,80.15,12.591,1.899
325,1324,8014,80.43,12.603,1.905
326,1324,8040,80.35,12.591,1.942
327,1326,8057,80.85,12.592,1.942
328,1326,8074,81.50,12.590,1.945
329,1328,8091,81.46,12.593,1.952
330,1328,8108,81.76,12.594,1.947
331,1330,8134,82.16,12.589,1.952
332,1330,8151,83.12,12.591,1.955
333,1332,8168,83.55,12.593,1.955
334,1332,8185,83.79,12.587,1.974
335,1334,8202,84.73,12.588,1.972
336,1334,8211,84.79,12.592,1.970
337,1336,8228,85.14,12.594,1.977
338,1336,8245,85.07,12.589,1.991
339,1338,8262,85.28,12.590,2.001
340,1338,8280,86.24,12.591,2.019
341,1340,8305,86.63,12.586,2.019
342,1340,8331,87.49,12.583,2.023
343,1342,8348,87.46,12.590,2.028
344,1342,8374,87.85,12.593,2.034
345,1344,8391,88.39,12.590,2.024
346,1344,8417,89.16,12.591,2.047
347,1346,8434,89.02,12.583,2.047
348,1346,8451,89.26,12.591,2.134
349,1348,8477,89.96,12.588,2.074
350,1348,8494,90.45,12.587,2.071
351,1350,8520,90.78,12.593,2.068
352,1350,8528,91.18,12.591,2.081
353,1352,8545,90.81,12.589,2.097
354,1352,8562,90.54,12.589,2.094
355,1354,8580,90.85,12.591,2.101
356,1354,8597,91.13,12.593,2.120
357,1356,8605,91.16,12.591,2.111
358,1356,8622,91.24,12.587,2.119
359,1358,8640,91.51,12.586,2.127
360,1358,8657,91.62,12.593,2.141
361,1360,8674,92.56,12.591,2.151
362,1360,8700,92.93,12.588,2.174
363,1362,8717,93.18,12.593,2.178
364,1362,8734,93.36,12.586,2.192
365,1364,8751,94.26,12.587,2.194
366,1364,8777,94.73,12.592,2.204
367,1366,8794,95.11,12.590,2.215
368,1366,8820,95.75,12.589,2.202
369,1368,8837,95.79,12.584,2.213
370,1368,8862,95.99,12.586,2.221
371,1370,8880,96.97,12.591,2.230
372,1370,8905,97.15,12.595,2.231
373,1372,8922,96.84,12.586,2.237
374,1372,8940,97.40,12.587,2.267
375,1374,8957,97.37,12.587,2.275
376,1374,8982,98.19,12.592,2.258
377,1376,9000,99.01,12.590,2.255
378,1376,9025,99.22,12.589,2.278
379,1378,9051,99.40,12.588,2.289
380,1378,9077,99.56,12.590,2.307
381,1380,9094,99.57,12.589,2.304
382,1380,9111,99.87,12.591,2.313
383,1382,9128,100.18,12.589,2.322
384,1382,9145,100.84,12.591,2.343
385,1384,9154,101.00,12.585,2.341
386,1384,9171,101.09,12.591,2.346
387,1386,9197,101.08,12.586,2.360
388,1386,9222,101.52,12.588,2.381
389,1388,9248,102.02,12.589,2.372
390,1388,9274,102.67,12.589,2.393
391,1390,9300,103.00,12.586,2.390
392,1390,9317,103.62,12.589,2.383
393,1392,9334,103.43,12.587,2.371
394,1392,9351,103.37,12.585,2.400
395,1394,9368,103.38,12.589,2.417
396,1394,9394,104.24,12.584,2.440
397,1396,9420,104.70,12.584,2.430
398,1396,9437,105.10,12.587,2.441
399,1398,9454,105.32,12.589,2.446
400,1398,9462,105.42,12.586,2.444
401,1400,9488,105.58,12.582,2.469
402,1400,9488,106.01,12.589,2.475
403,1402,9505,106.15,12.586,2.508
404,1402,9531,106.56,12.588,2.501
405,1404,9557,107.27,12.582,2.490
406,1404,9582,107.60,12.586,2.496
407,1406,9591,107.48,12.586,2.507
408,1406,9608,107.46,12.584,2.506
409,1408,9634,107.80,12.588,2.512
410,1408,9651,108.26,12.585,2.535
411,1410,9668,108.58,12.588,2.527
412,1410,9685,108.69,12.580,2.561
413,1412,9702,108.66,12.588,2.547
414,1412,9728,109.32,12.589,2.546
415,1414,9728,109.58,12.582,2.566
416,1414,9754,109.93,12.582,2.580
417,1416,9771,110.84,12.589,2.583
418,1416,9788,111.30,12.583,2.594
419,1418,9805,111.42,12.588,2.591
420,1418,9822,111.46,12.587,2.589
421,1420,9822,111.14,12.585,2.605
422,1420,9831,111.77,12.584,2.632
423,1422,9857,112.04,12.586,2.627
424,1422,9882,112.45,12.588,2.627
425,1424,9900,112.81,12.583,2.616
426,1424,9917,112.96,12.586,2.643
427,1426,9917,112.77,12.581,2.657
428,1426,9942,112.95,12.588,2.662
429,1428,9960,113.53,12.587,2.668
430,1428,9977,114.05,12.586,2.678
431,1430,9985,114.11,12.588,2.665
432,1430,10002,114.22,12.580,2.673
433,1432,10011,114.56,12.585,2.685
434,1432,10037,114.76,12.588,2.703
435,1434,10045,114.80,12.586,2.709
436,1434,10062,115.26,12.585,2.704
437,1436,10071,115.81,12.585,2.746
438,1436,10097,116.05,12.587,2.738
439,1438,10105,116.11,12.581,2.738
440,1438,10122,116.51,12.586,2.758
441,1440,10140,116.60,12.585,2.740
442,1440,10148,116.88,12.580,2.780
443,1442,10157,116.86,12.586,2.719
444,1442,10174,117.09,12.584,2.730
445,1444,10191,117.66,12.587,2.759
446,1444,10191,117.84,12.584,2.757
447,1446,10191,118.04,12.583,2.756
448,1446,10208,117.79,12.581,2.812
449,1448,10242,117.70,12.587,2.839
450,1448,10260,118.27,12.581,2.836
451,1450,10285,118.53,12.585,2.834
452,1450,10294,119.44,12.582,2.840
453,1452,10311,119.43,12.585,2.834
454,1452,10328,119.63,12.582,2.851
455,1454,10345,119.64,12.579,2.872
456,1454,10362,119.73,12.583,2.874
457,1456,10380,119.95,12.583,2.886
458,1456,10397,120.14,12.582,2.883
459,1458,10414,120.96,12.585,2.887
460,1458,10422,120.95,12.582,2.893
461,1460,10448,121.49,12.582,2.910
462,1460,10465,122.36,12.582,2.923
463,1462,10482,122.14,12.581,2.933
464,1462,10491,122.39,12.582,2.959
465,1464,10491,122.87,12.583,2.963
466,1464,10517,123.33,12.584,2.965
467,1466,10525,123.95,12.583,2.973
468,1466,10560,124.73,12.584,2.981
469,1468,10585,125.22,12.579,2.973
470,1468,10602,125.16,12.585,2.985
471,1470,10611,125.45,12.584,2.997
472,1470,10637,126.01,12.585,3.009
473,1472,10645,126.25,12.582,3.017
474,1472,10654,126.46,12.576,3.025
475,1474,10680,127.14,12.583,3.026
476,1474,10697,127.08,12.583,3.038
477,1476,10714,127.27,12.580,3.070
478,1476,10722,127.64,12.581,3.079
479,1478,10748,128.47,12.583,3.070
480,1478,10757,129.24,12.580,3.081
481,1480,10782,130.04,12.578,3.070
482,1480,10791,130.43,12.576,3.108
483,1482,10808,130.87,12.576,3.109
484,1482,10817,130.98,12.577,3.121
485,1484,10834,131.00,12.579,3.120
486,1484,10860,131.29,12.582,3.138
487,1486,10885,131.83,12.581,3.140
488,1486,10877,132.21,12.577,3.165
489,1488,10911,132.59,12.579,3.193
490,1488,10928,133.45,12.585,3.185
491,1490,10945,133.66,12.582,3.160
492,1490,10962,133.24,12.577,3.187
493,1492,10971,133.55,12.581,3.197
494,1492,10997,133.96,12.583,3.228
495,1494,11014,133.95,12.580,3.237
496,1494,11022,134.35,12.577,3.225
497,1496,11057,134.70,12.578,3.240
498,1496,11065,135.36,12.584,3.256
499,1498,11082,135.17,12.576,3.255
500,1498,11082,135.15,12.577,3.267
501,1500,11100,135.57,12.577,3.274
502,1500,11117,136.35,12.574,3.299
503,1502,11134,136.43,12.578,3.303
504,1502,11168,136.74,12.577,3.311
505,1504,11177,137.70,12.581,3.316
506,1504,11194,137.61,12.576,3.323
507,1506,11202,137.69,12.577,3.329
508,1506,11220,137.89,12.578,3.339
509,1508,11237,138.70,12.580,3.372
510,1508,11254,138.92,12.578,3.385
511,1510,11271,139.34,12.573,3.380
512,1510,11297,139.44,12.578,3.381
513,1512,11305,139.94,12.578,3.367
514,1512,11305,140.15,12.579,3.379
515,1514,11322,140.13,12.578,3.411
516,1514,11348,140.62,12.576,3.439
517,1516,11365,141.06,12.581,3.427
518,1516,11382,141.46,12.579,3.452
519,1518,11400,141.97,12.574,3.474
520,1518,11417,142.49,12.579,3.501
521,1520,11434,142.87,12.576,3.497
522,1520,11460,143.18,12.576,3.499
523,1522,11477,143.49,12.574,3.501
524,1522,11494,143.66,12.575,3.505
525,1524,11511,144.39,12.577,3.521
526,1524,11511,144.54,12.576,3.546
527,1526,11528,144.85,12.579,3.544
528,1526,11537,145.20,12.576,3.550
529,1528,11554,145.07,12.576,3.551
530,1528,11571,145.30,12.573,3.564
531,1530,11580,145.91,12.574,3.573
532,1530,11622,146.30,12.574,3.587
533,1532,11631,146.61,12.576,3.605
534,1532,11648,146.84,12.579,3.609
535,1534,11640,146.84,12.576,3.585
536,1534,11674,146.87,12.574,3.609
537,1536,11682,147.60,12.574,3.624
538,1536,11708,148.23,12.574,3.626
539,1538,11691,148.26,12.576,3.627
540,1538,11725,148.01,12.574,3.653
541,1540,11734,148.86,12.572,3.663
542,1540,11777,149.63,12.572,3.707
543,1542,11751,149.53,12.578,3.691
544,1542,11760,149.63,12.576,3.681
545,1544,11768,150.23,12.574,3.682
546,1544,11802,150.71,12.577,3.698
547,1546,11820,150.65,12.576,3.693
