seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.626,0.776
2,1000,0,0.00,12.629,0.771
3,1002,0,0.00,12.627,0.778
4,1002,0,0.00,12.630,0.774
5,1004,0,0.00,12.639,0.762
6,1004,0,0.00,12.628,0.774
7,1006,0,0.00,12.628,0.766
8,1006,0,0.00,12.629,0.778
9,1008,0,0.00,12.628,0.770
10,1008,0,0.00,12.631,0.776
11,1010,0,0.00,12.629,0.772
12,1010,0,0.00,12.632,0.774
13,1012,0,0.00,12.632,0.773
14,1012,0,0.00,12.624,0.776
15,1014,0,0.00,12.630,0.789
16,1014,0,0.00,12.623,0.782
17,1016,0,0.00,12.625,0.788
18,1016,0,0.00,12.619,0.951
19,1018,0,0.00,12.612,1.346
20,1018,0,1.75,12.617,1.570
21,1020,0,5.11,12.612,1.666
22,1020,0,5.89,12.613,1.699
23,1022,0,5.22,12.616,1.600
24,1022,0,5.23,12.619,1.416
25,1024,0,6.19,12.623,1.223
26,1024,0,7.15,12.623,1.116
27,1026,0,7.69,12.621,1.038
28,1026,0,8.65,12.619,1.000
29,1028,0,8.54,12.624,0.995
30,1028,0,8.16,12.624,0.995
31,1030,0,8.07,12.622,0.972
32,1030,0,8.27,12.624,0.963
33,1032,0,9.16,12.622,0.950
34,1032,0,9.16,12.625,0.925
35,1034,0,9.39,12.620,0.926
36,1034,0,9.62,12.621,0.919
37,1036,0,9.64,12.621,0.906
38,1036,0,9.69,12.623,0.920
39,1038,0,10.20,12.621,0.923
40,1038,0,10.18,12.626,0.912
41,1040,0,10.16,12.623,0.920
42,1040,0,10.13,12.625,0.918
43,1042,0,9.78,12.623,0.917
44,1042,0,10.07,12.625,0.923
45,1044,0,9.90,12.621,0.925
46,1044,0,10.32,12.624,0.925
47,1046,0,10.34,12.621,0.927
48,1046,0,10.38,12.625,0.922
49,1048,0,10.16,12.623,0.933
50,1048,0,10.24,12.620,0.929
51,1050,0,10.52,12.622,0.922
52,1050,0,10.63,12.624,0.923
53,1052,0,11.16,12.620,0.930
54,1052,0,10.65,12.619,0.946
55,1054,0,10.63,12.623,0.939
56,1054,0,10.56,12.624,0.940
57,1056,0,10.82,12.621,0.932
58,1056,0,10.74,12.623,0.939
59,1058,0,10.87,12.624,0.938
60,1058,0,11.09,12.620,0.949
61,1060,0,11.41,12.621,0.949
62,1060,0,11.09,12.619,0.953
63,1062,0,11.38,12.624,0.948
64,1062,0,11.47,12.622,0.949
65,1064,0,11.87,12.624,0.955
66,1064,0,11.74,12.622,0.967
67,1066,0,11.59,12.628,0.961
68,1066,0,11.41,12.627,0.971
69,1068,0,11.75,12.626,0.958
70,1068,0,11.89,12.623,0.964
71,1070,0,12.02,12.622,0.960
72,1070,0,12.78,12.620,0.967
73,1072,0,12.54,12.620,0.957
74,1072,0,12.84,12.622,0.974
75,1074,0,13.03,12.619,0.979
76,1074,0,12.73,12.626,0.978
77,1076,0,12.43,12.623,0.977
78,1076,0,12.83,12.626,0.979
79,1078,0,13.28,12.624,0.980
80,1078,0,13.26,12.623,0.981
81,1080,0,13.15,12.623,0.971
82,1080,0,13.19,12.620,0.985
83,1082,0,13.08,12.621,0.989
84,1082,0,13.42,12.626,0.982
85,1084,0,13.96,12.621,0.975
86,1084,0,13.79,12.620,0.998
87,1086,0,14.42,12.624,0.989
88,1086,0,14.34,12.620,0.987
89,1088,0,14.44,12.622,0.979
90,1088,0,14.46,12.621,0.994
91,1090,0,14.64,12.621,1.000
92,1090,0,14.43,12.622,1.006
93,1092,3711,14.38,12.622,1.003
94,1092,3737,14.92,12.619,0.997
95,1094,3754,14.97,12.619,0.988
96,1094,3771,14.90,12.622,0.996
97,1096,3797,15.02,12.621,1.005
98,1096,3831,15.37,12.618,1.011
99,1098,3848,15.44,12.621,1.017
100,1098,3865,15.13,12.620,1.017
101,1100,3891,15.55,12.623,1.008
102,1100,3908,15.76,12.622,1.005
103,1102,3925,15.80,12.619,1.017
104,1102,3942,16.14,12.622,1.020
105,1104,3960,16.06,12.625,1.012
106,1104,3968,15.98,12.618,1.032
107,1106,3985,16.13,12.623,1.019
108,1106,4002,16.46,12.620,1.037
109,1108,4028,16.27,12.619,1.045
110,1108,4045,16.66,12.621,1.028
111,1110,4062,16.74,12.623,1.019
112,1110,4080,16.70,12.623,1.034
113,1112,4105,16.88,12.621,1.033
114,1112,4140,17.24,12.620,1.036
115,1114,4165,17.01,12.619,1.048
116,1114,4191,17.03,12.621,1.043
117,1116,4217,17.26,12.622,1.042
118,1116,4242,17.75,12.622,1.059
119,1118,4260,17.84,12.619,1.047
120,1118,4285,17.76,12.624,1.059
121,1120,4311,18.52,12.621,1.054
122,1120,4320,19.10,12.620,1.048
123,1122,4337,18.95,12.617,1.053
124,1122,4362,18.78,12.619,1.054
125,1124,4380,19.15,12.622,1.066
126,1124,4388,19.40,12.623,1.070
127,1126,4414,19.40,12.621,1.059
128,1126,4431,19.84,12.620,1.073
129,1128,4448,19.51,12.622,1.065
130,1128,4465,19.49,12.618,1.077
131,1130,4482,19.72,12.617,1.086
132,1130,4508,20.18,12.621,1.079
133,1132,4534,20.77,12.622,1.090
134,1132,4551,20.69,12.622,1.089
135,1134,4577,20.94,12.623,1.070
136,1134,4594,21.06,12.620,1.083
137,1136,4611,20.79,12.619,1.089
138,1136,4637,21.01,12.620,1.098
139,1138,4654,20.91,12.622,1.088
140,1138,4688,21.33,12.617,1.103
141,1140,4714,21.49,12.623,1.104
142,1140,4740,21.44,12.622,1.101
143,1142,4757,21.48,12.624,1.097
144,1142,4774,22.12,12.620,1.103
145,1144,4791,22.59,12.626,1.111
146,1144,4808,22.48,12.621,1.114
147,1146,4825,22.51,12.623,1.111
148,1146,4851,22.49,12.623,1.113
149,1148,4868,22.49,12.623,1.105
150,1148,4885,22.97,12.623,1.109
151,1150,4902,23.12,12.622,1.112
152,1150,4920,23.60,12.621,1.127
153,1152,4945,23.97,12.622,1.125
154,1152,4962,23.80,12.620,1.115
155,1154,4980,23.83,12.621,1.118
156,1154,4980,23.82,12.622,1.119
157,1156,4997,24.11,12.620,1.107
158,1156,5014,24.59,12.621,1.133
159,1158,5031,24.63,12.620,1.151
160,1158,5057,24.76,12.620,1.142
161,1160,5082,24.69,12.622,1.138
162,1160,5100,24.83,12.620,1.142
163,1162,5117,24.67,12.621,1.152
164,1162,5142,24.80,12.624,1.140
165,1164,5160,26.31,12.623,1.160
166,1164,5168,26.60,12.622,1.175
167,1166,5194,27.06,12.622,1.166
168,1166,5211,26.94,12.618,1.161
169,1168,5237,26.99,12.620,1.164
170,1168,5254,26.75,12.623,1.171
171,1170,5271,26.81,12.622,1.161
172,1170,5297,26.83,12.620,1.165
173,1172,5305,27.07,12.623,1.178
174,1172,5305,27.46,12.622,1.196
175,1174,5314,27.98,12.622,1.181
176,1174,5331,28.24,12.621,1.184
177,1176,5357,28.23,12.622,1.173
178,1176,5382,28.41,12.619,1.182
179,1178,5408,28.36,12.621,1.181
180,1178,5425,28.85,12.619,1.186
181,1180,5442,28.93,12.621,1.193
182,1180,5468,28.76,12.622,1.186
183,1182,5494,28.83,12.618,1.196
184,1182,5494,29.24,12.625,1.201
185,1184,5494,29.53,12.623,1.200
186,1184,5494,29.39,12.618,1.223
187,1186,5511,29.82,12.622,1.215
188,1186,5528,30.34,12.622,1.205
189,1188,5545,30.35,12.624,1.224
190,1188,5562,30.60,12.622,1.236
191,1190,5588,31.08,12.620,1.240
192,1190,5631,31.31,12.622,1.237
193,1192,5657,31.51,12.623,1.220
194,1192,5657,31.39,12.622,1.244
195,1194,5682,31.69,12.618,1.243
196,1194,5708,31.80,12.617,1.232
197,1196,5751,31.79,12.621,1.233
198,1196,5777,32.32,12.620,1.244
199,1198,5802,32.90,12.617,1.257
200,1198,5811,33.93,12.618,1.241
201,1200,5811,33.75,12.620,1.257
202,1200,5820,33.38,12.620,1.252
203,1202,5854,33.64,12.621,1.258
204,1202,5862,33.70,12.614,1.265
205,1204,5871,33.74,12.622,1.263
206,1204,5897,34.48,12.620,1.241
207,1206,5905,35.13,12.621,1.273
208,1206,5905,35.38,12.621,1.266
209,1208,5931,35.43,12.618,1.279
210,1208,5957,35.21,12.621,1.286
211,1210,5957,35.35,12.615,1.282
212,1210,5974,35.60,12.621,1.284
213,1212,5982,36.54,12.616,1.294
214,1212,5991,36.17,12.615,1.291
215,1214,6008,36.32,12.620,1.297
216,1214,6042,36.45,12.617,1.302
217,1216,6077,36.84,12.621,1.295
218,1216,6094,37.14,12.621,1.307
219,1218,6128,37.29,12.623,1.281
220,1218,6180,37.28,12.622,1.313
221,1220,6222,37.67,12.620,1.319
222,1220,6265,37.63,12.618,1.322
223,1222,6300,37.68,12.620,1.314
224,1222,6342,38.16,12.621,1.302
225,1224,6377,38.65,12.620,1.287
226,1224,6394,38.72,12.617,1.317
227,1226,6411,38.67,12.620,1.323
228,1226,6420,39.00,12.618,1.330
229,1228,6428,39.50,12.622,1.322
230,1228,6445,39.81,12.629,1.321
231,1230,6462,39.96,12.618,1.332
232,1230,6462,40.70,12.620,1.328
233,1232,6488,40.86,12.623,1.322
234,1232,6497,40.70,12.622,1.326
235,1234,6514,40.87,12.622,1.323
236,1234,6531,41.29,12.619,1.325
237,1236,6531,41.51,12.622,1.373
238,1236,6540,41.58,12.627,1.367
239,1238,6557,42.10,12.620,1.346
240,1238,6565,42.39,12.623,1.347
241,1240,6582,42.40,12.620,1.353
242,1240,6608,42.80,12.617,1.355
243,1242,6625,43.08,12.617,1.370
244,1242,6642,42.45,12.621,1.372
245,1244,6668,42.53,12.618,1.382
246,1244,6694,42.66,12.623,1.383
247,1246,6728,43.12,12.617,1.360
248,1246,6745,43.70,12.622,1.372
249,1248,6762,43.76,12.620,1.369
250,1248,6780,43.67,12.617,1.381
251,1250,6797,43.81,12.614,1.390
252,1250,6814,44.22,12.620,1.400
253,1252,6831,44.61,12.620,1.410
254,1252,6831,44.61,12.617,1.403
255,1254,6831,45.06,12.617,1.393
256,1254,6865,45.00,12.619,1.424
257,1256,6891,45.34,12.619,1.408
258,1256,6925,46.00,12.623,1.416
259,1258,6951,46.01,12.618,1.407
260,1258,6994,46.32,12.620,1.427
261,1260,7020,46.59,12.618,1.441
262,1260,7045,46.82,12.616,1.435
263,1262,7088,47.40,12.618,1.427
264,1262,7105,47.59,12.615,1.439
265,1264,7131,47.95,12.618,1.458
266,1264,7157,48.45,12.616,1.465
267,1266,7182,49.03,12.615,1.472
268,1266,7200,49.56,12.617,1.473
269,1268,7225,50.44,12.620,1.464
270,1268,7260,51.27,12.623,1.466
271,1270,7285,51.93,12.618,1.477
272,1270,7311,52.66,12.621,1.459
273,1272,7328,53.99,12.622,1.464
274,1272,7354,54.74,12.618,1.475
275,1274,7380,55.23,12.617,1.481
276,1274,7405,55.63,12.616,1.489
277,1276,7422,56.14,12.619,1.481
278,1276,7448,57.53,12.620,1.483
279,1278,7465,58.03,12.617,1.491
280,1278,7482,58.18,12.618,1.486
281,1280,7500,58.65,12.615,1.488
282,1280,7517,58.98,12.617,1.503
283,1282,7534,59.55,12.616,1.497
284,1282,7560,59.99,12.617,1.502
285,1284,7577,61.10,12.612,1.508
286,1284,7585,61.73,12.617,1.521
287,1286,7611,62.26,12.617,1.531
288,1286,7628,62.23,12.613,1.550
289,1288,7654,62.55,12.616,1.545
290,1288,7671,63.12,12.618,1.528
291,1290,7705,63.58,12.615,1.546
292,1290,7740,64.68,12.618,1.567
293,1292,7774,65.02,12.624,1.556
294,1292,7791,65.24,12.617,1.533
295,1294,7808,66.04,12.620,1.546
296,1294,7834,66.41,12.614,1.550
297,1296,7842,66.20,12.616,1.575
298,1296,7860,66.28,12.620,1.558
299,1298,7877,67.30,12.619,1.551
300,1298,7894,67.24,12.616,1.558
301,1300,7920,67.37,12.620,1.571
302,1300,7937,67.19,12.616,1.581
303,1302,7962,67.29,12.616,1.577
304,1302,7980,68.13,12.617,1.607
305,1304,7997,68.89,12.621,1.594
306,1304,8022,69.23,12.615,1.591
307,1306,8040,70.00,12.618,1.592
308,1306,8065,70.38,12.618,1.591
309,1308,8091,70.40,12.620,1.606
