seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.623,0.757
2,1000,0,0.00,12.623,0.754
3,1002,0,0.00,12.624,0.757
4,1002,0,0.00,12.630,0.754
5,1004,0,0.00,12.631,0.756
6,1004,0,0.00,12.633,0.749
7,1006,0,0.00,12.624,0.751
8,1006,0,0.00,12.627,0.745
9,1008,0,0.00,12.628,0.755
10,1008,0,0.00,12.628,0.750
11,1010,0,0.00,12.628,0.744
12,1010,0,0.00,12.628,0.756
13,1012,0,0.00,12.629,0.751
14,1012,0,0.00,12.624,0.761
15,1014,0,0.00,12.624,0.768
16,1014,0,0.00,12.622,0.773
17,1016,0,0.00,12.625,0.774
18,1016,0,0.00,12.616,1.008
19,1018,0,1.02,12.617,1.408
20,1018,0,5.57,12.612,1.618
21,1020,0,9.13,12.614,1.703
22,1020,0,9.77,12.612,1.721
23,1022,0,10.24,12.614,1.580
24,1022,0,12.16,12.619,1.356
25,1024,0,14.25,12.616,1.172
26,1024,0,15.52,12.622,1.070
27,1026,0,16.19,12.619,1.004
28,1026,0,16.35,12.615,0.982
29,1028,0,16.19,12.619,0.987
30,1028,0,16.49,12.622,0.975
31,1030,0,16.93,12.622,0.951
32,1030,0,16.94,12.625,0.934
33,1032,0,17.26,12.622,0.921
34,1032,0,17.53,12.620,0.915
35,1034,0,17.71,12.623,0.899
36,1034,0,17.87,12.621,0.895
37,1036,0,17.98,12.619,0.893
38,1036,0,17.79,12.620,0.900
39,1038,0,18.02,12.620,0.899
40,1038,0,17.64,12.619,0.900
41,1040,0,18.04,12.624,0.910
42,1040,0,17.96,12.620,0.908
43,1042,0,18.31,12.624,0.901
44,1042,0,18.38,12.615,0.912
45,1044,0,18.17,12.614,0.921
46,1044,0,18.66,12.618,0.915
47,1046,0,18.71,12.623,0.904
48,1046,0,18.93,12.623,0.922
49,1048,0,18.59,12.622,0.911
50,1048,0,18.77,12.620,0.923
51,1050,0,18.64,12.621,0.927
52,1050,0,18.54,12.624,0.917
53,1052,0,18.52,12.622,0.921
54,1052,0,18.47,12.625,0.926
55,1054,0,18.80,12.620,0.938
56,1054,0,18.79,12.618,0.928
57,1056,0,19.11,12.619,0.921
58,1056,0,19.59,12.623,0.934
59,1058,0,19.67,12.622,0.926
60,1058,0,19.98,12.620,0.943
61,1060,0,20.12,12.619,0.938
62,1060,0,19.89,12.620,0.941
63,1062,0,19.76,12.621,0.936
64,1062,0,20.04,12.617,0.945
65,1064,0,20.12,12.620,0.937
66,1064,0,20.06,12.622,0.958
67,1066,0,20.35,12.619,0.946
68,1066,0,20.34,12.617,0.948
69,1068,0,20.46,12.629,0.954
70,1068,0,20.36,12.621,0.955
71,1070,0,20.49,12.623,0.960
72,1070,0,20.97,12.623,0.960
73,1072,0,20.56,12.624,0.947
74,1072,0,20.75,12.623,0.961
75,1074,0,20.77,12.621,0.971
76,1074,0,21.00,12.621,0.968
77,1076,0,20.90,12.621,0.973
78,1076,0,20.83,12.622,0.969
79,1078,0,21.06,12.617,0.969
80,1078,0,20.96,12.623,0.973
81,1080,0,21.75,12.619,0.978
82,1080,0,22.15,12.624,0.962
83,1082,0,22.55,12.626,0.963
84,1082,0,22.22,12.619,0.974
85,1084,0,21.97,12.622,0.980
86,1084,0,22.13,12.623,0.987
87,1086,0,22.68,12.620,0.984
88,1086,0,22.60,12.620,0.988
89,1088,0,22.75,12.615,0.981
90,1088,0,22.79,12.618,0.985
91,1090,0,22.92,12.621,0.987
92,1090,0,23.01,12.619,0.984
93,1092,0,22.90,12.623,0.992
94,1092,0,23.08,12.618,0.991
95,1094,0,22.80,12.621,0.999
96,1094,0,23.07,12.621,0.989
97,1096,3737,22.97,12.620,0.994
98,1096,3754,22.70,12.619,0.992
99,1098,3780,23.03,12.620,1.004
100,1098,3814,23.13,12.619,1.018
101,1100,3831,23.18,12.615,1.006
102,1100,3848,23.53,12.618,1.008
103,1102,3865,23.78,12.616,0.999
104,1102,3882,23.96,12.620,1.020
105,1104,3900,23.80,12.620,1.008
106,1104,3917,23.86,12.621,1.021
107,1106,3942,24.32,12.621,1.012
108,1106,3960,24.21,12.622,1.030
109,1108,3977,24.22,12.619,1.033
110,1108,4002,24.58,12.617,1.030
111,1110,4020,25.21,12.622,1.042
112,1110,4045,25.55,12.622,1.035
113,1112,4080,25.72,12.618,1.033
114,1112,4105,25.73,12.620,1.045
115,1114,4131,25.98,12.615,1.040
116,1114,4157,25.78,12.621,1.033
117,1116,4182,26.07,12.615,1.048
118,1116,4200,26.30,12.623,1.043
119,1118,4217,26.11,12.618,1.048
120,1118,4234,26.29,12.619,1.056
121,1120,4260,26.62,12.619,1.058
122,1120,4285,26.35,12.619,1.055
123,1122,4311,26.53,12.619,1.057
124,1122,4337,26.56,12.616,1.061
125,1124,4354,26.85,12.620,1.058
126,1124,4371,27.27,12.619,1.041
127,1126,4388,27.43,12.623,1.053
128,1126,4397,27.33,12.621,1.063
129,1128,4414,27.88,12.616,1.077
130,1128,4431,27.99,12.621,1.074
131,1130,4440,28.59,12.618,1.081
132,1130,4465,28.59,12.617,1.090
133,1132,4482,29.06,12.616,1.084
134,1132,4500,29.02,12.621,1.096
135,1134,4525,29.04,12.620,1.087
136,1134,4542,29.34,12.618,1.095
137,1136,4560,29.85,12.619,1.087
138,1136,4585,29.59,12.615,1.096
139,1138,4602,29.73,12.619,1.090
140,1138,4620,29.68,12.617,1.096
141,1140,4637,29.75,12.615,1.116
142,1140,4662,30.79,12.617,1.119
143,1142,4697,31.52,12.617,1.111
144,1142,4714,31.71,12.622,1.104
145,1144,4731,31.35,12.619,1.103
146,1144,4757,31.49,12.620,1.116
147,1146,4774,31.81,12.618,1.112
148,1146,4791,32.23,12.614,1.109
149,1148,4808,32.55,12.621,1.115
150,1148,4825,32.71,12.619,1.145
151,1150,4842,32.75,12.625,1.131
152,1150,4860,32.44,12.620,1.132
153,1152,4877,32.63,12.618,1.127
154,1152,4902,32.99,12.619,1.124
155,1154,4920,33.24,12.619,1.123
156,1154,4937,33.32,12.617,1.128
157,1156,4954,33.36,12.617,1.139
158,1156,4971,33.43,12.618,1.148
159,1158,4980,33.46,12.621,1.155
160,1158,4988,34.41,12.619,1.157
161,1160,5014,34.56,12.619,1.146
162,1160,5031,34.31,12.620,1.146
163,1162,5048,34.42,12.623,1.151
164,1162,5074,34.91,12.620,1.161
165,1164,5091,34.94,12.622,1.157
166,1164,5117,34.92,12.618,1.154
167,1166,5134,34.81,12.617,1.153
168,1166,5160,35.32,12.616,1.164
169,1168,5168,36.12,12.617,1.191
170,1168,5185,36.31,12.618,1.186
171,1170,5211,36.17,12.617,1.181
172,1170,5228,36.39,12.618,1.193
173,1172,5245,36.73,12.616,1.192
174,1172,5271,37.89,12.619,1.200
175,1174,5288,37.94,12.618,1.185
176,1174,5314,37.87,12.620,1.182
177,1176,5331,37.90,12.619,1.192
178,1176,5340,37.99,12.617,1.192
179,1178,5348,38.28,12.615,1.205
180,1178,5365,38.03,12.619,1.215
181,1180,5391,38.45,12.620,1.208
182,1180,5417,38.62,12.619,1.211
183,1182,5417,38.82,12.618,1.214
