seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.585,0.776
2,1000,0,0.00,12.588,0.781
3,1002,0,0.00,12.588,0.780
4,1002,0,0.00,12.588,0.784
5,1004,0,0.00,12.592,0.775
6,1004,0,0.00,12.585,0.784
7,1006,0,0.00,12.586,0.777
8,1006,0,0.00,12.588,0.774
9,1008,0,0.00,12.586,0.773
10,1008,0,0.00,12.589,0.780
11,1010,0,0.00,12.585,0.777
12,1010,0,0.00,12.587,0.782
13,1012,0,0.00,12.589,0.781
14,1012,0,0.00,12.590,0.786
15,1014,0,0.00,12.584,0.788
16,1014,0,0.00,12.584,0.793
17,1016,0,0.00,12.586,0.798
18,1016,0,0.00,12.582,0.931
19,1018,0,0.00,12.574,1.280
20,1018,0,1.94,12.575,1.366
21,1020,0,4.41,12.578,1.319
22,1020,0,6.37,12.577,1.243
23,1022,0,7.74,12.577,1.167
24,1022,0,8.13,12.580,1.103
25,1024,0,8.96,12.576,1.064
26,1024,0,9.85,12.579,1.037
27,1026,0,9.93,12.580,1.070
28,1026,0,10.26,12.580,1.069
29,1028,0,10.86,12.580,1.047
30,1028,0,11.18,12.579,1.033
31,1030,0,11.67,12.580,1.015
32,1030,0,12.31,12.579,1.008
33,1032,0,12.76,12.582,1.006
34,1032,0,13.27,12.582,0.988
35,1034,0,12.90,12.580,0.985
36,1034,0,13.34,12.580,0.986
37,1036,0,13.47,12.581,0.986
38,1036,0,14.38,12.589,0.989
39,1038,0,14.69,12.577,0.986
40,1038,0,15.18,12.579,0.991
41,1040,0,15.15,12.582,1.000
42,1040,0,16.00,12.578,0.987
43,1042,0,15.66,12.583,0.991
44,1042,0,16.43,12.579,0.983
45,1044,0,16.13,12.581,0.992
46,1044,0,16.31,12.581,0.984
47,1046,0,16.66,12.576,0.986
48,1046,0,16.76,12.579,0.995
49,1048,0,17.25,12.581,1.001
50,1048,0,17.24,12.576,1.000
51,1050,0,17.42,12.583,1.014
52,1050,0,17.80,12.587,1.006
53,1052,0,18.15,12.578,1.010
54,1052,0,18.77,12.582,1.018
55,1054,0,19.45,12.581,1.025
56,1054,0,20.01,12.579,1.022
57,1056,0,20.62,12.574,1.016
58,1056,0,21.73,12.581,1.025
59,1058,0,22.21,12.577,1.029
60,1058,0,22.78,12.580,1.039
61,1060,0,23.35,12.575,1.043
62,1060,0,23.69,12.578,1.028
63,1062,0,24.58,12.579,1.039
64,1062,0,24.70,12.584,1.046
65,1064,0,25.37,12.582,1.053
66,1064,0,25.22,12.580,1.059
67,1066,0,25.85,12.578,1.043
68,1066,0,26.00,12.579,1.053
69,1068,0,26.60,12.581,1.051
70,1068,0,26.82,12.581,1.052
71,1070,0,26.63,12.577,1.062
72,1070,0,26.85,12.578,1.069
73,1072,0,27.16,12.582,1.060
74,1072,0,27.22,12.579,1.076
75,1074,0,27.19,12.578,1.081
76,1074,0,27.58,12.578,1.082
77,1076,0,28.11,12.577,1.080
78,1076,0,27.99,12.577,1.086
79,1078,0,27.96,12.580,1.084
80,1078,0,27.83,12.577,1.100
81,1080,0,28.15,12.574,1.099
82,1080,0,28.27,12.582,1.107
83,1082,0,28.60,12.581,1.097
84,1082,0,29.25,12.575,1.107
85,1084,0,29.80,12.579,1.120
86,1084,0,30.06,12.580,1.118
87,1086,0,30.21,12.580,1.115
88,1086,0,30.75,12.580,1.126
89,1088,0,30.76,12.581,1.128
90,1088,0,31.35,12.580,1.133
91,1090,0,31.74,12.583,1.138
92,1090,0,32.00,12.579,1.140
93,1092,0,32.54,12.578,1.138
94,1092,0,32.94,12.581,1.133
95,1094,0,33.61,12.579,1.142
96,1094,0,33.67,12.576,1.150
97,1096,0,34.08,12.576,1.156
98,1096,0,35.23,12.574,1.147
99,1098,0,35.53,12.576,1.159
100,1098,0,35.89,12.578,1.165
101,1100,0,36.02,12.585,1.161
102,1100,0,36.33,12.577,1.171
103,1102,0,36.25,12.576,1.175
104,1102,0,36.68,12.576,1.190
105,1104,0,37.26,12.577,1.186
106,1104,0,37.90,12.578,1.194
107,1106,0,37.70,12.578,1.194
108,1106,0,38.51,12.581,1.195
109,1108,0,39.01,12.578,1.192
110,1108,0,38.98,12.577,1.198
111,1110,0,39.28,12.573,1.201
112,1110,0,40.30,12.579,1.208
113,1112,0,40.62,12.577,1.217
114,1112,0,40.89,12.579,1.228
115,1114,3728,40.90,12.577,1.231
116,1114,3745,41.00,12.579,1.233
117,1116,3762,41.64,12.577,1.230
118,1116,3771,41.96,12.577,1.236
119,1118,3797,42.74,12.575,1.247
120,1118,3831,43.43,12.575,1.246
121,1120,3848,44.14,12.577,1.259
122,1120,3865,45.10,12.577,1.256
123,1122,3882,45.41,12.582,1.264
124,1122,3900,45.81,12.578,1.257
125,1124,3917,46.20,12.575,1.288
126,1124,3934,46.51,12.580,1.281
127,1126,3951,47.18,12.573,1.279
128,1126,3968,47.32,12.574,1.293
129,1128,3994,47.49,12.577,1.305
130,1128,4028,48.00,12.577,1.324
131,1130,4037,48.22,12.578,1.335
132,1130,4062,48.43,12.579,1.316
133,1132,4088,48.92,12.580,1.329
134,1132,4122,49.92,12.578,1.321
135,1134,4148,50.30,12.579,1.327
136,1134,4165,50.79,12.580,1.348
137,1136,4182,51.71,12.579,1.360
138,1136,4208,53.23,12.575,1.354
139,1138,4225,53.75,12.579,1.351
140,1138,4251,54.11,12.577,1.354
141,1140,4268,55.28,12.576,1.366
142,1140,4294,55.29,12.577,1.379
143,1142,4311,55.62,12.577,1.376
144,1142,4328,56.05,12.576,1.373
145,1144,4345,56.25,12.577,1.372
146,1144,4362,56.40,12.574,1.385
147,1146,4380,56.85,12.579,1.396
148,1146,4397,57.36,12.576,1.398
149,1148,4405,58.61,12.579,1.411
150,1148,4422,59.91,12.576,1.404
151,1150,4440,60.26,12.579,1.399
152,1150,4457,60.06,12.575,1.421
153,1152,4474,59.86,12.577,1.415
154,1152,4491,59.98,12.574,1.424
155,1154,4508,61.29,12.575,1.421
156,1154,4517,61.60,12.577,1.451
157,1156,4534,61.72,12.579,1.444
158,1156,4551,62.53,12.572,1.460
159,1158,4568,63.00,12.575,1.459
160,1158,4585,63.28,12.573,1.484
161,1160,4602,63.65,12.577,1.463
162,1160,4620,64.93,12.576,1.470
163,1162,4637,65.30,12.575,1.468
164,1162,4654,65.64,12.576,1.480
165,1164,4671,65.99,12.574,1.483
166,1164,4680,66.23,12.576,1.487
167,1166,4697,67.17,12.578,1.487
168,1166,4714,68.20,12.573,1.492
169,1168,4731,68.99,12.574,1.508
170,1168,4740,68.89,12.572,1.506
171,1170,4757,68.92,12.574,1.509
172,1170,4774,69.41,12.575,1.516
173,1172,4782,69.56,12.581,1.521
174,1172,4800,69.82,12.577,1.529
175,1174,4817,70.53,12.578,1.538
176,1174,4825,72.96,12.570,1.536
177,1176,4842,73.58,12.576,1.540
178,1176,4860,73.28,12.576,1.559
179,1178,4868,73.27,12.581,1.559
180,1178,4885,73.52,12.580,1.581
181,1180,4894,74.16,12.574,1.581
182,1180,4911,74.26,12.575,1.596
183,1182,4920,75.55,12.575,1.591
184,1182,4937,76.75,12.573,1.591
185,1184,4954,78.16,12.575,1.607
186,1184,4971,78.32,12.575,1.602
187,1186,4988,78.68,12.577,1.604
188,1186,5005,78.58,12.572,1.620
189,1188,5014,78.21,12.576,1.623
190,1188,5031,79.68,12.577,1.626
191,1190,5048,80.58,12.573,1.627
