seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.77,12.98,0.000
2,1000,0,0.00,16.79,0.78,13.03,0.000
3,1002,0,0.00,16.80,0.78,13.02,0.000
4,1002,0,0.00,16.80,0.77,12.97,0.000
5,1004,0,0.00,16.80,0.78,13.03,0.000
6,1004,0,0.00,16.80,0.77,12.99,0.000
7,1006,0,0.00,16.79,0.78,13.01,0.000
8,1006,0,0.00,16.80,0.78,13.02,0.000
9,1008,0,0.00,16.80,0.77,12.99,0.000
10,1008,0,0.00,16.79,0.77,12.94,0.000
11,1010,0,0.00,16.79,0.78,13.02,0.000
12,1010,0,0.00,16.80,0.77,12.99,0.000
13,1012,0,0.00,16.80,0.78,13.09,0.000
14,1012,0,0.00,16.79,0.77,12.86,0.000
15,1014,0,0.00,16.79,0.78,13.15,0.000
16,1014,0,0.00,16.79,0.80,13.46,0.000
17,1016,0,0.00,16.79,0.80,13.42,0.000
18,1016,0,0.00,16.79,1.04,17.53,0.000
19,1018,0,0.00,16.78,1.58,26.56,0.000
20,1018,0,4.09,16.78,1.77,29.66,0.138
21,1020,0,6.46,16.78,1.71,28.61,0.226
22,1020,0,8.16,16.78,1.57,26.37,0.309
23,1022,0,12.10,16.79,1.42,23.88,0.507
24,1022,0,14.02,16.79,1.29,21.69,0.646
25,1024,0,16.30,16.78,1.21,20.29,0.803
26,1024,0,17.05,16.79,1.24,20.78,0.820
27,1026,0,18.09,16.78,1.22,20.50,0.883
28,1026,0,19.78,16.79,1.19,20.00,0.989
29,1028,0,21.42,16.78,1.15,19.30,1.110
30,1028,0,23.88,16.79,1.13,19.00,1.257
31,1030,0,24.54,16.79,1.11,18.61,1.318
32,1030,0,25.83,16.78,1.10,18.46,1.399
33,1032,0,27.28,16.78,1.09,18.29,1.492
34,1032,0,27.77,16.79,1.08,18.06,1.538
35,1034,0,28.76,16.79,1.06,17.88,1.608
36,1034,0,29.16,16.79,1.07,17.95,1.624
37,1036,0,29.64,16.79,1.06,17.88,1.658
38,1036,0,30.01,16.79,1.07,17.95,1.672
39,1038,0,30.27,16.79,1.06,17.83,1.698
40,1038,0,30.73,16.79,1.06,17.88,1.719
41,1040,0,31.48,16.79,1.06,17.81,1.768
42,1040,0,31.67,16.79,1.07,17.95,1.764
43,1042,0,31.90,16.79,1.06,17.88,1.784
44,1042,0,32.43,16.79,1.07,18.00,1.802
45,1044,0,32.77,16.79,1.07,18.02,1.818
46,1044,0,33.05,16.79,1.07,17.93,1.843
47,1046,0,33.45,16.79,1.07,18.02,1.856
48,1046,0,33.69,16.79,1.07,17.98,1.873
49,1048,0,34.25,16.79,1.08,18.20,1.881
50,1048,0,34.52,16.79,1.08,18.12,1.905
51,1050,0,34.96,16.79,1.08,18.15,1.926
52,1050,0,35.44,16.79,1.09,18.35,1.931
53,1052,0,35.97,16.79,1.09,18.32,1.963
54,1052,0,36.19,16.78,1.10,18.48,1.958
55,1054,0,36.62,16.79,1.10,18.49,1.981
56,1054,0,37.27,16.79,1.10,18.45,2.020
57,1056,0,37.58,16.78,1.11,18.59,2.022
58,1056,0,38.03,16.79,1.12,18.78,2.026
59,1058,0,38.72,16.79,1.11,18.71,2.070
60,1058,0,39.74,16.79,1.13,18.90,2.103
61,1060,0,40.45,16.79,1.14,19.05,2.123
62,1060,0,41.02,16.79,1.13,18.98,2.161
63,1062,0,41.31,16.78,1.13,18.94,2.181
64,1062,0,41.90,16.79,1.14,19.19,2.183
65,1064,0,42.43,16.78,1.15,19.23,2.206
66,1064,0,43.34,16.79,1.16,19.40,2.234
67,1066,0,44.13,16.78,1.17,19.57,2.255
68,1066,0,44.36,16.79,1.16,19.49,2.276
69,1068,0,45.59,16.79,1.16,19.50,2.337
70,1068,0,46.02,16.78,1.17,19.70,2.336
71,1070,0,46.34,16.79,1.18,19.82,2.338
72,1070,0,46.61,16.78,1.18,19.85,2.348
73,1072,0,47.48,16.79,1.19,19.93,2.382
74,1072,0,48.42,16.78,1.20,20.19,2.398
75,1074,0,49.10,16.79,1.21,20.23,2.428
76,1074,0,50.00,16.79,1.21,20.35,2.457
