seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.826,0.831
2,1000,0,0.00,16.829,0.838
3,1002,0,0.00,16.824,0.827
4,1002,0,0.00,16.825,0.835
5,1004,0,0.00,16.824,0.834
6,1004,0,0.00,16.825,0.820
7,1006,0,0.00,16.831,0.833
8,1006,0,0.00,16.829,0.836
9,1008,0,0.00,16.827,0.832
10,1008,0,0.00,16.831,0.834
11,1010,0,0.00,16.831,0.833
12,1010,0,0.00,16.825,0.837
13,1012,0,0.00,16.828,0.837
14,1012,0,0.00,16.824,0.835
15,1014,0,0.00,16.821,0.854
16,1014,0,0.00,16.825,0.856
17,1016,0,0.00,16.823,0.860
18,1016,0,0.00,16.810,1.216
19,1018,0,3.45,16.800,1.726
20,1018,0,10.15,16.805,1.744
21,1020,0,15.17,16.808,1.541
22,1020,0,18.61,16.812,1.372
23,1022,0,19.88,16.810,1.270
24,1022,0,20.67,16.814,1.247
25,1024,0,20.00,16.812,1.198
26,1024,0,22.19,16.818,1.162
27,1026,0,23.33,16.813,1.125
28,1026,0,23.71,16.817,1.114
29,1028,0,24.23,16.817,1.094
30,1028,0,24.65,16.817,1.090
31,1030,0,25.10,16.818,1.079
32,1030,0,25.61,16.817,1.082
33,1032,0,25.64,16.813,1.074
34,1032,0,25.73,16.816,1.074
35,1034,0,26.09,16.816,1.081
36,1034,0,26.01,16.817,1.085
37,1036,0,26.22,16.814,1.080
38,1036,0,26.13,16.824,1.090
39,1038,0,26.62,16.815,1.084
40,1038,0,26.67,16.820,1.099
41,1040,0,26.56,16.812,1.095
42,1040,0,27.00,16.815,1.098
43,1042,0,27.27,16.811,1.102
44,1042,0,27.66,16.812,1.120
45,1044,0,27.50,16.815,1.117
46,1044,0,27.38,16.816,1.106
47,1046,0,27.66,16.815,1.117
48,1046,0,28.23,16.817,1.117
49,1048,0,28.28,16.811,1.128
50,1048,0,28.33,16.819,1.123
51,1050,0,28.48,16.815,1.127
52,1050,0,28.43,16.812,1.130
53,1052,0,28.44,16.814,1.135
54,1052,0,29.11,16.813,1.152
55,1054,0,29.34,16.817,1.145
56,1054,0,30.01,16.813,1.166
57,1056,0,30.28,16.812,1.153
58,1056,0,30.30,16.816,1.161
59,1058,0,29.92,16.809,1.167
60,1058,0,30.28,16.815,1.158
61,1060,0,30.53,16.815,1.156
62,1060,0,30.88,16.814,1.170
63,1062,0,31.07,16.815,1.180
64,1062,0,30.86,16.813,1.172
65,1064,0,31.39,16.813,1.185
66,1064,0,31.95,16.815,1.179
67,1066,0,31.95,16.810,1.184
68,1066,0,31.63,16.814,1.188
69,1068,0,32.09,16.814,1.194
70,1068,0,32.85,16.814,1.199
71,1070,0,32.82,16.812,1.185
72,1070,0,33.36,16.815,1.193
73,1072,0,33.50,16.815,1.198
74,1072,0,33.52,16.812,1.214
75,1074,0,33.64,16.814,1.219
76,1074,0,33.74,16.816,1.223
77,1076,0,33.91,16.808,1.213
78,1076,0,33.93,16.809,1.213
79,1078,0,34.47,16.813,1.214
80,1078,0,34.59,16.813,1.232
81,1080,0,34.73,16.812,1.235
82,1080,0,35.01,16.811,1.240
83,1082,0,35.84,16.809,1.246
84,1082,0,35.70,16.813,1.251
85,1084,0,36.24,16.815,1.260
86,1084,0,36.59,16.817,1.264
87,1086,0,36.26,16.814,1.270
88,1086,0,36.25,16.812,1.269
89,1088,0,36.90,16.815,1.259
90,1088,0,37.61,16.812,1.285
91,1090,0,37.89,16.811,1.273
92,1090,0,38.37,16.813,1.282
93,1092,0,38.15,16.814,1.289
94,1092,0,38.57,16.813,1.290
95,1094,0,39.20,16.812,1.281
96,1094,0,39.58,16.812,1.292
97,1096,0,39.50,16.807,1.311
98,1096,0,39.85,16.814,1.306
99,1098,0,40.06,16.812,1.292
100,1098,0,40.04,16.817,1.300
101,1100,0,40.36,16.821,1.298
102,1100,0,40.47,16.811,1.306
103,1102,0,40.53,16.813,1.308
104,1102,0,41.06,16.809,1.304
105,1104,0,41.13,16.810,1.311
106,1104,0,41.41,16.814,1.326
107,1106,0,41.75,16.811,1.327
108,1106,0,42.16,16.813,1.338
109,1108,0,42.13,16.811,1.340
110,1108,0,42.06,16.808,1.338
111,1110,0,42.01,16.814,1.345
112,1110,0,42.35,16.811,1.353
113,1112,0,42.76,16.814,1.351
114,1112,0,43.13,16.808,1.342
115,1114,0,43.63,16.806,1.344
116,1114,0,43.76,16.811,1.357
117,1116,0,43.53,16.810,1.382
118,1116,0,43.61,16.816,1.396
119,1118,0,44.47,16.811,1.391
120,1118,0,45.63,16.809,1.393
121,1120,0,46.22,16.811,1.387
122,1120,0,46.41,16.812,1.385
123,1122,0,46.72,16.807,1.401
124,1122,0,47.25,16.812,1.428
125,1124,0,47.46,16.806,1.411
126,1124,0,48.19,16.810,1.415
127,1126,0,48.66,16.810,1.420
128,1126,0,49.33,16.811,1.430
129,1128,0,50.43,16.809,1.436
130,1128,0,51.32,16.808,1.434
131,1130,0,51.40,16.806,1.440
132,1130,0,51.74,16.810,1.434
133,1132,0,52.74,16.812,1.432
134,1132,0,53.71,16.803,1.442
135,1134,0,55.31,16.807,1.443
136,1134,0,55.58,16.806,1.446
137,1136,0,56.07,16.804,1.447
138,1136,0,56.65,16.808,1.466
139,1138,0,56.68,16.809,1.463
140,1138,0,56.95,16.811,1.489
141,1140,0,57.58,16.810,1.481
142,1140,0,59.29,16.809,1.483
143,1142,0,59.15,16.809,1.485
144,1142,0,59.25,16.811,1.490
145,1144,0,59.41,16.810,1.499
