seq,pwm,rpm,thrust,voltage,current
1,1000,0,15.22,16.842,0.836
2,1000,0,15.59,16.841,0.831
3,1002,0,15.62,16.838,0.834
4,1002,0,15.11,16.840,0.832
5,1004,0,14.95,16.851,0.825
6,1004,0,15.02,16.844,0.833
7,1006,0,15.17,16.838,0.832
8,1006,0,15.43,16.838,0.839
9,1008,0,15.70,16.841,0.826
10,1008,0,15.36,16.841,0.834
11,1010,0,15.28,16.841,0.837
12,1010,0,15.39,16.841,0.831
13,1012,0,15.65,16.840,0.835
14,1012,0,15.37,16.836,0.828
15,1014,0,15.29,16.834,0.840
16,1014,0,15.67,16.836,0.860
17,1016,0,15.08,16.835,0.864
18,1016,0,15.37,16.824,1.089
19,1018,0,15.46,16.812,1.658
20,1018,0,14.05,16.819,1.699
21,1020,0,12.62,16.822,1.488
22,1020,0,13.91,16.830,1.321
23,1022,0,16.67,16.828,1.222
24,1022,0,18.92,16.828,1.188
25,1024,0,19.49,16.829,1.163
26,1024,0,20.62,16.830,1.124
27,1026,0,21.62,16.826,1.097
28,1026,0,22.04,16.831,1.096
29,1028,0,22.10,16.830,1.079
30,1028,0,22.24,16.829,1.064
31,1030,0,22.61,16.831,1.067
32,1030,0,22.93,16.831,1.080
33,1032,0,22.91,16.836,1.077
34,1032,0,23.41,16.827,1.070
35,1034,0,23.69,16.830,1.065
36,1034,0,23.93,16.830,1.081
37,1036,0,24.03,16.829,1.071
38,1036,0,24.07,16.830,1.084
39,1038,0,24.02,16.827,1.086
40,1038,0,23.71,16.829,1.080
41,1040,0,24.21,16.828,1.083
42,1040,0,24.64,16.828,1.092
43,1042,0,24.31,16.826,1.096
44,1042,0,24.53,16.828,1.121
45,1044,0,24.99,16.834,1.129
46,1044,0,25.62,16.828,1.114
47,1046,0,25.77,16.826,1.115
48,1046,0,26.02,16.829,1.120
49,1048,0,25.83,16.832,1.122
50,1048,0,26.20,16.827,1.112
51,1050,0,26.26,16.826,1.121
52,1050,0,26.72,16.827,1.119
53,1052,0,26.68,16.829,1.131
54,1052,0,26.72,16.827,1.142
55,1054,0,27.20,16.828,1.148
56,1054,0,28.01,16.826,1.162
57,1056,0,28.51,16.826,1.132
58,1056,0,28.85,16.822,1.153
59,1058,0,29.00,16.828,1.154
60,1058,0,29.25,16.825,1.159
61,1060,0,29.14,16.828,1.174
62,1060,0,29.18,16.828,1.164
63,1062,0,29.11,16.829,1.164
64,1062,0,29.43,16.824,1.160
65,1064,0,30.09,16.829,1.176
66,1064,0,30.21,16.828,1.190
67,1066,0,30.75,16.824,1.188
68,1066,0,30.99,16.827,1.182
69,1068,0,30.65,16.828,1.200
70,1068,0,30.70,16.826,1.209
71,1070,0,30.92,16.829,1.199
72,1070,0,30.86,16.823,1.210
73,1072,0,31.28,16.823,1.198
74,1072,0,31.52,16.832,1.207
75,1074,0,31.86,16.827,1.203
76,1074,0,31.79,16.827,1.212
77,1076,0,32.22,16.833,1.223
78,1076,0,33.06,16.825,1.224
79,1078,0,33.41,16.827,1.220
80,1078,0,33.74,16.826,1.228
81,1080,0,34.16,16.827,1.225
82,1080,0,34.72,16.825,1.247
83,1082,0,35.37,16.826,1.255
84,1082,0,35.21,16.826,1.228
85,1084,0,35.36,16.825,1.247
86,1084,0,35.38,16.829,1.258
87,1086,0,35.58,16.828,1.255
88,1086,0,36.00,16.827,1.262
89,1088,0,36.60,16.825,1.270
90,1088,0,36.58,16.823,1.271
91,1090,0,37.10,16.823,1.281
92,1090,0,37.57,16.821,1.290
93,1092,0,37.99,16.824,1.278
94,1092,0,38.34,16.824,1.276
95,1094,0,38.59,16.828,1.279
96,1094,0,38.64,16.826,1.305
97,1096,0,39.41,16.827,1.297
98,1096,0,39.69,16.823,1.300
99,1098,0,39.64,16.823,1.317
100,1098,0,39.86,16.822,1.310
101,1100,0,40.00,16.826,1.333
102,1100,0,40.23,16.822,1.318
103,1102,0,40.56,16.821,1.306
104,1102,0,41.35,16.822,1.313
105,1104,0,41.43,16.826,1.307
106,1104,0,41.35,16.824,1.325
107,1106,0,41.56,16.820,1.325
108,1106,0,41.81,16.828,1.334
109,1108,0,41.75,16.825,1.338
110,1108,0,42.39,16.827,1.330
111,1110,0,42.79,16.825,1.340
112,1110,0,42.81,16.826,1.353
113,1112,0,43.62,16.823,1.370
114,1112,0,44.31,16.826,1.364
115,1114,0,44.66,16.819,1.360
116,1114,0,44.73,16.824,1.365
117,1116,0,45.51,16.826,1.363
118,1116,0,46.62,16.818,1.386
119,1118,0,46.40,16.823,1.375
120,1118,0,47.11,16.826,1.400
121,1120,0,47.33,16.820,1.391
122,1120,0,47.60,16.827,1.410
123,1122,0,48.38,16.822,1.406
124,1122,0,49.12,16.827,1.414
125,1124,0,49.09,16.823,1.400
126,1124,0,50.56,16.824,1.404
127,1126,0,51.15,16.823,1.417
128,1126,0,51.70,16.821,1.420
129,1128,0,52.80,16.827,1.417
130,1128,0,53.26,16.822,1.419
131,1130,0,53.39,16.825,1.431
132,1130,0,53.35,16.826,1.435
133,1132,0,54.15,16.824,1.429
134,1132,0,54.79,16.826,1.449
135,1134,0,54.67,16.826,1.441
136,1134,0,55.55,16.824,1.462
137,1136,0,56.22,16.825,1.452
138,1136,0,57.26,16.821,1.465
139,1138,0,57.62,16.824,1.455
140,1138,0,58.28,16.821,1.457
141,1140,0,58.84,16.824,1.458
142,1140,0,59.07,16.822,1.479
143,1142,0,59.50,16.824,1.486
