seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.652,0.808
2,1000,0,0.00,12.654,0.813
3,1002,0,0.00,12.654,0.807
4,1002,0,0.00,12.658,0.811
5,1004,0,0.00,12.655,0.807
6,1004,0,0.00,12.655,0.812
7,1006,0,0.00,12.658,0.809
8,1006,0,0.00,12.654,0.808
9,1008,0,0.00,12.655,0.813
10,1008,0,0.00,12.652,0.817
11,1010,0,0.00,12.656,0.808
12,1010,0,0.00,12.658,0.810
13,1012,0,0.00,12.658,0.809
14,1012,0,0.00,12.653,0.811
15,1014,0,0.00,12.655,0.827
16,1014,0,0.00,12.649,0.838
17,1016,0,0.00,12.646,0.821
18,1016,0,0.00,12.649,1.068
19,1018,0,1.67,12.642,1.295
20,1018,0,6.29,12.644,1.271
21,1020,0,9.17,12.647,1.223
22,1020,0,11.05,12.647,1.142
23,1022,0,11.30,12.647,1.090
24,1022,0,11.99,12.642,1.092
25,1024,0,11.79,12.646,1.085
26,1024,0,12.38,12.651,1.074
27,1026,0,12.68,12.646,1.057
28,1026,0,13.22,12.647,1.031
29,1028,0,13.62,12.645,1.023
30,1028,0,13.74,12.647,1.020
31,1030,0,13.73,12.646,1.028
32,1030,0,14.33,12.644,1.024
33,1032,0,14.48,12.648,1.021
34,1032,0,14.65,12.649,1.025
35,1034,0,14.83,12.646,1.030
36,1034,0,15.03,12.645,1.023
37,1036,0,15.74,12.645,1.022
38,1036,0,15.98,12.647,1.018
39,1038,0,15.56,12.642,1.009
40,1038,0,15.76,12.646,1.037
41,1040,0,15.79,12.647,1.022
42,1040,0,16.14,12.646,1.024
43,1042,0,16.31,12.649,1.028
44,1042,0,16.28,12.650,1.034
45,1044,0,16.41,12.647,1.030
46,1044,0,16.57,12.645,1.027
47,1046,0,16.75,12.649,1.032
48,1046,0,16.84,12.647,1.045
49,1048,0,16.64,12.648,1.051
50,1048,0,16.94,12.645,1.045
51,1050,0,17.45,12.647,1.053
52,1050,0,17.69,12.645,1.047
53,1052,0,18.24,12.646,1.050
54,1052,0,18.00,12.648,1.062
55,1054,0,17.93,12.645,1.074
56,1054,0,18.26,12.647,1.070
57,1056,0,18.56,12.645,1.072
58,1056,0,18.51,12.647,1.073
59,1058,0,19.32,12.641,1.073
60,1058,0,19.44,12.642,1.078
61,1060,0,19.88,12.645,1.094
62,1060,0,20.06,12.648,1.084
63,1062,0,20.49,12.643,1.078
64,1062,0,20.81,12.645,1.098
65,1064,0,20.57,12.648,1.101
66,1064,0,21.21,12.648,1.093
67,1066,0,21.40,12.646,1.099
68,1066,0,21.03,12.645,1.111
69,1068,0,21.33,12.649,1.102
70,1068,0,21.42,12.648,1.100
71,1070,0,21.36,12.650,1.113
72,1070,0,21.38,12.649,1.117
73,1072,0,21.90,12.644,1.115
74,1072,0,22.12,12.648,1.114
75,1074,0,21.91,12.646,1.116
76,1074,0,22.28,12.642,1.119
77,1076,0,22.56,12.647,1.138
78,1076,0,22.49,12.644,1.132
79,1078,0,23.09,12.647,1.130
80,1078,0,23.46,12.644,1.137
81,1080,0,23.26,12.646,1.136
82,1080,0,23.28,12.645,1.138
83,1082,0,23.68,12.647,1.152
84,1082,0,24.12,12.647,1.149
85,1084,0,24.52,12.645,1.157
86,1084,0,24.91,12.650,1.151
87,1086,0,25.02,12.645,1.134
88,1086,0,25.28,12.646,1.130
89,1088,0,25.54,12.644,1.136
90,1088,0,25.27,12.638,1.165
91,1090,0,25.39,12.647,1.194
92,1090,0,25.64,12.646,1.204
93,1092,0,25.87,12.647,1.209
94,1092,0,26.65,12.644,1.196
95,1094,0,26.84,12.643,1.199
96,1094,0,27.23,12.643,1.183
97,1096,0,27.17,12.648,1.194
98,1096,0,27.66,12.644,1.202
99,1098,0,28.22,12.644,1.213
100,1098,0,28.68,12.643,1.215
101,1100,0,28.98,12.643,1.210
102,1100,0,29.74,12.654,1.210
103,1102,0,29.93,12.642,1.199
104,1102,0,29.94,12.642,1.209
105,1104,0,29.93,12.639,1.212
106,1104,0,30.56,12.645,1.221
107,1106,0,31.64,12.641,1.214
108,1106,0,31.88,12.643,1.205
109,1108,0,32.26,12.641,1.192
110,1108,0,32.96,12.643,1.225
111,1110,0,32.81,12.643,1.243
112,1110,0,33.06,12.645,1.250
113,1112,0,33.48,12.641,1.261
114,1112,0,33.93,12.642,1.278
115,1114,0,34.70,12.643,1.257
116,1114,0,34.89,12.642,1.259
117,1116,0,34.67,12.641,1.254
118,1116,0,34.79,12.643,1.267
119,1118,0,35.08,12.641,1.268
120,1118,0,35.28,12.643,1.276
121,1120,0,35.34,12.645,1.270
122,1120,0,35.72,12.641,1.252
123,1122,0,35.89,12.638,1.263
124,1122,0,36.04,12.639,1.271
125,1124,0,36.47,12.640,1.285
126,1124,0,36.46,12.643,1.272
127,1126,0,36.73,12.644,1.281
128,1126,0,36.88,12.643,1.300
129,1128,0,37.13,12.639,1.302
130,1128,0,37.09,12.640,1.307
131,1130,0,37.62,12.640,1.307
132,1130,0,37.94,12.643,1.316
133,1132,0,37.79,12.647,1.283
134,1132,0,37.99,12.644,1.279
135,1134,0,37.91,12.639,1.278
136,1134,0,37.96,12.642,1.280
137,1136,0,37.96,12.640,1.344
138,1136,0,38.14,12.645,1.365
139,1138,0,39.01,12.643,1.363
140,1138,0,38.61,12.645,1.364
141,1140,0,38.80,12.640,1.354
142,1140,0,39.14,12.639,1.366
143,1142,0,39.12,12.646,1.358
144,1142,0,39.21,12.642,1.368
145,1144,0,39.44,12.641,1.351
146,1144,0,40.11,12.644,1.373
147,1146,0,40.38,12.637,1.384
148,1146,0,40.31,12.643,1.379
149,1148,0,40.75,12.642,1.364
150,1148,0,41.03,12.641,1.386
151,1150,0,41.32,12.636,1.392
152,1150,0,42.16,12.644,1.398
153,1152,0,42.99,12.642,1.399
154,1152,0,43.42,12.637,1.397
155,1154,0,44.13,12.638,1.401
156,1154,0,44.88,12.643,1.393
157,1156,0,45.25,12.641,1.393
158,1156,0,45.48,12.642,1.416
159,1158,0,45.81,12.639,1.409
160,1158,0,46.45,12.646,1.431
161,1160,0,46.89,12.644,1.423
162,1160,0,47.41,12.641,1.433
163,1162,0,47.57,12.640,1.410
164,1162,0,48.07,12.638,1.420
165,1164,0,48.39,12.647,1.424
166,1164,0,48.17,12.642,1.440
167,1166,0,48.26,12.637,1.455
168,1166,0,48.77,12.642,1.464
169,1168,0,48.99,12.640,1.466
170,1168,0,49.35,12.640,1.470
171,1170,0,49.54,12.641,1.454
172,1170,0,49.88,12.641,1.468
173,1172,0,50.33,12.640,1.460
174,1172,0,50.30,12.639,1.478
175,1174,0,50.14,12.641,1.492
176,1174,0,50.99,12.634,1.489
177,1176,0,51.54,12.642,1.477
178,1176,0,51.30,12.638,1.491
179,1178,0,51.66,12.646,1.498
180,1178,0,52.12,12.642,1.490
181,1180,0,52.28,12.640,1.502
182,1180,0,52.48,12.643,1.516
183,1182,0,52.40,12.639,1.516
184,1182,0,52.99,12.636,1.528
185,1184,0,53.55,12.644,1.523
186,1184,0,53.89,12.641,1.528
187,1186,0,54.45,12.639,1.532
188,1186,0,54.91,12.638,1.523
189,1188,0,54.72,12.635,1.567
190,1188,0,55.40,12.636,1.554
191,1190,0,56.25,12.643,1.546
192,1190,0,56.19,12.638,1.551
193,1192,0,56.33,12.639,1.557
194,1192,0,56.56,12.640,1.582
195,1194,0,57.19,12.641,1.563
196,1194,0,57.46,12.638,1.567
197,1196,0,57.98,12.638,1.559
198,1196,0,58.53,12.642,1.568
199,1198,0,58.92,12.637,1.567
200,1198,0,59.22,12.639,1.574
201,1200,0,59.60,12.643,1.588
202,1200,0,59.68,12.638,1.591
203,1202,0,59.93,12.639,1.612
204,1202,0,60.72,12.637,1.628
205,1204,0,61.29,12.638,1.617
206,1204,0,61.86,12.638,1.625
207,1206,0,61.89,12.637,1.626
208,1206,0,62.43,12.639,1.629
209,1208,0,63.11,12.638,1.626
210,1208,0,63.65,12.638,1.639
211,1210,0,64.06,12.638,1.662
212,1210,0,64.81,12.634,1.665
213,1212,0,65.22,12.633,1.677
214,1212,0,65.73,12.641,1.668
215,1214,0,66.56,12.633,1.677
216,1214,0,67.09,12.638,1.702
217,1216,0,67.76,12.640,1.717
218,1216,0,69.58,12.639,1.685
219,1218,0,70.47,12.639,1.682
220,1218,0,70.64,12.640,1.697
221,1220,0,71.11,12.638,1.697
222,1220,0,72.11,12.635,1.700
223,1222,0,72.57,12.636,1.707
224,1222,0,73.09,12.637,1.735
225,1224,0,73.39,12.634,1.740
226,1224,0,75.43,12.637,1.738
227,1226,0,75.34,12.639,1.752
228,1226,0,75.62,12.637,1.752
229,1228,0,76.21,12.633,1.743
230,1228,0,77.03,12.641,1.753
231,1230,0,77.59,12.637,1.749
232,1230,0,77.76,12.635,1.787
233,1232,0,78.76,12.638,1.773
234,1232,0,78.83,12.635,1.791
235,1234,0,79.42,12.639,1.787
236,1234,0,80.18,12.637,1.794
237,1236,0,80.23,12.635,1.794
238,1236,0,80.62,12.634,1.825
239,1238,0,81.10,12.634,1.823
240,1238,0,81.85,12.637,1.812
241,1240,5177,82.30,12.634,1.816
242,1240,5237,82.53,12.633,1.819
243,1242,5322,82.82,12.631,1.828
244,1242,5417,83.67,12.635,1.860
245,1244,5511,83.89,12.632,1.865
246,1244,5640,83.85,12.636,1.879
247,1246,5640,85.18,12.632,1.905
248,1246,5708,85.66,12.633,1.907
249,1248,5837,86.59,12.634,1.902
250,1248,6197,86.67,12.631,1.914
251,1250,6694,87.17,12.631,1.905
252,1250,7028,88.23,12.631,1.884
253,1252,7482,88.46,12.638,1.900
254,1252,8005,88.65,12.630,1.920
255,1254,8117,89.89,12.631,1.930
256,1254,8160,90.34,12.634,1.928
257,1256,8202,90.96,12.631,1.929
258,1256,8237,91.47,12.636,1.931
259,1258,8262,91.85,12.637,1.923
260,1258,8288,92.08,12.631,1.942
261,1260,8314,91.97,12.632,1.940
262,1260,8340,93.13,12.637,1.948
263,1262,8348,93.45,12.637,1.962
264,1262,8357,93.88,12.634,1.971
265,1264,8365,94.15,12.635,1.994
266,1264,8391,94.59,12.628,1.956
267,1266,8417,94.44,12.630,1.990
268,1266,8442,94.80,12.634,2.003
269,1268,8460,95.44,12.631,2.003
270,1268,8468,96.10,12.632,2.013
271,1270,8494,96.56,12.637,2.020
272,1270,8511,96.77,12.625,2.009
273,1272,8545,96.94,12.632,2.022
274,1272,8537,97.28,12.635,2.032
275,1274,8545,97.19,12.632,2.050
276,1274,8554,98.51,12.634,2.063
277,1276,8562,99.17,12.630,2.064
278,1276,8571,99.25,12.635,2.087
279,1278,8580,99.86,12.632,2.097
280,1278,8597,100.05,12.632,2.101
281,1280,8605,101.09,12.631,2.113
282,1280,8614,101.81,12.632,2.141
283,1282,8631,102.56,12.630,2.148
284,1282,8640,103.51,12.632,2.199
285,1284,8640,103.87,12.633,2.166
286,1284,8682,104.39,12.632,2.160
287,1286,8751,104.45,12.630,2.166
288,1286,8828,104.66,12.635,2.180
289,1288,8922,105.14,12.630,2.186
290,1288,9000,106.57,12.631,2.195
291,1290,9077,106.73,12.623,2.193
