seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.82,13.77,0.000
2,1000,0,0.00,16.80,0.81,13.67,0.000
3,1002,0,0.00,16.80,0.82,13.82,0.000
4,1002,0,0.00,16.80,0.82,13.82,0.000
5,1004,0,0.00,16.80,0.82,13.81,0.000
6,1004,0,0.00,16.80,0.82,13.81,0.000
7,1006,0,0.00,16.81,0.82,13.76,0.000
8,1006,0,0.00,16.80,0.82,13.71,0.000
9,1008,0,0.00,16.80,0.82,13.75,0.000
10,1008,0,0.00,16.80,0.82,13.81,0.000
11,1010,0,0.00,16.80,0.82,13.75,0.000
12,1010,0,0.00,16.80,0.82,13.85,0.000
13,1012,0,0.00,16.80,0.82,13.86,0.000
14,1012,0,0.00,16.80,0.82,13.75,0.000
15,1014,0,0.00,16.80,0.84,14.04,0.000
16,1014,0,0.00,16.79,0.84,14.19,0.000
17,1016,0,0.00,16.80,0.84,14.13,0.000
18,1016,0,0.00,16.79,1.09,18.36,0.000
19,1018,0,0.00,16.78,1.48,24.80,0.000
20,1018,0,4.84,16.78,1.50,25.21,0.192
21,1020,0,8.86,16.78,1.40,23.48,0.377
22,1020,0,10.12,16.78,1.31,21.91,0.462
23,1022,0,11.16,16.79,1.26,21.13,0.528
24,1022,0,11.48,16.79,1.25,20.93,0.549
25,1024,0,12.53,16.79,1.21,20.39,0.614
26,1024,0,13.41,16.79,1.19,19.94,0.672
27,1026,0,14.80,16.79,1.15,19.29,0.767
28,1026,0,16.09,16.79,1.12,18.81,0.855
29,1028,0,17.07,16.79,1.11,18.63,0.916
30,1028,0,17.90,16.79,1.10,18.53,0.966
31,1030,0,18.86,16.79,1.10,18.51,1.019
32,1030,0,19.30,16.79,1.10,18.42,1.048
33,1032,0,19.51,16.79,1.10,18.45,1.057
34,1032,0,20.13,16.79,1.08,18.21,1.105
35,1034,0,21.09,16.79,1.09,18.26,1.155
36,1034,0,21.85,16.79,1.08,18.19,1.201
37,1036,0,22.55,16.79,1.09,18.37,1.228
38,1036,0,22.45,16.79,1.10,18.42,1.219
39,1038,0,22.48,16.79,1.10,18.39,1.223
40,1038,0,22.59,16.79,1.10,18.47,1.223
41,1040,0,22.70,16.79,1.10,18.43,1.232
42,1040,0,23.20,16.79,1.11,18.61,1.246
43,1042,0,23.45,16.79,1.11,18.63,1.259
44,1042,0,23.86,16.79,1.13,18.96,1.259
45,1044,0,24.03,16.79,1.12,18.89,1.272
