seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.594,0.831
2,1000,0,0.00,12.597,0.839
3,1002,0,0.00,12.596,0.835
4,1002,0,0.00,12.595,0.831
5,1004,0,0.00,12.599,0.832
6,1004,0,0.00,12.600,0.831
7,1006,0,0.00,12.595,0.837
8,1006,0,0.00,12.603,0.826
9,1008,0,0.00,12.597,0.827
10,1008,0,0.00,12.596,0.833
11,1010,0,0.00,12.601,0.833
12,1010,0,0.00,12.596,0.836
13,1012,0,0.00,12.597,0.827
14,1012,0,0.00,12.596,0.828
15,1014,0,0.00,12.592,0.845
16,1014,0,0.00,12.594,0.852
17,1016,0,0.00,12.595,0.845
18,1016,0,0.00,12.588,1.017
19,1018,0,0.00,12.584,1.365
20,1018,0,3.13,12.585,1.422
21,1020,0,7.33,12.587,1.380
22,1020,0,10.97,12.586,1.293
23,1022,0,12.12,12.587,1.224
24,1022,0,12.90,12.587,1.176
25,1024,0,12.63,12.588,1.174
26,1024,0,13.21,12.587,1.174
27,1026,0,13.36,12.589,1.144
28,1026,0,13.96,12.585,1.131
29,1028,0,14.87,12.590,1.114
30,1028,0,16.05,12.586,1.094
31,1030,0,16.26,12.589,1.087
32,1030,0,17.54,12.587,1.084
33,1032,0,17.29,12.593,1.075
34,1032,0,18.11,12.596,1.072
35,1034,0,17.47,12.587,1.082
36,1034,0,17.79,12.590,1.085
37,1036,0,18.96,12.587,1.076
38,1036,0,18.60,12.589,1.084
39,1038,0,19.23,12.590,1.085
40,1038,0,19.33,12.587,1.076
41,1040,0,19.83,12.582,1.083
42,1040,0,19.80,12.592,1.086
43,1042,0,19.93,12.586,1.078
44,1042,0,20.37,12.590,1.089
45,1044,0,20.58,12.586,1.096
46,1044,0,20.43,12.588,1.080
47,1046,0,20.46,12.592,1.091
48,1046,0,20.55,12.586,1.084
49,1048,0,20.39,12.589,1.093
50,1048,0,20.62,12.589,1.084
51,1050,0,21.36,12.590,1.078
52,1050,0,21.40,12.592,1.095
53,1052,0,21.45,12.590,1.099
54,1052,0,21.64,12.589,1.111
55,1054,0,21.92,12.588,1.112
56,1054,0,22.25,12.589,1.113
57,1056,0,22.41,12.591,1.113
