seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.84,10.63,0.000
2,1000,0,0.00,12.59,0.84,10.61,0.000
3,1002,0,0.00,12.59,0.85,10.70,0.000
4,1002,0,0.00,12.59,0.84,10.63,0.000
5,1004,0,0.00,12.59,0.84,10.62,0.000
6,1004,0,0.00,12.60,0.85,10.69,0.000
7,1006,0,0.00,12.59,0.85,10.66,0.000
8,1006,0,0.00,12.59,0.85,10.71,0.000
9,1008,0,0.00,12.59,0.84,10.63,0.000
10,1008,0,0.00,12.59,0.85,10.65,0.000
11,1010,0,0.00,12.59,0.85,10.71,0.000
12,1010,0,0.00,12.59,0.85,10.65,0.000
13,1012,0,0.00,12.59,0.84,10.61,0.000
14,1012,0,0.00,12.59,0.85,10.65,0.000
15,1014,0,0.00,12.59,0.85,10.75,0.000
16,1014,0,0.00,12.59,0.87,10.90,0.000
17,1016,0,0.00,12.59,0.86,10.89,0.000
18,1016,0,0.00,12.58,1.04,13.11,0.000
19,1018,0,0.00,12.57,1.40,17.61,0.000
20,1018,0,3.82,12.57,1.52,19.09,0.200
21,1020,0,7.37,12.58,1.48,18.56,0.397
22,1020,0,9.75,12.58,1.42,17.80,0.548
23,1022,0,12.14,12.58,1.33,16.68,0.728
24,1022,0,13.00,12.58,1.26,15.89,0.818
25,1024,0,13.69,12.58,1.23,15.47,0.885
26,1024,0,14.38,12.58,1.23,15.45,0.930
27,1026,0,14.80,12.58,1.23,15.44,0.959
28,1026,0,16.20,12.58,1.22,15.32,1.058
29,1028,0,16.47,12.58,1.20,15.04,1.095
30,1028,0,17.60,12.58,1.17,14.77,1.192
31,1030,0,18.30,12.58,1.17,14.77,1.239
32,1030,0,19.12,12.58,1.15,14.52,1.317
33,1032,0,19.16,12.58,1.14,14.39,1.332
34,1032,0,20.73,12.58,1.13,14.23,1.457
35,1034,0,20.66,12.59,1.13,14.20,1.455
36,1034,0,21.80,12.58,1.13,14.20,1.535
37,1036,0,21.26,12.58,1.13,14.27,1.489
38,1036,0,22.23,12.58,1.14,14.30,1.555
