seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.83,0.85,14.38,0.000
2,1000,0,0.00,16.84,0.86,14.48,0.000
3,1002,0,0.00,16.84,0.86,14.46,0.000
4,1002,0,0.00,16.84,0.86,14.54,0.000
5,1004,0,0.00,16.84,0.86,14.52,0.000
6,1004,0,0.00,16.84,0.86,14.51,0.000
7,1006,0,0.00,16.84,0.86,14.51,0.000
8,1006,0,0.00,16.84,0.86,14.41,0.000
9,1008,0,0.00,16.84,0.86,14.49,0.000
10,1008,0,0.00,16.84,0.86,14.47,0.000
11,1010,0,0.00,16.84,0.86,14.48,0.000
12,1010,0,0.00,16.84,0.86,14.53,0.000
13,1012,0,0.00,16.84,0.86,14.50,0.000
14,1012,0,0.00,16.83,0.86,14.54,0.000
15,1014,0,0.00,16.83,0.87,14.71,0.000
16,1014,0,0.00,16.83,0.88,14.83,0.000
17,1016,0,0.00,16.83,0.88,14.81,0.000
18,1016,0,0.00,16.82,1.23,20.65,0.000
19,1018,0,0.00,16.81,1.77,29.75,0.000
20,1018,0,2.53,16.81,1.90,31.95,0.079
21,1020,0,5.02,16.82,1.79,30.16,0.166
22,1020,0,6.90,16.82,1.60,26.99,0.256
23,1022,0,8.96,16.82,1.46,24.51,0.366
24,1022,0,10.15,16.82,1.37,23.09,0.439
25,1024,0,11.28,16.82,1.36,22.86,0.493
26,1024,0,12.32,16.82,1.33,22.43,0.549
27,1026,0,13.41,16.82,1.30,21.80,0.615
28,1026,0,14.73,16.82,1.27,21.28,0.692
29,1028,0,16.09,16.82,1.23,20.77,0.775
30,1028,0,17.33,16.82,1.22,20.53,0.844
31,1030,0,18.32,16.83,1.20,20.14,0.910
32,1030,0,19.01,16.82,1.20,20.16,0.943
33,1032,0,19.48,16.83,1.19,19.97,0.976
34,1032,0,20.15,16.83,1.17,19.71,1.022
35,1034,0,21.08,16.82,1.17,19.70,1.070
36,1034,0,21.23,16.83,1.16,19.55,1.086
37,1036,0,22.07,16.82,1.17,19.66,1.123
38,1036,0,22.48,16.82,1.18,19.78,1.136
39,1038,0,22.65,16.82,1.18,19.91,1.137
40,1038,0,22.91,16.82,1.18,19.86,1.154
41,1040,0,22.99,16.83,1.17,19.73,1.165
42,1040,0,23.27,16.82,1.17,19.74,1.179
43,1042,0,23.62,16.83,1.18,19.88,1.188
44,1042,0,24.27,16.83,1.19,20.04,1.211
45,1044,0,24.47,16.83,1.19,20.06,1.220
46,1044,0,24.69,16.82,1.19,20.10,1.229
47,1046,0,24.84,16.83,1.19,20.07,1.237
