seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.647,0.835
2,1000,0,0.00,12.651,0.824
3,1002,0,0.00,12.651,0.833
4,1002,0,0.00,12.646,0.826
5,1004,0,0.00,12.645,0.825
6,1004,0,0.00,12.648,0.822
7,1006,0,0.00,12.649,0.824
8,1006,0,0.00,12.648,0.823
9,1008,0,0.00,12.649,0.831
10,1008,0,0.00,12.649,0.827
11,1010,0,0.00,12.651,0.829
12,1010,0,0.00,12.641,0.820
13,1012,0,0.00,12.647,0.828
14,1012,0,0.00,12.645,0.825
15,1014,0,0.00,12.643,0.833
16,1014,0,0.00,12.642,0.850
17,1016,0,0.00,12.640,0.841
18,1016,0,0.00,12.638,1.060
19,1018,0,1.20,12.634,1.481
20,1018,0,4.30,12.638,1.630
21,1020,0,6.29,12.640,1.530
22,1020,0,8.43,12.634,1.389
23,1022,0,10.57,12.635,1.262
24,1022,0,11.83,12.642,1.179
25,1024,0,12.89,12.641,1.129
26,1024,0,13.29,12.639,1.128
27,1026,0,13.41,12.640,1.123
28,1026,0,14.59,12.640,1.098
29,1028,0,14.89,12.641,1.085
30,1028,0,16.18,12.641,1.069
31,1030,0,16.57,12.644,1.059
32,1030,0,17.55,12.641,1.062
33,1032,0,18.15,12.643,1.059
34,1032,0,17.93,12.642,1.055
35,1034,0,18.39,12.641,1.058
36,1034,0,18.11,12.640,1.061
37,1036,0,18.78,12.639,1.058
38,1036,0,18.54,12.638,1.065
39,1038,0,19.12,12.642,1.061
40,1038,0,19.43,12.639,1.066
41,1040,0,19.62,12.638,1.057
42,1040,0,19.66,12.638,1.068
43,1042,0,19.97,12.641,1.069
44,1042,0,20.26,12.643,1.073
45,1044,0,20.52,12.633,1.070
46,1044,0,20.60,12.641,1.077
47,1046,0,20.79,12.641,1.063
48,1046,0,20.99,12.641,1.082
49,1048,0,21.25,12.641,1.093
50,1048,0,21.51,12.641,1.082
51,1050,0,21.36,12.641,1.091
52,1050,0,21.93,12.640,1.091
53,1052,0,22.08,12.639,1.097
54,1052,0,23.06,12.641,1.096
55,1054,0,22.80,12.639,1.100
56,1054,0,22.72,12.641,1.100
57,1056,0,22.92,12.641,1.106
58,1056,0,23.03,12.646,1.105
59,1058,0,23.05,12.641,1.113
60,1058,0,23.64,12.640,1.132
61,1060,0,24.19,12.641,1.120
62,1060,0,25.51,12.643,1.124
63,1062,0,25.72,12.638,1.122
64,1062,0,26.00,12.640,1.132
65,1064,0,26.24,12.637,1.135
66,1064,0,26.90,12.640,1.143
67,1066,0,27.36,12.640,1.151
68,1066,0,27.43,12.640,1.136
69,1068,0,28.10,12.640,1.145
70,1068,0,28.27,12.639,1.143
71,1070,0,28.09,12.640,1.157
72,1070,0,28.26,12.641,1.155
73,1072,0,28.51,12.640,1.163
74,1072,0,29.02,12.636,1.163
75,1074,0,29.16,12.639,1.160
76,1074,0,29.36,12.639,1.181
77,1076,0,29.40,12.639,1.169
78,1076,0,30.11,12.644,1.169
79,1078,0,30.38,12.643,1.181
80,1078,0,30.68,12.641,1.194
81,1080,0,31.31,12.640,1.209
82,1080,0,31.18,12.643,1.211
83,1082,0,31.77,12.639,1.187
84,1082,0,31.85,12.639,1.192
85,1084,0,31.47,12.643,1.207
86,1084,0,31.58,12.643,1.209
87,1086,0,31.87,12.643,1.208
88,1086,0,32.52,12.640,1.211
89,1088,0,33.06,12.641,1.218
90,1088,0,33.38,12.641,1.219
91,1090,0,34.23,12.640,1.225
92,1090,0,34.37,12.638,1.244
93,1092,0,34.67,12.637,1.247
94,1092,0,35.34,12.638,1.245
95,1094,0,35.49,12.638,1.259
96,1094,0,35.61,12.639,1.267
97,1096,0,35.18,12.643,1.267
98,1096,0,36.49,12.638,1.274
99,1098,0,37.00,12.640,1.276
100,1098,0,37.69,12.636,1.269
101,1100,0,38.07,12.640,1.269
102,1100,0,38.44,12.640,1.275
103,1102,0,38.55,12.640,1.285
104,1102,0,38.86,12.638,1.288
105,1104,0,39.73,12.638,1.299
106,1104,0,39.94,12.637,1.309
107,1106,0,40.35,12.633,1.289
108,1106,0,40.78,12.635,1.305
109,1108,0,41.35,12.636,1.297
110,1108,0,41.50,12.636,1.299
111,1110,0,41.68,12.637,1.305
112,1110,0,43.05,12.637,1.300
113,1112,0,43.53,12.634,1.332
114,1112,0,43.74,12.635,1.334
115,1114,0,43.40,12.639,1.333
116,1114,0,43.57,12.637,1.330
117,1116,0,43.93,12.639,1.340
118,1116,0,43.98,12.639,1.341
119,1118,0,44.61,12.635,1.364
120,1118,0,46.32,12.640,1.373
121,1120,0,46.77,12.637,1.366
122,1120,0,47.44,12.638,1.351
123,1122,0,47.23,12.638,1.367
124,1122,0,47.36,12.634,1.372
125,1124,0,47.41,12.634,1.365
126,1124,0,47.33,12.636,1.379
127,1126,0,48.13,12.632,1.370
128,1126,0,48.98,12.637,1.395
129,1128,0,49.45,12.631,1.406
130,1128,0,50.13,12.640,1.393
131,1130,0,50.59,12.638,1.397
132,1130,0,50.19,12.637,1.397
133,1132,0,50.09,12.638,1.398
134,1132,0,50.06,12.646,1.400
135,1134,0,50.51,12.641,1.402
136,1134,0,50.75,12.637,1.409
137,1136,0,50.99,12.639,1.421
138,1136,0,51.49,12.637,1.426
139,1138,0,52.08,12.636,1.443
140,1138,0,52.05,12.639,1.449
141,1140,0,52.29,12.636,1.451
142,1140,0,52.63,12.637,1.446
143,1142,0,52.77,12.633,1.449
144,1142,0,53.20,12.636,1.447
145,1144,0,53.79,12.636,1.442
146,1144,0,53.71,12.634,1.458
147,1146,0,54.40,12.638,1.465
148,1146,0,54.84,12.637,1.483
149,1148,0,54.29,12.637,1.481
150,1148,0,54.64,12.640,1.485
151,1150,0,55.05,12.638,1.484
152,1150,0,55.30,12.637,1.515
153,1152,0,55.47,12.638,1.503
154,1152,0,55.64,12.640,1.499
155,1154,0,56.13,12.642,1.513
156,1154,0,56.91,12.637,1.522
157,1156,0,57.59,12.638,1.517
158,1156,0,58.34,12.638,1.524
159,1158,0,58.93,12.638,1.523
160,1158,0,59.53,12.637,1.537
161,1160,0,60.27,12.638,1.555
162,1160,0,60.75,12.632,1.550
163,1162,0,62.29,12.633,1.546
164,1162,0,61.88,12.637,1.545
165,1164,0,62.81,12.635,1.549
166,1164,0,62.79,12.634,1.553
167,1166,0,63.37,12.634,1.559
168,1166,0,63.23,12.636,1.565
169,1168,0,63.66,12.638,1.575
170,1168,0,63.84,12.638,1.581
171,1170,0,64.52,12.636,1.575
172,1170,0,65.06,12.639,1.580
173,1172,0,65.46,12.639,1.583
174,1172,0,65.81,12.634,1.600
175,1174,0,65.58,12.635,1.595
176,1174,0,65.63,12.635,1.600
177,1176,0,65.88,12.634,1.618
178,1176,0,66.76,12.634,1.632
179,1178,0,66.83,12.633,1.626
180,1178,0,67.25,12.639,1.629
181,1180,0,67.18,12.632,1.619
182,1180,0,68.04,12.633,1.640
183,1182,0,68.53,12.636,1.642
184,1182,0,69.25,12.639,1.655
185,1184,0,69.58,12.643,1.661
186,1184,0,69.58,12.636,1.656
187,1186,0,69.93,12.633,1.675
188,1186,0,70.16,12.631,1.671
189,1188,0,70.66,12.638,1.668
190,1188,0,70.29,12.639,1.684
191,1190,0,70.93,12.638,1.680
192,1190,0,72.47,12.637,1.698
193,1192,0,72.34,12.634,1.690
194,1192,0,72.71,12.636,1.705
195,1194,0,72.46,12.637,1.709
196,1194,0,73.38,12.636,1.711
197,1196,0,73.91,12.644,1.716
198,1196,0,74.70,12.636,1.708
199,1198,0,74.46,12.636,1.725
200,1198,0,74.77,12.634,1.733
201,1200,0,75.73,12.636,1.756
202,1200,0,76.06,12.634,1.753
203,1202,0,76.98,12.633,1.733
204,1202,0,76.89,12.638,1.741
205,1204,0,77.01,12.635,1.756
206,1204,0,77.28,12.636,1.763
207,1206,0,78.55,12.633,1.765
208,1206,0,78.57,12.635,1.773
209,1208,0,78.57,12.632,1.774
210,1208,0,79.04,12.637,1.786
211,1210,0,80.08,12.633,1.805
212,1210,0,81.06,12.633,1.810
213,1212,0,81.25,12.634,1.809
214,1212,0,82.53,12.636,1.818
215,1214,0,83.06,12.634,1.816
216,1214,0,83.74,12.634,1.834
217,1216,0,84.06,12.637,1.842
218,1216,0,84.64,12.635,1.846
219,1218,0,85.03,12.633,1.836
220,1218,0,85.91,12.632,1.839
221,1220,0,86.43,12.635,1.855
222,1220,0,87.04,12.638,1.866
223,1222,0,87.77,12.637,1.881
224,1222,0,88.35,12.629,1.876
225,1224,0,88.89,12.634,1.882
226,1224,0,89.43,12.633,1.895
227,1226,0,89.70,12.632,1.911
228,1226,0,90.45,12.638,1.923
229,1228,0,91.99,12.632,1.922
230,1228,0,92.31,12.636,1.933
231,1230,0,93.09,12.632,1.940
232,1230,0,93.47,12.633,1.964
233,1232,0,94.03,12.632,1.958
234,1232,0,94.25,12.637,1.966
235,1234,0,95.30,12.635,1.959
236,1234,0,96.86,12.633,1.960
237,1236,0,97.28,12.629,1.994
238,1236,0,97.59,12.631,1.992
239,1238,0,98.40,12.634,1.996
240,1238,0,98.95,12.631,1.990
241,1240,0,99.19,12.629,1.989
242,1240,0,99.87,12.631,2.007
243,1242,0,101.36,12.631,2.021
244,1242,0,101.37,12.631,2.047
245,1244,0,102.44,12.634,2.029
246,1244,0,103.29,12.630,2.041
247,1246,0,103.91,12.631,2.052
248,1246,0,103.83,12.633,2.046
249,1248,0,104.21,12.632,2.037
250,1248,0,104.94,12.631,2.080
251,1250,0,105.44,12.632,2.087
252,1250,0,106.20,12.629,2.098
253,1252,0,106.99,12.633,2.096
254,1252,0,107.06,12.632,2.111
255,1254,0,107.49,12.633,2.110
256,1254,0,107.73,12.634,2.121
257,1256,0,108.41,12.630,2.141
258,1256,0,109.33,12.632,2.164
259,1258,0,109.67,12.628,2.173
260,1258,0,110.33,12.630,2.172
261,1260,0,110.94,12.629,2.171
262,1260,0,111.23,12.633,2.170
263,1262,0,111.82,12.633,2.175
264,1262,0,111.75,12.631,2.205
265,1264,0,112.64,12.630,2.234
266,1264,0,113.28,12.626,2.244
267,1266,0,113.54,12.631,2.212
268,1266,0,114.22,12.631,2.222
269,1268,0,114.79,12.629,2.239
270,1268,0,115.48,12.632,2.260
271,1270,0,116.35,12.633,2.265
272,1270,0,118.07,12.627,2.281
273,1272,0,118.37,12.628,2.279
274,1272,0,119.00,12.629,2.276
275,1274,0,119.46,12.628,2.290
276,1274,0,120.19,12.629,2.308
277,1276,0,121.04,12.627,2.319
278,1276,0,122.10,12.625,2.336
279,1278,6420,122.65,12.632,2.325
280,1278,6942,123.77,12.628,2.335
281,1280,7320,124.43,12.629,2.334
282,1280,8065,125.20,12.628,2.354
283,1282,8340,125.70,12.629,2.355
284,1282,8365,126.93,12.624,2.397
285,1284,8400,127.85,12.632,2.380
286,1284,8417,129.21,12.625,2.391
287,1286,8442,130.33,12.627,2.408
288,1286,8477,130.93,12.628,2.421
289,1288,8511,131.66,12.624,2.424
290,1288,8528,132.24,12.624,2.429
291,1290,8545,133.11,12.625,2.419
292,1290,8554,133.56,12.633,2.439
