seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.63,0.82,10.36,0.000
2,1000,0,0.00,12.63,0.82,10.33,0.000
3,1002,0,0.00,12.63,0.81,10.27,0.000
4,1002,0,0.00,12.63,0.82,10.37,0.000
5,1004,0,0.00,12.63,0.81,10.27,0.000
6,1004,0,0.00,12.63,0.82,10.36,0.000
7,1006,0,0.00,12.63,0.81,10.29,0.000
8,1006,0,0.00,12.63,0.82,10.41,0.000
9,1008,0,0.00,12.63,0.82,10.32,0.000
10,1008,0,0.00,12.63,0.81,10.27,0.000
11,1010,0,0.00,12.63,0.82,10.34,0.000
12,1010,0,0.00,12.63,0.82,10.39,0.000
13,1012,0,0.00,12.63,0.82,10.34,0.000
14,1012,0,0.00,12.63,0.82,10.32,0.000
15,1014,0,0.00,12.62,0.83,10.50,0.000
16,1014,0,0.00,12.63,0.83,10.54,0.000
17,1016,0,0.00,12.62,0.84,10.55,0.000
18,1016,0,0.00,12.62,1.07,13.52,0.000
19,1018,0,0.00,12.62,1.44,18.23,0.000
20,1018,0,4.83,12.61,1.53,19.34,0.250
21,1020,0,6.05,12.62,1.46,18.48,0.327
22,1020,0,6.85,12.62,1.37,17.26,0.396
23,1022,0,8.14,12.62,1.27,16.07,0.507
24,1022,0,8.73,12.62,1.21,15.26,0.572
25,1024,0,9.03,12.62,1.17,14.72,0.613
26,1024,0,9.34,12.62,1.17,14.81,0.631
27,1026,0,9.66,12.62,1.16,14.67,0.659
28,1026,0,9.92,12.62,1.14,14.38,0.690
29,1028,0,10.12,12.62,1.12,14.16,0.714
30,1028,0,10.91,12.62,1.10,13.91,0.784
31,1030,0,10.90,12.62,1.08,13.67,0.798
32,1030,0,11.40,12.62,1.07,13.55,0.841
33,1032,0,11.95,12.62,1.07,13.52,0.884
34,1032,0,12.88,12.62,1.07,13.51,0.954
35,1034,0,12.95,12.62,1.06,13.44,0.963
36,1034,0,12.90,12.63,1.06,13.43,0.960
37,1036,0,13.05,12.62,1.07,13.45,0.970
38,1036,0,12.96,12.62,1.06,13.41,0.967
39,1038,0,13.31,12.62,1.07,13.50,0.986
40,1038,0,13.57,12.62,1.07,13.47,1.008
41,1040,0,13.63,12.62,1.06,13.41,1.017
42,1040,0,13.89,12.62,1.07,13.49,1.030
43,1042,0,13.80,12.62,1.07,13.49,1.024
44,1042,0,13.72,12.62,1.08,13.59,1.010
45,1044,0,14.11,12.62,1.07,13.55,1.041
46,1044,0,14.41,12.62,1.06,13.44,1.072
47,1046,0,14.30,12.62,1.06,13.40,1.068
48,1046,0,14.46,12.62,1.07,13.51,1.071
49,1048,0,14.61,12.62,1.08,13.57,1.076
50,1048,0,14.43,12.63,1.07,13.53,1.066
51,1050,0,14.59,12.62,1.09,13.76,1.061
52,1050,0,14.84,12.62,1.09,13.73,1.081
53,1052,0,14.93,12.62,1.08,13.68,1.091
54,1052,0,15.10,12.62,1.10,13.92,1.085
55,1054,0,14.88,12.62,1.09,13.73,1.084
56,1054,0,15.04,12.62,1.10,13.84,1.087
57,1056,0,15.07,12.62,1.10,13.83,1.090
58,1056,0,15.23,12.62,1.11,13.99,1.089
59,1058,0,15.54,12.62,1.10,13.88,1.120
60,1058,0,15.83,12.63,1.11,13.98,1.133
61,1060,0,15.85,12.62,1.11,13.99,1.133
62,1060,0,15.80,12.62,1.12,14.10,1.121
63,1062,0,16.32,12.62,1.12,14.09,1.158
64,1062,0,16.80,12.62,1.13,14.24,1.180
65,1064,0,16.97,12.62,1.12,14.19,1.195
66,1064,0,17.04,12.62,1.14,14.33,1.189
67,1066,0,17.08,12.62,1.13,14.28,1.196
68,1066,0,17.37,12.62,1.13,14.30,1.214
69,1068,0,17.52,12.62,1.13,14.32,1.223
70,1068,0,17.95,12.63,1.15,14.47,1.241
71,1070,0,18.30,12.62,1.15,14.45,1.266
72,1070,0,18.43,12.62,1.15,14.51,1.270
73,1072,0,18.74,12.62,1.15,14.47,1.295
74,1072,0,18.66,12.62,1.15,14.58,1.280
75,1074,0,18.77,12.62,1.15,14.50,1.294
76,1074,0,19.13,12.62,1.16,14.68,1.303
77,1076,0,19.19,12.62,1.17,14.79,1.297
78,1076,0,19.14,12.63,1.17,14.75,1.297
79,1078,0,19.40,12.63,1.17,14.82,1.309
80,1078,0,19.70,12.62,1.19,15.00,1.313
81,1080,0,20.03,12.62,1.19,14.99,1.336
82,1080,0,20.25,12.62,1.18,14.92,1.357
