seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.66,0.85,10.75,0.000
2,1000,0,0.00,12.66,0.85,10.72,0.000
3,1002,0,0.00,12.66,0.85,10.73,0.000
4,1002,0,0.00,12.66,0.85,10.74,0.000
5,1004,0,0.00,12.66,0.84,10.70,0.000
6,1004,0,0.00,12.66,0.85,10.73,0.000
7,1006,0,0.00,12.66,0.85,10.81,0.000
8,1006,0,0.00,12.66,0.84,10.68,0.000
9,1008,0,0.00,12.66,0.84,10.66,0.000
10,1008,0,0.00,12.66,0.85,10.72,0.000
11,1010,0,0.00,12.66,0.85,10.73,0.000
12,1010,0,0.00,12.66,0.85,10.74,0.000
13,1012,0,0.00,12.66,0.85,10.72,0.000
14,1012,0,0.00,12.66,0.85,10.74,0.000
15,1014,0,0.00,12.66,0.86,10.88,0.000
16,1014,0,0.00,12.66,0.86,10.91,0.000
17,1016,0,0.00,12.66,0.87,10.98,0.000
18,1016,0,0.00,12.65,1.02,12.94,0.000
19,1018,0,0.00,12.65,1.39,17.63,0.000
20,1018,0,3.69,12.65,1.50,18.98,0.194
21,1020,0,6.65,12.65,1.44,18.24,0.365
22,1020,0,7.99,12.65,1.35,17.04,0.469
23,1022,0,9.32,12.65,1.26,15.99,0.583
24,1022,0,10.07,12.65,1.20,15.20,0.663
25,1024,0,10.49,12.65,1.18,14.99,0.700
26,1024,0,10.66,12.65,1.18,14.95,0.713
27,1026,0,10.61,12.65,1.16,14.72,0.721
28,1026,0,10.73,12.65,1.15,14.52,0.739
29,1028,0,11.44,12.65,1.12,14.18,0.807
30,1028,0,11.59,12.66,1.11,14.01,0.827
31,1030,0,11.93,12.65,1.08,13.73,0.869
32,1030,0,12.34,12.66,1.09,13.77,0.896
33,1032,0,12.09,12.65,1.09,13.74,0.879
34,1032,0,12.52,12.65,1.08,13.65,0.917
35,1034,0,12.72,12.65,1.08,13.63,0.933
36,1034,0,12.86,12.66,1.08,13.68,0.940
37,1036,0,12.74,12.65,1.07,13.53,0.942
38,1036,0,12.83,12.65,1.07,13.58,0.945
39,1038,0,12.98,12.65,1.07,13.58,0.956
40,1038,0,13.32,12.66,1.07,13.55,0.983
41,1040,0,13.19,12.66,1.07,13.59,0.970
42,1040,0,13.25,12.65,1.07,13.51,0.981
43,1042,0,13.29,12.65,1.07,13.60,0.977
44,1042,0,13.75,12.66,1.07,13.57,1.013
