seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.76,0.82,13.82,0.000
2,1000,0,0.00,16.75,0.83,13.89,0.000
3,1002,0,0.00,16.76,0.83,13.93,0.000
4,1002,0,0.00,16.76,0.83,13.94,0.000
5,1004,0,0.00,16.76,0.83,13.93,0.000
6,1004,0,0.00,16.75,0.83,13.88,0.000
7,1006,0,0.00,16.76,0.83,13.84,0.000
8,1006,0,0.00,16.76,0.83,13.88,0.000
9,1008,0,0.00,16.76,0.83,13.94,0.000
10,1008,0,0.00,16.76,0.83,13.86,0.000
11,1010,0,0.00,16.76,0.83,13.93,0.000
12,1010,0,0.00,16.76,0.83,13.89,0.000
13,1012,0,0.00,16.76,0.82,13.82,0.000
14,1012,0,0.00,16.75,0.82,13.72,0.000
15,1014,0,0.00,16.75,0.84,14.02,0.000
16,1014,0,0.00,16.75,0.85,14.22,0.000
17,1016,0,0.00,16.75,0.85,14.24,0.000
18,1016,0,0.00,16.74,1.17,19.63,0.000
19,1018,0,1.11,16.74,1.69,28.22,0.040
20,1018,0,9.59,16.74,1.66,27.73,0.346
21,1020,0,14.01,16.74,1.47,24.67,0.568
22,1020,0,16.25,16.74,1.32,22.02,0.738
23,1022,0,17.46,16.74,1.26,21.07,0.829
24,1022,0,17.84,16.74,1.24,20.78,0.859
25,1024,0,18.73,16.75,1.20,20.13,0.931
26,1024,0,20.19,16.75,1.17,19.53,1.034
27,1026,0,21.30,16.74,1.13,18.93,1.125
28,1026,0,21.88,16.74,1.12,18.67,1.172
29,1028,0,22.57,16.74,1.10,18.49,1.221
30,1028,0,22.92,16.75,1.10,18.36,1.248
31,1030,0,23.37,16.74,1.09,18.30,1.277
32,1030,0,23.91,16.74,1.10,18.34,1.303
33,1032,0,23.86,16.74,1.09,18.19,1.311
34,1032,0,23.82,16.74,1.08,18.08,1.317
35,1034,0,24.15,16.74,1.08,18.05,1.338
36,1034,0,24.38,16.74,1.09,18.23,1.337
37,1036,0,24.48,16.75,1.11,18.52,1.321
38,1036,0,24.62,16.75,1.10,18.44,1.335
39,1038,0,25.04,16.75,1.10,18.50,1.354
40,1038,0,26.10,16.75,1.10,18.47,1.413
41,1040,0,26.85,16.74,1.10,18.42,1.458
42,1040,0,27.16,16.74,1.11,18.63,1.458
43,1042,0,27.12,16.74,1.11,18.65,1.454
44,1042,0,27.47,16.74,1.13,18.91,1.453
45,1044,0,27.23,16.74,1.12,18.80,1.448
46,1044,0,27.94,16.74,1.12,18.68,1.496
47,1046,0,28.29,16.74,1.12,18.80,1.504
48,1046,0,28.27,16.74,1.13,18.97,1.490
49,1048,0,28.78,16.74,1.13,18.96,1.518
50,1048,0,28.74,16.74,1.14,19.01,1.512
51,1050,0,28.74,16.74,1.15,19.30,1.489
52,1050,0,29.10,16.75,1.16,19.35,1.504
53,1052,0,29.95,16.75,1.15,19.32,1.550
54,1052,0,30.30,16.74,1.16,19.46,1.557
55,1054,0,30.74,16.74,1.16,19.36,1.588
56,1054,0,31.36,16.74,1.16,19.37,1.619
57,1056,0,32.04,16.74,1.17,19.52,1.641
58,1056,0,32.31,16.74,1.17,19.53,1.654
59,1058,0,32.37,16.74,1.18,19.68,1.645
60,1058,0,32.55,16.74,1.19,19.86,1.639
61,1060,0,32.59,16.74,1.19,19.97,1.631
62,1060,0,33.20,16.75,1.19,19.99,1.660
63,1062,0,33.95,16.74,1.19,19.98,1.699
64,1062,0,34.89,16.74,1.20,20.16,1.731
65,1064,0,35.16,16.74,1.21,20.29,1.733
66,1064,0,35.64,16.74,1.21,20.33,1.753
67,1066,0,36.11,16.74,1.21,20.32,1.777
68,1066,0,36.97,16.74,1.23,20.53,1.801
69,1068,0,37.10,16.74,1.22,20.41,1.818
70,1068,0,37.00,16.74,1.22,20.46,1.809
71,1070,0,36.98,16.74,1.23,20.52,1.803
72,1070,0,37.55,16.74,1.24,20.72,1.812
73,1072,0,38.22,16.74,1.24,20.71,1.846
74,1072,0,38.94,16.74,1.25,20.86,1.866
75,1074,0,39.79,16.74,1.25,20.93,1.901
76,1074,0,40.39,16.74,1.26,21.08,1.916
