seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.82,10.30,0.000
2,1000,0,0.00,12.62,0.81,10.25,0.000
3,1002,0,0.00,12.62,0.81,10.28,0.000
4,1002,0,0.00,12.62,0.82,10.33,0.000
5,1004,0,0.00,12.62,0.82,10.29,0.000
6,1004,0,0.00,12.62,0.82,10.32,0.000
7,1006,0,0.00,12.62,0.81,10.25,0.000
8,1006,0,0.00,12.62,0.81,10.27,0.000
9,1008,0,0.00,12.62,0.81,10.28,0.000
10,1008,0,0.00,12.62,0.82,10.33,0.000
11,1010,0,0.00,12.62,0.82,10.30,0.000
12,1010,0,0.00,12.62,0.81,10.23,0.000
13,1012,0,0.00,12.62,0.82,10.32,0.000
14,1012,0,0.00,12.62,0.81,10.26,0.000
15,1014,0,0.00,12.61,0.82,10.35,0.000
16,1014,0,0.00,12.61,0.83,10.50,0.000
17,1016,0,0.00,12.61,0.83,10.49,0.000
18,1016,0,0.00,12.61,1.05,13.30,0.000
19,1018,0,0.00,12.60,1.46,18.34,0.000
20,1018,0,2.29,12.61,1.42,17.94,0.128
21,1020,0,5.82,12.61,1.28,16.13,0.361
22,1020,0,9.73,12.61,1.17,14.73,0.661
23,1022,0,10.20,12.61,1.08,13.61,0.749
24,1022,0,10.66,12.61,1.08,13.58,0.785
25,1024,0,10.65,12.61,1.07,13.55,0.786
26,1024,0,10.54,12.61,1.06,13.32,0.791
27,1026,0,10.98,12.61,1.04,13.09,0.839
28,1026,0,11.07,12.61,1.02,12.85,0.862
29,1028,0,11.33,12.61,1.01,12.68,0.893
30,1028,0,11.55,12.61,1.01,12.72,0.908
31,1030,0,11.28,12.61,1.00,12.66,0.891
32,1030,0,11.48,12.61,1.02,12.81,0.896
33,1032,0,11.62,12.61,1.01,12.72,0.913
34,1032,0,11.93,12.61,1.00,12.67,0.941
35,1034,0,11.87,12.61,1.01,12.68,0.936
36,1034,0,11.75,12.61,1.01,12.78,0.919
37,1036,0,11.87,12.61,1.02,12.85,0.924
38,1036,0,11.58,12.61,1.02,12.92,0.897
39,1038,0,11.84,12.61,1.03,12.94,0.916
40,1038,0,12.07,12.61,1.03,12.94,0.933
41,1040,0,12.24,12.61,1.02,12.80,0.956
42,1040,0,12.32,12.61,1.03,12.96,0.950
43,1042,0,12.25,12.61,1.03,13.00,0.942
44,1042,0,12.04,12.61,1.04,13.09,0.919
45,1044,0,12.16,12.61,1.04,13.09,0.929
46,1044,0,12.36,12.61,1.04,13.05,0.947
47,1046,0,12.45,12.61,1.04,13.14,0.947
48,1046,0,12.34,12.61,1.04,13.06,0.945
49,1048,0,12.59,12.61,1.05,13.21,0.953
50,1048,0,12.46,12.61,1.04,13.11,0.950
51,1050,0,12.14,12.61,1.04,13.11,0.927
52,1050,0,12.16,12.61,1.05,13.20,0.921
53,1052,0,12.30,12.61,1.05,13.27,0.927
54,1052,0,12.76,12.61,1.05,13.28,0.960
55,1054,0,13.03,12.61,1.05,13.24,0.984
56,1054,0,12.71,12.61,1.06,13.35,0.952
57,1056,0,12.68,12.61,1.05,13.25,0.957
58,1056,0,13.01,12.61,1.06,13.38,0.972
59,1058,0,13.10,12.61,1.06,13.43,0.975
60,1058,0,13.12,12.61,1.07,13.51,0.972
