seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.65,0.84,10.61,0.000
2,1000,0,0.00,12.65,0.84,10.66,0.000
3,1002,0,0.00,12.64,0.84,10.60,0.000
4,1002,0,0.00,12.64,0.84,10.59,0.000
5,1004,0,0.00,12.65,0.84,10.59,0.000
6,1004,0,0.00,12.65,0.84,10.64,0.000
7,1006,0,0.00,12.65,0.84,10.64,0.000
8,1006,0,0.00,12.65,0.84,10.63,0.000
9,1008,0,0.00,12.65,0.83,10.54,0.000
10,1008,0,0.00,12.65,0.84,10.66,0.000
11,1010,0,0.00,12.64,0.84,10.58,0.000
12,1010,0,0.00,12.65,0.84,10.58,0.000
13,1012,0,0.00,12.65,0.84,10.59,0.000
14,1012,0,0.00,12.64,0.83,10.56,0.000
15,1014,0,0.00,12.64,0.84,10.68,0.000
16,1014,0,0.00,12.64,0.85,10.79,0.000
17,1016,0,0.00,12.64,0.85,10.80,0.000
18,1016,0,0.00,12.64,1.16,14.63,0.000
19,1018,0,0.00,12.63,1.65,20.86,0.000
20,1018,0,4.06,12.63,1.75,22.07,0.184
21,1020,0,8.15,12.63,1.62,20.41,0.399
22,1020,0,10.19,12.64,1.45,18.30,0.557
23,1022,0,11.68,12.64,1.31,16.57,0.705
24,1022,0,12.66,12.64,1.22,15.38,0.823
25,1024,0,13.02,12.64,1.18,14.86,0.876
26,1024,0,13.82,12.64,1.18,14.94,0.925
27,1026,0,14.40,12.64,1.16,14.69,0.981
28,1026,0,15.57,12.64,1.13,14.32,1.088
29,1028,0,15.37,12.64,1.12,14.19,1.083
30,1028,0,15.66,12.64,1.11,14.03,1.116
31,1030,0,15.71,12.64,1.10,13.89,1.132
32,1030,0,16.57,12.64,1.10,13.97,1.186
33,1032,0,16.36,12.64,1.09,13.73,1.192
34,1032,0,16.70,12.64,1.08,13.65,1.223
35,1034,0,17.07,12.64,1.09,13.75,1.242
36,1034,0,17.52,12.64,1.09,13.72,1.277
37,1036,0,17.59,12.64,1.09,13.75,1.279
38,1036,0,17.41,12.64,1.10,13.86,1.257
39,1038,0,18.01,12.64,1.10,13.85,1.300
40,1038,0,18.04,12.64,1.10,13.85,1.302
41,1040,0,18.64,12.64,1.09,13.82,1.349
42,1040,0,18.45,12.64,1.11,13.97,1.320
43,1042,0,18.40,12.63,1.10,13.91,1.322
44,1042,0,18.87,12.64,1.12,14.14,1.334
45,1044,0,18.75,12.64,1.12,14.12,1.328
46,1044,0,19.32,12.64,1.11,14.04,1.376
47,1046,0,19.38,12.64,1.11,14.07,1.378
48,1046,0,19.46,12.64,1.12,14.20,1.370
49,1048,0,19.76,12.64,1.12,14.22,1.390
50,1048,0,19.89,12.64,1.13,14.29,1.392
51,1050,0,20.04,12.64,1.13,14.30,1.401
52,1050,0,20.31,12.64,1.13,14.28,1.422
53,1052,0,20.45,12.64,1.15,14.51,1.409
54,1052,0,20.70,12.64,1.15,14.49,1.428
55,1054,0,20.76,12.63,1.15,14.57,1.425
56,1054,0,20.80,12.64,1.14,14.46,1.439
57,1056,0,21.08,12.64,1.14,14.43,1.461
58,1056,0,21.23,12.64,1.16,14.60,1.454
59,1058,0,21.89,12.64,1.17,14.74,1.485
60,1058,0,21.92,12.64,1.16,14.65,1.497
61,1060,0,22.28,12.63,1.16,14.66,1.520
62,1060,0,22.50,12.64,1.17,14.83,1.517
63,1062,0,22.70,12.64,1.17,14.72,1.542
64,1062,0,22.98,12.64,1.17,14.79,1.554
65,1064,0,23.80,12.64,1.17,14.84,1.604
66,1064,0,24.38,12.64,1.18,14.93,1.632
67,1066,0,24.76,12.63,1.18,14.94,1.657
68,1066,0,24.94,12.64,1.19,15.01,1.661
69,1068,0,25.17,12.64,1.19,15.02,1.676
70,1068,0,25.43,12.64,1.20,15.14,1.680
71,1070,0,25.95,12.64,1.21,15.23,1.703
72,1070,0,26.18,12.64,1.20,15.21,1.721
73,1072,0,26.12,12.63,1.20,15.17,1.722
74,1072,0,26.45,12.64,1.20,15.17,1.744
75,1074,0,26.93,12.64,1.21,15.30,1.761
76,1074,0,26.89,12.64,1.22,15.36,1.751
77,1076,0,26.86,12.64,1.22,15.43,1.741
78,1076,0,27.07,12.64,1.23,15.48,1.748
79,1078,0,27.23,12.64,1.22,15.47,1.760
80,1078,0,27.16,12.63,1.24,15.62,1.739
81,1080,0,27.34,12.63,1.23,15.58,1.755
82,1080,0,27.55,12.63,1.24,15.62,1.765
83,1082,0,27.77,12.64,1.23,15.58,1.783
84,1082,0,28.32,12.64,1.24,15.63,1.812
85,1084,0,28.68,12.64,1.24,15.61,1.837
86,1084,0,28.56,12.63,1.24,15.62,1.828
87,1086,3780,29.17,12.64,1.23,15.60,1.870
88,1086,3814,29.30,12.63,1.24,15.66,1.871
89,1088,3840,29.27,12.64,1.26,15.88,1.843
90,1088,3865,29.34,12.64,1.28,16.14,1.819
91,1090,3891,29.62,12.64,1.27,16.02,1.849
92,1090,3917,29.85,12.64,1.27,16.04,1.861
93,1092,3942,30.29,12.63,1.27,16.06,1.886
94,1092,3968,30.59,12.63,1.27,16.08,1.903
95,1094,3994,30.66,12.63,1.28,16.13,1.901
96,1094,4011,30.95,12.64,1.28,16.18,1.913
97,1096,4037,31.29,12.64,1.29,16.25,1.925
